년/월/일,종가,대비,거래량(주),기관_매수량(주),기관_매도량(주),기관_순매수(주),외국인_매수량(주),외국인_매도량(주),외국인_순매수(주)
"2020/11/05","138,000","6,000","1,075,695","287,481","270,049","17,432","210,688","144,715","65,973"
"2020/11/04","132,000",500,"596,001","137,363","164,309","-26,946","77,771","137,293","-59,522"
"2020/11/03","131,500","9,000","831,848","301,538","174,530","127,008","174,788","140,824","33,964"
"2020/11/02","122,500","-3,000","639,990","90,748","192,412","-101,664","127,304","101,477","25,827"
"2020/10/30","125,500","-4,000","385,305","42,823","106,582","-63,759","56,519","101,637","-45,118"
"2020/10/29","129,500","-2,000","438,953","48,668","131,233","-82,565","56,828","86,123","-29,295"
"2020/10/28","131,500",0,"243,257","36,974","66,887","-29,913","28,306","15,572","12,734"
"2020/10/27","131,500",0,"384,563","68,844","141,778","-72,934","78,866","67,027","11,839"
"2020/10/26","131,500","-5,000","484,854","112,572","136,464","-23,892","47,769","108,163","-60,394"
"2020/10/23","136,500",0,"200,128","50,965","56,843","-5,878","28,611","24,744","3,867"
"2020/10/22","136,500","-2,000","252,651","58,120","96,513","-38,393","18,172","36,973","-18,801"
"2020/10/21","138,500","-2,000","311,234","93,481","184,582","-91,101","22,895","33,386","-10,491"
"2020/10/20","140,500","4,000","356,967","127,616","103,875","23,741","73,382","45,217","28,165"
"2020/10/19","136,500","-2,500","289,431","93,551","129,395","-35,844","10,784","53,814","-43,030"
"2020/10/16","139,000","-2,000","274,117","77,980","107,376","-29,396","25,339","46,146","-20,807"
"2020/10/15","141,000","-1,500","237,408","71,045","91,561","-20,516","35,948","34,660","1,288"
"2020/10/14","142,500","-3,000","341,630","82,274","149,405","-67,131","55,095","62,882","-7,787"
"2020/10/13","145,500","-3,000","330,888","99,781","143,098","-43,317","17,926","55,522","-37,596"
"2020/10/12","148,500","4,000","469,260","193,348","120,639","72,709","61,601","52,488","9,113"
"2020/10/08","144,500","1,500","429,412","195,787","156,907","38,880","71,087","65,014","6,073"
