Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-28 19:09:00,KB Financial Group's Board of Directors opposes union recommendation outside director,0,0.0,0.0,1.0,0.0,0
2020-10-28 18:44:00,KB Finance Board of Directors opposes appointment of outside director recommended by union,0,0.0,0.13,0.87,0.2023,1
2020-10-28 17:14:00,"""No union recommended outside director""... KB Finance Board of Directors officially rejected",-1,0.337,0.11,0.552,-0.5719,-1
2020-10-28 16:33:00,"KB Finance Board ""Opposite outside directors recommended by the employee stock ownership association",0,0.0,0.13,0.87,0.2023,1
2020-10-28 16:15:00,"KB Financial Board of Directors ""Opposition of the recommendation of outside directors by the employee stock ownership association""",0,0.0,0.0,1.0,0.0,0
2020-10-28 15:35:00,KB Finance Board of Directors “Opposite outside directors recommended by unions”,0,0.0,0.153,0.847,0.2023,1
2020-10-28 15:30:00,"KB Finance Board of Directors ""Opposition of candidates recommended for employee stock ownership association""",0,0.0,0.122,0.878,0.2023,1
2020-10-28 15:18:00,"KB Finance,'The Board of Directors vs. Ownership Association’",0,0.0,0.0,1.0,0.0,0
2020-10-28 09:40:00,KB Finance publishes 2020 Korean Wealth Report analyzing asset management,0,0.0,0.416,0.584,0.6908,1
2020-10-27 17:17:00,"KB Finance, Korea Corporate Governance Service ESG evaluation certificate'ESG best company' award",1,0.0,0.435,0.565,0.8271,1
2020-10-27 16:37:00,"KB Finance·DGB Finance, Korea Corporate Governance Service ESG evaluation",0,0.0,0.0,1.0,0.0,0
2020-10-27 16:32:00,"KB Financial Group, awarded as the best ESG company in the Korea Corporate Governance Application",1,0.0,0.347,0.653,0.7845,1
2020-10-27 16:01:00,"KB Finance, ESG Best Company Awarded... The only and all-inclusive financial company'A+'",1,0.0,0.276,0.724,0.6369,1
2020-10-27 16:01:00,"KB Finance, ESG Best Company Awarded... The only and all-inclusive financial company'A+'",1,0.0,0.276,0.724,0.6369,1
2020-10-27 16:00:00,"KB Finance, selected as the best ESG company...“No. 1 in financial companies”",1,0.0,0.296,0.704,0.6369,1
2020-10-27 16:26:00,"Shinhan Financial Group, 3Q cumulative net income of 2.95 trillion won... Beyond KB Finance'Maximum Performance...",-1,0.0,0.0,1.0,0.0,0
2020-10-26 06:02:00,Why come out of there... KB Finance is tense about establishing Optimus Lime,0,0.167,0.0,0.833,-0.34,-1
2020-10-23 13:08:00,KB Finance's first trillion club… Jongkyu Yoon did it,-1,0.0,0.0,1.0,0.0,0
2020-10-23 10:17:00,"KB Finance, the first trillion club of financial holding companies… Jongkyu Yoon did it",-1,0.0,0.0,1.0,0.0,0
2020-10-23 09:10:00,"[Features] KB Finance, strong in raising target price for securities",1,0.0,0.407,0.593,0.6705,1
2020-10-23 09:06:00,"KB Financial Group, 7 consecutive trading days in 3Q ↑",-1,0.0,0.0,1.0,0.0,0
2020-10-23 08:24:00,KB Finance achieves 3Q quarterly highest performance… Target price↑-BNK,1,0.0,0.0,1.0,0.0,0
2020-10-23 08:09:00,"KB Finance, dividend attractiveness on profit stability... Target price↑-raising",0,0.0,0.449,0.551,0.6908,1
2020-10-23 08:07:00,KB Financial Group's first 1 trillion net profit in 3Q… Top Pick in the Banking Industry-Meritz,-1,0.0,0.266,0.734,0.5719,1
2020-10-23 08:02:00,"KB Finance, quarterly net income of 1 trillion... Proof of excellent fundamentals.. Goal ↑-Korea",-1,0.0,0.236,0.764,0.5719,1
2020-10-23 07:58:00,KB Finance proves excellent fundamentals-Hantoo,0,0.0,0.481,0.519,0.5719,1
2020-10-23 07:37:00,"[Click e-Stock] ""KB Finance, Proving Excellent Fundamental... Target 10% ↑...",0,0.0,0.291,0.709,0.5719,1
2020-10-23 08:01:00,KB Financial to increase profits for the third consecutive year.,-1,0.0,0.394,0.606,0.6369,1
2020-10-22 18:02:00,“Earning Surprise” KB Finance achieves quarterly net profit of 1 trillion club,-1,0.0,0.225,0.775,0.4404,1
2020-10-22 17:53:00,"KB Finance's 3Q results, save amid corona... Dividend is conservative (total)",0,0.0,0.242,0.758,0.4939,1
2020-10-22 16:29:00,"KB Finance, 3Q net profit of 1,166.6 billion won... The largest ever in Corona 19 ...",-1,0.0,0.162,0.838,0.4404,1
2020-10-22 16:01:00,"KB Finance, net income of 1,166.6 billion won in the third quarter 18.8% ↑",-1,0.0,0.236,0.764,0.5719,1
2020-10-22 15:59:00,"'Benefit in the Corona' KB Finance, 3Q net income of 1.16 trillion won... compared to the previous year...",0,0.0,0.15,0.85,0.4588,1
2020-10-22 15:51:00,"(Comprehensive) KB Finance, 18.8% increase in net profits...",0,0.0,0.247,0.753,0.3182,1
2020-10-22 17:52:00,"KB Finance ""Aggressive dividend expansion this year is difficult..Intermediate dividend is too early""",-1,0.118,0.0,0.882,-0.1531,-1
