Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-29 15:00:00,"In addition, Amore and LG Household & Health Care are mixed with joy...",0,0.0,0.225,0.775,0.4939,1
2020-10-29 04:02:00,"[Hot Item] LG Household & Health Care'After Metonymy Herbal Serum', for younger skin... you...",0,0.0,0.0,1.0,0.0,0
2020-10-28 17:56:00,Dai-gung in the middle of sweeping'who'... LG Saeng-gun laughed and Amore cried in the third quarter,0,0.133,0.153,0.714,0.1027,1
2020-10-26 08:15:00,"LG Saeng-Geon, bottomed out thanks to'Whoo' and started rebounding-IBK",1,0.0,0.266,0.734,0.4404,1
2020-10-26 07:38:00,"[Click e-Event] ""LG Household & Health Care Begins to Recover Representative Channel and Hero Brand""",0,0.0,0.362,0.638,0.7783,1
2020-10-23 08:53:00,"LG Household & Health Care Method, Kitty Bunny Pony collaboration launched",0,0.0,0.37,0.63,0.5719,1
2020-10-23 08:45:00,"KB Securities ""LG H&H, operating profit growth of 13% next year...Stable growth period...",0,0.0,0.534,0.466,0.8519,1
2020-10-23 08:26:00,LG H&H's Chinese cosmetics duty-free performance surprise,0,0.0,0.259,0.741,0.2732,1
2020-10-23 08:23:00,"LG Saenggeon, good performance even in low season… Target price↑-instead of",1,0.15,0.207,0.643,0.2023,1
2020-10-23 07:43:00,"[Click e-Event] ""LG Household & Health Care, Expectations to Improve Performance in Cosmetics and Household Goods...",1,0.0,0.319,0.681,0.7269,1
2020-10-23 08:10:00,LG H&H's cosmetic performance improvement will accelerate-Hyundai Motor Securities,0,0.0,0.426,0.574,0.6369,1
2020-10-23 08:03:00,"LG H&H meets 3Q earnings consensus… ""Continue to improve physical fitness""-NH",0,0.0,0.225,0.775,0.4404,1
2020-10-22 18:27:00,LG Saenggeon is also the “chasukyong effect” New record breaking march even in Corona,-1,0.0,0.0,1.0,0.0,0
2020-10-22 17:21:00,LG Life Insurance 3Q sales of 2 trillion... New record rewritten,-1,0.0,0.0,1.0,0.0,0
2020-10-22 17:17:00,"LG Saeng-gun, who does not know'retreat', runs through corona",0,0.0,0.0,1.0,0.0,0
2020-10-22 14:29:00,"Cha Seok-yong who doesn't know'reverse' LG Life Insurance, operating profit increase for 62 consecutive quarters",-1,0.0,0.286,0.714,0.6369,1
2020-10-22 14:15:00,"[Breaking News] LG Household & Health Care, a new record in performance… 3Q sales record high",-1,0.0,0.198,0.802,0.4939,1
2020-10-22 13:56:00,'The power of luxury' LG Saeng-gun continues its highest performance march against Corona,1,0.0,0.0,1.0,0.0,0
2020-10-22 14:31:00,LG Saenggeon'Foo' sells 87.1 billion won worth in 11 minutes,-1,0.0,0.412,0.588,0.6808,1
2020-10-22 10:21:00,"LG Saenggeon'Foo','No.1' for pre-sale of beauty items in Gwanggunje",0,0.0,0.322,0.678,0.5859,1
2020-10-22 09:40:00,"After LG Life Insurance, sales of 87.1 billion won in 11 minutes",-1,0.0,0.252,0.748,0.5719,1
2020-10-22 14:21:00,"LG Household & Health Care, 62 consecutive quarters of growth… Record high",-1,0.0,0.242,0.758,0.4939,1
2020-10-22 14:06:00,"LG H&H, 3276 billion won in operating income 62 consecutive quarters of growth",-1,0.0,0.364,0.636,0.743,1
2020-10-22 13:42:00,"LG Household & Health Care, 62 consecutive quarters of growth despite bad coronavirus... ""Proven brand power...",-1,0.0,0.419,0.581,0.8248,1
2020-10-22 13:32:00,"LG H&H, profit growth in the 62nd quarter amid bad coronavirus",-1,0.206,0.324,0.471,0.25,1
2020-10-22 13:58:00,"'62 consecutive quarters of growth' LG H&H, stock price fell 3%",-1,0.0,0.206,0.794,0.3818,1
2020-10-22 13:23:00,"LG H&H, 3276 billion won in operating income 5.1% increase over the previous year",-1,0.0,0.333,0.667,0.7184,1
2020-10-22 13:21:00,"LG H&H, 3276 billion won in operating profit for the third quarter... an increase of 5.1% year-on-year",-1,0.0,0.389,0.611,0.836,1
2020-10-22 13:16:00,"LG H&H, 3276 billion won in operating income 5.1%↑",-1,0.0,0.316,0.684,0.5719,1
2020-10-21 17:33:00,"LG Saenggeon, Gwanggunje marketing in China... Sales of cosmetic sets such as Suom and Ohui",0,0.0,0.0,1.0,0.0,0
2020-10-21 10:21:00,"LG H&H, started marketing in China Will I enjoy special again this year?",1,0.0,0.371,0.629,0.7096,1
2020-10-21 15:25:00,It takes just 200 weeks for LG life... 'Tax Povia' hits the stock market,0,0.0,0.0,1.0,0.0,0
2020-10-21 10:05:00,LG H&H launches marketing targeting China's largest shopping season'Gwanggunje',0,0.0,0.0,1.0,0.0,0
2020-10-21 09:57:00,"LG H&H's biggest shopping season in China,'Gwanggunje' marketing starts in earnest",0,0.0,0.248,0.752,0.5106,1
2020-10-21 09:52:00,LG H&H's full-fledged marketing targeting China's'Gwanggunje',0,0.0,0.0,1.0,0.0,0
2020-10-20 17:56:00,LG Saenggeon sold 10 million units after 3 years of launching'Doctor Root',-1,0.0,0.0,1.0,0.0,0
2020-10-20 10:02:00,LG Household & Health Care Dr. Groot's cumulative sales exceeded 10 million units,-1,0.0,0.225,0.775,0.4939,1
2020-10-20 08:53:00,"LG Life Insurance Dr. Groot, sold 10 million units in 3 years after launch",-1,0.0,0.0,1.0,0.0,0
2020-10-20 11:21:00,LG Household & Health Care exceeded 10 million sales in 3 years when Dr.,-1,0.0,0.225,0.775,0.4939,1
2020-10-20 09:58:00,LG H&H's hair loss care'Dr.Groot' turned 10 million in 3 years...,-1,0.204,0.0,0.796,-0.3182,-1
2020-10-20 09:03:00,LG H&H's Dr. Groot surpassed 10 million sales,0,0.0,0.0,1.0,0.0,0
2020-10-15 08:22:00,"LG Household & Health Care, stable growth with'brand power'... Target price↑ -KB",0,0.0,0.5,0.5,0.7906,1
2020-10-15 08:18:00,"""LG Household & Health Care Prospects 3Q Earnings Consensus""-KB證",0,0.0,0.474,0.526,0.6597,1
2020-10-15 07:54:00,"[Click e-sector] ""LG Household & Health Care, 3Q earnings consensus outlook... Target...",0,0.0,0.242,0.758,0.4939,1
2020-10-14 09:42:00,LG H&H holds employee singing contest'Working Singer 2',0,0.0,0.0,1.0,0.0,0
2020-10-13 16:08:00,LG Saenggeon. Untact in-house contest with blockchain karaoke,0,0.0,0.0,1.0,0.0,0
2020-10-11 15:46:00,"LG Saeng-Geon, full-fledged targeting the US and European markets beyond China",0,0.0,0.0,1.0,0.0,0
2020-10-10 08:01:00,[Yuanta's weekly recommendation]'Stable profit and strength' LG Household & Health Care·CJ CheilJedang·Hanssem,1,0.0,0.404,0.596,0.7269,1
2020-10-07 17:27:00,LG Saeng-Geon launches online makeup brand'Glint by Vidi Bob',0,0.0,0.0,1.0,0.0,0
2020-10-07 14:11:00,LG Saeng-Geon launches online exclusive'Glint by Vidi Bob',0,0.0,0.0,1.0,0.0,0
2020-10-07 10:15:00,LG H&H launches online exclusive brand'Glint by Vidi Bob',0,0.0,0.158,0.842,0.128,1
2020-10-07 10:08:00,LG Saeng-Geon launches online exclusive brand'Glint by Vidi Bob',0,0.0,0.158,0.842,0.128,1
2020-10-07 09:54:00,LG H&H's online exclusive brand'Glint by Vidi Bob',0,0.0,0.176,0.824,0.128,1
2020-10-07 09:22:00,LG H&H launches online exclusive'Glint by Vidi Bob',0,0.0,0.0,1.0,0.0,0
2020-10-07 09:18:00,LG Saeng-Geon launches online-only makeup brand,0,0.0,0.0,1.0,0.0,0
2020-10-06 10:32:00,LG Saenggeon Unveiled'Isa Knox Age Focus Vitamin Ampoule,0,0.0,0.239,0.761,0.296,1
2020-10-06 09:10:00,LG Household & Health Care ISA KNOX launches Age Focus vitamin ampoule,0,0.0,0.375,0.625,0.6597,1
2020-10-06 08:48:00,[Market Briefing] LG H&H raises 30 billion won in corporate tax deposit,-1,0.0,0.252,0.748,0.5719,1
2020-10-06 08:08:00,LG H&H's 3Q earnings likely exceed expectations... Target price↑-NH,0,0.0,0.0,1.0,0.0,0
2020-10-06 08:01:00,"[Click e-event] ""LG Household & Health Care, earnings outlook'clear' in corona... target...",0,0.0,0.242,0.758,0.4939,1
2020-10-05 16:10:00,"[Features] LG H&H's share price rise rate of 3%, surpassing market growth",1,0.0,0.324,0.676,0.5859,1
2020-10-05 08:54:00,"""LG Household & Health Care, Cosmetics Division Profitability Improvement...",0,0.0,0.469,0.531,0.6486,1
2020-10-05 08:12:00,"LG Household & Health Care, Expected to Outperform Market Growth in 3rd and 4th Quarter-Meritz",1,0.0,0.326,0.674,0.7003,1
2020-10-05 08:03:00,LG H&H's overwhelming comparative advantage target is 12%↑-Meritz,0,0.0,0.222,0.778,0.25,1
2020-10-05 08:00:00,LG H&H pays attention to strengthening 3Q profit stability… Target price ↑-Meritz,1,0.0,0.379,0.621,0.7269,1
2020-10-05 07:58:00,"[Click e-sector] ""LG Household & Health Care Will Surpass Market Growth in 3Q""",1,0.0,0.367,0.633,0.7003,1
2020-10-04 10:09:00,LG H&H launches VDL'Lumi Layer Rosy Perfect Primer',1,0.0,0.346,0.654,0.5719,1
2020-09-29 09:04:00,LG Saenggeon Dr.Groot Addict 2 types of Olive Young launched,0,0.0,0.158,0.842,0.128,1
2020-09-29 09:00:00,"[Industry attack] Cosmetics, insurance, LG Household & Health Care",0,0.0,0.314,0.686,0.4939,1
2020-09-28 09:50:00,Cosmetics that increase the shade… Will only LG H&H and Cosmax laugh?,0,0.0,0.371,0.629,0.7096,1
2020-09-28 09:36:00,"LG Household & Health Care, unveiled'Hu Bicheop Yeonhyang Set'",0,0.0,0.314,0.686,0.4939,1
2020-09-28 09:28:00,"LG Saeng-Geon, unveiled a “Hu Bicheop Yeonhyang Set” containing “Flower Salmon”",0,0.0,0.0,1.0,0.0,0
2020-09-28 06:21:00,"[Recommended week for this week] ""Achievements Expectations"" ...Samsung Electronics·LG Household & Health Care·Hanssem·Kia Motors ...",0,0.0,0.0,1.0,0.0,0
2020-09-26 08:01:00,[Yuanta's weekly recommendation note]'Clear recovery tax' LG Household & Health Care·Hanssem·Comtus,0,0.0,0.0,1.0,0.0,0
2020-09-25 08:31:00,LG Household & Health Care Continues Solid Performance in 3Q-Hyundai Motor Company,0,0.0,0.348,0.652,0.5859,1
2020-09-25 08:07:00,LG H&H's solid results in the third quarter-Hyundai Motor Securities,0,0.0,0.322,0.678,0.4215,1
2020-09-25 08:19:00,"[Hot-Line] ""LG Household & Health Care, Emphasizing the Strength of Household Goods…Goal ↑""",1,0.0,0.39,0.61,0.7506,1
2020-09-25 07:50:00,"[Click e-Event] ""LG Household & Health Care, good household goods sector...target price 4.7%...",1,0.0,0.379,0.621,0.7269,1
2020-09-25 07:47:00,"LG Household & Health Care, cosmetics recovery, etc. 3Q operating profit is good… Target Price↑-Korea",1,0.0,0.337,0.663,0.7269,1
2020-09-24 04:03:00,"[Health] LG Household & Health Care gift set, anti-aging cosmetics'Sense' to mother",0,0.0,0.404,0.596,0.7269,1
2020-09-23 15:35:00,Lotte Chairman Shin Dong-bin recommended to executives of'Cha Seok-Yong's LG Life Success Story',0,0.0,0.333,0.667,0.6705,1
2020-09-22 09:18:00,"LG Saeng-gun, introduced VDL'Expert Multi Cover Tone Up Cushion'",0,0.0,0.0,1.0,0.0,0
2020-09-22 09:04:00,"LG Household & Health Care VDL, Tone Up Cushion released",0,0.0,0.286,0.714,0.4939,1
2020-09-21 17:22:00,"[Chuseok gift with plenty of sincerity] LG Saenggeon, skin health gift with'Ohhui' essence...",0,0.0,0.345,0.655,0.7003,1
2020-09-21 08:41:00,"LG H&H, China's cosmetics sales are growing rapidly... Target is 1.8 million",-1,0.0,0.134,0.866,0.1779,1
2020-09-20 13:09:00,LG Life Insurance CNP Social Contribution Activities “Skin Health Campaign”,0,0.0,0.0,1.0,0.0,0
2020-09-18 08:54:00,"LG H&H, rich earnings momentum target 7.4%↑-KTB",0,0.0,0.375,0.625,0.5574,1
2020-09-18 08:04:00,LG H&H expects Chinese cosmetics market to recover… Target price↑-KTB,0,0.0,0.0,1.0,0.0,0
2020-09-12 08:54:00,LG H&H to continue stable earnings in 3Q,0,0.0,0.239,0.761,0.296,1
2020-09-11 08:34:00,LG H&H's 3Q earnings outlook is'clear'-instead,0,0.0,0.0,1.0,0.0,0
2020-09-10 09:31:00,"LG Household & Health Care, unveiled Huwanyu Herb Serum",0,0.0,0.314,0.686,0.4939,1
2020-09-09 09:29:00,LG H&H launches Suom37° Time Energy renewal,0,0.0,0.259,0.741,0.2732,1
2020-09-09 09:16:00,"LG Household & Health Care, 3Q operating profit to increase… Target price ↑-Yuan hit",0,0.0,0.357,0.643,0.7269,1
2020-09-09 08:33:00,"LG Household & Health Care, increasing demand for hygiene products...Target price ↑-Yuanta Securities",0,0.094,0.34,0.566,0.5994,1
2020-09-09 08:03:00,[Click e-sector] Chinese cosmetics demand recovery... 3Q Bright LG H&H,0,0.121,0.234,0.645,0.34,1
2020-09-09 07:59:00,LG H&H's operating profit to increase in 3Q… Target price ↑-Yuan hit,0,0.0,0.342,0.658,0.6369,1
2020-09-08 10:02:00,"LG H&H, the industry's first shared growth index'best' for 6 consecutive years",0,0.0,0.357,0.643,0.6124,1
2020-09-08 10:02:00,"LG H&H, the industry's first shared growth index'best' for 6 consecutive years",0,0.0,0.357,0.643,0.6124,1
2020-09-08 09:46:00,"LG H&H, the industry's first win-win growth index for 6 consecutive years",0,0.0,0.206,0.794,0.3818,1
2020-09-08 09:37:00,"LG H&H, selected as “Best” in the industry's first shared growth index for 6 consecutive years",0,0.0,0.278,0.722,0.6124,1
2020-09-06 16:52:00,"LG Saenggeon, belif’s skin moisturizing “moisturizing bomb” edition",0,0.0,0.0,1.0,0.0,0
2020-09-06 10:10:00,"LG Saeng-Geon, our family keeper introduced a'sanitary product gift set'",0,0.0,0.244,0.756,0.4404,1
2020-09-04 09:36:00,LG H&H launches'Hu Bicheop Jaseng Essence Special Edition',0,0.0,0.278,0.722,0.4019,1
2020-09-04 09:31:00,"After LG H&H, launched a limited edition of Bicheop Jaseng Essence",0,0.167,0.132,0.702,-0.1027,-1
2020-09-03 13:48:00,LG Saenggeon Belif'Moisturizing Balm Jumbo Game Edition' released,0,0.0,0.0,1.0,0.0,0
2020-09-01 13:18:00,"LG Saenggeon, presented a Yehwadam “Hwansaenggo Boyoon Elegant Set” for Chuseok",0,0.0,0.256,0.744,0.4767,1
2020-09-01 09:33:00,LG H&H launches Yehwadam Hwansaenggo Boyun class set,0,0.0,0.0,1.0,0.0,0
2020-09-01 09:16:00,LG H&H launches Yehwadam'Hwansaenggo Boyun Class Set',0,0.0,0.0,1.0,0.0,0
2020-08-31 11:16:00,"LG H&H, unveiled Summa Elixir 8-miracle power essence",0,0.0,0.0,1.0,0.0,0
2020-08-29 08:01:00,[Yuanta's weekly recommendation]'Expected to expand market share'... Samsung Electronics·LG Chemical·LG Students...,0,0.0,0.187,0.813,0.3182,1
2020-08-28 10:13:00,LG H&H launches CNP Cha&Park Cosmetic'Retinal DX™ Treatment',0,0.0,0.0,1.0,0.0,0
2020-08-28 09:46:00,"LG Saeng-Geon, CNP Cha & Park Unveiled'Retinal DX™ Treatment'",0,0.0,0.0,1.0,0.0,0
2020-08-26 11:05:00,LG Household & Health Care launches luxury hair essence'Silk Therapy Classic',0,0.0,0.262,0.738,0.4939,1
2020-08-26 10:54:00,"LG Household & Health Care Silk Therapy, launched'Silk Therapy Classic'",0,0.0,0.286,0.714,0.4939,1
2020-08-26 09:32:00,LG Household & Health Care launches Silk Therapy Classic,0,0.0,0.314,0.686,0.4939,1
2020-08-26 09:09:00,"LG Saenggeon Silk Therapy, unveiled'Silk Therapy Classic' with retro sensibility",0,0.0,0.0,1.0,0.0,0
2020-08-20 15:36:00,"LG Saenggeon shares of'Hwangjeju' will be able to buy only 10,000 won worth",0,0.0,0.438,0.562,0.7783,1
2020-08-20 04:03:00,'Pharmacy cosmetics' global popularity... LG Life Insurance to preoccupy the 90 trillion market,-1,0.0,0.0,1.0,0.0,0
2020-08-19 17:30:00,LG Saeng-gun recruits college student reporters for'Leaning Earth School',0,0.0,0.0,1.0,0.0,0
2020-08-15 08:01:00,"[Yuanta's weekly recommended stock] ""Increase in the value of the holdings""...Samsung Electronics, Samsung C&T, LG...",0,0.0,0.351,0.649,0.6705,1
2020-08-15 08:00:00,"Beauty'Yeon Bong King', Cha Suk-yong, Vice Chairman of LG Life Insurance",0,0.0,0.0,1.0,0.0,0
2020-08-14 19:00:00,"Cosmetics'Annual Salary King' Cha Suk-yong, Vice Chairman of LG Saenggeon, received 3 billion won in the first half",-1,0.0,0.188,0.812,0.5719,1
2020-08-14 18:05:00,"Beauty annual salary king, Cha Suk-yong, vice chairman of LG Saenggeon, received 3 billion won in the first half",-1,0.0,0.319,0.681,0.8176,1
2020-08-13 17:53:00,[Bull&Bear]'Sunny' in the second half due to the Chinese effect of LG Life Insurance,0,0.0,0.0,1.0,0.0,0
2020-08-12 14:33:00,LG H&H's Master Blend of Elastin '20 Years of History' Released,0,0.0,0.0,1.0,0.0,0
2020-08-12 10:47:00,"LG Household & Health Care Elastin,'Master Blend' launched",0,0.0,0.485,0.515,0.5719,1
2020-08-12 10:45:00,"LG Household & Health Care Elastin, unveiled Master Blend",0,0.0,0.314,0.686,0.4939,1
2020-08-11 15:50:00,Large stocks moving like KOSDAQ... LG Household & Health Care & KEPCO,0,0.0,0.416,0.584,0.6908,1
2020-08-11 11:28:00,"[Features] LG Saeng-Geon, 52 weeks report due to foreigners...",0,0.0,0.0,1.0,0.0,0
2020-08-11 10:51:00,"[itM] LG Household & Health Care, 52 weeks report... Over 1.6 million won during the week",-1,0.0,0.347,0.653,0.7845,1
2020-08-11 11:27:00,"LG H&H, soaring 9% in foreign purchase Over 1.6 million won during the week",-1,0.0,0.222,0.778,0.5719,1
2020-08-11 10:06:00,"[Features] LG Household & Health Care, 7% increase in foreigner purchases... Six days bullish",0,0.0,0.333,0.667,0.6705,1
2020-08-10 10:59:00,"LG Saenggeon Belif,'Stress Shooter-Cica Balm Cushion' for sensitive skin...",-1,0.0,0.0,1.0,0.0,0
2020-08-10 09:46:00,LG Household & Health Care Belif Launches Stress Shooter Cica Balm Cushion,-1,0.187,0.213,0.6,0.1027,1
2020-08-08 08:01:00,[Yuanta's weekly recommendation]'Possibility of rebound is valid'... Samsung Electronics·LG Innotek·LG Life...,1,0.0,0.0,1.0,0.0,0
2020-08-07 11:39:00,Fire at partner companies for 30 years… LG H&H's Arm Walk and Help Story,0,0.14,0.158,0.702,0.0772,0
2020-08-07 10:03:00,Let's fire on our partners for 30 years... LG H&H's arms walk'all defense support',0,0.136,0.239,0.625,0.2023,1
2020-08-07 06:04:00,[Distribution match] Amorepacific vs. LG Household & Health Care… Heaviness mixed with corona,0,0.0,0.0,1.0,0.0,0
2020-08-06 09:53:00,"LG H&H's Breath 37°, art collaboration'Golden Moon Edition' released",0,0.0,0.0,1.0,0.0,0
