Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 09:52:00,LG Electronics expected to surpass 3 trillion won for the first time in this year's operating profit history,0,0.0,0.306,0.694,0.765,1
2020-10-30 17:50:00,"LG Electronics, the highest performance in the third quarter of history… ""Home appliances and TV doubles with the pent-up effect"" (...",1,0.0,0.0,1.0,0.0,0
2020-10-30 17:38:00,LG Electronics surpassed 2 trillion won in sales profits for household appliances,0,0.0,0.423,0.577,0.765,1
2020-10-30 16:26:00,"Dragging new home appliances and pushing TV... LG Electronics, the highest performance in the third quarter of all time (total)",0,0.0,0.0,1.0,0.0,0
2020-10-30 17:32:00,Home appliances·TV 3rd quarter'Burnty'... LG Electronics' annual 3 trillion operating profits,-1,0.0,0.244,0.756,0.4404,1
2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1
2020-10-30 17:21:00,"Home appliances and TV twins… LG Electronics, 3Q profit nearing 1 trillion",0,0.0,0.225,0.775,0.4404,1
2020-10-30 16:19:00,"LG Electronics' annual profit breaks through 3 trillion for the first time,'counter reading'… 3Q operating profit 959 billion",-1,0.0,0.279,0.721,0.7003,1
2020-10-30 16:06:00,"LG Electronics' home appliance sales exceeded 2 trillion won... Sales, operating profit in the third quarter of all time...",-1,0.0,0.146,0.854,0.4404,1
2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1
2020-10-30 15:56:00,"LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)",-1,0.0,0.172,0.828,0.4404,1
2020-10-30 15:56:00,"LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)",-1,0.0,0.172,0.828,0.4404,1
2020-10-30 17:10:00,"[Concall] LG Electronics ""Developing a new light source with ZKW for vehicle lamp competitiveness""",0,0.0,0.0,1.0,0.0,0
2020-10-30 17:02:00,"""Developing new light sources with ZKW, seeking new orders in cooperation with OEM companies""-...",0,0.0,0.0,1.0,0.0,0
2020-10-30 17:06:00,"[Overall] LG Electronics, which recorded the highest performance in the third quarter in 11 years, survived the corona crisis...",1,0.0,0.155,0.845,0.5106,1
2020-10-30 16:28:00,LG Electronics surpassed KRW 2 trillion in accumulated operating profit... 3rd quarter record high performance (total),0,0.0,0.0,1.0,0.0,0
2020-10-30 16:01:00,"[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...",0,0.0,0.182,0.818,0.4404,1
2020-10-30 15:45:00,"LG Electronics, 3Q operating profit approaching 1 trillion won... The largest ever (2 steps)",-1,0.0,0.195,0.805,0.4404,1
2020-10-30 17:01:00,"[Concall] LG Electronics ""I'm used to LCD panel price fluctuations... to respond to the situation...",0,0.0,0.0,1.0,0.0,0
2020-10-30 16:55:00,"""LCD panel price rises until this year, declines or maintains next year""-LG Electronics...",0,0.0,0.0,1.0,0.0,0
2020-10-30 16:58:00,"[Concall] LG Electronics ""Facility investment in 2021, similar to this year's 2 trillion won""",-1,0.0,0.236,0.764,0.5719,1
2020-10-30 16:44:00,"""In the middle of 2 trillion won, similar to this year's facility investment for next year""-LG Electronics Concall",-1,0.0,0.188,0.812,0.5719,1
