Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-29 16:16:00,SKT wins global award for 5G MEC,1,0.0,0.59,0.41,0.802,1
2020-10-29 09:39:00,SKT wins global awards for 5G technology,1,0.0,0.573,0.427,0.7717,1
2020-10-29 10:07:00,"SKT, the first in the industry to introduce a verbal AI consultation service'voice bot'",0,0.0,0.0,1.0,0.0,0
2020-10-28 16:14:00,"SBI Savings-KCB-SKT, Voice Phishing Prevention'Safe Transfer Service'",0,0.0,0.0,1.0,0.0,0
2020-10-28 15:22:00,SBI Savings Bank and KCB and SKT to launch'Secure Transfer Service',0,0.0,0.0,1.0,0.0,0
2020-10-28 11:44:00,SKT uses ICT to demonstrate the effect of reducing greenhouse gas emissions for electric vehicles,-1,0.0,0.0,1.0,0.0,0
2020-10-28 10:18:00,"SKT, GHG reduction demonstration project with electric vehicles",0,0.0,0.167,0.833,0.1027,1
2020-10-28 09:23:00,SK Rent-A-Car and SKT and Softberry cooperate with “electric vehicle GHG reduction demonstration”,0,0.0,0.0,1.0,0.0,0
2020-10-27 18:09:00,"""Experience future ICT""... SKT'T Factory' in Hongdae",0,0.0,0.0,1.0,0.0,0
2020-10-27 16:14:00,"SK Telecom opens'T Factory', a cultural and innovative technology experience center",0,0.0,0.244,0.756,0.4404,1
2020-10-27 14:59:00,SKT opens ICT Multiplex T Factory… Presenting the future vision,0,0.0,0.2,0.8,0.25,1
2020-10-27 10:03:00,"“Unmanned stores 24 hours a day, 365 days a year”… Opened the SKT complex cultural space'T Factory'",0,0.0,0.0,1.0,0.0,0
2020-10-27 10:01:00,“From sign-up to phone opening 24 hours untouched” SKT's new attempt,0,0.0,0.0,1.0,0.0,0
2020-10-27 17:33:00,SKT took off the image of a mobile operator and wore advanced technology...,0,0.0,0.154,0.846,0.25,1
2020-10-27 14:29:00,"SKT President Park Jung-ho ""Not SK Telecom's T, Technology, Tomorrow's ...",0,0.0,0.0,1.0,0.0,0
2020-10-27 12:52:00,SKT's new sign... You can see it by looking at “T Factory”.,0,0.0,0.0,1.0,0.0,0
2020-10-27 10:53:00,SKT innovation experiment… Opening of ICT theme park'T Factory',0,0.0,0.245,0.755,0.3818,1
2020-10-27 04:03:00,Fink and SKT and 産銀 to launch'up to 5%' savings,0,0.0,0.0,1.0,0.0,0
2020-10-26 17:45:00,SKT leads the recycling of communication equipment with partners,0,0.0,0.0,1.0,0.0,0
2020-10-26 09:35:00,"SKT ""Antenna recycling...reducing plastic waste by 30 tons a year",0,0.259,0.0,0.741,-0.4215,-1
2020-10-26 17:12:00,"[Exclusive] ""Toss Pay, SKT mobile phone identification NO"" What about SKT-Tos...",0,0.325,0.0,0.675,-0.516,-1
2020-10-26 16:13:00,SK Telecom succeeds in recycling and recycling radomes,1,0.0,0.314,0.686,0.4939,1
2020-10-26 09:00:00,"SK Telecom cuts antenna plastic, reducing PET 1 million",-1,0.239,0.0,0.761,-0.296,-1
2020-10-26 15:35:00,Telcoware and SK Telecom signed a contract worth 3.7 billion won,-1,0.0,0.412,0.588,0.6808,1
2020-10-26 11:03:00,"Checking the fire alarm on your phone... SKT,'Fire Response Solution' Business Agreement",0,0.262,0.301,0.437,0.1779,1
2020-10-26 10:36:00,Analyze fire risk data and block it.SKT builds an automatic fire extinguishing system,-1,0.521,0.0,0.479,-0.8316,-1
2020-10-26 08:59:00,SKT to present'fire response solution' in partnership with a company specializing in fire extinguishing equipment,0,0.144,0.138,0.719,-0.0258,0
2020-10-26 06:49:00,[Kim Dae-sung's stock analysis] Similarities and differences in the physical division of LG Chem and SK Telecom...,-1,0.0,0.0,1.0,0.0,0
2020-10-25 17:39:00,SKT'Smart Keeper' Support for disabled workers to commute,0,0.0,0.278,0.722,0.4019,1
2020-10-25 13:50:00,SKT's'Smart Keeper' helps workers with disabilities go to work safely,0,0.0,0.42,0.58,0.7003,1
2020-10-25 13:44:00,SKT's'Smart Keeper' helps workers with disabilities to commute safely,0,0.0,0.453,0.547,0.7003,1
