Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-29 17:43:00,Samsung Electronics Kang Ho-gyu · SK Hynix Kim Jin-guk'Silver Tower Industrial Medal',0,0.0,0.237,0.763,0.4767,1
2020-10-29 17:27:00,"Seok-hee Lee, President of SK Hynix",0,0.0,0.0,1.0,0.0,0
2020-10-29 17:09:00,"""Intel NAND acquisition is 10 trillion not expensive""... SK hynix's president reveals his confidence",-1,0.0,0.202,0.798,0.5106,1
2020-10-29 17:01:00,"Lee Seok-hee, president of SK Hynix, ""I don't sell the stake in Kioxia right now""",0,0.0,0.0,1.0,0.0,0
2020-10-29 16:17:00,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,0,0.0,0.453,0.547,0.7003,1
2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1
2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1
2020-10-29 11:33:00,"SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...",-1,0.143,0.0,0.857,-0.3612,-1
2020-10-29 11:33:00,"SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...",-1,0.143,0.0,0.857,-0.3612,-1
2020-10-26 14:51:00,"NH Investment & Securities ""How are Samsung Electronics and SK Hynix?"" Semiconductor emergency inspection",0,0.139,0.327,0.534,0.5473,1
2020-10-26 10:50:00,[Market Insight] A new Korean company concerned about SK Hynix's'big bets',-1,0.0,0.0,1.0,0.0,0
2020-10-25 11:48:00,[Weekly HOT Stock] SK Hynix acquires Intel NAND... Individuals are'lions',0,0.0,0.0,1.0,0.0,0
2020-10-25 11:14:00,"'SK Hynix', No. 1 in net selling by foreigners during the KOSPI week",0,0.167,0.0,0.833,-0.296,-1
2020-10-25 10:46:00,SK Hynix acquires Intel NAND business... Resolving oversupply of semiconductors,0,0.0,0.224,0.776,0.3818,1
2020-10-25 07:45:00,"Foreigners,'lion' for 3 consecutive weeks... Samsung Electronics accident and SK Hynix sales",-1,0.237,0.0,0.763,-0.4767,-1
2020-10-24 17:50:00,"""SK Hynix bought it expensive""... Was it a'rippy' to Intel in the US",0,0.0,0.0,1.0,0.0,0
2020-10-23 17:34:00,"[Market Insight Exclusive] ""Let's use a little more""… Intel, SK Hynix'Optane'...",0,0.0,0.0,1.0,0.0,0
2020-10-23 10:25:00,"Despite favorable stock prices, stock prices weakened for 4 consecutive days... SK Hynix, after acquiring Intel in the US...",-1,0.233,0.0,0.767,-0.5932,-1
2020-10-23 10:02:00,Supplied'Icheon Daewol High City' to SK Hynix's direct proximity apartment,0,0.0,0.0,1.0,0.0,0
2020-10-23 09:31:00,Opened the promotion hall for the apartment “Icheon University High City” near SK Hynix,0,0.0,0.0,1.0,0.0,0
2020-10-23 04:03:00,[Financial technology seen through big data] While Big Hit is slowing down... The market's eye is SK Hynix...,-1,0.0,0.0,1.0,0.0,0
2020-10-22 17:45:00,"[Exclusive] Lee Seok-hee, CEO of SK Hynix, ""Acquiring Intel NAND is not expensive...",0,0.0,0.0,1.0,0.0,0
2020-10-22 15:34:00,[Marketer] Han Shinpyeong “Acquired SK Hynix Intel NAND… The credit is somewhat negative”,-1,0.0,0.178,0.822,0.3818,1
2020-10-22 06:01:00,[Market Insight] SK Hynix passes'combination examination' after acquisition of Intel memory...,0,0.0,0.0,1.0,0.0,0
2020-10-22 05:40:00,SK Hynix's bankbook balance of 5 trillion won,-1,0.0,0.381,0.619,0.5719,1
2020-10-21 19:10:00,[Signal] '10兆 Big Deal' Conflicting Prospects for Global Credit Rating Companies in SK Hynix,-1,0.146,0.259,0.595,0.2732,1
2020-10-21 17:56:00,Was '10 trillion' excessive in the acquisition of Intel SK Hynix shares fell 3% for two days,-1,0.0,0.121,0.879,0.296,1
2020-10-21 17:35:00,"S&P ""SK Hynix acquires Intel's NAND division…positive for credit rating""",0,0.0,0.224,0.776,0.3818,1
2020-10-21 17:10:00,"[Market Inn] S&P ""SK Hynix acquires Intel's NAND division'positive'""",0,0.0,0.0,1.0,0.0,0
2020-10-21 14:52:00,"[Signal] S&P ""SK Hynix is ​​positive about the creditworthiness of acquiring Intel memory chip...",0,0.0,0.182,0.818,0.4404,1
2020-10-21 11:20:00,"SK Hynix, mixed feelings of acquiring Intel NAND",0,0.0,0.0,1.0,0.0,0
2020-10-21 18:25:00,"SK hynix, Happy Moa, established a bakery factory for the disabled",0,0.0,0.291,0.709,0.5719,1
2020-10-21 15:20:00,SK Hynix's'Why' to build a 30 billion-invested bread factory,-1,0.0,0.0,1.0,0.0,0
2020-10-21 15:02:00,SK hynix builds a bakery factory to expand employment for the disabled,0,0.0,0.187,0.813,0.3182,1
2020-10-21 15:01:00,SK hynix creates a'bakery factory' to expand employment for the disabled,0,0.0,0.328,0.672,0.5267,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 16:06:00,"[Signal] 4兆 cash only...SK Hynix, independent intel without Intel memory FI...",-1,0.0,0.0,1.0,0.0,0
2020-10-21 08:31:00,SK Hynix acquires Intel NAND business'win-win' deal-KB,1,0.0,0.0,1.0,0.0,0
2020-10-21 06:00:00,"SK Hynix, the Intel NAND business, quickly ranked second in the global market",0,0.0,0.0,1.0,0.0,0
2020-10-21 15:49:00,SK hynix realizes social values ​​by establishing a bakery factory for the disabled,0,0.0,0.197,0.803,0.4019,1
2020-10-21 14:42:00,SK Hynix plunges every day... Pay for the acquisition fund?,0,0.135,0.0,0.865,-0.1027,-1
2020-10-21 14:06:00,“10 trillion won is a bit expensive” SK Hynix shares in the second day,-1,0.0,0.349,0.651,0.7096,1
2020-10-21 09:04:00,"""SK Hynix acquires Intel NAND to improve mid- to long-term profitability.""",0,0.0,0.225,0.775,0.4404,1
2020-10-21 08:51:00,SK Hynix acquires Intel NAND... Profitability improvement prospects-Hanwha,0,0.0,0.459,0.541,0.6249,1
2020-10-21 08:19:00,SK Hynix's acquisition of Intel NAND is an investment for the future-instead of,0,0.0,0.0,1.0,0.0,0
2020-10-21 11:21:00,SK Hynix announces '10 trillion deal'...Market response in positive evaluation'cold and cold',-1,0.0,0.247,0.753,0.5574,1
2020-10-21 10:00:00,"SK Hynix's 10 trillion betting, market reaction is'cold and cold'",-1,0.0,0.0,1.0,0.0,0
2020-10-21 09:29:00,"SK Hynix's '10 trillion deal' weakened for the second day, mostly foreign sales",-1,0.161,0.0,0.839,-0.3182,-1
2020-10-21 09:11:00,[Issue Time] What is the situation in SK Hynix's 10 trillion big deal with Intel NAND?,-1,0.0,0.0,1.0,0.0,0
2020-10-29 17:43:00,Samsung Electronics Kang Ho-gyu · SK Hynix Kim Jin-guk'Silver Tower Industrial Medal',0,0.0,0.237,0.763,0.4767,1
2020-10-29 17:27:00,"Seok-hee Lee, President of SK Hynix",0,0.0,0.0,1.0,0.0,0
2020-10-29 17:09:00,"""Intel NAND acquisition is 10 trillion not expensive""... SK hynix's president reveals his confidence",-1,0.0,0.202,0.798,0.5106,1
2020-10-29 17:01:00,"Lee Seok-hee, president of SK Hynix, ""I don't sell the stake in Kioxia right now""",0,0.0,0.0,1.0,0.0,0
2020-10-29 16:17:00,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,0,0.0,0.453,0.547,0.7003,1
2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1
2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1
2020-10-29 11:33:00,"SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...",-1,0.143,0.0,0.857,-0.3612,-1
2020-10-29 11:33:00,"SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...",-1,0.143,0.0,0.857,-0.3612,-1
2020-10-26 14:51:00,"NH Investment & Securities ""How are Samsung Electronics and SK Hynix?"" Semiconductor emergency inspection",0,0.139,0.327,0.534,0.5473,1
2020-10-29 11:33:00,"SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...",-1,0.143,0.0,0.857,-0.3612,-1
2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1
2020-10-26 14:51:00,"NH Investment & Securities ""How are Samsung Electronics and SK Hynix?"" Semiconductor emergency inspection",0,0.139,0.327,0.534,0.5473,1
2020-10-26 10:50:00,[Market Insight] A new Korean company concerned about SK Hynix's'big bets',-1,0.0,0.0,1.0,0.0,0
2020-10-25 11:48:00,[Weekly HOT Stock] SK Hynix acquires Intel NAND... Individuals are'lions',0,0.0,0.0,1.0,0.0,0
2020-10-25 11:14:00,"'SK Hynix', No. 1 in net selling by foreigners during the KOSPI week",0,0.167,0.0,0.833,-0.296,-1
2020-10-25 10:46:00,SK Hynix acquires Intel NAND business... Resolving oversupply of semiconductors,0,0.0,0.224,0.776,0.3818,1
2020-10-25 07:45:00,"Foreigners,'lion' for 3 consecutive weeks... Samsung Electronics accident and SK Hynix sales",-1,0.237,0.0,0.763,-0.4767,-1
2020-10-24 17:50:00,"""SK Hynix bought it expensive""... Was it a'rippy' to Intel in the US",0,0.0,0.0,1.0,0.0,0
2020-10-23 17:34:00,"[Market Insight Exclusive] ""Let's use a little more""… Intel, SK Hynix'Optane'...",0,0.0,0.0,1.0,0.0,0
2020-10-23 10:25:00,"Despite favorable stock prices, stock prices weakened for 4 consecutive days... SK Hynix, after acquiring Intel in the US...",-1,0.233,0.0,0.767,-0.5932,-1
2020-10-23 10:02:00,Supplied'Icheon Daewol High City' to SK Hynix's direct proximity apartment,0,0.0,0.0,1.0,0.0,0
2020-10-23 09:31:00,Opened the promotion hall for the apartment “Icheon University High City” near SK Hynix,0,0.0,0.0,1.0,0.0,0
2020-10-23 04:03:00,[Financial technology seen through big data] While Big Hit is slowing down... The market's eye is SK Hynix...,-1,0.0,0.0,1.0,0.0,0
2020-10-22 17:45:00,"[Exclusive] Lee Seok-hee, CEO of SK Hynix, ""Acquiring Intel NAND is not expensive...",0,0.0,0.0,1.0,0.0,0
2020-10-22 15:34:00,[Marketer] Han Shinpyeong “Acquired SK Hynix Intel NAND… The credit is somewhat negative”,-1,0.0,0.178,0.822,0.3818,1
2020-10-22 06:01:00,[Market Insight] SK Hynix passes'combination examination' after acquisition of Intel memory...,0,0.0,0.0,1.0,0.0,0
2020-10-22 05:40:00,SK Hynix's bankbook balance of 5 trillion won,-1,0.0,0.381,0.619,0.5719,1
2020-10-21 19:10:00,[Signal] '10兆 Big Deal' Conflicting Prospects for Global Credit Rating Companies in SK Hynix,-1,0.146,0.259,0.595,0.2732,1
2020-10-21 17:56:00,Was '10 trillion' excessive in the acquisition of Intel SK Hynix shares fell 3% for two days,-1,0.0,0.121,0.879,0.296,1
2020-10-21 17:35:00,"S&P ""SK Hynix acquires Intel's NAND division…positive for credit rating""",0,0.0,0.224,0.776,0.3818,1
2020-10-21 17:10:00,"[Market Inn] S&P ""SK Hynix acquires Intel's NAND division'positive'""",0,0.0,0.0,1.0,0.0,0
2020-10-21 14:52:00,"[Signal] S&P ""SK Hynix is ​​positive about the creditworthiness of acquiring Intel memory chip...",0,0.0,0.182,0.818,0.4404,1
2020-10-21 11:20:00,"SK Hynix, mixed feelings of acquiring Intel NAND",0,0.0,0.0,1.0,0.0,0
2020-10-21 18:25:00,"SK hynix, Happy Moa, established a bakery factory for the disabled",0,0.0,0.291,0.709,0.5719,1
2020-10-21 15:20:00,SK Hynix's'Why' to build a 30 billion-invested bread factory,-1,0.0,0.0,1.0,0.0,0
2020-10-21 15:02:00,SK hynix builds a bakery factory to expand employment for the disabled,0,0.0,0.187,0.813,0.3182,1
2020-10-21 15:01:00,SK hynix creates a'bakery factory' to expand employment for the disabled,0,0.0,0.328,0.672,0.5267,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 15:00:00,"SK hynix expands employment for the disabled, supports self-reliance by building a bakery factory",0,0.0,0.262,0.738,0.4404,1
2020-10-21 16:06:00,"[Signal] 4兆 cash only...SK Hynix, independent intel without Intel memory FI...",-1,0.0,0.0,1.0,0.0,0
2020-10-21 08:31:00,SK Hynix acquires Intel NAND business'win-win' deal-KB,1,0.0,0.0,1.0,0.0,0
2020-10-21 06:00:00,"SK Hynix, the Intel NAND business, quickly ranked second in the global market",0,0.0,0.0,1.0,0.0,0
2020-10-21 17:56:00,Was '10 trillion' excessive in the acquisition of Intel SK Hynix shares fell 3% for two days,-1,0.0,0.121,0.879,0.296,1
