Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-30 10:13:00,"[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 06:03:00,Samsung SDI bids 30 trillion won for Hyundai Motor battery business Samsung-Hyundai Motors Millwall Era,-1,0.0,0.209,0.791,0.5719,1
2020-10-28 08:57:00,"[Today's target price] Samsung SDI, Hyundai Steel, and Huvitz'performance momentum'... eye level...",0,0.0,0.0,1.0,0.0,0
2020-10-28 08:31:00,"“Samsung SDI, profit improvement will accelerate”-Hanwha Investment & Securities",0,0.0,0.618,0.382,0.7964,1
2020-10-28 07:34:00,"Samsung SDI, 3Q sales record highest... Remarkable growth potential of medium and large batteries-NH",1,0.0,0.341,0.659,0.7351,1
2020-10-28 08:01:00,"Samsung SDI, 4Q mid-to-large-sized batteries to grow significantly… 'Buy' at adjustment-Yuan...",0,0.326,0.0,0.674,-0.7034,-1
2020-10-28 07:58:00,"Samsung SDI, 4Q auto battery expected to turn profitable",0,0.328,0.197,0.475,-0.4466,-1
2020-10-28 07:31:00,"[Click e-sector] ""Samsung SDI, expects to turn surplus in car battery... Shares turn right...",0,0.0,0.145,0.855,0.296,1
2020-10-27 17:24:00,Samsung SDI's third quarter sales of 3.87 trillion won'the largest ever',-1,0.0,0.0,1.0,0.0,0
2020-10-27 15:12:00,"Battery profit improvement..Samsung SDI, 3 trillion in sales in the third quarter,'maximum'",-1,0.0,0.225,0.775,0.4404,1
2020-10-27 14:22:00,Samsung SDI's stock price is also strong on'surprising performance' of strong battery,1,0.0,0.398,0.602,0.765,1
2020-10-27 14:19:00,"Samsung SDI, 3Q operating profit of 2674 billion won... 'Battery business good'",0,0.0,0.367,0.633,0.7003,1
2020-10-27 13:47:00,"Samsung SDI recorded the highest quarterly sales..""Achieved the old battery BEP""",1,0.0,0.0,1.0,0.0,0
2020-10-27 15:04:00,"Samsung SDI, donated 600 million won to Samsung Life Insurance Foundation",-1,0.0,0.27,0.73,0.5719,1
2020-10-27 15:02:00,"Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% increase over the previous year",-1,0.0,0.302,0.698,0.6369,1
2020-10-27 13:56:00,"Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% year-on-year↑",-1,0.0,0.244,0.756,0.4404,1
2020-10-27 15:00:00,"Quietly in'mourning'... Samsung SDI, the highest sales ever",1,0.0,0.0,1.0,0.0,0
2020-10-27 13:44:00,Samsung SDI on a European electric car... 'Quiet room performance',0,0.0,0.0,1.0,0.0,0
