Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-30 09:36:00,"""Samsung C&T stock lion""... On the day of Lee Kun-hee's death, a couple’s conversation [Here...",0,0.231,0.0,0.769,-0.5994,-1
2020-10-29 16:00:00,[Market Insight] Samsung C&T issuing corporate bonds in 3 years… KRW 250 billion raised,-1,0.0,0.0,1.0,0.0,0
2020-10-29 11:01:00,Samsung C&T Junji collaborates with global sports brand Reebok,0,0.0,0.0,1.0,0.0,0
2020-10-29 08:07:00,"""Samsung C&T's corporate governance structure is an opportunity to resolve undervaluation""-IBK Investment & Securities",0,0.0,0.432,0.568,0.765,1
2020-10-29 06:59:00,[Kim Dae-sung's Stock Analysis] Why Samsung C&T continues to decline after a surge in stock prices?,0,0.0,0.0,1.0,0.0,0
2020-10-28 09:05:00,"Samsung C&T Construction, quarterly sales profitability of 3 trillion won in one year stagnated",-1,0.0,0.345,0.655,0.7003,1
2020-10-28 09:01:00,"[Hot-Line] ""Samsung C&T to improve profits when corona 19 calms down""",0,0.0,0.503,0.497,0.7964,1
2020-10-28 08:51:00,Samsung C&T to reduce the role of corporate governance reform-Yuanta,0,0.0,0.0,1.0,0.0,0
2020-10-28 08:10:00,Samsung C&T's 3Q results are expected to reduce the role of governance restructuring-Yuanta,0,0.0,0.0,1.0,0.0,0
2020-10-28 08:08:00,"Samsung C&T, ESG management declaration... Mid- to long-term growth expectations-Eugene",0,0.0,0.224,0.776,0.3818,1
2020-10-28 07:49:00,"[Click e-sector] “Samsung C&T, 3rd quarter good results”",1,0.0,0.293,0.707,0.4404,1
2020-10-27 17:59:00,Samsung C&T donates 1.1 billion won to Samsung Life Insurance Foundation,-1,0.0,0.27,0.73,0.5719,1
2020-10-27 17:50:00,Samsung C&T also saves Corona 19...Sales 7.8 trillion,-1,0.0,0.0,1.0,0.0,0
2020-10-27 17:46:00,Samsung C&T's'de-coal'... All-in to eco-friendly business,0,0.0,0.0,1.0,0.0,0
2020-10-27 16:48:00,"Samsung C&T, halting new coal business... Eco-friendly management transformation",-1,0.0,0.0,1.0,0.0,0
2020-10-27 16:42:00,"Samsung C&T declares former coal... ""All related new investment and business suspension""",0,0.0,0.0,1.0,0.0,0
2020-10-27 16:23:00,"Declaration of coal-free coal Samsung C&T stops new business ""Became a leading company in ESG management...",0,0.103,0.0,0.897,-0.1531,-1
2020-10-27 16:18:00,Samsung C&T's'Old Coal' ... to increase eco-friendly business,0,0.0,0.247,0.753,0.3182,1
2020-10-27 17:24:00,‘De-coal’ Samsung C&T expands eco-friendly business,0,0.0,0.219,0.781,0.1027,1
2020-10-27 17:03:00,Samsung C&T declares coal-free ... to strengthen eco-friendly management,1,0.0,0.223,0.777,0.3182,1
2020-10-27 16:34:00,Samsung C&T declared “de-coal”... Transition to an eco-friendly business system,0,0.0,0.0,1.0,0.0,0
2020-10-27 16:10:00,"Samsung C&T, the first domestic non-financial company to declare'de-coal'",0,0.0,0.0,1.0,0.0,0
2020-10-27 16:05:00,Samsung C&T declares'coal-free' ... expanding eco-friendly portfolio,0,0.0,0.0,1.0,0.0,0
2020-10-27 17:03:00,Samsung C&T declares coal-free ... to strengthen eco-friendly management,1,0.0,0.223,0.777,0.3182,1
2020-10-27 16:42:00,"Samsung C&T declares former coal... ""All related new investment and business suspension""",0,0.0,0.0,1.0,0.0,0
2020-10-27 16:30:00,"Samsung C&T, 3Q operating profit of KRW 21.6 billion… Previous year level",-1,0.0,0.209,0.791,0.4404,1
2020-10-27 17:01:00,Samsung C&T's 3Q operating profit increased even in'Corona 19',0,0.0,0.417,0.583,0.6124,1
2020-10-27 16:46:00,"Samsung C&T, 3Q operating profit of 21.5 billion... 0.4% from the previous year↓",-1,0.0,0.195,0.805,0.4404,1
2020-10-27 16:33:00,"Samsung C&T, 3Q operating profit of 21.5 billion... 0.4% decrease from the same period last year",-1,0.0,0.162,0.838,0.4404,1
2020-10-27 16:24:00,"Samsung C&T Trading Division, 3Q operating profit of 46 billion... 70% ↑ compared to the previous year",-1,0.0,0.162,0.838,0.4404,1
2020-10-27 16:10:00,"Samsung C&T, 3Q operating profit of 21.5 billion won... 0.4% decrease from the previous year",-1,0.0,0.172,0.828,0.4404,1
2020-10-27 11:28:00,Pay attention to dividends... Samsung C&T and Hotel Shilla's'preferred stock' soared every day,-1,0.104,0.0,0.896,-0.1027,-1
2020-10-27 10:38:00,The market pays attention to the possibility of dividend... Samsung C&T and Hotel Shilla'preferred stock' surged,-1,0.0,0.0,1.0,0.0,0
2020-10-27 09:12:00,"Samsung C&T, strong on expectations for change in governance structure for the second day",1,0.0,0.202,0.798,0.5106,1
2020-10-27 07:00:00,Samsung C&T's share price soared 13%.. Reflecting expectations of dividend expansion for inheritance tax,0,0.0,0.145,0.855,0.296,1
2020-10-27 04:09:00,"'Lee Jae-yong's era' expectations... Samsung C&T, up 13%",0,0.0,0.0,1.0,0.0,0
2020-10-27 05:50:00,"Post Lee Kun-hee governance structure... Instead of Lee Jae-yong's inheritance,'Samsung C&T Card'",0,0.0,0.0,1.0,0.0,0
2020-10-26 18:18:00,Article 10 Samsung C&T and Samsung Life Holding the Key to Inheritance Tax,0,0.0,0.0,1.0,0.0,0
