Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 17:11:00,"Samsung GSAT's first day ends in the second half... ""The difficulty is lower than in the first half""",-1,0.223,0.0,0.777,-0.5574,-1
2020-10-31 16:43:00,"Samsung GSAT online progress.. ""The difficulty was easy""",0,0.212,0.257,0.531,0.128,1
2020-10-31 16:34:00,"The first day of the online Samsung job aptitude test in the second half... Test takers ""No GSAT""",0,0.115,0.0,0.885,-0.296,-1
2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.859,0.4215,1
2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0
2020-10-31 16:55:00,"Huawei's ""It hurts to hit"" ...Overseas line Samsung, home line Xiaomi shakes",-1,0.22,0.0,0.78,-0.4767,-1
2020-10-31 17:11:00,"Samsung GSAT's first day ends in the second half... ""The difficulty is lower than in the first half""",-1,0.223,0.0,0.777,-0.5574,-1
2020-10-31 16:43:00,"Samsung GSAT online progress.. ""The difficulty was easy""",0,0.212,0.257,0.531,0.128,1
2020-10-31 16:34:00,"The first day of the online Samsung job aptitude test in the second half... Test takers ""No GSAT""",0,0.115,0.0,0.885,-0.296,-1
2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.859,0.4215,1
2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0
2020-10-31 16:55:00,"Huawei's ""It hurts to hit"" ...Overseas line Samsung, home line Xiaomi shakes",-1,0.22,0.0,0.78,-0.4767,-1
2020-10-31 14:36:00,"'Poor is cancer' Innovator Lee Kun-hee, who said'you don't have to go to work'...",-1,0.385,0.0,0.615,-0.8176,-1
2020-10-31 13:45:00,"'Samsung exam' online public handwriting test...""It's not a bullshit this time""",0,0.0,0.254,0.746,0.4717,1
2020-10-31 10:19:00,"Samsung Group public loan written test, online for two days starting today",0,0.0,0.0,1.0,0.0,0
2020-10-31 13:23:00,"GSAT in the second half of the'Samsung Examination' starts today...""The difficulty was okay""",-1,0.157,0.124,0.719,-0.128,-1
2020-10-31 10:56:00,Samsung bond written test GSAT online progress,1,0.0,0.318,0.682,0.4215,1
2020-10-31 10:47:00,"First-class online'Samsung exam', GSAT in the second half starts today",0,0.0,0.0,1.0,0.0,0
2020-10-31 14:36:00,"'Poor is cancer' Innovator Lee Kun-hee, who said'you don't have to go to work'...",-1,0.385,0.0,0.615,-0.8176,-1
2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.859,0.4215,1
2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0
2020-10-31 13:45:00,"'Samsung exam' online public handwriting test...""It's not a bullshit this time""",0,0.0,0.254,0.746,0.4717,1
2020-10-31 10:19:00,"Samsung Group public loan written test, online for two days starting today",0,0.0,0.0,1.0,0.0,0
2020-10-31 13:23:00,"GSAT in the second half of the'Samsung Examination' starts today...""The difficulty was okay""",-1,0.157,0.124,0.719,-0.128,-1
2020-10-31 10:56:00,Samsung bond written test GSAT online progress,1,0.0,0.318,0.682,0.4215,1
2020-10-31 10:47:00,"First-class online'Samsung exam', GSAT in the second half starts today",0,0.0,0.0,1.0,0.0,0
2020-10-31 12:23:00,"Samsung Electronics, labor-management collective bargaining in earnest… Meeting on the 3rd of next month",1,0.0,0.0,1.0,0.0,0
2020-10-31 09:01:00,"[This week's stock market character] Legacy left by Chairman Lee Kun-hee, who left, and Samsung Group",0,0.0,0.0,1.0,0.0,0
2020-10-30 18:25:00,"Samsung Electronics' labor and management, first meeting of collective bargaining on the 3rd of next month",1,0.0,0.0,1.0,0.0,0
2020-10-30 17:32:00,"""If you lose your phone, find it right away""... Samsung `SmartThings Find`",-1,0.197,0.0,0.803,-0.4019,-1
2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.176,0.0,0.824,-0.128,-1
2020-10-30 17:19:00,Samsung Electronics ranks first in national economy contribution… More than 2nd-4th place combined,0,0.0,0.0,1.0,0.0,0
2020-10-30 15:07:00,"""Samsung Electronics contributes to the national economy, more than the 2nd and 4th companies added""",0,0.0,0.0,1.0,0.0,0
2020-10-30 16:38:00,Samsung tops Huawei in global smartphone sales,0,0.0,0.355,0.645,0.5106,1
2020-10-30 18:25:00,"Samsung Electronics' labor and management, first meeting of collective bargaining on the 3rd of next month",1,0.0,0.0,1.0,0.0,0
2020-10-30 17:32:00,"""If you lose your phone, find it right away""... Samsung `SmartThings Find`",-1,0.197,0.0,0.803,-0.4019,-1
2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.176,0.0,0.824,-0.128,-1
2020-10-30 17:19:00,Samsung Electronics ranks first in national economy contribution… More than 2nd-4th place combined,0,0.0,0.0,1.0,0.0,0
2020-10-30 15:07:00,"""Samsung Electronics contributes to the national economy, more than the 2nd and 4th companies added""",0,0.0,0.0,1.0,0.0,0
2020-10-30 16:38:00,Samsung tops Huawei in global smartphone sales,0,0.0,0.355,0.645,0.5106,1
2020-10-30 14:21:00,[Exclusive] Samsung Electronics Europe business trip employee confirmed COVID-19 during self-isolation,0,0.0,0.0,1.0,0.0,0
2020-10-30 14:09:00,Samsung Electronics surpassed Huawei and retakes first place… 3Q global smartphone market 32% ...,1,0.0,0.0,1.0,0.0,0
2020-10-30 13:44:00,“Samsung Examination” GSAT held for two days starting tomorrow.. Online,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:41:00,"Samsung's second half'GSAT', online for two days from the 31st",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:35:00,"Samsung Electronics' 50,000 won'bump'… Individuals'lion' in rising expectations",0,0.0,0.0,1.0,0.0,0
2020-10-30 11:21:00,"Attracted Series A investment from Wehild, Kakao Ventures, and Samsung Venture Investment",0,0.0,0.219,0.781,0.4215,1
2020-10-30 09:00:00,Samsung Electronics launches'SmartThings Find' globally to check the location of Galaxy devices,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:41:00,"Samsung's second half'GSAT', online for two days from the 31st",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.176,0.0,0.824,-0.128,-1
2020-10-30 09:00:00,Samsung Electronics launches'SmartThings Find' globally to check the location of Galaxy devices,0,0.0,0.0,1.0,0.0,0
2020-10-30 08:36:00,"""Samsung Electronics, both earnings and dividends increase""-KTB Investment & Securities",0,0.0,0.216,0.784,0.296,1
2020-10-30 08:31:00,"[Hot-Line] ""Samsung Electronics, next year's earnings and dividends increase""",0,0.0,0.223,0.777,0.3182,1
2020-10-30 08:33:00,"Samsung Electronics, delayed return policy...""stock price increase engine after 4Q"" -Samsung Securities",-1,0.35,0.234,0.416,-0.4995,-1
2020-10-30 08:03:00,"Samsung Electronics' 4Q earnings slowdown is low, but buying opportunity-high",-1,0.358,0.0,0.642,-0.5372,-1
2020-10-30 08:02:00,Samsung Electronics' earnings slowdown in 4Q is an opportunity to buy low-high investment,-1,0.259,0.15,0.59,-0.4648,-1
2020-10-30 08:02:00,Samsung Electronics' earnings slowdown in 4Q is an opportunity to buy low-high investment,-1,0.259,0.15,0.59,-0.4648,-1
2020-10-30 06:50:00,"""Mobile phone sales volume of 88 million units"" ...Samsung, there was no match in the third quarter",-1,0.121,0.0,0.879,-0.296,-1
2020-10-30 06:43:00,Samsung to fold foldable phone'one more time',0,0.0,0.0,1.0,0.0,0
2020-10-30 06:04:00,"'Inheritance tax alone is 11 trillion won' Samsung Group, the expected governance restructuring scenario",-1,0.113,0.209,0.678,0.4019,1
2020-10-30 06:43:00,Samsung to fold foldable phone'one more time',0,0.0,0.0,1.0,0.0,0
2020-10-30 06:04:00,"[2020 Here, put in a time capsule2] ① 40,000 US military bases, including Samsung...",0,0.0,0.0,1.0,0.0,0
2020-10-30 06:04:00,"[2020 Here, put in a time capsule2] ① 40,000 US military bases, including Samsung...",0,0.0,0.0,1.0,0.0,0
2020-10-30 06:03:00,Samsung SDI bids for a 30 trillion won Hyundai Motor battery business... Samsung-Hyundai Motors Millwall Era...,-1,0.0,0.209,0.791,0.5719,1
2020-10-30 06:02:00,One line of rules for climbing the judges... Will Samsung Electronics 25 trillion sale bomb ignite?,-1,0.176,0.0,0.824,-0.4939,-1
2020-10-30 06:00:00,Samsung Electronics writes a new record in 3Q,0,0.0,0.0,1.0,0.0,0
2020-10-30 04:02:00,"Samsung Electronics, 100 management and quality veterans direct innovation consulting to partners",0,0.0,0.191,0.809,0.3818,1
2020-10-30 04:02:00,"Samsung Electronics, 100 management and quality veterans direct innovation consulting to partners",0,0.0,0.191,0.809,0.3818,1
2020-10-29 18:09:00,"Samsung Electronics recorded 67 trillion in sales, the highest in operating profit in two years of 12.3 trillion",0,0.0,0.146,0.854,0.4404,1
2020-10-29 17:42:00,Samsung Electronics Increases Investment in 3 Years,0,0.0,0.0,1.0,0.0,0
2020-10-29 15:45:00,"Samsung Electronics, Earning Surprise… ""The biggest sales ever""",0,0.0,0.0,1.0,0.0,0
2020-10-29 15:21:00,"""Smartphone and home appliance are all good""... Samsung Electronics dismisses concerns about'semiconductor focus'",-1,0.0,0.0,1.0,0.0,0
2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1
2020-10-29 17:58:00,'Maximum Performance' Increases Samsung Electronics' Semiconductor Investment,0,0.0,0.0,1.0,0.0,0
2020-10-29 15:44:00,"Samsung Electronics' fourth quarter, which recorded the highest performance",1,0.0,0.0,1.0,0.0,0
2020-10-29 17:57:00,"Gyo-young Jin, President of Samsung Electronics, “Semiconductor uncertainty still remains.",-1,0.211,0.0,0.789,-0.34,-1
2020-10-29 16:17:00,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,0,0.0,0.453,0.547,0.7003,1
2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1
2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1
2020-10-29 17:54:00,"Semiconductors, smartphones and home appliances'saving' ""Foundry, rapid growth in the fourth quarter"" [Samsung Electronics...",0,0.0,0.167,0.833,0.3818,1
2020-10-29 16:52:00,"Samsung Electronics, Pent-up-'Surprising Performance' from Huawei",0,0.0,0.0,1.0,0.0,0
2020-10-29 17:44:00,Samsung Electronics to attack 35 trillion won this year,-1,0.225,0.268,0.507,0.1531,1
