Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 00:15:00,"[Weekend n recruitment support] Recruitment news from Lotte Group, Celltrion, Timon, etc.",0,0.0,0.0,1.0,0.0,0
2020-10-28 19:05:00,Lily clinical suspension... Celltrion pays attention to'early antibody treatment for mild patients',0,0.0,0.0,1.0,0.0,0
2020-10-28 11:15:00,"Celltrion ""Stops clinical trials in Lily, demonstrating the need for early antibody treatment for COVID-19""",0,0.103,0.0,0.897,-0.1531,-1
2020-10-27 15:25:00,[EDaily N] Celltrion announces the results of Phase 3 clinical trial of Remsima SC,0,0.0,0.0,1.0,0.0,0
2020-10-27 14:49:00,"Celltrion Remsima SC, same effect as Remsima",0,0.0,0.0,1.0,0.0,0
2020-10-27 11:22:00,"Celltrion, Remsima SC Clinical Phase 3 Results… “No difference in immunogenicity by formulation”",-1,0.0,0.0,1.0,0.0,0
2020-10-27 10:56:00,"Celltrion ""Remsima SC, there is no difference according to formulation""",-1,0.196,0.0,0.804,-0.296,-1
2020-10-27 10:03:00,Celltrion Announces Results of Phase 3 Clinical Trial of Remsima SC at International Conference,0,0.0,0.0,1.0,0.0,0
2020-10-27 09:33:00,"Celltrion, Remsima SC Phase 3 clinical results... ""Conclusion of convenient treatment means""",0,0.0,0.0,1.0,0.0,0
2020-10-27 09:09:00,Celltrion announces results of Phase 3 of Remsima SC...,0,0.0,0.0,1.0,0.0,0
2020-10-27 11:18:00,[Super high stocks now] Focus on buying Celltrion and Hanwha Solutions,0,0.0,0.145,0.855,0.1779,1
2020-10-27 10:48:00,Celltrion Announces Results of Phase 3 Clinical Trial at Remsima SC at International Conference,0,0.0,0.0,1.0,0.0,0
2020-10-27 10:07:00,Celltrion Announces Phase 3 Clinical Results of Remsima SC at Asia Pacific Rheumatology Society,0,0.0,0.0,1.0,0.0,0
2020-10-27 09:21:00,Celltrion Announces Phase 3 Clinical Results of Remsima SC at Asia Pacific Rheumatology Society,0,0.0,0.0,1.0,0.0,0
2020-10-27 08:30:00,"[Hot-Line] ""Celltrion, taking into account its fundamentals, is now an opportunity to buy at a low price...",0,0.111,0.148,0.741,0.1779,1
2020-10-27 08:10:00,Celltrion will meet 3Q earnings consensus… Opportunity to Buy at Low Price-SK,0,0.141,0.188,0.671,0.1779,1
2020-10-26 19:40:00,"Jeong-jin Seo, Chairman of Celltrion ""Chairman Kun-hee Lee, the second world-class company made by Samsung ...",0,0.0,0.0,1.0,0.0,0
2020-10-26 17:47:00,Celltrion Corona Diagnosis Kit obtained FDA emergency approval,0,0.222,0.265,0.513,0.128,1
2020-10-26 14:01:00,"Celltrion, US FDA emergency use of Corona 19 rapid diagnosis antigen kit'Sampinet'...",0,0.191,0.0,0.809,-0.3818,-1
2020-10-26 10:59:00,"[Features] Celltrion, strong in approval of US FDA emergency use of Corona 19 diagnostic kit",1,0.124,0.305,0.571,0.5859,1
2020-10-26 10:23:00,"[Features] Celltrion,'Strengthened' in US Emergency Use Approval of Corona 19 Antigen Diagnosis Kit",1,0.156,0.186,0.659,0.128,1
2020-10-26 10:10:00,Celltrion acquired FDA approval for emergency use of Corona 19 diagnostic kit,0,0.166,0.197,0.637,0.128,1
2020-10-26 10:30:00,"Celltrion, US FDA approves emergency use of'Sampinet', a Corona 19 rapid diagnosis kit...",0,0.17,0.176,0.654,0.0258,0
