Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 08:01:00,"[Yuanta's weekly recommendation]'New Momentum Effective'... NCsoft, E-Mart, Com2uS",0,0.0,0.0,1.0,0.0,0
2020-10-30 14:06:00,NCsoft's new “Trickster M” exceeds 1 million in advance reservation in two days,-1,0.0,0.0,1.0,0.0,0
2020-10-30 13:24:00,NCsoft achieves 1 million advance reservations for Trickster M,-1,0.241,0.0,0.759,-0.2263,-1
2020-10-30 13:42:00,NCsoft'Aion' opens'Classic Server' on November 11th,0,0.0,0.0,1.0,0.0,0
2020-10-27 18:09:00,"Kim Taek-jin, CEO of NCsoft, ""Game is a key driver of the future cultural industry""",0,0.0,0.0,1.0,0.0,0
2020-10-26 14:55:00,"NCsoft,'Cute Lineage' Trickster M pre-booked on the 28th",-1,0.241,0.0,0.759,-0.2263,-1
2020-10-26 11:21:00,"NCsoft, Trickster M to make advance reservations on the 28",0,0.192,0.0,0.808,-0.2263,-1
2020-10-25 13:47:00,"[Weekly recommended stock] Love call with positive performance stock... Samsung Electronics, NCsoft, CJ CheilJedang",0,0.0,0.466,0.534,0.8625,1
2020-10-21 14:20:00,NCsoft unveils picture language type play containing game stories,0,0.0,0.231,0.769,0.34,1
2020-10-21 08:38:00,"NCsoft, MMORPG that is prospering overseas... Target price 1.12 million won-yuan hit",-1,0.0,0.0,1.0,0.0,0
2020-10-21 08:00:00,NCsoft to outperform consensus in 3rd and 4th quarter-Yuanta,1,0.0,0.0,1.0,0.0,0
2020-10-21 07:50:00,NCsoft to outperform 3Q earnings consensus-Yuanta,1,0.0,0.0,1.0,0.0,0
2020-10-20 16:17:00,"End of adjustment NCsoft… ""If the new work schedule is confirmed, it will rebound""",1,0.0,0.0,1.0,0.0,0
2020-10-19 09:03:00,NCsoft's 3Q operating profit forecast to fall short-Shinhan,0,0.0,0.293,0.707,0.4404,1
2020-10-14 13:38:00,NCsoft opens'Trickster M'brand page,0,0.0,0.0,1.0,0.0,0
2020-10-14 12:42:00,Opened NCsoft's new “Trickster M” brand page,0,0.0,0.0,1.0,0.0,0
2020-10-14 10:40:00,"NCsoft is hard to use… ""Long-term investment points remain unchanged""",0,0.135,0.0,0.865,-0.1027,-1
2020-10-14 06:02:00,[Corporate tax analysis for the first half of 2020] ⑥ Game/entertainment pandemic untouch effect...,0,0.0,0.0,1.0,0.0,0
2020-10-13 13:24:00,"NCsoft,'Halloween Tattoo Play' event",0,0.0,0.444,0.556,0.34,1
2020-10-11 15:34:00,NCsoft drives new business... Catching “Idol·AI·Finance”,0,0.0,0.0,1.0,0.0,0
2020-10-11 10:13:00,"[Market Point]'NCSoft', No. 1 in foreign net selling during the week of KOSPI",0,0.167,0.0,0.833,-0.296,-1
2020-10-10 14:57:00,[Weekly HOT Stock] NCsoft stock price adjustment... Individuals' interest ↑,0,0.0,0.273,0.727,0.4588,1
2020-10-08 15:14:00,"NCsoft'Lineage M'and'Lineage 2M', Hangul Day event",0,0.0,0.0,1.0,0.0,0
2020-10-08 08:28:00,"“NCSoft, release of new work that is delayed...Goal ↓”",-1,0.0,0.0,1.0,0.0,0
2020-10-07 17:27:00,NCsoft jumped into the securities industry Establishment of'AI Securities Company' in cooperation with KB Securities and others...,0,0.0,0.32,0.68,0.6808,1
2020-10-07 15:00:00,"December & Company, KB Securities and NCsoft and'AI Investment & Securities Company' joint venture ...",0,0.0,0.286,0.714,0.5267,1
2020-10-07 16:05:00,KB證 and NCsoft join hands to create'artificial intelligence PB',0,0.0,0.431,0.569,0.6486,1
2020-10-07 14:07:00,"KB Securities, December & Company, and NCsoft to create AI simple investment securities company",0,0.0,0.394,0.606,0.6705,1
2020-10-07 10:35:00,KB Securities signed a joint venture agreement with December & Company and NCsoft,0,0.0,0.375,0.625,0.6597,1
2020-10-07 09:55:00,"KB Securities, NCsoft and December & Company to enter AI securities company",0,0.0,0.328,0.672,0.5267,1
2020-10-07 09:33:00,KB Securities·December&Company·NCSoft promotes establishment of AI simple investment securities company,0,0.0,0.365,0.635,0.5574,1
2020-10-07 16:03:00,"NCsoft unveils new video,'Trickster M'",0,0.0,0.0,1.0,0.0,0
2020-10-07 15:12:00,NCsoft unveils two new mobile teaser videos for'Trickster M',0,0.2,0.0,0.8,-0.25,-1
2020-10-07 15:29:00,NCsoft holds online recruitment briefing session for new recruits,0,0.0,0.0,1.0,0.0,0
2020-10-07 14:23:00,"KB證-December & Company-NCSoft, after the establishment of AI simple investment securities company",0,0.0,0.18,0.82,0.296,1
2020-10-07 13:54:00,NCsoft also moved... Entering the digital finance industry with AI,0,0.0,0.0,1.0,0.0,0
2020-10-07 11:17:00,NCsoft joins forces with KB Securities and December & Company to create an AI securities company,0,0.0,0.351,0.649,0.6705,1
2020-10-07 08:56:00,NCsoft forecasts 140% ↑ in operating profit next year... Target Price↓-Samsung,0,0.0,0.244,0.756,0.4404,1
2020-10-06 09:33:00,"[Market Insight] NCsoft's development team independently created NU, attracting 20 billion won investment...",-1,0.0,0.468,0.532,0.8316,1
2020-10-06 08:43:00,NCsoft's new release delay variable Target price↓-Evest,-1,0.277,0.0,0.723,-0.3182,-1
2020-10-06 08:19:00,"NCsoft, breath-taking adjustment... Target price↓-Ebest",1,0.0,0.0,1.0,0.0,0
2020-10-06 07:58:00,"NCsoft, 3Q earnings announcement to be an inflection point... Target price↓-Ebest",1,0.0,0.0,1.0,0.0,0
2020-10-06 07:56:00,"[Click e-event] ""NCSoft, judged by sound breathtaking adjustment""",0,0.0,0.3,0.7,0.4588,1
2020-09-28 17:25:00,"NCsoft, recruiting talent New recruits",0,0.0,0.412,0.588,0.4215,1
2020-09-28 13:31:00,NCsoft enters public recruitment of new employees... Application by the 14th of next month,0,0.0,0.0,1.0,0.0,0
2020-09-28 12:14:00,"NCsoft, open recruitment of new employees in 2020",0,0.0,0.0,1.0,0.0,0
2020-09-28 08:31:00,NCsoft's earnings growth to emerge from the beginning of next year... Target price↓-KTB,0,0.0,0.178,0.822,0.3818,1
2020-09-28 08:25:00,[Click e-Event] NCsoft is slow to run from next year,-1,0.0,0.0,1.0,0.0,0
2020-09-28 08:22:00,"NCsoft, Lineage 2M domestic sales down... Target price↓-KTB",0,0.0,0.0,1.0,0.0,0
2020-09-25 08:57:00,"[Industry Attack] Game, Green New Deal, NCsoft",0,0.0,0.0,1.0,0.0,0
2020-09-23 17:32:00,NCsoft Presents a Paper at the International Conference on Voice Synthesis Technology'VocGAN,0,0.0,0.0,1.0,0.0,0
2020-09-23 15:05:00,"NCsoft, presented a paper at the International Conference on Speech Synthesis Technology",0,0.0,0.0,1.0,0.0,0
2020-09-21 16:46:00,"NCsoft’s “Lineage 2M” on the 300th, runs towards the 1st anniversary",0,0.0,0.0,1.0,0.0,0
2020-09-13 17:56:00,"""NCSoft, undervalued compared to competitors""",0,0.0,0.0,1.0,0.0,0
2020-09-11 09:54:00,NCsoft unveils new video of console music game'Fuser',0,0.0,0.0,1.0,0.0,0
2020-09-11 08:51:00,NCsoft highlights its undervalued charm on the occasion of listing Kakao Games,-1,0.0,0.197,0.803,0.4019,1
2020-09-11 08:35:00,"NCsoft, considerably undervalued compared to Kakao Games and Netmarble",0,0.0,0.0,1.0,0.0,0
2020-09-10 13:58:00,[itM-characteristic stock] NCsoft surged 4%,0,0.0,0.0,1.0,0.0,0
2020-09-10 08:43:00,"""NCSoft, new work momentum in earnest after October"" -Mirae Asset Daewoo",0,0.0,0.392,0.608,0.7003,1
2020-09-09 14:39:00,"NCsoft's'Lineage 2M', the first'World Siege', begins on the 13th",0,0.0,0.0,1.0,0.0,0
2020-09-07 09:30:00,NCsoft's earnings improvement momentum is “rich”… “Top Pick in Game Industry”,0,0.0,0.231,0.769,0.4588,1
2020-09-07 08:49:00,NCsoft's signature game'Lineage' expands overseas territories-IBK,0,0.0,0.219,0.781,0.1027,1
2020-09-05 14:02:00,"""NCSoft strengthens overseas momentum for new works""",1,0.0,0.333,0.667,0.4588,1
2020-09-03 09:05:00,"[Hot-Line] ""NCSoft, 4Q earnings are expected to rebound""",1,0.408,0.0,0.592,-0.7034,-1
2020-09-01 17:15:00,NCsoft Postpones In-House Test for'Project TL' to Corona 19 Warriors at Home,0,0.16,0.0,0.84,-0.2732,-1
2020-08-31 13:35:00,NCsoft expands communication area through blog,0,0.0,0.219,0.781,0.1027,1
2020-08-28 18:05:00,"NCsoft,'Lineage 2M' becomes stronger... Siege of Giran begins on the 30th",1,0.0,0.0,1.0,0.0,0
2020-08-28 11:16:00,'Game stock revival is coming'... NCsoft dreams of another jump-up,1,0.0,0.231,0.769,0.4019,1
2020-08-28 09:50:00,NCsoft's expectations for'high stock price',0,0.0,0.0,1.0,0.0,0
2020-08-27 09:49:00,[itM-characteristic stock] NCsoft surges 5% during intraday… The largest increase since July,0,0.0,0.173,0.827,0.3182,1
2020-08-24 17:26:00,Are you stuck with NCsoft's'Three Used'... BBIG's alone stock price'reverse running',0,0.308,0.0,0.692,-0.4588,-1
2020-08-24 16:01:00,"""I'm BBIG too, why don't I come up..."" NCSOF fell into'triple trouble'...",0,0.0,0.0,1.0,0.0,0
