Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 08:01:00,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...",0,0.0,0.239,0.761,0.5267,1
2020-10-31 08:01:00,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...",0,0.0,0.239,0.761,0.5267,1
2020-10-30 09:02:00,"[Today's target price] Hyundai Mobis raised to 300,000 won",0,0.0,0.316,0.684,0.5719,1
2020-10-30 04:02:00,"Hyundai Mobis opens lab doors to partners... 2,000 cases used last year",0,0.0,0.0,1.0,0.0,0
2020-10-29 17:36:00,Hyundai Mobis sales year-on-year 6%↑,0,0.0,0.0,1.0,0.0,0
2020-10-29 17:35:00,Hyundai Mobis surpasses 1 trillion won in quarterly sales for the electrification business,0,0.0,0.252,0.748,0.5719,1
2020-10-29 14:29:00,Hyundai Mobis surpasses KRW 10 trillion in sales in the third quarter...,0,0.0,0.0,1.0,0.0,0
2020-10-29 14:21:00,"Hyundai Mobis, sales approaching 10 trillion won in the third quarter... Driving the performance of electrification and SUV",-1,0.0,0.179,0.821,0.5719,1
2020-10-29 14:12:00,First trillion in sales of electrification Hyundai Mobis breaks through corona and saves profits,-1,0.0,0.182,0.818,0.4404,1
2020-10-29 14:11:00,"Hyundai Mobis, 3Q operating profit of 5983 billion won... Sales of electrification business'Quarterly KRW 1 trillion...",-1,0.0,0.172,0.828,0.4404,1
2020-10-29 14:09:00,"Hyundai Mobis, 3Q operating profit of 5983 billion... First trillion in sales of electrification",-1,0.0,0.182,0.818,0.4404,1
2020-10-29 17:31:00,"Hyundai Mobis, operating profit of 5983 billion... 20% higher than expected",-1,0.0,0.225,0.775,0.4404,1
2020-10-29 16:51:00,Hyundai Mobis'saved 600 billion won' operating profit even in Corona 19,-1,0.0,0.423,0.577,0.765,1
2020-10-29 15:13:00,Hyundai Mobis shares weaker despite earnings exceeding expectations in 3Q,-1,0.221,0.168,0.611,-0.1779,-1
2020-10-29 15:03:00,"Hyundai Mobis,'Shenzhen' exceeding 3Q expected Electricization sales exceeded 1 trillion won",-1,0.0,0.291,0.709,0.5719,1
2020-10-29 14:17:00,Hyundai Mobis turned to recovery in 3Q... Both sales and operating profit increased compared to the previous quarter (complementary...,0,0.0,0.227,0.773,0.6124,1
2020-10-29 14:50:00,Hyundai Mobis disposes of 17.2 billion won of treasury shares,-1,0.0,0.524,0.476,0.7717,1
2020-10-29 14:50:00,Hyundai Mobis disposes of 17.2 billion won of treasury shares,-1,0.0,0.524,0.476,0.7717,1
2020-10-29 14:31:00,"Hyundai Mobis, 3Q operating profit of 5983 billion won... 0.9% YoY ↓",-1,0.0,0.225,0.775,0.4404,1
2020-10-29 14:09:00,"Hyundai Mobis, 3Q operating profit of 598.3 billion...",-1,0.0,0.293,0.707,0.4404,1
2020-10-29 13:47:00,"[Disclosure] Hyundai Mobis decides to dispose of 68,005 treasury shares",0,0.0,0.333,0.667,0.4588,1
2020-10-29 12:20:00,Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group,-1,0.0,0.236,0.764,0.5719,1
2020-10-28 15:29:00,Hyundai Mobis purchases MMT worth KRW 90 billion,-1,0.0,0.213,0.787,0.2263,1
2020-10-22 11:24:00,"Hyundai Mobis, with 1000 eco-friendly patents, won the Minister's Award",0,0.0,0.474,0.526,0.802,1
2020-10-22 11:19:00,"Hyundai Mobis, selected as'Excellent Company in Response to International Environmental Regulations'...",0,0.0,0.0,1.0,0.0,0
2020-10-22 10:02:00,"Holds 1,000 international certifications and patents for “Eco-friendly Management” by Hyundai Mobis",0,0.0,0.0,1.0,0.0,0
2020-10-22 10:01:00,"Hyundai Mobis, which holds 1,000 environmental patents and certifications, won the Minister of Industry Award",0,0.0,0.356,0.644,0.802,1
2020-10-22 10:00:00,Hyundai Mobis selected as an excellent company responding to environmental regulations... Eco-friendly certification and patent '1000...,0,0.0,0.198,0.802,0.5719,1
