Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred
2020-10-31 15:56:00,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units",0,0.0,0.138,0.862,0.34,1
2020-10-31 15:10:00,"Shinpyeong Han ""Hyundai Special Steel bequests are positive for the financial structure, credit burden still remains""",-1,0.122,0.374,0.504,0.7184,1
2020-10-31 09:12:00,"Only Hyundai Motor Company is investing in the hydrogen era? Experts ""must pay attention to these companies""",0,0.08,0.0,0.92,-0.1027,-1
2020-10-31 08:43:00,"President Moon Jae-in and Hyundai Motor Chairman Eui-seon Eui-seon said ""Our Chairman""... why?",0,0.0,0.0,1.0,0.0,0
2020-10-30 17:33:00,[Exclusive] Eui-seon Eui-sun appeared in the CNN campaign... Emphasis on Hyundai Motor's'Mobility Innovation',-1,0.0,0.178,0.822,0.3818,1
2020-10-30 17:32:00,"President Moon Jae-in between Hyundai Motors ""supplied 1.33 million electric and hydrogen cars""",-1,0.0,0.0,1.0,0.0,0
2020-10-30 17:24:00,"""Hyundai Motor, No. 1 Labor-Management Cooperation Company""",0,0.306,0.0,0.694,-0.296,-1
2020-10-30 14:34:00,"President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win""",1,0.0,0.191,0.809,0.3818,1
2020-10-30 17:21:00,"INNOCEAN, special expectations for Hyundai Motor's new car advertisement",0,0.0,0.252,0.748,0.4019,1
2020-10-30 15:50:00,"President Wen's love for the hydrogen electric car Nexo… After taking office, only visited Hyundai Motor Company four times",0,0.0,0.189,0.811,0.6369,1
2020-10-30 14:53:00,"President of Hyundai Motors ""will be the welcome to the Green New Deal by developing eco-friendly vehicles and creating new industries",0,0.0,0.215,0.785,0.6369,1
2020-10-30 13:10:00,From passenger cars to trucks and buses,0,0.0,0.0,1.0,0.0,0
2020-10-30 15:47:00,"Albert Beerman, president of Hyundai Motors, sold 432 shares of all shares",0,0.0,0.306,0.694,0.5267,1
2020-10-30 14:55:00,President Albert Beerman sells Hyundai Motor Company's equity strategy,-1,0.0,0.0,1.0,0.0,0
2020-10-30 12:01:00,"Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales",1,0.0,0.0,1.0,0.0,0
2020-10-30 12:01:00,"Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales",1,0.0,0.0,1.0,0.0,0
2020-10-30 11:09:00,"Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:58:00,"Hyundai Motor Co., Ltd. pre-contracts for gasoline for “The New Santa Fe” on the 2nd of next month... 29.7 million won...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:17:00,"Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 10:21:00,"""Now, in the hydrogen era, invest in Hyundai Motor Company and the value chain""",0,0.0,0.156,0.844,0.34,1
2020-10-30 10:13:00,"[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:24:00,Hyundai Motor Company to enter into a preliminary contract for the gasoline model of'The New Santa Fe' starting on the 2nd of next month,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:17:00,Hyundai Motor Company's'The New Santa Fe' gasoline pre-contract... From KRW 29.75 million,-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:01:00,Hyundai Motor Company's preliminary contract for'The New Santa Fe' gasoline... 1.47 million won cheaper than diesel,-1,0.0,0.198,0.802,0.5719,1
2020-10-30 07:01:00,"[Disclosure+] Excellent AMS, paid-in capital increase of 7.5 billion won to Hyundai BS&E",-1,0.0,0.492,0.508,0.8658,1
2020-10-30 06:03:00,Samsung SDI bids for a 30 trillion won Hyundai Motor battery business... Samsung-Hyundai Motors Millwall Era...,-1,0.0,0.209,0.791,0.5719,1
2020-10-30 04:02:00,"Hyundai Kia Motors, average 32 years of transaction period Technology development and manpower training with business partners `Acceleration...",0,0.198,0.0,0.802,-0.6369,-1
2020-10-29 16:13:00,'Realization' of the leakage of corporate secrets from Samjeon and Hyundai Motors when passing the amendment to the Fair Trade Act,0,0.0,0.103,0.897,0.3182,1
2020-10-29 06:00:00,"""Samsung-Hyundai Motors' governance structure may be affected by separate election of audit committee members""",-1,0.11,0.0,0.89,-0.1531,-1
2020-10-29 12:20:00,Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group,-1,0.0,0.236,0.764,0.5719,1
2020-10-29 11:31:00,"""3% rule"" defenseless against the coalition of foreign institutional investors... Samsung Electronics and Hyundai Motors' governance structure reform...",0,0.124,0.0,0.876,-0.34,-1
2020-10-29 10:36:00,3% rule Samsung Electronics and Hyundai Motors hedge fund attack defenseless exposure... Succession governance reorganization...,1,0.285,0.093,0.622,-0.5719,-1
2020-10-29 09:19:00,[Features] Shutdown concerns… Export stocks such as Samsung Electronics and Hyundai Motors are weak,-1,0.182,0.0,0.818,-0.4404,-1
2020-10-31 15:56:00,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units",0,0.0,0.138,0.862,0.34,1
2020-10-31 15:56:00,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units",0,0.0,0.138,0.862,0.34,1
2020-10-31 15:10:00,"Shinpyeong Han ""Hyundai Special Steel bequests are positive for the financial structure, credit burden still remains""",-1,0.122,0.374,0.504,0.7184,1
2020-10-31 09:12:00,"Only Hyundai Motor Company is investing in the hydrogen era? Experts ""must pay attention to these companies""",0,0.08,0.0,0.92,-0.1027,-1
2020-10-31 08:43:00,"President Moon Jae-in and Hyundai Motor Chairman Eui-seon Eui-seon said ""Our Chairman""... why?",0,0.0,0.0,1.0,0.0,0
2020-10-30 17:33:00,[Exclusive] Eui-seon Eui-sun appeared in the CNN campaign... Emphasis on Hyundai Motor's'Mobility Innovation',-1,0.0,0.178,0.822,0.3818,1
2020-10-30 17:32:00,"President Moon Jae-in between Hyundai Motors ""supplied 1.33 million electric and hydrogen cars""",-1,0.0,0.0,1.0,0.0,0
2020-10-30 17:24:00,"""Hyundai Motor, No. 1 Labor-Management Cooperation Company""",0,0.306,0.0,0.694,-0.296,-1
2020-10-30 14:34:00,"President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win""",1,0.0,0.191,0.809,0.3818,1
2020-10-30 17:24:00,"""Hyundai Motor, No. 1 Labor-Management Cooperation Company""",0,0.306,0.0,0.694,-0.296,-1
2020-10-30 14:34:00,"President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win""",1,0.0,0.191,0.809,0.3818,1
2020-10-30 17:21:00,"INNOCEAN, special expectations for Hyundai Motor's new car advertisement",0,0.0,0.252,0.748,0.4019,1
2020-10-30 15:50:00,"President Wen's love for the hydrogen electric car Nexo… After taking office, only visited Hyundai Motor Company four times",0,0.0,0.189,0.811,0.6369,1
2020-10-30 14:53:00,"President of Hyundai Motors ""will be the welcome to the Green New Deal by developing eco-friendly vehicles and creating new industries",0,0.0,0.215,0.785,0.6369,1
2020-10-30 13:10:00,From passenger cars to trucks and buses,0,0.0,0.0,1.0,0.0,0
2020-10-30 15:47:00,"Albert Beerman, president of Hyundai Motors, sold 432 shares of all shares",0,0.0,0.306,0.694,0.5267,1
2020-10-30 14:55:00,President Albert Beerman sells Hyundai Motor Company's equity strategy,-1,0.0,0.0,1.0,0.0,0
2020-10-30 12:01:00,"Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales",1,0.0,0.0,1.0,0.0,0
2020-10-30 12:01:00,"Hyundai Motor's hydrogen electric vehicle Nexo surpasses 10,000 domestic sales",1,0.0,0.0,1.0,0.0,0
2020-10-30 11:09:00,"Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?",0,0.0,0.0,1.0,0.0,0
2020-10-30 09:58:00,"Hyundai Motor Co., Ltd. pre-contracts for gasoline for “The New Santa Fe” on the 2nd of next month... 29.7 million won...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:17:00,"Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 10:21:00,"""Now, in the hydrogen era, invest in Hyundai Motor Company and the value chain""",0,0.0,0.156,0.844,0.34,1
2020-10-30 10:13:00,"[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:24:00,Hyundai Motor Company to enter into a preliminary contract for the gasoline model of'The New Santa Fe' starting on the 2nd of next month,0,0.0,0.0,1.0,0.0,0
2020-10-30 09:17:00,"Hyundai Motor's'The New Santa Fe' gasoline, pre-contract on the 2nd of next month... Price 29.7 million...",-1,0.0,0.0,1.0,0.0,0
2020-10-30 09:01:00,Hyundai Motor Company's preliminary contract for'The New Santa Fe' gasoline... 1.47 million won cheaper than diesel,-1,0.0,0.198,0.802,0.5719,1
2020-10-30 11:09:00,"Hyundai Motor Company,'The New Santa Fe' gasoline pre-contract... how much?",0,0.0,0.0,1.0,0.0,0
