,New_Date(dt),posneg,neg,pos,compound,vader_pred
10,2019-12-03 00:00:00,0,0.0,0.287,0.5391,2
11,2019-12-04 00:00:00,0,0.145,2.904,4.6314,11
12,2019-12-05 00:00:00,4,0.0,1.732,3.498,8
13,2019-12-06 00:00:00,0,0.0,0.0,0.0,0
14,2019-12-08 00:00:00,0,0.0,3.826000000000001,6.7277999999999984,11
15,2019-12-09 00:00:00,3,0.0,1.3519999999999999,2.7638000000000007,8
16,2019-12-10 00:00:00,2,0.24,2.3480000000000003,4.1206,8
17,2019-12-11 00:00:00,0,0.0,0.5880000000000001,1.2805,3
18,2019-12-12 00:00:00,0,0.0,1.09,1.1718,2
19,2019-12-13 00:00:00,0,0.0,1.202,2.0413,3
20,2019-12-15 00:00:00,0,0.0,0.0,0.0,0
21,2019-12-16 00:00:00,0,0.0,1.255,2.1374,7
22,2019-12-17 00:00:00,0,0.0,2.5180000000000002,4.9276,11
23,2019-12-18 00:00:00,-10,0.64,1.1640000000000001,1.1324999999999998,4
24,2019-12-19 00:00:00,-4,0.13699999999999998,1.5930000000000002,2.2231,3
25,2019-12-20 00:00:00,-1,0.205,1.0759999999999998,1.2271,1
26,2019-12-22 00:00:00,0,0.0,0.0,0.0,0
27,2019-12-23 00:00:00,0,0.0,0.0,0.0,0
28,2019-12-24 00:00:00,0,0.0,0.0,0.0,0
29,2019-12-30 00:00:00,0,0.0,0.0,0.0,0
30,2020-01-01 00:00:00,0,0.0,0.0,0.0,0
31,2020-01-02 00:00:00,0,0.0,0.905,1.8862,3
32,2020-01-03 00:00:00,-2,0.43799999999999994,2.245,2.3292,7
33,2020-01-05 00:00:00,-2,0.518,1.2409999999999999,0.8500000000000001,2
34,2020-01-06 00:00:00,-2,0.415,1.004,1.0760999999999998,2
35,2020-01-07 00:00:00,-1,0.0,2.764,5.3392,11
36,2020-01-08 00:00:00,-16,1.4029999999999998,4.814,8.014000000000001,16
37,2020-01-09 00:00:00,-5,1.71,4.326000000000001,5.208099999999999,8
38,2020-01-10 00:00:00,8,0.334,6.3420000000000005,11.000399999999996,26
39,2020-01-11 00:00:00,-1,0.0,0.5589999999999999,1.1840000000000002,4
40,2020-01-12 00:00:00,2,0.0,3.0669999999999997,4.8695,7
41,2020-01-13 00:00:00,3,0.0,2.4459999999999997,3.4915000000000003,5
42,2020-01-14 00:00:00,2,0.0,2.233,4.413,7
43,2020-01-15 00:00:00,-2,0.0,0.161,0.3612,1
44,2020-01-16 00:00:00,1,0.0,1.263,2.7753,8
45,2020-01-17 00:00:00,0,0.206,0.245,0.4079,0
46,2020-01-19 00:00:00,0,0.0,0.205,0.4767,1
47,2020-01-20 00:00:00,0,0.0,0.0,0.0,0
48,2020-01-21 00:00:00,0,0.0,0.218,0.5994,1
49,2020-01-22 00:00:00,0,0.0,0.0,0.0,0
50,2020-01-23 00:00:00,0,0.0,0.0,0.0,0
51,2020-01-30 00:00:00,0,0.0,0.0,0.0,0
52,2020-01-31 00:00:00,1,0.10800000000000001,0.478,0.7175,2
53,2020-02-02 00:00:00,0,0.8290000000000001,0.0,-1.591,-5
54,2020-02-03 00:00:00,-4,0.0,0.6579999999999999,1.3194,2
55,2020-02-04 00:00:00,-2,0.0,1.0759999999999998,1.4231999999999998,8
56,2020-02-05 00:00:00,-2,0.7090000000000001,1.471,1.4518,6
57,2020-02-06 00:00:00,-17,0.316,0.0,-0.4019,-1
58,2020-02-07 00:00:00,-8,0.0,0.0,0.0,0
59,2020-02-08 00:00:00,0,0.0,3.0780000000000003,6.2635,10
60,2020-02-09 00:00:00,0,0.0,3.1319999999999997,4.5317,9
61,2020-02-10 00:00:00,5,0.364,0.7,0.7462000000000001,0
62,2020-02-11 00:00:00,1,0.0,0.49200000000000005,0.6947,2
63,2020-02-12 00:00:00,3,0.0,1.008,1.4538,2
64,2020-02-13 00:00:00,0,1.716,0.271,-2.6802,-4
65,2020-02-16 00:00:00,2,0.0,0.179,0.34,1
66,2020-02-17 00:00:00,2,0.376,0.652,0.5,2
67,2020-02-18 00:00:00,10,0.754,5.69,9.1879,16
68,2020-02-19 00:00:00,0,0.0,0.28600000000000003,0.256,2
69,2020-02-20 00:00:00,-6,0.0,1.104,2.5054,4
70,2020-02-21 00:00:00,0,0.0,0.0,0.0,0
71,2020-02-22 00:00:00,0,0.0,0.0,0.0,0
72,2020-02-23 00:00:00,-3,2.176,1.197,-2.0155000000000003,-6
73,2020-02-24 00:00:00,-4,1.8630000000000002,3.3089999999999997,3.3245999999999998,5
74,2020-02-25 00:00:00,-4,0.0,1.534,2.7591,6
75,2020-02-26 00:00:00,-5,0.0,1.7759999999999998,3.6633,7
76,2020-02-28 00:00:00,0,0.0,0.0,0.0,0
77,2020-03-08 00:00:00,0,0.0,0.0,0.0,0
78,2020-03-10 00:00:00,3,0.0,2.1519999999999997,3.8377,7
79,2020-03-11 00:00:00,1,0.0,1.3849999999999998,2.4901,7
80,2020-03-12 00:00:00,0,0.0,0.244,0.4404,1
81,2020-03-13 00:00:00,2,0.0,0.9179999999999999,1.2498,2
82,2020-03-15 00:00:00,1,0.0,0.266,0.4404,1
83,2020-03-17 00:00:00,-3,0.501,0.303,-0.17750000000000005,-1
84,2020-03-18 00:00:00,-5,0.156,0.20600000000000002,0.1779,1
85,2020-03-19 00:00:00,0,0.0,0.0,0.0,0
86,2020-03-20 00:00:00,0,0.0,0.12,0.128,1
87,2020-03-23 00:00:00,-3,0.2,2.5469999999999997,3.9668,6
88,2020-03-24 00:00:00,-3,0.508,0.617,0.4141,1
89,2020-03-25 00:00:00,0,0.0,0.26,0.5464,2
90,2020-03-26 00:00:00,-13,1.597,0.336,-2.3163,-5
91,2020-03-27 00:00:00,-25,1.0,5.918000000000003,9.6515,24
92,2020-03-28 00:00:00,-2,0.0,0.0,0.0,0
93,2020-03-29 00:00:00,1,0.0,0.359,0.4215,1
94,2020-03-30 00:00:00,-6,0.603,1.444,1.2318,4
95,2020-03-31 00:00:00,-3,0.0,1.6610000000000005,3.4531,7
96,2020-04-01 00:00:00,0,0.5369999999999999,8.234999999999998,14.265299999999998,18
97,2020-04-02 00:00:00,0,0.62,2.406,2.755,7
98,2020-04-03 00:00:00,0,0.0,0.0,0.0,0
99,2020-04-04 00:00:00,0,0.0,0.0,0.0,0
100,2020-04-06 00:00:00,-1,0.146,1.4069999999999998,2.8079,5
101,2020-04-07 00:00:00,-14,0.0,4.519,9.747,19
102,2020-04-08 00:00:00,1,0.0,1.091,1.6463,3
103,2020-04-12 00:00:00,0,0.0,0.0,0.0,0
104,2020-04-24 00:00:00,3,0.28600000000000003,0.949,1.6951999999999998,1
105,2020-04-26 00:00:00,-1,0.0,3.8539999999999996,6.0059000000000005,12
106,2020-04-27 00:00:00,0,0.0,1.209,1.9791,3
107,2020-04-28 00:00:00,13,0.51,3.2399999999999998,5.3106,8
108,2020-04-29 00:00:00,-39,8.572000000000001,9.045,2.4979000000000013,10
109,2020-04-30 00:00:00,-27,2.186,4.173,4.8616,9
110,2020-05-01 00:00:00,-3,0.5009999999999999,0.0,-0.8880000000000001,-3
111,2020-05-02 00:00:00,0,0.20800000000000002,0.5920000000000001,-0.045600000000000085,0
112,2020-05-03 00:00:00,4,0.0,2.3640000000000003,3.5964000000000005,6
113,2020-05-04 00:00:00,2,0.456,0.368,-0.3062,-2
114,2020-05-05 00:00:00,0,0.0,0.442,0.3558,2
115,2020-05-06 00:00:00,-1,0.0,0.244,0.4404,1
116,2020-05-07 00:00:00,0,0.13699999999999998,0.7020000000000001,0.7821000000000002,3
117,2020-05-10 00:00:00,1,0.0,0.0,0.0,0
118,2020-05-11 00:00:00,0,0.0,0.0,0.0,0
119,2020-05-13 00:00:00,2,0.0,1.7080000000000002,2.3807,4
120,2020-05-14 00:00:00,0,0.268,0.7899999999999999,0.9214,2
121,2020-05-15 00:00:00,5,0.446,3.3110000000000004,6.248199999999999,9
122,2020-05-16 00:00:00,-3,0.38299999999999995,0.611,0.3814,1
