,New_Date(dt),posneg,neg,pos,compound,vader_pred
15,2019-12-02 00:00:00,0,0.0,0.20600000000000002,0.3818,1
16,2019-12-04 00:00:00,3,0.0,0.0,0.0,0
17,2019-12-05 00:00:00,2,0.0,1.85,3.3880000000000003,8
18,2019-12-06 00:00:00,-1,0.0,0.21899999999999997,0.4215,1
19,2019-12-07 00:00:00,2,0.0,0.457,0.6611,2
20,2019-12-08 00:00:00,0,0.0,0.0,0.0,0
21,2019-12-09 00:00:00,-2,0.0,0.363,0.6908,1
22,2019-12-10 00:00:00,-4,0.0,0.8510000000000001,1.3271,3
23,2019-12-11 00:00:00,0,0.0,0.0,0.0,0
24,2019-12-13 00:00:00,3,0.111,0.89,1.5181,2
25,2019-12-14 00:00:00,1,0.0,0.239,0.5267,1
26,2019-12-16 00:00:00,-1,0.0,0.484,0.9878,2
27,2019-12-17 00:00:00,3,0.13,0.85,1.0158,1
28,2019-12-18 00:00:00,-2,0.0,1.0359999999999998,1.7760000000000002,6
29,2019-12-19 00:00:00,-2,0.0,0.0,0.0,0
30,2019-12-20 00:00:00,1,0.0,1.539,2.5633,4
31,2019-12-21 00:00:00,0,0.0,0.0,0.0,0
32,2019-12-22 00:00:00,0,0.0,0.0,0.0,0
33,2019-12-23 00:00:00,3,0.544,5.7639999999999985,8.6072,11
34,2019-12-24 00:00:00,0,0.132,1.2229999999999999,1.7573,3
35,2019-12-27 00:00:00,-3,0.0,0.856,1.8246,3
36,2019-12-28 00:00:00,2,0.0,0.268,0.29600000000000004,1
37,2019-12-30 00:00:00,1,0.0,0.903,1.3917000000000002,3
38,2019-12-31 00:00:00,-5,0.0,0.32,0.4526,2
39,2020-01-02 00:00:00,-1,0.0,0.0,0.0,0
40,2020-01-03 00:00:00,0,0.0,1.044,1.7988,4
41,2020-01-04 00:00:00,0,0.0,0.0,0.0,0
42,2020-01-06 00:00:00,0,0.247,0.228,0.08640000000000002,1
43,2020-01-08 00:00:00,0,0.0,0.252,0.5719,1
44,2020-01-10 00:00:00,0,0.0,0.172,0.4019,1
45,2020-01-13 00:00:00,1,0.0,0.363,0.8126,1
46,2020-01-31 00:00:00,-4,2.145,3.353,3.0927,3
47,2020-02-01 00:00:00,-2,1.8330000000000002,0.182,-2.1214000000000004,-4
48,2020-02-03 00:00:00,-3,0.312,0.0,-0.68,-2
49,2020-02-04 00:00:00,0,0.0,0.0,0.0,0
50,2020-02-05 00:00:00,0,0.49,0.0,-0.7636,-2
51,2020-02-06 00:00:00,-1,0.0,0.23600000000000002,0.5719,1
52,2020-02-07 00:00:00,-10,0.0,4.402999999999999,8.811900000000003,11
53,2020-02-08 00:00:00,-1,0.0,0.5579999999999999,0.8779,1
54,2020-02-10 00:00:00,0,0.0,0.0,0.0,0
55,2020-02-11 00:00:00,-2,0.0,0.0,0.0,0
56,2020-02-13 00:00:00,-1,0.0,0.384,0.6808,1
57,2020-02-14 00:00:00,0,0.18,0.182,-0.09060000000000004,1
58,2020-02-16 00:00:00,0,0.334,0.0,-0.5920000000000001,-2
59,2020-02-17 00:00:00,0,0.0,0.0,0.0,0
60,2020-02-19 00:00:00,-3,0.0,0.41600000000000004,0.5464,2
61,2020-02-20 00:00:00,-11,1.2890000000000001,0.139,-1.9452,-4
62,2020-02-21 00:00:00,0,0.0,0.0,0.0,0
63,2020-02-22 00:00:00,-1,0.0,0.22399999999999998,0.3818,1
64,2020-02-23 00:00:00,-1,0.237,0.0,-0.4767,-1
65,2020-02-24 00:00:00,0,0.14800000000000002,0.248,0.3612,1
66,2020-02-25 00:00:00,-3,0.0,0.61,1.3701,3
67,2020-02-26 00:00:00,0,0.0,0.0,0.0,0
68,2020-02-27 00:00:00,-2,0.0,0.41,0.8808,2
69,2020-02-28 00:00:00,0,0.22399999999999998,0.29600000000000004,0.2263,1
70,2020-02-29 00:00:00,-1,0.256,0.184,-0.2263,-1
71,2020-03-02 00:00:00,1,0.0,1.047,1.6673999999999998,5
72,2020-03-03 00:00:00,0,0.0,0.0,0.0,0
73,2020-03-04 00:00:00,0,0.0,0.426,0.6369,1
74,2020-03-05 00:00:00,0,0.0,0.0,0.0,0
75,2020-03-07 00:00:00,0,0.0,0.33299999999999996,0.5423,1
76,2020-03-08 00:00:00,-2,0.73,0.338,-0.6952,-2
77,2020-03-09 00:00:00,0,0.196,0.0,-0.1544,0
78,2020-03-10 00:00:00,0,0.0,2.636,3.934600000000001,8
79,2020-03-11 00:00:00,-5,0.0,1.7269999999999999,3.511,5
80,2020-03-12 00:00:00,-4,0.344,0.833,0.5564,1
81,2020-03-13 00:00:00,-2,0.0,0.298,0.5464,2
82,2020-03-14 00:00:00,-2,0.0,0.61,0.775,2
83,2020-03-15 00:00:00,-6,2.0400000000000005,0.27,-2.3628,-4
84,2020-03-16 00:00:00,-1,1.164,0.742,-1.1877,-5
85,2020-03-17 00:00:00,-1,0.5489999999999999,0.331,0.3964,-1
86,2020-03-18 00:00:00,0,0.55,0.324,-0.3789,0
87,2020-03-19 00:00:00,-1,0.353,0.0,-0.5994,-1
88,2020-03-20 00:00:00,1,0.268,0.627,0.9048,2
89,2020-03-21 00:00:00,0,0.0,0.0,0.0,0
90,2020-03-23 00:00:00,1,0.133,0.0,-0.3182,-1
91,2020-03-24 00:00:00,0,0.0,0.141,0.3182,1
92,2020-03-25 00:00:00,0,0.0,0.13,0.2732,1
93,2020-03-27 00:00:00,0,0.0,0.0,0.0,0
94,2020-03-30 00:00:00,0,0.0,0.10099999999999999,0.2023,1
95,2020-03-31 00:00:00,0,0.0,0.0,0.0,0
96,2020-04-01 00:00:00,-1,0.0,0.29100000000000004,0.5719,1
97,2020-04-02 00:00:00,-2,0.154,0.228,0.29600000000000004,1
98,2020-04-03 00:00:00,0,0.0,0.316,0.5719,1
99,2020-04-04 00:00:00,0,0.0,0.0,0.0,0
100,2020-04-05 00:00:00,0,0.0,0.78,0.5920000000000001,2
101,2020-04-12 00:00:00,0,0.0,0.0,0.0,0
102,2020-04-13 00:00:00,0,0.0,0.154,0.25,1
103,2020-04-26 00:00:00,0,0.0,0.182,0.4404,1
104,2020-04-28 00:00:00,1,0.0,0.39,0.7506,1
105,2020-04-29 00:00:00,0,0.0,0.184,0.4019,1
106,2020-04-30 00:00:00,-1,0.0,0.18899999999999997,0.2732,1
107,2020-05-01 00:00:00,0,0.0,0.0,0.0,0
108,2020-05-02 00:00:00,1,0.0,0.33299999999999996,0.4588,1
109,2020-05-03 00:00:00,0,0.0,0.0,0.0,0
110,2020-05-05 00:00:00,0,0.0,0.6839999999999999,1.1313,3
111,2020-05-07 00:00:00,0,0.0,0.0,0.0,0
112,2020-05-12 00:00:00,-2,0.44,1.655,1.3323,2
113,2020-05-13 00:00:00,0,0.0,0.245,0.3818,1
114,2020-05-14 00:00:00,0,0.0,0.0,0.0,0
115,2020-05-15 00:00:00,1,0.0,0.40399999999999997,0.7548,2
116,2020-05-18 00:00:00,0,0.22399999999999998,0.0,-0.3818,-1
117,2020-05-19 00:00:00,0,0.0,0.484,0.9878,2
118,2020-05-20 00:00:00,0,0.0,0.0,0.0,0
119,2020-05-22 00:00:00,1,0.0,0.0,0.0,0
120,2020-05-23 00:00:00,0,0.252,0.0,-0.4023,-1
121,2020-05-25 00:00:00,-1,0.0,0.629,0.9119,2
122,2020-05-26 00:00:00,0,0.174,0.0,-0.2755,-1
123,2020-05-27 00:00:00,0,0.0,0.18,0.29600000000000004,1
124,2020-05-28 00:00:00,2,0.0,0.406,0.843,2
125,2020-05-29 00:00:00,-2,0.15,0.5579999999999999,0.8208,2
126,2020-05-30 00:00:00,0,0.0,0.0,0.0,0
127,2020-05-31 00:00:00,0,0.16699999999999998,0.0,-0.1027,-1
128,2020-06-01 00:00:00,3,0.0,1.3249999999999995,2.6309000000000005,4
129,2020-06-03 00:00:00,0,0.0,0.7140000000000001,1.1828,4
130,2020-06-04 00:00:00,-5,0.222,4.305999999999999,7.158999999999999,10
131,2020-06-05 00:00:00,1,0.0,1.649,2.3935,4
132,2020-06-09 00:00:00,0,0.0,0.0,0.0,0
133,2020-06-10 00:00:00,0,0.0,0.155,0.29600000000000004,1
134,2020-06-11 00:00:00,0,0.0,0.133,0.3182,1
135,2020-06-12 00:00:00,0,0.16,0.222,0.2987,0
136,2020-06-13 00:00:00,0,0.0,0.0,0.0,0
137,2020-06-15 00:00:00,-1,0.308,0.155,-0.16279999999999994,0
138,2020-06-16 00:00:00,-2,0.368,0.7030000000000001,0.5131,1
139,2020-06-17 00:00:00,0,0.0,0.155,0.29600000000000004,1
140,2020-06-18 00:00:00,-1,0.0,0.27,0.5719,1
141,2020-06-19 00:00:00,0,0.0,0.34700000000000003,0.8066000000000001,2
142,2020-06-20 00:00:00,0,0.0,0.0,0.0,0
143,2020-06-21 00:00:00,-1,0.0,0.0,0.0,0
144,2020-06-22 00:00:00,0,0.13699999999999998,0.4,0.5008999999999999,1
145,2020-06-24 00:00:00,-1,0.0,0.8909999999999999,1.5074,4
146,2020-06-25 00:00:00,-2,0.17600000000000002,0.607,1.1246999999999998,1
147,2020-06-26 00:00:00,-1,0.0,0.136,0.29600000000000004,1
148,2020-06-29 00:00:00,-2,0.0,0.29,0.5920000000000001,2
149,2020-06-30 00:00:00,11,0.0,6.441,12.2303,27
150,2020-07-01 00:00:00,-4,0.20199999999999999,1.746,3.5410000000000004,8
151,2020-07-02 00:00:00,-1,0.0,0.939,1.7187,3
152,2020-07-03 00:00:00,0,0.0,0.16699999999999998,0.29600000000000004,1
153,2020-07-05 00:00:00,-1,0.0,0.452,0.765,1
154,2020-07-06 00:00:00,-1,0.0,0.777,1.4825,3
155,2020-07-07 00:00:00,0,0.0,0.239,0.5719,1
156,2020-07-08 00:00:00,0,0.0,0.444,0.802,1
157,2020-07-09 00:00:00,-1,0.0,0.423,0.765,1
158,2020-07-10 00:00:00,-1,0.0,0.943,1.2788,3
159,2020-07-13 00:00:00,0,0.0,0.8,0.9176,2
160,2020-07-14 00:00:00,0,0.10300000000000001,0.195,0.4019,1
