,New_Date(dt),posneg,neg,pos,compound,vader_pred
19,2019-12-01 00:00:00,0,0.0,0.0,0.0,0
20,2019-12-02 00:00:00,1,0.0,0.0,0.0,0
21,2019-12-03 00:00:00,0,0.0,2.591,4.3118,8
22,2019-12-04 00:00:00,0,0.0,0.7620000000000001,0.7859,4
23,2019-12-05 00:00:00,3,0.0,0.863,1.5918,3
24,2019-12-09 00:00:00,-2,0.161,0.0,-0.3182,-1
25,2019-12-11 00:00:00,1,0.0,0.43,0.7783,1
26,2019-12-12 00:00:00,0,0.0,0.0,0.0,0
27,2020-01-16 00:00:00,0,0.0,0.21899999999999997,0.4228,1
28,2020-01-20 00:00:00,0,0.0,0.0,0.0,0
29,2020-01-21 00:00:00,-2,0.096,0.11800000000000001,0.128,1
30,2020-01-22 00:00:00,-1,0.0,0.0,0.0,0
31,2020-01-23 00:00:00,0,0.4560000000000001,1.6769999999999998,1.7674,3
32,2020-01-24 00:00:00,-1,0.0,0.0,0.0,0
33,2020-01-26 00:00:00,0,0.0,0.0,0.0,0
34,2020-01-28 00:00:00,0,0.0,0.31,0.5920000000000001,2
35,2020-01-30 00:00:00,0,0.0,0.262,0.4939,1
36,2020-01-31 00:00:00,-1,0.0,0.31,0.5920000000000001,2
37,2020-02-03 00:00:00,0,0.0,0.0,0.0,0
38,2020-02-04 00:00:00,0,0.11199999999999999,0.3200000000000001,0.3059,2
39,2020-02-05 00:00:00,-1,0.35600000000000004,2.0620000000000003,2.8341,7
40,2020-02-06 00:00:00,2,0.475,2.68,3.6091,9
41,2020-02-07 00:00:00,-1,0.625,0.392,0.017800000000000094,-1
42,2020-02-09 00:00:00,0,0.0,0.0,0.0,0
43,2020-02-10 00:00:00,-1,0.0,0.345,0.7003,1
44,2020-02-13 00:00:00,-11,0.91,7.222,10.5794,20
45,2020-02-14 00:00:00,-3,0.0,1.251,2.1229,4
46,2020-02-15 00:00:00,-2,0.0,1.0510000000000002,2.2606,4
47,2020-02-17 00:00:00,-1,0.431,0.127,-0.7351,-1
48,2020-02-18 00:00:00,2,0.0,1.259,1.7831,3
49,2020-02-19 00:00:00,0,0.0,1.433,2.4358,5
50,2020-02-20 00:00:00,-4,0.235,0.772,0.8583999999999998,3
51,2020-02-21 00:00:00,0,0.0,0.6920000000000001,1.1438,2
52,2020-02-23 00:00:00,0,0.0,0.0,0.0,0
53,2020-02-24 00:00:00,-6,0.0,2.9250000000000003,5.4859,10
54,2020-02-25 00:00:00,-1,0.217,0.5589999999999999,0.9803999999999998,2
55,2020-02-26 00:00:00,-2,0.19,0.9259999999999999,1.4941,3
56,2020-02-27 00:00:00,-1,1.084,0.467,-1.4901,-3
57,2020-02-28 00:00:00,0,0.0,5.5470000000000015,8.4366,11
58,2020-02-29 00:00:00,0,0.0,0.0,0.0,0
59,2020-03-02 00:00:00,-2,0.338,0.28800000000000003,-0.2054,-2
60,2020-03-03 00:00:00,-1,0.0,0.25,0.25,1
61,2020-03-04 00:00:00,0,0.0,0.5760000000000001,0.61,4
62,2020-03-05 00:00:00,-5,0.0,1.335,3.1002,5
63,2020-03-08 00:00:00,0,0.0,0.316,0.8126,1
64,2020-03-10 00:00:00,1,0.0,0.22,0.4767,1
65,2020-03-11 00:00:00,0,0.0,0.31,0.4019,1
66,2020-03-12 00:00:00,-1,0.0,0.139,0.2732,1
67,2020-03-13 00:00:00,0,0.0,0.0,0.0,0
68,2020-03-14 00:00:00,0,0.0,0.0,0.0,0
69,2020-03-16 00:00:00,-4,0.84,1.7639999999999998,0.7043000000000001,5
70,2020-03-17 00:00:00,-4,0.7020000000000001,2.225,3.1202,5
71,2020-04-13 00:00:00,0,0.0,0.0,0.0,0
72,2020-04-17 00:00:00,0,0.0,0.11599999999999999,0.1779,1
73,2020-04-18 00:00:00,1,0.0,0.231,0.34,1
74,2020-04-19 00:00:00,2,0.0,0.9440000000000001,2.0378,3
75,2020-04-20 00:00:00,2,0.0,0.4550000000000001,0.8604,2
76,2020-04-21 00:00:00,-4,0.0,0.259,0.4215,1
77,2020-04-22 00:00:00,0,0.0,1.5839999999999996,2.2551,5
78,2020-04-23 00:00:00,1,0.0,0.225,0.4404,1
79,2020-04-24 00:00:00,0,0.0,0.2,0.3612,1
80,2020-04-25 00:00:00,0,0.0,0.0,0.0,0
81,2020-04-26 00:00:00,0,0.17,1.012,1.6467999999999998,4
82,2020-04-27 00:00:00,2,0.0,1.7530000000000001,3.0133,5
83,2020-04-28 00:00:00,0,0.0,0.0,0.0,0
84,2020-04-29 00:00:00,-4,0.244,2.5610000000000004,4.0978,7
85,2020-04-30 00:00:00,-1,0.0,0.716,1.1438,2
86,2020-05-01 00:00:00,0,0.0,0.0,0.0,0
87,2020-05-03 00:00:00,-1,0.20600000000000002,0.0,-0.3818,-1
88,2020-05-04 00:00:00,-2,0.344,0.23800000000000002,-0.4426,-1
89,2020-05-06 00:00:00,0,0.0,0.20800000000000002,0.5464,2
90,2020-05-07 00:00:00,-3,0.417,4.796000000000001,8.9344,15
91,2020-05-08 00:00:00,1,0.254,1.722,2.4219,5
92,2020-05-09 00:00:00,-1,0.0,0.403,0.7742,2
93,2020-05-10 00:00:00,1,0.0,0.0,0.0,0
94,2020-05-11 00:00:00,-4,0.9279999999999999,0.413,-0.7736000000000002,-1
95,2020-05-12 00:00:00,0,0.0,0.5609999999999999,0.9546,3
96,2020-05-13 00:00:00,2,0.0,4.308000000000002,6.4344,14
97,2020-05-14 00:00:00,-2,0.159,1.673,2.8396000000000003,4
98,2020-05-15 00:00:00,-1,0.17600000000000002,0.0,-0.4588,-1
99,2020-05-16 00:00:00,0,0.0,0.0,0.0,0
100,2020-05-17 00:00:00,-2,0.0,0.28600000000000003,0.4939,1
101,2020-05-18 00:00:00,-2,0.0,0.0,0.0,0
102,2020-05-19 00:00:00,0,0.0,0.0,0.0,0
