New_Date(dt),posneg,neg,pos,compound,vader_pred
2019-11-13 00:00:00,-1,0.0,0.0,0.0,0
2019-11-14 00:00:00,-7,1.78,0.129,-3.6561000000000003,-7
2019-11-15 00:00:00,-1,0.611,0.529,-0.1603000000000001,1
2019-11-16 00:00:00,0,0.0,0.0,0.0,0
2019-11-18 00:00:00,1,0.0,0.49200000000000005,1.0596,3
2019-11-25 00:00:00,2,0.0,0.268,0.3558,2
2019-11-27 00:00:00,-2,0.778,0.0,-1.2498,-2
2019-11-29 00:00:00,-10,0.0,0.753,1.3161,3
2019-12-03 00:00:00,0,0.28,0.0,-0.7636,-2
2019-12-04 00:00:00,-2,0.678,0.0,-0.9534,-2
2019-12-05 00:00:00,-9,4.1739999999999995,0.967,-5.2902,-6
2019-12-06 00:00:00,-26,0.0,4.087,9.6201,18
2019-12-07 00:00:00,0,0.227,0.192,-0.30039999999999994,0
2019-12-23 00:00:00,0,0.0,0.0,0.0,0
2020-01-16 00:00:00,1,0.0,0.746,1.2252999999999998,3
2020-01-17 00:00:00,-1,0.0,0.222,0.5719,1
2020-01-20 00:00:00,-1,0.0,0.326,0.7003,1
2020-01-21 00:00:00,-7,0.656,1.053,0.6134999999999998,4
2020-01-22 00:00:00,-2,0.0,0.59,1.1148,2
2020-01-23 00:00:00,-1,0.0,0.157,0.3818,1
2020-01-28 00:00:00,0,0.0,0.0,0.0,0
2020-01-31 00:00:00,0,0.0,0.0,0.0,0
2020-02-01 00:00:00,0,0.0,0.0,0.0,0
2020-02-03 00:00:00,-39,4.139,12.033000000000007,20.355000000000004,43
2020-02-04 00:00:00,-2,1.3190000000000002,2.6150000000000007,2.4299999999999993,5
2020-02-05 00:00:00,0,0.0,0.0,0.0,0
2020-02-06 00:00:00,2,1.498,0.444,-1.7492,-3
2020-02-07 00:00:00,2,0.229,0.2,-0.0772,0
2020-02-08 00:00:00,0,0.0,0.0,0.0,0
2020-02-09 00:00:00,-1,0.305,0.6970000000000001,1.0982999999999998,2
2020-02-10 00:00:00,0,0.07200000000000001,0.879,1.6316,3
2020-02-11 00:00:00,-2,0.298,3.471,5.7584,14
2020-02-12 00:00:00,-4,1.1,2.3970000000000002,2.4166,3
2020-02-14 00:00:00,-9,0.642,2.805999999999999,4.270699999999999,8
2020-02-16 00:00:00,-20,6.385,2.0969999999999995,-8.485899999999999,-22
2020-02-17 00:00:00,-18,2.7590000000000003,7.406000000000002,8.496899999999997,13
2020-02-18 00:00:00,-2,0.301,0.45899999999999996,0.45449999999999996,0
2020-02-19 00:00:00,0,0.0,0.53,1.4454,2
2020-02-21 00:00:00,0,0.0,0.0,0.0,0
2020-02-23 00:00:00,0,0.294,0.0,-0.4526,-2
2020-02-24 00:00:00,-1,0.123,0.0,-0.3071,-1
2020-02-25 00:00:00,0,0.0,0.121,0.0258,0
