New_Date(dt),posneg,neg,pos,compound,vader_pred
2019-11-19 00:00:00,0,0.0,0.237,0.4767,1
2019-11-20 00:00:00,0,0.0,0.256,0.4767,1
2019-11-26 00:00:00,0,0.0,0.0,0.0,0
2019-12-04 00:00:00,0,0.0,0.512,0.9534,2
2019-12-07 00:00:00,0,0.0,0.22,0.4767,1
2019-12-08 00:00:00,0,0.16699999999999998,0.0,-0.29600000000000004,-1
2019-12-16 00:00:00,0,0.0,0.0,0.0,0
2019-12-18 00:00:00,0,0.0,0.0,0.0,0
2019-12-20 00:00:00,0,0.0,0.256,0.4767,1
2020-01-08 00:00:00,0,0.0,0.0,0.0,0
2020-01-09 00:00:00,0,0.0,0.256,0.4767,1
2020-01-10 00:00:00,-1,0.0,0.0,0.0,0
2020-01-13 00:00:00,-1,0.0,0.0,0.0,0
2020-01-14 00:00:00,1,0.0,0.0,0.0,0
2020-02-07 00:00:00,0,0.0,0.22,0.4767,1
2020-02-14 00:00:00,0,0.0,0.091,0.1027,1
2020-02-16 00:00:00,0,0.31,0.0,-0.5920000000000001,-2
2020-02-17 00:00:00,0,0.262,0.0,-0.4939,-1
2020-03-07 00:00:00,0,0.0,0.256,0.4767,1
2020-03-18 00:00:00,0,0.0,0.256,0.4767,1
2020-03-31 00:00:00,0,0.0,0.256,0.4767,1
2020-05-15 00:00:00,0,0.0,0.504,0.7269,1
2020-05-19 00:00:00,0,0.0,0.256,0.4767,1
2020-05-21 00:00:00,0,0.0,0.22,0.4767,1
2020-05-25 00:00:00,0,0.0,0.371,0.6486,1
2020-06-02 00:00:00,0,0.0,0.783,1.2036,2
2020-06-03 00:00:00,0,0.0,0.5,0.8402,1
2020-06-09 00:00:00,0,0.0,0.256,0.4767,1
2020-06-12 00:00:00,0,0.0,0.504,0.7269,1
2020-06-15 00:00:00,0,0.0,0.504,0.7269,1
2020-06-16 00:00:00,0,0.0,0.371,0.6486,1
2020-06-17 00:00:00,0,0.0,0.484,0.7579,1
2020-06-18 00:00:00,0,0.0,0.504,0.7269,1
2020-06-22 00:00:00,0,0.0,0.306,0.6486,1
2020-06-23 00:00:00,0,0.0,0.398,0.6486,1
2020-06-25 00:00:00,0,0.0,0.371,0.6486,1
2020-06-26 00:00:00,0,0.0,0.504,0.7269,1
2020-06-29 00:00:00,0,0.0,0.398,0.6486,1
2020-06-30 00:00:00,0,0.0,0.193,0.4767,1
2020-07-01 00:00:00,0,0.0,0.504,0.7269,1
2020-07-02 00:00:00,0,0.0,0.504,0.7269,1
2020-07-06 00:00:00,0,0.0,0.193,0.4767,1
2020-07-07 00:00:00,0,0.0,0.504,0.7269,1
2020-07-08 00:00:00,0,0.0,0.193,0.4767,1
2020-07-10 00:00:00,0,0.0,0.504,0.7269,1
2020-09-20 00:00:00,0,0.0,0.0,0.0,0
2020-10-17 00:00:00,1,0.0,0.379,0.6705,1
