New_Date(dt),posneg,neg,pos,compound,vader_pred
2019-11-13 00:00:00,-1,0.0,0.507,0.802,1
2019-11-14 00:00:00,-12,0.506,6.264,9.3234,16
2019-11-15 00:00:00,0,0.0,0.273,0.4588,1
2019-11-16 00:00:00,0,0.0,0.0,0.0,0
2019-11-18 00:00:00,0,0.0,0.478,0.5920000000000001,2
2019-11-19 00:00:00,0,0.0,0.191,0.3818,1
2019-11-20 00:00:00,0,0.0,0.0,0.0,0
2019-11-21 00:00:00,-2,0.0,0.536,0.5920000000000001,2
2019-11-25 00:00:00,0,0.0,0.0,0.0,0
2019-11-26 00:00:00,2,0.0,0.396,0.9878,2
2019-11-27 00:00:00,-4,1.2,0.8600000000000001,-0.38979999999999987,-2
2019-11-28 00:00:00,-3,0.9440000000000001,2.508,3.4207000000000005,6
2019-12-02 00:00:00,-2,0.748,0.32799999999999996,-0.5332,-2
2019-12-03 00:00:00,3,0.0,1.1800000000000002,1.9472,4
2019-12-04 00:00:00,8,0.0,1.2,1.4368,2
2019-12-05 00:00:00,0,0.0,0.0,0.0,0
2019-12-06 00:00:00,4,0.73,2.176,3.1803,6
2019-12-07 00:00:00,1,0.0,1.143,1.8711000000000002,3
2019-12-08 00:00:00,-2,0.0,0.324,0.8808,2
2019-12-10 00:00:00,3,0.0,0.0,0.0,0
2019-12-11 00:00:00,2,0.0,0.752,1.3277,2
2019-12-13 00:00:00,1,0.0,0.196,0.29600000000000004,1
2019-12-16 00:00:00,0,0.0,0.0,0.0,0
2020-01-02 00:00:00,0,0.233,0.85,0.5746000000000001,1
2020-01-03 00:00:00,0,0.0,0.689,1.1026000000000002,3
2020-01-05 00:00:00,-2,0.0,1.136,1.7182,2
2020-01-06 00:00:00,2,0.0,0.6,0.9176,2
2020-01-07 00:00:00,7,0.0,3.881,6.185200000000001,12
2020-01-08 00:00:00,-1,0.232,0.394,0.3222,1
2020-01-09 00:00:00,-2,0.346,0.0,-0.6364,-2
2020-01-10 00:00:00,0,0.0,0.508,0.7351,1
2020-01-15 00:00:00,1,0.0,0.172,0.4404,1
2020-01-16 00:00:00,0,0.0,0.0,0.0,0
2020-01-17 00:00:00,3,0.452,0.316,-0.5127,-1
2020-01-19 00:00:00,0,0.194,0.416,0.7636,2
2020-01-22 00:00:00,2,0.0,1.399,2.0982000000000003,5
2020-01-23 00:00:00,1,0.0,1.092,1.9431999999999998,4
2020-01-24 00:00:00,0,0.0,0.3670000000000001,0.4404,1
2020-01-28 00:00:00,2,0.0,0.903,1.5177,3
2020-01-30 00:00:00,0,0.0,0.0,0.0,0
2020-01-31 00:00:00,0,0.0,0.0,0.0,0
2020-02-03 00:00:00,0,0.0,0.418,0.8808,2
2020-02-04 00:00:00,0,0.0,0.294,0.3612,1
2020-02-05 00:00:00,0,0.0,0.278,0.4019,1
2020-02-06 00:00:00,0,0.0,0.0,0.0,0
2020-02-10 00:00:00,-2,0.0,0.0,0.0,0
2020-02-12 00:00:00,-5,0.214,2.296,3.8974999999999995,7
2020-02-13 00:00:00,0,0.0,0.361,0.7837,2
2020-05-12 00:00:00,-1,0.16699999999999998,0.871,1.2941,3
2020-05-13 00:00:00,-3,0.0,3.5889999999999995,5.643,12
2020-05-14 00:00:00,3,0.0,0.756,1.2828,4
2020-05-15 00:00:00,-2,0.482,0.0,-0.4526,-2
2020-05-16 00:00:00,0,0.0,0.0,0.0,0
2020-05-17 00:00:00,-1,0.0,0.403,0.7964,1
2020-05-20 00:00:00,0,0.0,2.4139999999999997,3.4040999999999997,7
2020-05-21 00:00:00,0,0.0,0.311,0.7136,2
2020-05-22 00:00:00,-1,0.0,0.252,0.1544,0
2020-05-23 00:00:00,0,0.0,0.33399999999999996,0.4046,2
2020-05-24 00:00:00,0,0.0,0.0,0.0,0
2020-05-25 00:00:00,1,0.0,0.514,1.1183,3
2020-05-27 00:00:00,0,0.0,0.636,0.843,2
2020-05-28 00:00:00,2,0.0,1.956,3.0338000000000003,8
2020-06-02 00:00:00,1,0.0,0.294,0.3612,1
2020-06-10 00:00:00,-1,0.0,0.146,0.34,1
2020-06-11 00:00:00,0,0.0,0.416,0.6908,1
2020-06-12 00:00:00,-2,0.0,1.5020000000000002,2.8444000000000003,6
2020-06-15 00:00:00,-1,0.0,0.0,0.0,0
2020-06-16 00:00:00,0,0.0,0.0,0.0,0
2020-06-17 00:00:00,0,0.0,0.0,0.0,0
2020-06-19 00:00:00,-2,0.0,0.472,1.1438,2
2020-06-21 00:00:00,-2,0.0,0.472,1.1438,2
2020-06-22 00:00:00,-4,0.0,0.4690000000000001,0.9537,2
2020-06-23 00:00:00,-1,0.0,4.599,8.9611,17
2020-06-24 00:00:00,-3,0.83,1.158,1.2125,3
2020-06-25 00:00:00,0,0.0,0.0,0.0,0
2020-06-26 00:00:00,2,0.0,1.04,1.971,4
2020-06-29 00:00:00,0,0.0,0.696,1.1718,2
2020-06-30 00:00:00,-2,0.0,1.729,2.78,5
2020-07-01 00:00:00,-2,0.0,0.6920000000000001,1.1438,2
2020-07-02 00:00:00,0,0.0,0.33799999999999997,0.5464,2
2020-07-03 00:00:00,0,0.0,0.0,0.0,0
2020-07-06 00:00:00,0,0.0,1.7519999999999998,2.9471,6
2020-07-07 00:00:00,-2,0.377,0.436,0.3272999999999999,1
2020-07-09 00:00:00,0,0.0,0.0,0.0,0
2020-07-10 00:00:00,0,0.0,0.0,0.0,0
2020-07-12 00:00:00,0,0.0,0.0,0.0,0
2020-07-13 00:00:00,-4,0.0,1.106,1.8735,4
2020-07-14 00:00:00,0,0.0,0.0,0.0,0
2020-07-16 00:00:00,0,0.0,0.8190000000000001,1.11,2
2020-07-18 00:00:00,0,0.0,0.0,0.0,0
2020-07-20 00:00:00,0,0.0,0.187,0.3182,1
2020-07-22 00:00:00,0,0.0,0.0,0.0,0
2020-07-24 00:00:00,1,0.0,0.0,0.0,0
2020-07-25 00:00:00,0,0.0,0.0,0.0,0
2020-07-26 00:00:00,0,0.5589999999999999,0.0,-0.8880000000000001,-3
2020-07-27 00:00:00,0,0.0,0.0,0.0,0
2020-07-28 00:00:00,0,0.792,1.674,1.6626999999999998,5
2020-07-30 00:00:00,2,0.0,0.396,1.2738,2
2020-08-02 00:00:00,2,0.0,0.0,0.0,0
2020-08-03 00:00:00,-2,0.0,0.636,0.9878,2
2020-08-05 00:00:00,0,0.6480000000000001,0.0,-0.8880000000000001,-3
2020-08-10 00:00:00,0,0.0,0.0,0.0,0
2020-08-13 00:00:00,-16,0.924,8.867999999999999,14.353200000000003,32
2020-08-14 00:00:00,-8,0.234,3.035,5.444800000000001,11
2020-08-15 00:00:00,0,0.0,0.358,0.68,2
2020-08-16 00:00:00,0,0.0,0.4,0.9176,2
2020-08-18 00:00:00,0,0.0,0.0,0.0,0
2020-08-19 00:00:00,0,0.0,0.0,0.0,0
2020-08-20 00:00:00,1,0.0,0.0,0.0,0
2020-08-21 00:00:00,1,0.305,0.606,0.03629999999999994,1
2020-08-22 00:00:00,0,0.0,0.245,0.6369,1
2020-08-23 00:00:00,1,0.0,0.0,0.0,0
2020-08-25 00:00:00,0,0.308,0.0,-0.4588,-1
2020-08-27 00:00:00,0,0.0,0.173,0.3182,1
2020-08-28 00:00:00,1,0.0,0.231,0.4019,1
2020-08-29 00:00:00,1,0.0,0.0,0.0,0
2020-08-31 00:00:00,0,0.0,0.219,0.1027,1
