New_Date(dt),posneg,neg,pos,compound,vader_pred
2019-11-13 00:00:00,-1,0.545,0.0,-1.0817999999999999,-3
2019-11-16 00:00:00,0,0.0,0.0,0.0,0
2019-11-18 00:00:00,0,0.0,0.259,0.4215,1
2019-11-22 00:00:00,0,0.0,0.2,0.3612,1
2019-11-25 00:00:00,0,0.474,0.0,-0.9534,-2
2019-11-28 00:00:00,6,0.0,2.752,4.840300000000001,8
2019-11-29 00:00:00,0,0.0,0.0,0.0,0
2019-12-02 00:00:00,0,0.0,0.474,0.843,2
2019-12-03 00:00:00,-1,0.0,0.991,1.5673,3
2019-12-04 00:00:00,0,0.0,0.0,0.0,0
2019-12-05 00:00:00,1,0.0,0.333,0.5423,1
2019-12-09 00:00:00,0,0.209,0.14400000000000002,-0.3182,-1
2019-12-11 00:00:00,-1,0.0,0.626,1.3023,3
2019-12-12 00:00:00,2,0.0,0.63,1.569,2
2019-12-13 00:00:00,0,0.0,0.0,0.0,0
2019-12-16 00:00:00,0,0.0,0.28600000000000003,0.4215,1
2019-12-18 00:00:00,0,0.0,0.0,0.0,0
2019-12-19 00:00:00,1,0.341,1.0270000000000001,1.476,4
2019-12-20 00:00:00,1,0.16699999999999998,0.33499999999999996,0.4702,1
2019-12-21 00:00:00,0,0.0,0.231,0.2732,1
2019-12-23 00:00:00,0,0.0,0.585,1.3212000000000002,3
2019-12-26 00:00:00,1,0.49,0.195,-0.32319999999999993,-1
2019-12-27 00:00:00,0,0.0,0.5720000000000001,0.843,2
2019-12-31 00:00:00,0,0.0,0.0,0.0,0
2020-01-02 00:00:00,0,0.0,0.924,1.0212,2
2020-01-03 00:00:00,0,0.087,0.0,-0.2263,-1
2020-01-13 00:00:00,-2,0.0,0.527,1.1438,2
2020-01-14 00:00:00,-5,0.0,0.795,1.8034999999999997,3
2020-01-17 00:00:00,0,0.0,0.0,0.0,0
2020-01-20 00:00:00,0,0.0,0.0,0.0,0
2020-01-23 00:00:00,0,0.0,0.0,0.0,0
2020-01-25 00:00:00,2,0.0,0.75,0.9176,2
2020-01-28 00:00:00,0,0.0,1.3980000000000001,2.133,4
2020-01-30 00:00:00,-22,0.621,9.858999999999998,18.121200000000005,32
2020-01-31 00:00:00,-2,0.4320000000000001,1.248,1.6328,2
2020-02-03 00:00:00,2,0.0,0.462,1.0212,2
2020-02-04 00:00:00,-2,0.0,1.052,1.6804,2
2020-02-05 00:00:00,0,0.0,3.273,5.5684000000000005,7
2020-02-06 00:00:00,-2,0.0,0.666,1.0846,2
2020-02-11 00:00:00,0,0.0,0.246,0.5464,2
2020-02-15 00:00:00,-2,0.0,2.199,4.0972,6
2020-02-16 00:00:00,0,0.0,0.228,0.4046,2
2020-02-17 00:00:00,0,0.0,0.255,0.4767,1
2020-02-18 00:00:00,0,0.0,0.21600000000000005,0.29600000000000004,1
2020-02-21 00:00:00,0,0.776,0.0,-1.3816,-2
2020-02-23 00:00:00,-2,0.346,0.452,0.3558,2
2020-02-26 00:00:00,0,0.0,0.0,0.0,0
2020-02-27 00:00:00,1,0.0,0.0,0.0,0
2020-03-02 00:00:00,-2,0.858,0.0,-1.5158,-2
2020-03-03 00:00:00,-4,0.0,0.0,0.0,0
2020-03-04 00:00:00,-2,0.0,0.0,0.0,0
2020-03-16 00:00:00,0,0.0,0.7140000000000001,1.2248,2
2020-03-18 00:00:00,-1,0.341,0.117,-0.3818,-1
2020-04-08 00:00:00,-5,2.301,1.823,-0.9595999999999998,-3
2020-04-09 00:00:00,0,0.0,0.764,1.3502,4
2020-04-10 00:00:00,0,0.5009999999999999,0.0,-1.1454,-3
2020-04-13 00:00:00,3,0.0,3.7779999999999996,4.521100000000001,22
2020-04-14 00:00:00,0,0.0,0.0,0.0,0
2020-04-16 00:00:00,-2,0.324,0.0,-0.9534,-2
2020-04-20 00:00:00,-5,0.0,0.245,0.3818,1
2020-04-21 00:00:00,0,0.0,1.01,1.2498,2
2020-04-22 00:00:00,1,0.0,0.302,0.3818,1
2020-04-23 00:00:00,1,0.0,0.412,0.4215,1
2020-04-24 00:00:00,-22,0.516,5.5859999999999985,10.304100000000004,21
2020-04-26 00:00:00,0,0.0,0.0,0.0,0
2020-04-27 00:00:00,0,0.0,0.0,0.0,0
2020-04-28 00:00:00,0,0.3,0.0,-0.6364,-2
2020-04-29 00:00:00,-2,0.594,0.7819999999999999,0.21179999999999988,0
2020-04-30 00:00:00,2,0.33799999999999997,0.264,-0.4526,-2
2020-05-05 00:00:00,2,0.0,0.426,0.8038,2
2020-05-06 00:00:00,-9,0.0,0.0,0.0,0
2020-05-07 00:00:00,-2,0.0,0.0,0.0,0
2020-05-13 00:00:00,1,0.0,0.412,0.6808,1
2020-05-19 00:00:00,0,0.0,0.7220000000000001,1.0928,4
2020-05-21 00:00:00,0,0.0,0.0,0.0,0
2020-05-23 00:00:00,0,0.388,0.0,-0.6824,-2
2020-05-25 00:00:00,2,0.0,0.9840000000000002,1.4006,2
2020-05-26 00:00:00,-3,0.0,0.482,0.4526,2
2020-05-27 00:00:00,-7,0.0,1.871,4.234699999999999,8
2020-05-28 00:00:00,-3,0.0,0.504,1.1438,2
2020-05-29 00:00:00,2,0.0,1.246,1.7147000000000001,3
2020-05-30 00:00:00,-1,0.0,0.434,0.8151,1
2020-06-01 00:00:00,-1,0.0,0.475,0.8379000000000001,2
2020-06-02 00:00:00,0,0.0,0.26,0.5464,2
2020-06-04 00:00:00,0,0.0,0.55,0.843,2
2020-06-05 00:00:00,-4,0.0,0.0,0.0,0
2020-06-06 00:00:00,-2,0.0,0.0,0.0,0
2020-06-07 00:00:00,0,0.0,0.626,0.9537,2
2020-06-08 00:00:00,2,0.0,0.643,0.9176,2
2020-06-09 00:00:00,0,0.0,0.0,0.0,0
2020-06-11 00:00:00,-1,0.0,0.161,0.3182,1
2020-06-12 00:00:00,0,0.0,0.271,0.3818,1
