,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-29 15:00:00,"In addition, Amore and LG Household & Health Care are mixed with joy...",0,0.0,0.225,0.775,0.4939,1,2020-10-29,2020-10-29 00:00:00
1,2020-10-29 04:02:00,"[Hot Item] LG Household & Health Care'After Metonymy Herbal Serum', for younger skin... you...",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
2,2020-10-28 17:56:00,Dai-gung in the middle of sweeping'who'... LG Saeng-gun laughed and Amore cried in the third quarter,0,0.133,0.153,0.7140000000000001,0.1027,1,2020-10-29,2020-10-29 00:00:00
3,2020-10-26 08:15:00,"LG Saeng-Geon, bottomed out thanks to'Whoo' and started rebounding-IBK",1,0.0,0.266,0.7340000000000001,0.4404,1,2020-10-26,2020-10-26 00:00:00
4,2020-10-26 07:38:00,"[Click e-Event] ""LG Household & Health Care Begins to Recover Representative Channel and Hero Brand""",0,0.0,0.36200000000000004,0.638,0.7783,1,2020-10-26,2020-10-26 00:00:00
5,2020-10-23 08:53:00,"LG Household & Health Care Method, Kitty Bunny Pony collaboration launched",0,0.0,0.37,0.63,0.5719,1,2020-10-23,2020-10-23 00:00:00
6,2020-10-23 08:45:00,"KB Securities ""LG H&H, operating profit growth of 13% next year...Stable growth period...",0,0.0,0.534,0.466,0.8519,1,2020-10-23,2020-10-23 00:00:00
7,2020-10-23 08:26:00,LG H&H's Chinese cosmetics duty-free performance surprise,0,0.0,0.259,0.741,0.2732,1,2020-10-23,2020-10-23 00:00:00
8,2020-10-23 08:23:00,"LG Saenggeon, good performance even in low season… Target price↑-instead of",1,0.15,0.207,0.643,0.2023,1,2020-10-23,2020-10-23 00:00:00
9,2020-10-23 07:43:00,"[Click e-Event] ""LG Household & Health Care, Expectations to Improve Performance in Cosmetics and Household Goods...",1,0.0,0.319,0.6809999999999999,0.7269,1,2020-10-23,2020-10-23 00:00:00
10,2020-10-23 08:10:00,LG H&H's cosmetic performance improvement will accelerate-Hyundai Motor Securities,0,0.0,0.426,0.574,0.6369,1,2020-10-23,2020-10-23 00:00:00
11,2020-10-23 08:03:00,"LG H&H meets 3Q earnings consensus… ""Continue to improve physical fitness""-NH",0,0.0,0.225,0.775,0.4404,1,2020-10-23,2020-10-23 00:00:00
12,2020-10-22 18:27:00,LG Saenggeon is also the “chasukyong effect” New record breaking march even in Corona,-1,0.0,0.0,1.0,0.0,0,2020-10-23,2020-10-23 00:00:00
13,2020-10-22 17:21:00,LG Life Insurance 3Q sales of 2 trillion... New record rewritten,-1,0.0,0.0,1.0,0.0,0,2020-10-23,2020-10-23 00:00:00
