,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-29 16:16:00,SKT wins global award for 5G MEC,1,0.0,0.59,0.41,0.802,1,2020-10-30,2020-10-30 00:00:00
1,2020-10-29 09:39:00,SKT wins global awards for 5G technology,1,0.0,0.573,0.42700000000000005,0.7717,1,2020-10-29,2020-10-29 00:00:00
2,2020-10-29 10:07:00,"SKT, the first in the industry to introduce a verbal AI consultation service'voice bot'",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
3,2020-10-28 16:14:00,"SBI Savings-KCB-SKT, Voice Phishing Prevention'Safe Transfer Service'",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
4,2020-10-28 15:22:00,SBI Savings Bank and KCB and SKT to launch'Secure Transfer Service',0,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
5,2020-10-28 11:44:00,SKT uses ICT to demonstrate the effect of reducing greenhouse gas emissions for electric vehicles,-1,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
6,2020-10-28 10:18:00,"SKT, GHG reduction demonstration project with electric vehicles",0,0.0,0.16699999999999998,0.833,0.1027,1,2020-10-28,2020-10-28 00:00:00
7,2020-10-28 09:23:00,SK Rent-A-Car and SKT and Softberry cooperate with “electric vehicle GHG reduction demonstration”,0,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
8,2020-10-27 18:09:00,"""Experience future ICT""... SKT'T Factory' in Hongdae",0,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
9,2020-10-27 16:14:00,"SK Telecom opens'T Factory', a cultural and innovative technology experience center",0,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-28,2020-10-28 00:00:00
10,2020-10-27 14:59:00,SKT opens ICT Multiplex T Factory… Presenting the future vision,0,0.0,0.2,0.8,0.25,1,2020-10-27,2020-10-27 00:00:00
11,2020-10-27 10:03:00,"“Unmanned stores 24 hours a day, 365 days a year”… Opened the SKT complex cultural space'T Factory'",0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
12,2020-10-27 10:01:00,“From sign-up to phone opening 24 hours untouched” SKT's new attempt,0,0.0,0.0,1.0,0.0,0,2020-10-27,2020-10-27 00:00:00
