,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-31 11:00:00,"[Pharmaceutical Bio Essence] Samsung Biologics, first overseas expansion",-1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
1,2020-10-30 11:10:00,"'9% soaring' Samsung Bio, before 700,000 won recovery",0,0.0,0.34600000000000003,0.654,0.5719,1,2020-10-30,2020-10-30 00:00:00
2,2020-10-29 17:33:00,Samsung Bio opens its first US R&D center... World's No. 1 consignment development,0,0.16699999999999998,0.0,0.833,-0.29600000000000004,-1,2020-10-30,2020-10-30 00:00:00
3,2020-10-29 10:33:00,Samsung Biologics enters the US... Opening of R&D Center in San Fran (general),0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
4,2020-10-29 09:54:00,Samsung Biologics enters the US... Opening of R&D Center in San Fran (complementary),0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
5,2020-10-29 17:29:00,"Samsung Biologics, Samsung brand usage fee of 9.8 billion won",-1,0.0,0.29100000000000004,0.7090000000000001,0.5719,1,2020-10-30,2020-10-30 00:00:00
6,2020-10-29 17:11:00,"Kim Tae-han, CEO of Samsung Biologics “Become a global CDO champion by 2025 ...",0,0.0,0.245,0.755,0.5994,1,2020-10-30,2020-10-30 00:00:00
7,2020-10-29 15:13:00,Samsung Biologics advances to the U.S. home of biotechnology with the CDO business ahead,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
8,2020-10-29 11:38:00,Samsung Biologics opens US CDO Center “2500 biotech next door”,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
9,2020-10-29 11:06:00,"""Global Champion of 2030"" Samsung Biologics to build a forward base in the US",0,0.0,0.245,0.755,0.5994,1,2020-10-29,2020-10-29 00:00:00
10,2020-10-29 11:03:00,"Samsung Biologics enters the main bio market in the US... ""No. 1 CDO in 2025...",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
11,2020-10-29 10:37:00,"Kim Tae-han, President of Samsung Bio, ""2030 is a global bio research, development and production...",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
12,2020-10-29 10:22:00,"Kim Tae-han, CEO of Samsung Biologics, “I will become a global CDO champion by 2025...",0,0.0,0.231,0.769,0.5994,1,2020-10-29,2020-10-29 00:00:00
13,2020-10-29 10:19:00,"Samsung Biologics, full-fledged global expansion...Opens R&D center in the US",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
14,2020-10-29 16:26:00,Samsung Biologics surges in anticipation of Pfizer vaccine 4th in market cap,0,0.0,0.113,0.887,0.1027,1,2020-10-30,2020-10-30 00:00:00
15,2020-10-29 14:54:00,"Samsung Biologics surges 9% during intraday… 4th place in market cap, beating LG Chem",0,0.188,0.0,0.812,-0.4588,-1,2020-10-29,2020-10-29 00:00:00
16,2020-10-29 14:39:00,[EDaily N] Samsung Biologics opens R&D center in the US... First overseas expansion,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
17,2020-10-29 14:29:00,"""Pfizer, the corona vaccine is at the end""... Related stocks such as Samsung Biologics surge",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
18,2020-10-29 13:50:00,[Features] Pfizer vaccine-related trend such as Samsung Biologics,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
19,2020-10-28 16:00:00,Samsung Biologics unveils 184.2 billion won contract partner to Eli Lilly,-1,0.0,0.27,0.73,0.5719,1,2020-10-29,2020-10-29 00:00:00
20,2020-10-28 15:47:00,"Samsung Biologics reveals consignment production contract Eli Lilly & Company, USA",-1,0.0,0.0,1.0,0.0,0,2020-10-28,2020-10-28 00:00:00
21,2020-10-26 08:56:00,"Samsung Biologics,'Buy' to complete 4th plant expansion and maintenance-Heungkuk Securities",0,0.0,0.196,0.804,0.29600000000000004,1,2020-10-26,2020-10-26 00:00:00
22,2020-10-25 18:36:00,Samsung Bio opens US R&D center... Scheduled to open in San Francisco on the 29th,0,0.0,0.0,1.0,0.0,0,2020-10-26,2020-10-26 00:00:00
23,2020-10-24 07:45:00,Samsung Biologics expects full-scale earnings growth from 4Q,0,0.36,0.19399999999999998,0.447,-0.4995,-1,2020-10-24,2020-10-24 00:00:00
24,2020-10-22 17:17:00,780 billion won Samsung Bio plant 4… Samsung Engineering builds,-1,0.0,0.29100000000000004,0.7090000000000001,0.5719,1,2020-10-23,2020-10-23 00:00:00
25,2020-10-22 08:48:00,"Samsung Biologics 3Q earnings fall short of market consensus, lower target price",0,0.16699999999999998,0.0,0.833,-0.29600000000000004,-1,2020-10-22,2020-10-22 00:00:00
26,2020-10-22 07:33:00,Samsung Biologics falls short of 3Q earnings consensus… Target price↓ -KTB,0,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
27,2020-10-22 08:32:00,"Samsung Bio, 3Q solid operating margin… Decreased performance volatility-Yuan hit",0,0.0,0.151,0.8490000000000001,0.1531,1,2020-10-22,2020-10-22 00:00:00
28,2020-10-22 08:18:00,"[Click e-Stock] ""Samsung Biologics, unfortunate 3Q… Earnings growth from 4Q""",0,0.449,0.149,0.402,-0.7378,-1,2020-10-22,2020-10-22 00:00:00
29,2020-10-22 07:59:00,Samsung Biologics expects 4Q earnings to rise-Meritz,0,0.446,0.0,0.5539999999999999,-0.7034,-1,2020-10-22,2020-10-22 00:00:00
30,2020-10-22 08:09:00,Samsung Biologics falls short of 3Q operating profit forecast... Higher SG&A expenses-Samsung,0,0.0,0.209,0.7909999999999999,0.4404,1,2020-10-22,2020-10-22 00:00:00
31,2020-10-21 17:53:00,Samsung Engineering received a letter of intent for successful bid for Samsung Biologics Plant 4,1,0.0,0.24100000000000002,0.759,0.5859,1,2020-10-22,2020-10-22 00:00:00
32,2020-10-21 17:51:00,Samsung Biologics surpassed last year's total sales in the third quarter,1,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
33,2020-10-21 16:38:00,"Samsung Biologics, accumulated sales of 7895 billion in 3Q… Exceeding last year's overall performance",-1,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
34,2020-10-21 17:45:00,Samsung Bio's operating profit increased 139% year-on-year,0,0.0,0.5,0.5,0.6124,1,2020-10-22,2020-10-22 00:00:00
35,2020-10-21 16:46:00,Samsung Biologics surpassed last year's performance in 3 quarters,1,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
36,2020-10-21 16:08:00,Samsung Bio surpassed last year's sales and operating profit in the third quarter of this year,1,0.0,0.162,0.838,0.4404,1,2020-10-22,2020-10-22 00:00:00
37,2020-10-21 16:17:00,"Samsung Biologics, 3Q operating profit of 56.5 billion... 139.5% year-on-year↑",-1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-22,2020-10-22 00:00:00
38,2020-10-21 15:51:00,"Samsung Biologics, 3Q operating profit of 55.6 billion won...139.46% year-on-year↑",-1,0.0,0.244,0.7559999999999999,0.4404,1,2020-10-21,2020-10-21 00:00:00
39,2020-10-21 16:05:00,"Samsung Biologics, 3Q operating profit of 56.5 billion won... 139% ↑ compared to the same period last year",-1,0.0,0.153,0.847,0.4404,1,2020-10-22,2020-10-22 00:00:00
40,2020-10-21 16:03:00,"Samsung Biologics, 3Q operating profit of 56.5 billion won... Compared to the same period last year 139....",-1,0.0,0.153,0.847,0.4404,1,2020-10-22,2020-10-22 00:00:00
41,2020-10-21 10:08:00,Dinona and Samsung Biologics signed a CDMO for COVID-19 treatment antibody,0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
42,2020-10-21 09:47:00,Dinona and Samsung Biologics signed a CDMO for COVID-19 treatment antibody,0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
43,2020-10-21 09:17:00,Dinona signs letter of intent with Samsung Biologics to confirm CDMO for COVID-19 antibody,0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
44,2020-10-21 08:51:00,Dinona and Samsung Biologics signed a CDMO for COVID-19 treatment antibody,0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
45,2020-10-21 08:20:00,"Kumho HT ""Dinona, Samsung Biologics and Corona 19 therapeutic antibody CDM...",0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
46,2020-10-21 08:07:00,"Kumho HT-Dinona, Samsung Biologics and Corona 19 therapeutic antibody CDMO...",0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
47,2020-10-19 08:53:00,Bio-Eleven and Samsung Biologics signed a CDO contract for immuno-cancer drug,0,0.0,0.0,1.0,0.0,0,2020-10-19,2020-10-19 00:00:00
48,2020-10-19 08:46:00,"Min&G'BioEleven', Samsung Biologics and immune anticancer drug'BN-101A...",0,0.0,0.268,0.732,0.29600000000000004,1,2020-10-19,2020-10-19 00:00:00
49,2020-10-19 08:19:00,"[Hot-Line] ""Samsung Biologics continues to grow after bottoming in 3Q results...",0,0.0,0.0,1.0,0.0,0,2020-10-19,2020-10-19 00:00:00
50,2020-10-19 08:03:00,"Samsung Biologics, no reason for embezzlement of executives... ""Time to Buy""-Korea",-1,0.18,0.0,0.82,-0.29600000000000004,-1,2020-10-19,2020-10-19 00:00:00
51,2020-10-19 07:59:00,Samsung Biologics' long-term growth blueprint will become clear,0,0.0,0.46399999999999997,0.536,0.6369,1,2020-10-19,2020-10-19 00:00:00
52,2020-10-19 07:59:00,Samsung Biologics' long-term growth blueprint will become clear,0,0.0,0.46399999999999997,0.536,0.6369,1,2020-10-19,2020-10-19 00:00:00
53,2020-10-19 07:54:00,Samsung Biologics bottoms out in 3Q earnings… Time to Buy-Invest in Korea,0,0.0,0.0,1.0,0.0,0,2020-10-19,2020-10-19 00:00:00
54,2020-10-15 18:08:00,"Samsung Biologics, president and executive officer charged with embezzlement of 4.7 billion",-1,0.141,0.0,0.8590000000000001,-0.2023,-1,2020-10-16,2020-10-16 00:00:00
55,2020-10-15 17:31:00,"[Signal] Samsung Biologics ""confirms the fact of prosecution for embezzlement of current executives""",-1,0.21100000000000002,0.0,0.789,-0.4939,-1,2020-10-16,2020-10-16 00:00:00
56,2020-10-15 17:31:00,"[Signal] Samsung Biologics ""confirms the fact of prosecution for embezzlement of current executives""",-1,0.21100000000000002,0.0,0.789,-0.4939,-1,2020-10-16,2020-10-16 00:00:00
57,2020-10-15 17:26:00,Samsung Biologics “confirms the fact of prosecution for embezzlement of current executives”,-1,0.225,0.0,0.775,-0.4939,-1,2020-10-16,2020-10-16 00:00:00
58,2020-10-15 17:17:00,"Samsung Biologics ""Prosecution of Seoul Central District Prosecutors' Office""",-1,0.28600000000000003,0.0,0.7140000000000001,-0.4939,-1,2020-10-16,2020-10-16 00:00:00
59,2020-10-07 09:44:00,"Samsung Biologics, on the news of consignment production of 20 billion won",-1,0.0,0.252,0.748,0.5719,1,2020-10-7,2020-10-07 00:00:00
60,2020-10-07 08:33:00,"Won an order from Samsung Biologics, entered phase 3 clinical trials for COVID-19 antibody treatment",0,0.0,0.222,0.778,0.5719,1,2020-10-7,2020-10-07 00:00:00
61,2020-10-07 07:59:00,Samsung Bio increases the value of ordered items and strengthens biosimilar competitiveness-Meritz,1,0.0,0.35100000000000003,0.649,0.6597,1,2020-10-7,2020-10-07 00:00:00
62,2020-10-06 17:38:00,"[Securities Market Disclosure] Hanjin Heavy Industries / Hyundai Mipo Shipbuilding / Samsung Biologics, etc.",0,0.0,0.0,1.0,0.0,0,2020-10-7,2020-10-07 00:00:00
63,2020-09-28 17:03:00,Samsung Biologics participates in COVID-19 overcoming campaign,0,0.0,0.0,1.0,0.0,0,2020-9-29,2020-09-29 00:00:00
64,2020-09-27 11:06:00,"[Weekly HOT event] Samsung Bio, business conditions and performance'positive'… Individual net purchase of 95.7 billion won",-1,0.0,0.198,0.802,0.5719,1,2020-9-27,2020-09-27 00:00:00
65,2020-09-24 15:19:00,"[E-Daily N] Samsung Biologics, consignment development of new drugs for retinal diseases of Kanaf Inc.",0,0.0,0.0,1.0,0.0,0,2020-9-24,2020-09-24 00:00:00
66,2020-09-24 10:10:00,Samsung Biologics signs a contract for consignment development (CDO) for retinal disease treatment,0,0.0,0.0,1.0,0.0,0,2020-9-24,2020-09-24 00:00:00
