,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-31 17:11:00,"Samsung GSAT's first day ends in the second half... ""The difficulty is lower than in the first half""",-1,0.223,0.0,0.777,-0.5574,-1,2020-11-1,2020-11-01 00:00:00
1,2020-10-31 16:43:00,"Samsung GSAT online progress.. ""The difficulty was easy""",0,0.212,0.257,0.531,0.128,1,2020-11-1,2020-11-01 00:00:00
2,2020-10-31 16:34:00,"The first day of the online Samsung job aptitude test in the second half... Test takers ""No GSAT""",0,0.115,0.0,0.885,-0.29600000000000004,-1,2020-11-1,2020-11-01 00:00:00
3,2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.8590000000000001,0.4215,1,2020-10-31,2020-10-31 00:00:00
4,2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
5,2020-10-31 16:55:00,"Huawei's ""It hurts to hit"" ...Overseas line Samsung, home line Xiaomi shakes",-1,0.22,0.0,0.78,-0.4767,-1,2020-11-1,2020-11-01 00:00:00
6,2020-10-31 17:11:00,"Samsung GSAT's first day ends in the second half... ""The difficulty is lower than in the first half""",-1,0.223,0.0,0.777,-0.5574,-1,2020-11-1,2020-11-01 00:00:00
7,2020-10-31 16:43:00,"Samsung GSAT online progress.. ""The difficulty was easy""",0,0.212,0.257,0.531,0.128,1,2020-11-1,2020-11-01 00:00:00
8,2020-10-31 16:34:00,"The first day of the online Samsung job aptitude test in the second half... Test takers ""No GSAT""",0,0.115,0.0,0.885,-0.29600000000000004,-1,2020-11-1,2020-11-01 00:00:00
9,2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.8590000000000001,0.4215,1,2020-10-31,2020-10-31 00:00:00
10,2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
11,2020-10-31 16:55:00,"Huawei's ""It hurts to hit"" ...Overseas line Samsung, home line Xiaomi shakes",-1,0.22,0.0,0.78,-0.4767,-1,2020-11-1,2020-11-01 00:00:00
12,2020-10-31 14:36:00,"'Poor is cancer' Innovator Lee Kun-hee, who said'you don't have to go to work'...",-1,0.385,0.0,0.615,-0.8176,-1,2020-10-31,2020-10-31 00:00:00
13,2020-10-31 13:45:00,"'Samsung exam' online public handwriting test...""It's not a bullshit this time""",0,0.0,0.254,0.746,0.4717,1,2020-10-31,2020-10-31 00:00:00
14,2020-10-31 10:19:00,"Samsung Group public loan written test, online for two days starting today",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
15,2020-10-31 13:23:00,"GSAT in the second half of the'Samsung Examination' starts today...""The difficulty was okay""",-1,0.157,0.124,0.7190000000000001,-0.128,-1,2020-10-31,2020-10-31 00:00:00
16,2020-10-31 10:56:00,Samsung bond written test GSAT online progress,1,0.0,0.318,0.682,0.4215,1,2020-10-31,2020-10-31 00:00:00
17,2020-10-31 10:47:00,"First-class online'Samsung exam', GSAT in the second half starts today",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
18,2020-10-31 14:36:00,"'Poor is cancer' Innovator Lee Kun-hee, who said'you don't have to go to work'...",-1,0.385,0.0,0.615,-0.8176,-1,2020-10-31,2020-10-31 00:00:00
19,2020-10-31 14:09:00,"GSAT held in the second half of Samsung… ""It was much easier than the'incompetent' in the first half.""",1,0.0,0.141,0.8590000000000001,0.4215,1,2020-10-31,2020-10-31 00:00:00
20,2020-10-31 13:44:00,Samsung GSAT online in the second half of the year… Smoother than the first half,1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
21,2020-10-31 13:45:00,"'Samsung exam' online public handwriting test...""It's not a bullshit this time""",0,0.0,0.254,0.746,0.4717,1,2020-10-31,2020-10-31 00:00:00
22,2020-10-31 10:19:00,"Samsung Group public loan written test, online for two days starting today",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
23,2020-10-31 13:23:00,"GSAT in the second half of the'Samsung Examination' starts today...""The difficulty was okay""",-1,0.157,0.124,0.7190000000000001,-0.128,-1,2020-10-31,2020-10-31 00:00:00
24,2020-10-31 10:56:00,Samsung bond written test GSAT online progress,1,0.0,0.318,0.682,0.4215,1,2020-10-31,2020-10-31 00:00:00
25,2020-10-31 10:47:00,"First-class online'Samsung exam', GSAT in the second half starts today",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
26,2020-10-31 12:23:00,"Samsung Electronics, labor-management collective bargaining in earnest… Meeting on the 3rd of next month",1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
27,2020-10-31 09:01:00,"[This week's stock market character] Legacy left by Chairman Lee Kun-hee, who left, and Samsung Group",0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
28,2020-10-30 18:25:00,"Samsung Electronics' labor and management, first meeting of collective bargaining on the 3rd of next month",1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
29,2020-10-30 17:32:00,"""If you lose your phone, find it right away""... Samsung `SmartThings Find`",-1,0.19699999999999998,0.0,0.8029999999999999,-0.4019,-1,2020-10-31,2020-10-31 00:00:00
30,2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.17600000000000002,0.0,0.8240000000000001,-0.128,-1,2020-10-30,2020-10-30 00:00:00
31,2020-10-30 17:19:00,Samsung Electronics ranks first in national economy contribution… More than 2nd-4th place combined,0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
32,2020-10-30 15:07:00,"""Samsung Electronics contributes to the national economy, more than the 2nd and 4th companies added""",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
33,2020-10-30 16:38:00,Samsung tops Huawei in global smartphone sales,0,0.0,0.355,0.645,0.5106,1,2020-10-31,2020-10-31 00:00:00
34,2020-10-30 18:25:00,"Samsung Electronics' labor and management, first meeting of collective bargaining on the 3rd of next month",1,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
35,2020-10-30 17:32:00,"""If you lose your phone, find it right away""... Samsung `SmartThings Find`",-1,0.19699999999999998,0.0,0.8029999999999999,-0.4019,-1,2020-10-31,2020-10-31 00:00:00
36,2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.17600000000000002,0.0,0.8240000000000001,-0.128,-1,2020-10-30,2020-10-30 00:00:00
37,2020-10-30 17:19:00,Samsung Electronics ranks first in national economy contribution… More than 2nd-4th place combined,0,0.0,0.0,1.0,0.0,0,2020-10-31,2020-10-31 00:00:00
38,2020-10-30 15:07:00,"""Samsung Electronics contributes to the national economy, more than the 2nd and 4th companies added""",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
39,2020-10-30 16:38:00,Samsung tops Huawei in global smartphone sales,0,0.0,0.355,0.645,0.5106,1,2020-10-31,2020-10-31 00:00:00
40,2020-10-30 14:21:00,[Exclusive] Samsung Electronics Europe business trip employee confirmed COVID-19 during self-isolation,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
41,2020-10-30 14:09:00,Samsung Electronics surpassed Huawei and retakes first place… 3Q global smartphone market 32% ...,1,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
42,2020-10-30 13:44:00,“Samsung Examination” GSAT held for two days starting tomorrow.. Online,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
43,2020-10-30 09:41:00,"Samsung's second half'GSAT', online for two days from the 31st",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
44,2020-10-30 11:35:00,"Samsung Electronics' 50,000 won'bump'… Individuals'lion' in rising expectations",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
45,2020-10-30 11:21:00,"Attracted Series A investment from Wehild, Kakao Ventures, and Samsung Venture Investment",0,0.0,0.21899999999999997,0.7809999999999999,0.4215,1,2020-10-30,2020-10-30 00:00:00
46,2020-10-30 09:00:00,Samsung Electronics launches'SmartThings Find' globally to check the location of Galaxy devices,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
47,2020-10-30 09:41:00,"Samsung's second half'GSAT', online for two days from the 31st",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
48,2020-10-30 09:29:00,"Samsung terminal, location can be checked even offline",0,0.17600000000000002,0.0,0.8240000000000001,-0.128,-1,2020-10-30,2020-10-30 00:00:00
49,2020-10-30 09:00:00,Samsung Electronics launches'SmartThings Find' globally to check the location of Galaxy devices,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
50,2020-10-30 08:36:00,"""Samsung Electronics, both earnings and dividends increase""-KTB Investment & Securities",0,0.0,0.21600000000000003,0.784,0.29600000000000004,1,2020-10-30,2020-10-30 00:00:00
51,2020-10-30 08:31:00,"[Hot-Line] ""Samsung Electronics, next year's earnings and dividends increase""",0,0.0,0.223,0.777,0.3182,1,2020-10-30,2020-10-30 00:00:00
52,2020-10-30 08:33:00,"Samsung Electronics, delayed return policy...""stock price increase engine after 4Q"" -Samsung Securities",-1,0.35,0.23399999999999999,0.41600000000000004,-0.4995,-1,2020-10-30,2020-10-30 00:00:00
53,2020-10-30 08:03:00,"Samsung Electronics' 4Q earnings slowdown is low, but buying opportunity-high",-1,0.358,0.0,0.642,-0.5372,-1,2020-10-30,2020-10-30 00:00:00
54,2020-10-30 08:02:00,Samsung Electronics' earnings slowdown in 4Q is an opportunity to buy low-high investment,-1,0.259,0.15,0.59,-0.4648,-1,2020-10-30,2020-10-30 00:00:00
55,2020-10-30 08:02:00,Samsung Electronics' earnings slowdown in 4Q is an opportunity to buy low-high investment,-1,0.259,0.15,0.59,-0.4648,-1,2020-10-30,2020-10-30 00:00:00
56,2020-10-30 06:50:00,"""Mobile phone sales volume of 88 million units"" ...Samsung, there was no match in the third quarter",-1,0.121,0.0,0.879,-0.29600000000000004,-1,2020-10-30,2020-10-30 00:00:00
57,2020-10-30 06:43:00,Samsung to fold foldable phone'one more time',0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
58,2020-10-30 06:04:00,"'Inheritance tax alone is 11 trillion won' Samsung Group, the expected governance restructuring scenario",-1,0.113,0.209,0.6779999999999999,0.4019,1,2020-10-30,2020-10-30 00:00:00
59,2020-10-30 06:43:00,Samsung to fold foldable phone'one more time',0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
60,2020-10-30 06:04:00,"[2020 Here, put in a time capsule2] ① 40,000 US military bases, including Samsung...",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
61,2020-10-30 06:04:00,"[2020 Here, put in a time capsule2] ① 40,000 US military bases, including Samsung...",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
62,2020-10-30 06:03:00,Samsung SDI bids for a 30 trillion won Hyundai Motor battery business... Samsung-Hyundai Motors Millwall Era...,-1,0.0,0.209,0.7909999999999999,0.5719,1,2020-10-30,2020-10-30 00:00:00
63,2020-10-30 06:02:00,One line of rules for climbing the judges... Will Samsung Electronics 25 trillion sale bomb ignite?,-1,0.17600000000000002,0.0,0.8240000000000001,-0.4939,-1,2020-10-30,2020-10-30 00:00:00
64,2020-10-30 06:00:00,Samsung Electronics writes a new record in 3Q,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
65,2020-10-30 04:02:00,"Samsung Electronics, 100 management and quality veterans direct innovation consulting to partners",0,0.0,0.191,0.809,0.3818,1,2020-10-30,2020-10-30 00:00:00
66,2020-10-30 04:02:00,"Samsung Electronics, 100 management and quality veterans direct innovation consulting to partners",0,0.0,0.191,0.809,0.3818,1,2020-10-30,2020-10-30 00:00:00
67,2020-10-29 18:09:00,"Samsung Electronics recorded 67 trillion in sales, the highest in operating profit in two years of 12.3 trillion",0,0.0,0.146,0.8540000000000001,0.4404,1,2020-10-30,2020-10-30 00:00:00
68,2020-10-29 17:42:00,Samsung Electronics Increases Investment in 3 Years,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
69,2020-10-29 15:45:00,"Samsung Electronics, Earning Surprise… ""The biggest sales ever""",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
70,2020-10-29 15:21:00,"""Smartphone and home appliance are all good""... Samsung Electronics dismisses concerns about'semiconductor focus'",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
71,2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1,2020-10-29,2020-10-29 00:00:00
72,2020-10-29 17:58:00,'Maximum Performance' Increases Samsung Electronics' Semiconductor Investment,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
73,2020-10-29 15:44:00,"Samsung Electronics' fourth quarter, which recorded the highest performance",1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
74,2020-10-29 17:57:00,"Gyo-young Jin, President of Samsung Electronics, “Semiconductor uncertainty still remains.",-1,0.21100000000000002,0.0,0.789,-0.34,-1,2020-10-30,2020-10-30 00:00:00
75,2020-10-29 16:17:00,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,0,0.0,0.45299999999999996,0.547,0.7003,1,2020-10-30,2020-10-30 00:00:00
76,2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1,2020-10-29,2020-10-29 00:00:00
77,2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1,2020-10-29,2020-10-29 00:00:00
78,2020-10-29 17:54:00,"Semiconductors, smartphones and home appliances'saving' ""Foundry, rapid growth in the fourth quarter"" [Samsung Electronics...",0,0.0,0.16699999999999998,0.833,0.3818,1,2020-10-30,2020-10-30 00:00:00
79,2020-10-29 16:52:00,"Samsung Electronics, Pent-up-'Surprising Performance' from Huawei",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
80,2020-10-29 17:44:00,Samsung Electronics to attack 35 trillion won this year,-1,0.225,0.268,0.507,0.1531,1,2020-10-30,2020-10-30 00:00:00
81,2020-10-29 17:43:00,Samsung Electronics Kang Ho-gyu · SK Hynix Kim Jin-guk'Silver Tower Industrial Medal',0,0.0,0.237,0.763,0.4767,1,2020-10-30,2020-10-30 00:00:00
82,2020-10-29 17:42:00,Samsung Electronics Increases Investment in 3 Years,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
83,2020-10-29 15:45:00,"Samsung Electronics, Earning Surprise… ""The biggest sales ever""",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
84,2020-10-29 15:21:00,"""Smartphone and home appliance are all good""... Samsung Electronics dismisses concerns about'semiconductor focus'",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
85,2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1,2020-10-29,2020-10-29 00:00:00
86,2020-10-29 17:40:00,Samsung's'Galaxy Power' IM operating profit rose by 4.4...52%,0,0.0,0.293,0.7070000000000001,0.4404,1,2020-10-30,2020-10-30 00:00:00
87,2020-10-29 13:36:00,"Samsung phones sold 8 million units, record-breaking performance, next year's'foldable phone' competition",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
88,2020-10-29 13:28:00,"""Sell a lot and fasten your belt""... Samsung phones, the highest performance in 3 years (total)",1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
89,2020-10-29 17:33:00,Samsung Electronics expands ESG investment... Vice Chairman Lee's founding remark,0,0.0,0.135,0.865,0.1027,1,2020-10-30,2020-10-30 00:00:00
90,2020-10-29 17:29:00,"Samsung Biologics, Samsung brand usage fee of 9.8 billion won",-1,0.0,0.29100000000000004,0.7090000000000001,0.5719,1,2020-10-30,2020-10-30 00:00:00
91,2020-10-29 17:28:00,Samsung's'artificial human neon' joined hands with CJ,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
92,2020-10-29 13:44:00,"Samsung Electronics-CJ, artificial human business cooperation",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
93,2020-10-29 17:06:00,"Samsung Electronics surpassed expectations in 3Q,'opaque' in 4Q",1,0.408,0.0,0.5920000000000001,-0.7034,-1,2020-10-30,2020-10-30 00:00:00
94,2020-10-29 11:05:00,Corona retaliatory consumption... Samsung Electronics' 3rd quarter surprise results,0,0.0,0.20800000000000002,0.792,0.2732,1,2020-10-29,2020-10-29 00:00:00
95,2020-10-29 16:56:00,"Create a new history like a father,'Lee Jae-yong Samsung Electronics' writes a new record of 67 trillion won in sales",-1,0.0,0.37200000000000005,0.628,0.8074,1,2020-10-30,2020-10-30 00:00:00
96,2020-10-29 13:00:00,"3Q operating profit of 5,540 billion won... The secret to the advancement of'Samsung Semiconductor'",-1,0.0,0.182,0.818,0.4404,1,2020-10-29,2020-10-29 00:00:00
97,2020-10-29 16:52:00,"Samsung Electronics, Pent-up-'Surprising Performance' from Huawei",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
98,2020-10-29 16:19:00,"""You have to get together""... Samsung·SK·LG strengthening the joint market in crisis",1,0.237,0.185,0.578,-0.2263,-1,2020-10-30,2020-10-30 00:00:00
99,2020-10-29 16:17:00,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,0,0.0,0.45299999999999996,0.547,0.7003,1,2020-10-30,2020-10-30 00:00:00
100,2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1,2020-10-29,2020-10-29 00:00:00
101,2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1,2020-10-29,2020-10-29 00:00:00
102,2020-10-29 16:01:00,"Samsung Phone, number one in the Indian market in the third quarter... Beyond Xiaomi in 2 years",0,0.0,0.08,0.92,0.0772,0,2020-10-30,2020-10-30 00:00:00
103,2020-10-29 15:17:00,Samsung retakes top Indian market after 2 years,0,0.0,0.231,0.769,0.2023,1,2020-10-29,2020-10-29 00:00:00
104,2020-10-29 15:56:00,"Samsung, ‘Gallery Note 20 box office’… Achieved 4 trillion in smartphone operating profit (total)",-1,0.0,0.195,0.805,0.4404,1,2020-10-29,2020-10-29 00:00:00
105,2020-10-29 15:45:00,"Samsung Electronics, Earning Surprise… ""The biggest sales ever""",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
106,2020-10-29 15:21:00,"""Smartphone and home appliance are all good""... Samsung Electronics dismisses concerns about'semiconductor focus'",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
107,2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1,2020-10-29,2020-10-29 00:00:00
108,2020-10-29 15:44:00,"Samsung Electronics' fourth quarter, which recorded the highest performance",1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
109,2020-10-29 15:22:00,[Features] Samsung Electronics continues to weaken despite record-high sales in the third quarter,-1,0.18899999999999997,0.0,0.8109999999999999,-0.4215,-1,2020-10-29,2020-10-29 00:00:00
110,2020-10-29 15:21:00,"""Smartphone and home appliance are all good""... Samsung Electronics dismisses concerns about'semiconductor focus'",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
111,2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1,2020-10-29,2020-10-29 00:00:00
112,2020-10-29 15:17:00,Samsung retakes top Indian market after 2 years,0,0.0,0.231,0.769,0.2023,1,2020-10-29,2020-10-29 00:00:00
113,2020-10-29 15:10:00,Samsung Electronics' quarterly sales of 67 trillion won,-1,0.0,0.34600000000000003,0.654,0.5719,1,2020-10-29,2020-10-29 00:00:00
114,2020-10-29 15:09:00,Samsung Electronics 3Q sales 67 trillion,-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
115,2020-10-29 15:09:00,Samsung Electronics 3Q sales 67 trillion,-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
116,2020-10-29 14:56:00,[Fund Zoom In]'Samsung Electronics Alpha Hybrid Fund' that invests only in bonds and Samsung Electronics,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
117,2020-10-29 14:17:00,"CoAsia ""CoAsia Semi, Participated in Samsung SAFE Forum...Loading Foundry Business...",0,0.0,0.28800000000000003,0.7120000000000001,0.5622,1,2020-10-29,2020-10-29 00:00:00
118,2020-10-29 13:47:00,"""CoAsia Semi, Participated in Samsung SAFE Forum""",0,0.0,0.377,0.623,0.5622,1,2020-10-29,2020-10-29 00:00:00
119,2020-10-29 13:44:00,"Samsung Electronics-CJ, artificial human business cooperation",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
120,2020-10-29 10:18:00,Samsung and CJ to create an'artificial human' influencer [Video],0,0.0,0.20800000000000002,0.792,0.2732,1,2020-10-29,2020-10-29 00:00:00
121,2020-10-29 13:42:00,"Samsung Electronics ""Semiconductor will turn around in the first half of next year""",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
122,2020-10-29 13:36:00,"Samsung phones sold 8 million units, record-breaking performance, next year's'foldable phone' competition",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
123,2020-10-29 13:28:00,"""Sell a lot and fasten your belt""... Samsung phones, the highest performance in 3 years (total)",1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
124,2020-10-29 13:44:00,"Samsung Electronics-CJ, artificial human business cooperation",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
125,2020-10-29 10:18:00,Samsung and CJ to create an'artificial human' influencer [Video],0,0.0,0.20800000000000002,0.792,0.2732,1,2020-10-29,2020-10-29 00:00:00
126,2020-10-29 13:42:00,"Samsung Electronics ""Semiconductor will turn around in the first half of next year""",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
127,2020-10-29 13:36:00,"Samsung phones sold 8 million units, record-breaking performance, next year's'foldable phone' competition",-1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
128,2020-10-29 13:28:00,"""Sell a lot and fasten your belt""... Samsung phones, the highest performance in 3 years (total)",1,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
129,2020-10-29 13:17:00,1987 vs 2020... Samsung Electronics sales 58 times ↑,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
130,2020-10-29 10:18:00,Samsung and CJ to create an'artificial human' influencer [Video],0,0.0,0.20800000000000002,0.792,0.2732,1,2020-10-29,2020-10-29 00:00:00
131,2020-10-29 13:00:00,"3Q operating profit of 5,540 billion won... The secret to the advancement of'Samsung Semiconductor'",-1,0.0,0.182,0.818,0.4404,1,2020-10-29,2020-10-29 00:00:00
132,2020-10-29 12:39:00,"Samsung Electronics ""The demand for server memory is expected to recover next year...mobile also increases""",0,0.09699999999999999,0.0,0.903,-0.128,-1,2020-10-29,2020-10-29 00:00:00
133,2020-10-29 12:33:00,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,0,0.0,0.345,0.655,0.7003,1,2020-10-29,2020-10-29 00:00:00
134,2020-10-29 11:00:00,"Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit",0,0.0,0.203,0.797,0.4215,1,2020-10-29,2020-10-29 00:00:00
135,2020-10-29 11:53:00,“ODM limited progress… Minimizing the impact of suppliers”-Samsung Electronics Concall,0,0.174,0.0,0.826,-0.2263,-1,2020-10-29,2020-10-29 00:00:00
136,2020-10-29 11:53:00,“ODM limited progress… Minimizing the impact of suppliers”-Samsung Electronics Concall,0,0.174,0.0,0.826,-0.2263,-1,2020-10-29,2020-10-29 00:00:00
137,2020-10-29 11:49:00,"“Active promotion of 5G business expansion in India, Japan, and Europe”-Samsung Electronics Concall",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
138,2020-10-29 11:47:00,"[Samsung Electronics Concall] ""Active promotion of 5G equipment business in Japan, Europe and India""",0,0.0,0.172,0.828,0.4019,1,2020-10-29,2020-10-29 00:00:00
139,2020-10-29 11:47:00,"[Samsung Electronics Concall] ""Active promotion of 5G equipment business in Japan, Europe and India""",0,0.0,0.172,0.828,0.4019,1,2020-10-29,2020-10-29 00:00:00
140,2020-10-29 11:36:00,"[Samsung Electronics Concall] ""We will operate a lineup suitable for regional characteristics of 5G smartphones...",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
141,2020-10-29 11:49:00,"“Active promotion of 5G business expansion in India, Japan, and Europe”-Samsung Electronics Concall",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
142,2020-10-29 11:47:00,"[Samsung Electronics Concall] ""Active promotion of 5G equipment business in Japan, Europe and India""",0,0.0,0.172,0.828,0.4019,1,2020-10-29,2020-10-29 00:00:00
143,2020-10-29 11:47:00,"[Samsung Electronics Concall] ""Active promotion of 5G equipment business in Japan, Europe and India""",0,0.0,0.172,0.828,0.4019,1,2020-10-29,2020-10-29 00:00:00
144,2020-10-29 11:36:00,"[Samsung Electronics Concall] ""We will operate a lineup suitable for regional characteristics of 5G smartphones...",0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
145,2020-10-29 11:46:00,"""The number of foundries is expected to grow in the second half next year""-Samsung Electronics Concall",0,0.0,0.08,0.92,0.0772,0,2020-10-29,2020-10-29 00:00:00
146,2020-10-29 11:42:00,Samsung Electronics quarterly sales record... Vice Chairman Lee Jae-yong goes straight to the workplace,0,0.0,0.128,0.872,0.2263,1,2020-10-29,2020-10-29 00:00:00
147,2020-10-29 09:29:00,"Samsung Electronics writes a new quarterly sales history, reaching 67 trillion in the third quarter,'the largest ever'",-1,0.0,0.107,0.893,0.2023,1,2020-10-29,2020-10-29 00:00:00
