,Date,EngTitle,posneg,neg,pos,neu,compound,vader_pred,New_date(str),New_Date(dt)
0,2020-10-31 08:01:00,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...",0,0.0,0.239,0.7609999999999999,0.5267,1,2020-10-31,2020-10-31 00:00:00
1,2020-10-31 08:01:00,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...",0,0.0,0.239,0.7609999999999999,0.5267,1,2020-10-31,2020-10-31 00:00:00
2,2020-10-30 09:02:00,"[Today's target price] Hyundai Mobis raised to 300,000 won",0,0.0,0.316,0.684,0.5719,1,2020-10-30,2020-10-30 00:00:00
3,2020-10-30 04:02:00,"Hyundai Mobis opens lab doors to partners... 2,000 cases used last year",0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
4,2020-10-29 17:36:00,Hyundai Mobis sales year-on-year 6%↑,0,0.0,0.0,1.0,0.0,0,2020-10-30,2020-10-30 00:00:00
5,2020-10-29 17:35:00,Hyundai Mobis surpasses 1 trillion won in quarterly sales for the electrification business,0,0.0,0.252,0.748,0.5719,1,2020-10-30,2020-10-30 00:00:00
6,2020-10-29 14:29:00,Hyundai Mobis surpasses KRW 10 trillion in sales in the third quarter...,0,0.0,0.0,1.0,0.0,0,2020-10-29,2020-10-29 00:00:00
7,2020-10-29 14:21:00,"Hyundai Mobis, sales approaching 10 trillion won in the third quarter... Driving the performance of electrification and SUV",-1,0.0,0.179,0.821,0.5719,1,2020-10-29,2020-10-29 00:00:00
8,2020-10-29 14:12:00,First trillion in sales of electrification Hyundai Mobis breaks through corona and saves profits,-1,0.0,0.182,0.818,0.4404,1,2020-10-29,2020-10-29 00:00:00
9,2020-10-29 14:11:00,"Hyundai Mobis, 3Q operating profit of 5983 billion won... Sales of electrification business'Quarterly KRW 1 trillion...",-1,0.0,0.172,0.828,0.4404,1,2020-10-29,2020-10-29 00:00:00
10,2020-10-29 14:09:00,"Hyundai Mobis, 3Q operating profit of 5983 billion... First trillion in sales of electrification",-1,0.0,0.182,0.818,0.4404,1,2020-10-29,2020-10-29 00:00:00
11,2020-10-29 17:31:00,"Hyundai Mobis, operating profit of 5983 billion... 20% higher than expected",-1,0.0,0.225,0.775,0.4404,1,2020-10-30,2020-10-30 00:00:00
12,2020-10-29 16:51:00,Hyundai Mobis'saved 600 billion won' operating profit even in Corona 19,-1,0.0,0.423,0.5770000000000001,0.765,1,2020-10-30,2020-10-30 00:00:00
13,2020-10-29 15:13:00,Hyundai Mobis shares weaker despite earnings exceeding expectations in 3Q,-1,0.221,0.168,0.611,-0.1779,-1,2020-10-29,2020-10-29 00:00:00
14,2020-10-29 15:03:00,"Hyundai Mobis,'Shenzhen' exceeding 3Q expected Electricization sales exceeded 1 trillion won",-1,0.0,0.29100000000000004,0.7090000000000001,0.5719,1,2020-10-29,2020-10-29 00:00:00
15,2020-10-29 14:17:00,Hyundai Mobis turned to recovery in 3Q... Both sales and operating profit increased compared to the previous quarter (complementary...,0,0.0,0.22699999999999998,0.773,0.6124,1,2020-10-29,2020-10-29 00:00:00
16,2020-10-29 14:50:00,Hyundai Mobis disposes of 17.2 billion won of treasury shares,-1,0.0,0.524,0.47600000000000003,0.7717,1,2020-10-29,2020-10-29 00:00:00
17,2020-10-29 14:50:00,Hyundai Mobis disposes of 17.2 billion won of treasury shares,-1,0.0,0.524,0.47600000000000003,0.7717,1,2020-10-29,2020-10-29 00:00:00
18,2020-10-29 14:31:00,"Hyundai Mobis, 3Q operating profit of 5983 billion won... 0.9% YoY ↓",-1,0.0,0.225,0.775,0.4404,1,2020-10-29,2020-10-29 00:00:00
19,2020-10-29 14:09:00,"Hyundai Mobis, 3Q operating profit of 598.3 billion...",-1,0.0,0.293,0.7070000000000001,0.4404,1,2020-10-29,2020-10-29 00:00:00
20,2020-10-29 13:47:00,"[Disclosure] Hyundai Mobis decides to dispose of 68,005 treasury shares",0,0.0,0.33299999999999996,0.667,0.4588,1,2020-10-29,2020-10-29 00:00:00
21,2020-10-29 12:20:00,Hyundai Mobis signs a 5 billion won contract for brand usage with Hyundai Motor Group,-1,0.0,0.23600000000000002,0.764,0.5719,1,2020-10-29,2020-10-29 00:00:00
22,2020-10-28 15:29:00,Hyundai Mobis purchases MMT worth KRW 90 billion,-1,0.0,0.213,0.787,0.2263,1,2020-10-28,2020-10-28 00:00:00
23,2020-10-22 11:24:00,"Hyundai Mobis, with 1000 eco-friendly patents, won the Minister's Award",0,0.0,0.474,0.526,0.802,1,2020-10-22,2020-10-22 00:00:00
24,2020-10-22 11:19:00,"Hyundai Mobis, selected as'Excellent Company in Response to International Environmental Regulations'...",0,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
25,2020-10-22 10:02:00,"Holds 1,000 international certifications and patents for “Eco-friendly Management” by Hyundai Mobis",0,0.0,0.0,1.0,0.0,0,2020-10-22,2020-10-22 00:00:00
26,2020-10-22 10:01:00,"Hyundai Mobis, which holds 1,000 environmental patents and certifications, won the Minister of Industry Award",0,0.0,0.35600000000000004,0.644,0.802,1,2020-10-22,2020-10-22 00:00:00
27,2020-10-22 10:00:00,Hyundai Mobis selected as an excellent company responding to environmental regulations... Eco-friendly certification and patent '1000...,0,0.0,0.198,0.802,0.5719,1,2020-10-22,2020-10-22 00:00:00
28,2020-10-22 10:00:00,Hyundai Mobis selected as an excellent company responding to environmental regulations... Eco-friendly certification and patent '1000...,0,0.0,0.198,0.802,0.5719,1,2020-10-22,2020-10-22 00:00:00
29,2020-10-22 10:00:00,Hyundai Mobis selected as an excellent company responding to environmental regulations... Eco-friendly certification and patent '1000...,0,0.0,0.198,0.802,0.5719,1,2020-10-22,2020-10-22 00:00:00
30,2020-10-20 17:28:00,Let's open the Euiseon Era... Hyundai Glovis and Mobis surge,0,0.0,0.0,1.0,0.0,0,2020-10-21,2020-10-21 00:00:00
31,2020-10-19 06:20:00,"[Recommended Week of the Week] Hyundai Mobis, Eco-RoBM...",0,0.0,0.0,1.0,0.0,0,2020-10-19,2020-10-19 00:00:00
32,2020-10-17 08:02:00,"[Weekly Recommended Week for Hana Geumtu]'Love Call to Strengthen Competitiveness'... Samsung Electronics, Mobis, Ecoro...",1,0.0,0.255,0.745,0.4767,1,2020-10-17,2020-10-17 00:00:00
33,2020-10-14 12:27:00,"Honorary Chairman Chung Mong-koo, CEO of Hyundai Mobis also resigned",0,0.161,0.19399999999999998,0.645,0.1027,1,2020-10-14,2020-10-14 00:00:00
34,2020-10-14 10:00:00,Hyundai Mobis changed to the system of CEO Eui-sun Eui-sun and Jeong-guk Park,0,0.0,0.0,1.0,0.0,0,2020-10-14,2020-10-14 00:00:00
35,2020-10-14 09:51:00,"[Disclosure] Hyundai Mobis, Eui-seon Eui and Jeong-guk Park CEO system",0,0.0,0.0,1.0,0.0,0,2020-10-14,2020-10-14 00:00:00
36,2020-10-13 14:44:00,Hyundai Mobis surges 3.5% on news of Hyundai Motors Singapore Innovation Center construction,0,0.0,0.17800000000000002,0.8220000000000001,0.3818,1,2020-10-13,2020-10-13 00:00:00
37,2020-10-13 10:03:00,Hyundai Mobis nurtures future car talent... Build an online SW education platform,0,0.0,0.209,0.7909999999999999,0.4404,1,2020-10-13,2020-10-13 00:00:00
38,2020-10-13 10:01:00,"""Coding is the basic for employees of Hyundai Mobis"".. Opened the SW education platform",0,0.0,0.0,1.0,0.0,0,2020-10-13,2020-10-13 00:00:00
39,2020-10-13 10:00:00,"Hyundai Mobis ""Learn SW online at a company"" exclusive platform opened",0,0.0,0.14300000000000002,0.857,0.128,1,2020-10-13,2020-10-13 00:00:00
40,2020-10-13 10:00:00,"Hyundai Mobis ""Learn SW online at a company"" exclusive platform opened",0,0.0,0.14300000000000002,0.857,0.128,1,2020-10-13,2020-10-13 00:00:00
41,2020-10-13 10:00:00,"Hyundai Mobis ""Learn SW online at a company"" exclusive platform opened",0,0.0,0.14300000000000002,0.857,0.128,1,2020-10-13,2020-10-13 00:00:00
42,2020-10-08 12:54:00,Hyundai Mobis secures four core technologies for future cars,0,0.0,0.223,0.777,0.3182,1,2020-10-8,2020-10-08 00:00:00
43,2020-10-07 18:02:00,Hyundai Mobis invests in British startups... Expanding the infotainment business,0,0.0,0.0,1.0,0.0,0,2020-10-8,2020-10-08 00:00:00
44,2020-10-07 17:15:00,Hyundai Mobis invests 30 billion won in Nbizix,-1,0.0,0.34600000000000003,0.654,0.5719,1,2020-10-8,2020-10-08 00:00:00
45,2020-10-07 16:05:00,"Hyundai Mobis invests US$25 million in Nbizix, an AR HUD company",-1,0.0,0.0,1.0,0.0,0,2020-10-8,2020-10-08 00:00:00
46,2020-10-07 16:01:00,Hyundai Mobis shoots 30 billion won on augmented reality head-up display,-1,0.0,0.27,0.73,0.5719,1,2020-10-8,2020-10-08 00:00:00
47,2020-10-07 16:01:00,Hyundai Mobis shoots 30 billion won on augmented reality head-up display,-1,0.0,0.27,0.73,0.5719,1,2020-10-8,2020-10-08 00:00:00
48,2020-10-07 16:01:00,Hyundai Mobis shoots 30 billion won on augmented reality head-up display,-1,0.0,0.27,0.73,0.5719,1,2020-10-8,2020-10-08 00:00:00
49,2020-10-07 16:00:00,Hyundai Mobis invests 25 million dollars in Nbizix AR HUD joint development,-1,0.0,0.0,1.0,0.0,0,2020-10-8,2020-10-08 00:00:00
50,2020-10-07 16:00:00,Hyundai Mobis invests 25 million dollars in Nbizix AR HUD joint development,-1,0.0,0.0,1.0,0.0,0,2020-10-8,2020-10-08 00:00:00
51,2020-10-07 16:00:00,Hyundai Mobis invests 25 million dollars in Nbizix AR HUD joint development,-1,0.0,0.0,1.0,0.0,0,2020-10-8,2020-10-08 00:00:00
52,2020-10-06 08:57:00,"[Industry attack] Automobile, oil refinery, Hyundai Mobis",0,0.0,0.0,1.0,0.0,0,2020-10-6,2020-10-06 00:00:00
53,2020-10-05 11:52:00,"""Hyundai Mobis senior will give you tips for joining the company""",0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
54,2020-10-05 11:48:00,Hyundai Mobis Online Recruitment Seminar... Passing Secret'Attention',0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
55,2020-10-05 09:06:00,Mobis employment tips revealed at'Online Recruitment Information Session',0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
56,2020-10-05 09:00:00,"Hyundai Mobis, online recruitment briefing on the 6th",0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
57,2020-10-05 09:20:00,Communicate with MZ generation through'Online Recruitment Information Session' for Hyundai Mobis 2H recruitment,0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
58,2020-10-05 09:00:00,"Hyundai Mobis, online recruitment briefing on the 6th",0,0.0,0.0,1.0,0.0,0,2020-10-5,2020-10-05 00:00:00
