Date,Title,EngTitle,JapEngTitle
2020-10-28 19:09:00,"KB금융지주 이사회, 노조 추천 사외이사 반대",KB Financial Group's Board of Directors opposes union recommendation outside director,KB Financial Shareholding Association Opposes Labor Union Recommended Outside Directors
2020-10-28 18:44:00,"KB금융 이사회, 노조 추천 사외이사 선임 반대",KB Finance Board of Directors opposes appointment of outside director recommended by union,KB Financial Board Opposes Trade Union Recommended Outside Director Appointment
2020-10-28 17:14:00,"""노조 추천 사외이사 반대""…KB금융 이사회 공식 거부","""No union recommended outside director""... KB Finance Board of Directors officially rejected","""Opposed to union-recommended outside directors"" ... KB Financial Board Official Refusal"
2020-10-28 16:33:00,"KB금융이사회 ""우리사주조합 추천 사외이사 반대""","KB Finance Board ""Opposite outside directors recommended by the employee stock ownership association","KB Financial Board ""Opposed to outside directors recommended by treasury stock associations"""
2020-10-28 16:15:00,"KB금융 이사회 ""우리사주조합의 사외이사 추천 반대""","KB Financial Board of Directors ""Opposition of the recommendation of outside directors by the employee stock ownership association""","KB Financial Board ""Opposition to recommendation of outside director of own stock association"""
2020-10-28 15:35:00,KB금융 이사회 “노조 추천 사외이사 반대”,KB Finance Board of Directors “Opposite outside directors recommended by unions”,"KB Financial Board ""Opposed to union-recommended outside directors"""
2020-10-28 15:30:00,"KB금융 이사회 ""우리사주조합 추천 사외이사 후보선임 반대""","KB Finance Board of Directors ""Opposition of candidates recommended for employee stock ownership association""","KB Financial Board ""I oppose the appointment of outside director candidates recommended by the company's stock association"""
2020-10-28 15:18:00,"KB금융, ‘이사회 vs. 사주조합’ 주총서 표대결","KB Finance,'The Board of Directors vs. Ownership Association’","KB Finance, ""Board vs. Stock Association"" Main Series Confrontation"
2020-10-28 09:40:00,"KB금융, 자산관리법 분석한 2020 한국富者보고서 발간",KB Finance publishes 2020 Korean Wealth Report analyzing asset management,"KB Finance, Asset Management Law Analysis 2020 Korean Wealth Report Issued"
2020-10-27 17:17:00,"KB금융, 한국기업지배구조원 ESG평가서 `ESG 최우수기업` 수상","KB Finance, Korea Corporate Governance Service ESG evaluation certificate'ESG best company' award","KB Finance, Korean Corporate Control Structure Member ESG Evaluation Report `ESG Best Company` Award"
