Date,Title,EngTitle,JapEngTitle
2020-10-29 15:00:00,또 희비 엇갈린 아모레·LG생활건강... 中 수요 회복이 승부처,"In addition, Amore and LG Household & Health Care are mixed with joy...","In addition, the recovery of demand during Amore / LG Household & Health Care, which is a mixture of sadness and joy, is the key."
2020-10-29 04:02:00,"[핫아이템] LG생활건강 `후 환유 본초 세럼`, 동안피부를 위한…당신...","[Hot Item] LG Household & Health Care'After Metonymy Herbal Serum', for younger skin... you...","[Hot Item] LG Household & Health Care `Metonymy Serum` On the other hand, for the skin ... you ..."
2020-10-28 17:56:00,`후` 쓸어담은 中 따이궁…3분기 LG생건 웃고 아모레 울고,Dai-gung in the middle of sweeping'who'... LG Saeng-gun laughed and Amore cried in the third quarter,`After` scooping up Nakanomiya ... LG Sengon laughing Amore crying in the third quarter
2020-10-26 08:15:00,"LG생건, '후' 덕에 바닥 찍고 반등 시작-IBK","LG Saeng-Geon, bottomed out thanks to'Whoo' and started rebounding-IBK","LG Sengon, thanks to ""after"", floor shooting repulsion started-IBK"
2020-10-26 07:38:00,"[클릭 e종목]""LG생활건강, 대표 채널·히어로브랜드 회복 시작""","[Click e-Event] ""LG Household & Health Care Begins to Recover Representative Channel and Hero Brand""","[Click e event] ""LG Household & Health Care, start of recovery of representative channel hero brand"""
2020-10-23 08:53:00,"LG생활건강 메소드, 키티버니포니 콜라보 출시","LG Household & Health Care Method, Kitty Bunny Pony collaboration launched","LG Household & Health Care method, Kitty Bunny Pony collaboration released"
2020-10-23 08:45:00,"KB증권 ""LG생활건강, 내년 영업이익 13% 성장...안정적 성장 기...","KB Securities ""LG H&H, operating profit growth of 13% next year...Stable growth period...","KB Securities ""LG Household & Health Care, 13% growth in operating income next year ... Stable growth period ..."
2020-10-23 08:26:00,"LG생활건강, 중국향 화장품 면세 실적 서프라이즈-DB",LG H&H's Chinese cosmetics duty-free performance surprise,"LG Household & Health Care, Chinese Fragrant Cosmetics Duty Free Surprise-DB"
2020-10-23 08:23:00,"LG생건, 비수기에도 호실적…목표가↑-대신","LG Saenggeon, good performance even in low season… Target price↑-instead of",LG Sengon has a good record in the off-season ... Goal ↑-Instead of
2020-10-23 07:43:00,"[클릭 e종목] ""LG생활건강, 화장품·생활용품 부문 실적 개선 기대...","[Click e-Event] ""LG Household & Health Care, Expectations to Improve Performance in Cosmetics and Household Goods...","[Click e event] ""LG Household & Health Care, Cosmetics / Household Goods Division Expected to improve business performance ..."
2020-10-23 08:10:00,"LG생활건강, 화장품 실적 개선 빨라질 것-현대차증권",LG H&H's cosmetic performance improvement will accelerate-Hyundai Motor Securities,"LG Household & Health Care, cosmetics performance improvement faster-Hyundai Securities"
2020-10-23 08:03:00,"LG생활건강, 3Q 실적 컨센서스 부합…""체력향상 지속""-NH","LG H&H meets 3Q earnings consensus… ""Continue to improve physical fitness""-NH","LG Household & Health Care, 3Q Achievement Consensus Compliant ... ""Improvement and Sustainability of Physical Fitness""-NH"
2020-10-22 18:27:00,LG생건 또 ‘차석용 효과’… 코로나에도 신기록 경신 행진,LG Saenggeon is also the “chasukyong effect” New record breaking march even in Corona,"LG Sengon Also, ""Chasokuyon effect"" ... Corona also marches to break records"
2020-10-22 17:21:00,LG생건 3분기 매출 2조…신기록 다시 썼다,LG Life Insurance 3Q sales of 2 trillion... New record rewritten,LG Sengon 3 Quarter Sales 2 Trillion ... Breaking Record
2020-10-22 17:20:00,코로나 뚫은 '차석용 매직'...LG생건 3분기도 최대실적,'Corona Magic' through corona ...,"""Chasokuyon Magic"" opened by Corona ... LG Sengon's biggest achievement in the third quarter"
2020-10-22 17:17:00,"`후퇴` 모르는 LG생건, 코로나 뚫고 질주","LG Saeng-gun, who does not know'retreat', runs through corona","`Retreat` LG Sengon, Corona sprinting"
2020-10-22 14:29:00,"`후진` 모르는 차석용…LG생건, 62분기 연속 영업이익 증가","Cha Seok-yong who doesn't know'reverse' LG Life Insurance, operating profit increase for 62 consecutive quarters","`Backward` I don't know Chasokyoung ... LG Sengon, operating income increased for 62 consecutive quarters"
2020-10-22 14:15:00,"[속보] LG생활건강, 또 실적 신기록…3분기 매출 사상 최대","[Breaking News] LG Household & Health Care, a new record in performance… 3Q sales record high",[Breaking news] LG Household & Health Care and performance record ... Sales in the third quarter are the highest ever
2020-10-22 13:56:00,"'럭셔리의 힘' LG생건, 코로나에도 최대 실적 행진 지속",'The power of luxury' LG Saeng-gun continues its highest performance march against Corona,"""The power of luxury"" LG Sengon and Corona also have the greatest performance march"
2020-10-22 14:31:00,"LG생건 '후', 中광군제 예약판매 11분 만에 871억원어치 팔아",LG Saenggeon'Foo' sells 87.1 billion won worth in 11 minutes,"LG Sengon ""after"", Zhongkou Gunze pre-order sale 11 minutes for 87.1 billion won"
2020-10-22 10:21:00,"LG생건 '후', 광군제 뷰티품목 예약판매 '넘버원'","LG Saenggeon'Foo','No.1' for pre-sale of beauty items in Gwanggunje","LG Sengon ""Aureola"", Hikari Gunze Beauty Item Pre-order Sale ""Number One"""
2020-10-22 09:40:00,"LG생건 후, 中광군제 11분만에 매출 871억원 신기록","After LG Life Insurance, sales of 87.1 billion won in 11 minutes","After LG Sengon, sales of 87.1 billion won were recorded in 11 minutes of Hikari Gunze."
2020-10-22 14:21:00,"LG생활건강, 62분기 연속 성장…역대 최대 기록","LG Household & Health Care, 62 consecutive quarters of growth… Record high",LG Household & Health Care grows for 62 consecutive quarters ... record high
2020-10-22 14:06:00,"LG생활건강, 3분기 영업익 3276억원… 62분기 연속 성장","LG H&H, 3276 billion won in operating income 62 consecutive quarters of growth","LG Household & Health Care, 3rd quarter operating income 327.6 billion won ... 62 consecutive quarters of growth"
2020-10-22 13:42:00,"LG생활건강, 코로나 악재에도 62분기 연속 성장…""브랜드 파워 입증...","LG Household & Health Care, 62 consecutive quarters of growth despite bad coronavirus... ""Proven brand power...","LG Household & Health Care, Corona Bad Material Growth for 62 Consecutive Quarters ... ""Brand Power Proof ..."""
2020-10-22 13:32:00,"LG생활건강, 코로나 악재 속 62분기 이익 성장세","LG H&H, profit growth in the 62nd quarter amid bad coronavirus","LG Household & Health Care, Corona Bad Material Medium 62 Quarter Profit Growth"
2020-10-22 13:58:00,"'62분기 연속 성장' LG생활건강, 주가는 3% 하락","'62 consecutive quarters of growth' LG H&H, stock price fell 3%","'62 consecutive quarter growth ""LG Household & Health Care, stock price fell 3%"
2020-10-22 13:23:00,"LG생활건강, 3분기 영업익 3276억원…전년비 5.1% 증가","LG H&H, 3276 billion won in operating income 5.1% increase over the previous year","LG Household & Health Care, 3rd quarter operating profit 327.6 billion won ... 5.1% year-on-year increase"
2020-10-22 13:21:00,"LG생활건강, 3분기 영업익 3276억원...전년비 5.1% 증가","LG H&H, 3276 billion won in operating profit for the third quarter... an increase of 5.1% year-on-year","LG Household & Health Care, 3rd quarter operating profit 327.6 billion won ... 5.1% year-on-year increase"
2020-10-22 13:16:00,"LG생활건강, 3분기 영업익 3276억원…5.1%↑","LG H&H, 3276 billion won in operating income 5.1%↑","LG Household & Health Care, 3rd quarter operating income 327.6 billion won ... 5.1% ↑"
2020-10-21 17:33:00,"LG생건, 中 광군제 마케팅…숨·오휘 등 화장품세트 판매","LG Saenggeon, Gwanggunje marketing in China... Sales of cosmetic sets such as Suom and Ohui","LG Sengon, Nakamitsu Gunze Marketing ... Sale of cosmetics such as breath and office as a set"
2020-10-21 10:21:00,"LG생활건강, 中 광군제 마케팅 시동…올해도 특수 누릴까","LG H&H, started marketing in China Will I enjoy special again this year?","LG Household & Health Care, Nakamitsu Gunze Marketing Start ... Is It A Special Enjoyment This Year?"
2020-10-21 15:25:00,LG생건 200주만 있어도 걸린다…증시 덮친 '세금포비아',It takes just 200 weeks for LG life... 'Tax Povia' hits the stock market,"LG Sengon takes 200 weeks ... ""Tax phobia"" hits the stock market"
2020-10-21 10:05:00,"LG생활건강, 中 최대 쇼핑 시즌 '광군제' 겨냥 마케팅 본격화",LG H&H launches marketing targeting China's largest shopping season'Gwanggunje',"Full-scale marketing aiming for LG Household & Health Care, the largest shopping season ""Hikari Gunze"""
2020-10-21 09:57:00,"LG생활건강, 中 최대 쇼핑 시즌 ‘광군제’ 마케팅 본격 시동","LG H&H's biggest shopping season in China,'Gwanggunje' marketing starts in earnest","LG Household & Health Care, full-scale marketing start of the largest shopping season ""Hikari Gunze"""
2020-10-21 09:52:00,"LG생활건강, 中 ‘광군제’ 겨냥 마케팅 본격화",LG H&H's full-fledged marketing targeting China's'Gwanggunje',"Full-scale marketing aiming for LG Household & Health Care, Medium ""Hikari Gunze"""
2020-10-20 17:56:00,LG생건 ‘닥터그루트’ 론칭 3년만에 1000만개 판매,LG Saenggeon sold 10 million units after 3 years of launching'Doctor Root',"LG Sengon ""Doctor That Route"" Launched 10 million units sold for the first time in 3 years"
2020-10-20 10:02:00,LG생활건강 닥터그루트 누적 판매량 1000만개 돌파,LG Household & Health Care Dr. Groot's cumulative sales exceeded 10 million units,LG Household & Health Care Doctors Over 10 Million Route Cumulative Sales
