Date,Title,EngTitle,JapEngTitle
2020-10-31 09:52:00,LG전자 올 영업익 사상 첫 3조 돌파 전망,LG Electronics expected to surpass 3 trillion won for the first time in this year's operating profit history,LG Electronics expects to exceed 3 trillion for the first time in operating income history this year
2020-10-30 17:50:00,"LG전자, 역대 3분기 최대 실적…""펜트업 효과로 가전·TV 쌍끌이""(...","LG Electronics, the highest performance in the third quarter of history… ""Home appliances and TV doubles with the pent-up effect"" (...","LG Electronics, achievements up to the third quarter of history ... ""Penthouse up effect makes home appliances and TV wheels"" (..."
2020-10-30 17:38:00,LG전자 올 생활가전 영업익 첫 2조 돌파,LG Electronics surpassed 2 trillion won in sales profits for household appliances,LG Electronics tops 2 trillion first operating profit for home appliances this year
2020-10-30 16:26:00,"新가전 끌고 TV 밀고…LG전자, 역대 3분기 최대 실적 (종합)","Dragging new home appliances and pushing TV... LG Electronics, the highest performance in the third quarter of all time (total)","Collecting new home appliances TV push ... LG Electronics, results up to the third quarter of history (comprehensive)"
2020-10-30 17:32:00,생활가전·TV 3분기 `불티`…LG전자 年3조 영업익 눈앞,Home appliances·TV 3rd quarter'Burnty'... LG Electronics' annual 3 trillion operating profits,Home Appliances / TV 3rd Quarter `Fly` ... LG Electronics Article 3 In front of operating income
2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T...","[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...","[Complementary] LG Electronics' third quarter operating income / sales, quarterly maximum ... Home appliances collection / T ..."
2020-10-30 17:21:00,"가전·TV 쌍끌이…LG전자, 3분기 이익 1조 육박","Home appliances and TV twins… LG Electronics, 3Q profit nearing 1 trillion",Home appliances and TV wheels ... LG Electronics closes 1 trillion in third quarter profits
2020-10-30 16:19:00,LG전자 연이익 3조 첫 돌파 '초읽기'…3Q 영업익 9590억,"LG Electronics' annual profit breaks through 3 trillion for the first time,'counter reading'… 3Q operating profit 959 billion","LG Electronics Opened Profit 3 Trillion First Breakthrough ""Countdown'... 3Q Operating Profit 95.9 Billion"
2020-10-30 16:06:00,"LG전자 생활가전 영업익 2조 돌파…매출액, 영업이익 역대 3분기 기...","LG Electronics' home appliance sales exceeded 2 trillion won... Sales, operating profit in the third quarter of all time...","LG Electronics Home Appliances Operating Income Tops 2 Trillion ... Sales, Operating Income Historical 3 Quarters ..."
2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T...","[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...","[Complementary] LG Electronics' third quarter operating income / sales, quarterly maximum ... Home appliances collection / T ..."
2020-10-30 15:56:00,"LG전자, 3분기 영업이익 9590억원…역대 3분기 기준 최대(상보)","LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)","LG Electronics, 3rd quarter operating profit 95.9 billion won ... Maximum 3rd quarter standard (complementary)"
2020-10-30 15:56:00,"LG전자, 3분기 영업이익 9590억원…역대 3분기 기준 최대(상보)","LG Electronics, 3Q operating profit of 9590 billion won... Maximum in the third quarter (complementary)","LG Electronics, 3rd quarter operating profit 95.9 billion won ... Maximum 3rd quarter standard (complementary)"
2020-10-30 17:10:00,"[컨콜]LG전자 ""차량용 램프 경쟁력 위해 ZKW와 새 광원 개발 중""","[Concall] LG Electronics ""Developing a new light source with ZKW for vehicle lamp competitiveness""","[Concol] LG Electronics, ""ZKW and new light source under development for competitiveness of car lamps"""
2020-10-30 17:02:00,"""ZKW와 새로운 광원 개발, OEM업체와 협력해 새 수주도 모색""-...","""Developing new light sources with ZKW, seeking new orders in cooperation with OEM companies""-...","""Development of new light sources with ZKW, seeking new orders in cooperation with OEM manufacturers"" ..."
2020-10-30 17:06:00,"[종합] 11년만에 3분기 최대 실적 쓴 LG전자, 코로나 위기 이겨냈...","[Overall] LG Electronics, which recorded the highest performance in the third quarter in 11 years, survived the corona crisis...","[Comprehensive] LG Electronics, which wrote the results up to the third quarter for the first time in 11 years, overcame the corona crisis ..."
2020-10-30 16:28:00,"LG전자, 누적 영업익 2조원 돌파…3분기 역대 최대 실적(종합)",LG Electronics surpassed KRW 2 trillion in accumulated operating profit... 3rd quarter record high performance (total),LG Electronics surpasses 2 trillion won in cumulative operating income ... The largest record in the third quarter (overall)
2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T...","[Complementary] LG Electronics' 3Q operating profit and sales, quarterly maximum… Pull home appliances, T...","[Complementary] LG Electronics' third quarter operating income / sales, quarterly maximum ... Home appliances collection / T ..."
2020-10-30 15:45:00,"LG전자, 3분기 영업익 1조원 육박…역대 최대(2보)","LG Electronics, 3Q operating profit approaching 1 trillion won... The largest ever (2 steps)",LG Electronics approaches 1 trillion won in third quarter operating profit ... the largest ever (2 reports)
2020-10-30 17:01:00,"[컨콜] LG전자 ""LCD 패널 가격 변동 익숙해…상황에 맞게 대응할 ...","[Concall] LG Electronics ""I'm used to LCD panel price fluctuations... to respond to the situation...","[Concor] LG Electronics, ""Familiar with LCD panel price fluctuations ... Respond to the situation ..."
2020-10-30 16:55:00,"""LCD패널 가격 올해까지 상승, 내년 하락 또는 유지""-LG전자 컨...","""LCD panel price rises until this year, declines or maintains next year""-LG Electronics...","""LCD panel prices will rise until this year and fall or stay next year""-LG Electronics ..."
