Date,Title,EngTitle,JapEngTitle
2020-10-31 16:16:00,"[무한동력] 숨통 틘 LG화학, 남은 과제는?",[Infinite Power] What are the remaining tasks for LG Chem?,"[Infinite power] Take a break Twin LG Chemistry, what are the remaining issues?"
2020-10-31 06:35:00,LG화학 배터리 분할 반대했던 개미들의 '나홀로 순매수','Alone net purchase' of ants who opposed LG Chem's battery division,"""Buy one person"" of ants who opposed the battery split of LG Chemical"
2020-10-31 04:17:00,"LG화학, 논란 끝에 배터리 분사 확정…주가 6% 급락",LG Chem confirms battery injection after controversy... Share price plunged 6%,LG Chemical confirms battery injection after discussion ... Stock price plummets 6%
2020-10-31 10:01:00,[마켓인]LG화학 물적분할 가결…힘 못쓴 국민연금 반대표,[Marketer] LG Chem's physical division approved... National Pension Plan,[Market] LG Chemical division passed ... Power Motoson National Pension Opposition Vote
2020-10-30 17:52:00,배터리 떨어져 나가자···LG화학 주가 6% 빠져,Let's run out of battery...LG Chemicals stock price drops by 6%,Let's move away from the battery ... LG Chemical's stock price is 6% off
2020-10-30 17:39:00,국민연금 반대에도…LG화학 물적분할 압도적 통과,Against the national pension… LG Chem overwhelmingly passed the physical division,Opposition to the national pension ... LG chemical division overwhelming passage
2020-10-30 14:48:00,"신학철 LG화학 대표 ""물적분할로 다양한 자금조달 가능""","Hak-cheol Shin, CEO of LG Chem, ""Variety of financing possible through physical division""","Representative of Shinhakchul LG Chemical ""Various financing is possible by physical division"""
2020-10-30 14:34:00,"LG화학 ""분할 승인에 감사…기업·주주가치 제고 노력할 것""",LG Chem “Thanks for the approval of the division…I will try to improve corporate and shareholder value”,"LG Chemical ""Thanks to the split approval ... Strive to improve corporate and shareholder value"""
2020-10-30 14:28:00,"LG화학 ""전지사업 분할 승인 감사…경쟁력 키우겠다""","LG Chem ""Appreciation for approval of division of battery business…I will increase competitiveness""","LG Chemical ""Thank you for approving the battery business split ... I want to develop competitiveness"""
2020-10-30 17:32:00,"LG화학 배터리사업 분할, 주총서 확정","LG Chem's battery business division, shareholders' meeting confirmed","LG Chemical's battery business split, main series confirmed"
