Date,Title,EngTitle,JapEngTitle
2020-10-31 11:56:00,"네이버, 3분기 전 부문 실적 개선…""펀더멘털 개선 확인""","Naver improves overall business performance in the third quarter ""Confirming improvement in fundamentals""","Neighbors improve performance in all divisions in Q3 ... ""Check for fundamental improvements"""
2020-10-30 17:33:00,"네이버-음실련, 디지털음악 산업 발전 맞손","Naver-Eumsilyeon, faces the digital music industry","Naver-Now Shirryong, Development of Digital Music Industry Matson"
2020-10-30 15:04:00,"네이버, 중소형업체 개인정보보호 역량↑","Naver, small and medium-sized companies' personal information protection capabilities↑",Personal information protection ability of neighbors and SMEs ↑
2020-10-30 11:39:00,"농협은행, 네이버클라우드와 손잡고 디지털 혁신나서",Nonghyup Bank joins hands with Naver Cloud for digital innovation,"From digital innovation, holding hands with Agricultural Cooperative Bank and Naver Cloud"
2020-10-30 09:32:00,"NH농협은행, 네이버클라우드와 손잡고 퍼블릭 클라우드 도입",NH Nonghyup Bank joins hands with Naver Cloud to introduce public cloud,Introducing public cloud with NH Agricultural Cooperative Bank and Naver Cloud
2020-10-30 08:26:00,"농협은행, 네이버클라우드와 손 잡고 '올원뱅크 클라우드' 오픈",Nonghyup Bank and Naver Cloud open'All One Bank Cloud',"Agricultural Cooperative Bank holds hands with Naver Cloud and opens ""Orwon Bank Cloud"""
2020-10-30 10:20:00,"네이버, NH농협 금융서비스에 클라우드 접목","Naver, NH Nonghyup's financial services, cloud integration","Naver, NH Agricultural Cooperative Financial Services Cloud Fusion"
2020-10-30 08:47:00,"[Hot-Line] “NAVER, 향후 1~2년간 이익 성장 둔화""…목...","[Hot-Line] ""NAVER, slowing profit growth over the next 1-2 years""...Thu...","[Hot-Line] ""NAVER, slowing profit growth over the next 1-2 years"" ... neck ..."
2020-10-30 07:42:00,"NAVER, 3·4분기 전 부문 고른 매출 성장-유안타","NAVER, even sales growth in all divisions in the third and fourth quarters-Yuanta",NAVER Selects All Divisions for 3rd and 4th Quarter Sales Growth-Oil Hit
2020-10-30 07:33:00,"[클릭 e종목]""네이버, 3분기 호실적…성장 가능성 높다""","[Click e-stock] ""Naver, 3Q good performance…high growth potential""","[Click e-event] ""Naver, good performance in Q3 ... growth potential"""
2020-10-30 07:40:00,"[클릭 e종목]""네이버, 3분기 매출 전년比 24%↑...거침없는 성장...","[Click e-sector] ""Naver, 3Q sales 24% ↑...","[Click e event] ""Naver, third quarter sales were 24% year-on-year ↑ ... unstoppable growth ..."
2020-10-30 07:09:00,"네이버 모바일 검색 VIEW, PC로 옮겨 온다","Naver Mobile Search VIEW, Moving to PC","Naver Mobile Search VIEW, moving to PC"
2020-10-30 06:23:00,"19만 주주님들, 네이버가 뭐하는 회사인지 아십니까?","190,000 shareholders, do you know what Naver is doing?","Do you know that Naver is a company with 190,000 shareholders?"
