Date,Title,EngTitle,JapEngTitle
2020-10-30 14:47:00,"기술 나누고, 노하우 베풀고...포스코의 남다른 'R&D 상생경영'","Sharing technology, giving know-how...POSCO's unique'R&D win-win management'","Divide technology and apply know-how ... POSCO's special ""R & D symbiotic management"""
2020-10-30 04:02:00,"포스코, 전기차 충전 등 특허 200건…中企 88곳에 무상으로 제공","200 patents including POSCO, electric vehicle charging... Free of charge to 88 places in China","200 patents for POSCO, charging of electric vehicles, etc ..."
2020-10-30 13:35:00,"포스코, 협력사 대상 ‘기업수요 맞춤형 훈련’ 진행",POSCO conducts'training tailored to corporate demand' for suppliers,"POSCO, partner target ""corporate demand custom training"" progress"
2020-10-30 11:26:00,"포스코, 협력사 직원 기술역량 개발할 훈련프로그램 개발·운영 나서",POSCO to develop and operate training programs to develop technological capabilities for employees of suppliers,"From the development and operation of POSCO, partners, and employees' technical skill development training programs"
2020-10-29 15:38:00,"해양산업총연합회 ""포스코 물류자회사 설립 반대"" 성명","General Federation of Maritime Industries' Statement ""Opposite to Establish POSCO Logistics Subsidiary""","Statement of the Federation of Marine Industries ""against the establishment of a POSCO logistics subsidiary"""
2020-10-28 17:40:00,포스코·LG전자·KT&G…내년 날개펼칠 저평가株,POSCO·LG Electronics·KT&G… The undervalued 株 to spread wings next year,"POSCO, LG Electronics, KT & G ... Low-rated stocks that will spread wings next year"
2020-10-28 14:59:00,"[이데일리N] 포스코 최정우 회장 “철강산업 변화 가속화, 업계 공동대...","[E-Daily N] POSCO Chairman Jeong-Woo Choi “Accelerating the change in the steel industry, joint efforts in the industry...","[EDAILY N] Chairman Poscoche Jungwoo ""Speeding up changes in the steel industry, joint industry ..."
2020-10-28 11:35:00,"최정우 포스코 회장 “철강, 메가트렌드 극복 관건…탄소중립 글로벌 협력...","POSCO Chairman Jeong-Woo Choi “Steel, the key to overcoming the megatrend… Carbon neutral global cooperation...","Chairman Choi Jeong-Wooposco ""Steel, the key to overcoming megatrends ... carbon-neutral global cooperation ..."
2020-10-28 11:22:00,"최정우 포스코 회장 ""철강공정에도 수소 기반 脫탄소화 구현해야""","Jeong-Woo Choi, Chairman of POSCO ""We need to implement hydrogen-based carbonization in the steel process.""","Choi Jeong-Wooposco Chairman ""Steel processes also need to be implemented by hydrogen-based carbonization."""
2020-10-28 11:02:00,"최정우 포스코 회장, ""메가트랜드 극복, 탄소 중립 달성 위한 글로벌...","POSCO Chairman Jeong-Woo Choi, ""Global to overcome megatrend and achieve carbon neutrality...","Choi Jeong-Wooposco, Chairman, ""Global to Overcome Megatrends and Achieve Carbon Neutral ..."
2020-10-28 11:01:00,"최정우 포스코 회장 ""철강산업 새로운 10년 준비해야""","POSCO Chairman Jeong-Woo Choi ""I need to prepare for a new 10 years in the steel industry""","Choi Jeong-Wooposco Chairman ""Steel Industry Must Prepare for a New Decade"""
2020-10-28 11:00:00,"최정우 포스코 회장 ""뉴모빌리티 시대 선도""…미래차 철강 신소재 개발","POSCO Chairman Jeong-Woo Choi ""Leading the New Mobility Era""… Development of new steel materials for future vehicles","Choi Jeong-Wooposco Chairman ""Leading the New Mobility Era"" ... Development of New Steel Materials for Future Cars"
2020-10-28 11:00:00,"최정우 포스코 회장 ""뉴모빌리티 시대 선도""…미래차 철강 신소재 개발","POSCO Chairman Jeong-Woo Choi ""Leading the New Mobility Era""… Development of new steel materials for future vehicles","Choi Jeong-Wooposco Chairman ""Leading the New Mobility Era"" ... Development of New Steel Materials for Future Cars"
2020-10-28 11:00:00,"최정우 포스코 회장 ""뉴모빌리티 시대 선도""…미래차 철강 신소재 개발","POSCO Chairman Jeong-Woo Choi ""Leading the New Mobility Era""… Development of new steel materials for future vehicles","Choi Jeong-Wooposco Chairman ""Leading the New Mobility Era"" ... Development of New Steel Materials for Future Cars"
2020-10-28 11:00:00,"최정우 포스코 회장 ""뉴모빌리티 시대 선도""…미래차 철강 신소재 개발","POSCO Chairman Jeong-Woo Choi ""Leading the New Mobility Era""… Development of new steel materials for future vehicles","Choi Jeong-Wooposco Chairman ""Leading the New Mobility Era"" ... Development of New Steel Materials for Future Cars"
