Date,Title,EngTitle,JapEngTitle
2020-10-29 16:16:00,"SKT, 5G MEC로 글로벌 어워드 수상",SKT wins global award for 5G MEC,SKT wins global award at 5G MEC
2020-10-29 09:39:00,"SKT, 5G 기술로 글로벌 어워드 수상",SKT wins global awards for 5G technology,SKT wins global award for 5G technology
2020-10-29 10:07:00,"SKT, 말로 하는 AI 상담 서비스 ‘보이스봇’ 업계 첫 선","SKT, the first in the industry to introduce a verbal AI consultation service'voice bot'","SKT, the industry's first AI consultation service ""Voicebot"" to put into words"
2020-10-28 16:14:00,"SBI저축銀-KCB-SKT, 보이스피싱 예방 '안심이체서비스'","SBI Savings-KCB-SKT, Voice Phishing Prevention'Safe Transfer Service'","SBI Savings Bank-KCB-SKT, Voice Phishing Prevention ""Safe Transformation Service"""
2020-10-28 15:22:00,"SBI저축은행, KCB·SKT와 손잡고 '안심이체서비스' 실시",SBI Savings Bank and KCB and SKT to launch'Secure Transfer Service',"SBI Savings Bank and KCB / SKT work hand in hand to implement ""safe transaction service"""
2020-10-28 11:44:00,"SKT, ICT 활용해 전기차 온실가스 감축 효과 실증 나선다",SKT uses ICT to demonstrate the effect of reducing greenhouse gas emissions for electric vehicles,Demonstrate the greenhouse gas reduction effect of electric vehicles by utilizing SKT and ICT
2020-10-28 10:18:00,"SKT, 전기차로 온실가스 감축 실증사업","SKT, GHG reduction demonstration project with electric vehicles","SKT, demonstration project of greenhouse gas reduction for electric vehicles"
2020-10-28 09:23:00,"SK렌터카, SKT·소프트베리와 ‘전기차 온실가스 감축 실증’ 협력",SK Rent-A-Car and SKT and Softberry cooperate with “electric vehicle GHG reduction demonstration”,"Cooperation with SK Rent-A-Car and SKT Softberry for ""demonstration of greenhouse gas reduction in electric vehicles"""
2020-10-27 18:09:00,"""미래 ICT 체험하세요""… SKT 'T팩토리' 홍대에 활짝","""Experience future ICT""... SKT'T Factory' in Hongdae","""Experience ICT in the future"" ... SKT ""T Factory"""
2020-10-27 16:14:00,"SK텔레콤, 문화체험 및 혁신기술 체험장 'T팩토리' 개장","SK Telecom opens'T Factory', a cultural and innovative technology experience center","SK Telecom opens ""T Factory"", a cultural experience and innovative technology experience site"
2020-10-27 14:59:00,"SKT, ICT 멀티플렉스 T팩토리 오픈…미래 비전 제시",SKT opens ICT Multiplex T Factory… Presenting the future vision,"SKT, ICT Multiplex T Factory Opened ... Future Vision Presented"
2020-10-27 10:03:00,“365일 24시간 무인매장”…SKT 복합문화공간 ‘T팩토리’ 개장,"“Unmanned stores 24 hours a day, 365 days a year”… Opened the SKT complex cultural space'T Factory'","""Unmanned store 24 hours a day, 365 days a year"" ... SKT complex cultural space ""T Factory"" opens"
2020-10-27 10:01:00,“가입부터 폰 개통까지 24시간 언택트로”… SKT의 새로운 시도,“From sign-up to phone opening 24 hours untouched” SKT's new attempt,"""From registration to the opening of mobile phones, it is frozen for 24 hours."" ... SKT's new attempt"
2020-10-27 17:33:00,이통사 이미지 벗고 첨단기술 입었다...확 젊어진 SKT,SKT took off the image of a mobile operator and wore advanced technology...,Take off the image of a mobile telecommunications company and owe advanced technology ... Confirmation Young SKT
2020-10-27 14:29:00,"박정호 SKT 사장 ""SK텔레콤의 T가 아니라 테크놀로지, 투모로우의 ...","SKT President Park Jung-ho ""Not SK Telecom's T, Technology, Tomorrow's ...","President of SKT Park Jung-ho ""SK Telecom's T-less technology, Tomorrow's ..."
2020-10-27 12:52:00,SKT의 새로운 간판… ‘T팩토리’ 보면 알 수 있다,SKT's new sign... You can see it by looking at “T Factory”.,"SKT's new standard ... You can see it by looking at ""T Factory"""
2020-10-27 10:53:00,SKT 혁신 실험…ICT 테마파크 'T팩토리' 연다,SKT innovation experiment… Opening of ICT theme park'T Factory',"SKT Innovation Experiment ... ICT theme park ""T Factory"" opens"
2020-10-27 04:03:00,"핀크, SKT·産銀과 손잡고 `최대 5%` 적금 출시",Fink and SKT and 産銀 to launch'up to 5%' savings,"Hold hands with pink, SKT / silver, `up to 5%` reserve release"
2020-10-26 17:45:00,"SKT, 협력사와 통신 장비 재활용 앞장",SKT leads the recycling of communication equipment with partners,SKT leads the recycling of communication equipment with partners
