Date,Title,EngTitle,JapEngTitle
2020-10-29 17:43:00,삼성전자 강호규 ·SK하이닉스 김진국 '은탑산업훈장',Samsung Electronics Kang Ho-gyu · SK Hynix Kim Jin-guk'Silver Tower Industrial Medal',"Samsung Electronics Ganhogyu SK Hynix Gimzinguk ""Ginto Industry Medal"""
2020-10-29 17:27:00,"이석희 SK하이닉스 사장 ""인텔 인수가 안 비싸다""","Seok-hee Lee, President of SK Hynix","Isokuhui SK Hynix President ""Intel No Arguments High"""
2020-10-29 17:09:00,"""인텔 낸드 인수 10조 안 비싸다""…자신감 드러낸 SK하이닉스 사장","""Intel NAND acquisition is 10 trillion not expensive""... SK hynix's president reveals his confidence","""Intel NAND type argument 10 articles are not expensive"" ... SK Hynix president exposed with confidence"
2020-10-29 17:01:00,"이석희 SK하이닉스 사장 ""키옥시아 지분 당장 안 판다""","Lee Seok-hee, president of SK Hynix, ""I don't sell the stake in Kioxia right now""","Isokuhui SK Hynix President ""Keoxy Oh Stocks Not Immediate Panda"""
2020-10-29 16:17:00,'반도체의 날' 삼성·하이닉스 산업훈장 공동 수상,'Semiconductor Day' jointly awarded with Samsung Hynix Industrial Medal,"Received the Samsung Hynix Order of Industrial Service Merit for ""Semiconductor Day"""
2020-10-29 12:33:00,반도체의 날…삼성전자·SK하이닉스 산업훈장 공동수상,Semiconductor Day... Jointly awarded the Industrial Medal of Samsung Electronics and SK Hynix,Semiconductor Day ... Samsung Electronics Receives SK Hynix Order of Industrial Service Merit
2020-10-29 11:00:00,"삼성전자·SK하이닉스 R&D수장, 은탑산업훈장 수상","Samsung Electronics·SK Hynix R&D Head, Silver Tower Order of Industrial Service Merit","Samsung Electronics, SK Hynix R & D Chief, Received the Order of Industrial Service Merit"
2020-10-29 11:33:00,"SK하이닉스 인텔 인수 질문에…""타공급사 관련 답변 어렵다""-삼성전자 ...","SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...","SK Hynix, Intel argument question ... ""It's difficult to answer about other suppliers"" --Samsung Electronics ..."
2020-10-29 11:33:00,"SK하이닉스 인텔 인수 질문에…""타공급사 관련 답변 어렵다""-삼성전자 ...","SK hynix Intel acquisition question... ""It is difficult to answer related to other suppliers""-Samsung Electronics ...","SK Hynix, Intel argument question ... ""It's difficult to answer about other suppliers"" --Samsung Electronics ..."
2020-10-26 14:51:00,"NH투자증권 ""삼성전자·SK하이닉스의 행보는?""…반도체 긴급 점검","NH Investment & Securities ""How are Samsung Electronics and SK Hynix?"" Semiconductor emergency inspection","NH Investment & Securities ""What is the history of Samsung Electronics and SK Hynix? ""... Semiconductor emergency inspection"
2020-10-26 10:50:00,[마켓인사이트]SK하이닉스의 '통 큰 베팅' 우려하는 국내 신평사,[Market Insight] A new Korean company concerned about SK Hynix's'big bets',"[Market Insight] SK Hynix's ""Big Bet"" Domestic Credit Evaluation Company Concerned"
2020-10-25 11:48:00,"[주간HOT종목]SK하이닉스, 인텔 낸드 인수…개인은 '사자'",[Weekly HOT Stock] SK Hynix acquires Intel NAND... Individuals are'lions',"[Weekly HOT event] SK Hynix, Intel NAND type argument ... Individual is ""Lion"""
2020-10-25 11:14:00,코스피 주간 외국인 순매도 1위 'SK하이닉스',"'SK Hynix', No. 1 in net selling by foreigners during the KOSPI week","SK Hynix, No. 1 in net sales of foreigners during KOSPI Week"
2020-10-25 10:46:00,"SK하이닉스, 인텔 낸드사업 인수…반도체 과잉공급 해소",SK Hynix acquires Intel NAND business... Resolving oversupply of semiconductors,SK Hynix Acquires Intel's NAND Business ... Solving Semiconductor Oversupply
2020-10-25 07:45:00,"외국인, 3주 연속 '사자'…삼성전자 사고 SK하이닉스 팔고","Foreigners,'lion' for 3 consecutive weeks... Samsung Electronics accident and SK Hynix sales","Foreigner, ""Lion"" for 3 consecutive weeks ... Samsung Electronics Accident SK Hynix Selling"
2020-10-24 17:50:00,"""SK하이닉스가 비싸게 샀다""…美 인텔에 '바가지' 쓴걸까 [황정수의 ...","""SK Hynix bought it expensive""... Was it a'rippy' to Intel in the US","""SK Hynix bought it high"" ... Did he write ""Gourd"" to Inter? [Han Johns's ..."
2020-10-23 17:34:00,"[마켓인사이트 단독]""조금 더 쓰시죠""…인텔, SK하이닉스에 '옵테인'...","[Market Insight Exclusive] ""Let's use a little more""… Intel, SK Hynix'Optane'...","[Market Insight alone] ""Will it take a little longer?"" ... Intel, SK Hynix ""Option TEIN"" ..."
2020-10-23 10:25:00,"증권가 호평에도 주가는 4일 연속 약세…SK하이닉스, 美 인텔 인수 후...","Despite favorable stock prices, stock prices weakened for 4 consecutive days... SK Hynix, after acquiring Intel in the US...",Stock prices have fallen for four consecutive days due to the popularity of securities ... After the acquisition of SK Hynix and Intel ...
2020-10-23 10:02:00,SK하이닉스 직주근접 아파트 ‘이천대월 하이시티’ 공급,Supplied'Icheon Daewol High City' to SK Hynix's direct proximity apartment,"SK Hynix direct-running proximity apartment ""2,000 overdraft high city"" supply"
2020-10-23 09:31:00,SK하이닉스 인근 아파트 ‘이천대월 하이시티’ 홍보관 오픈,Opened the promotion hall for the apartment “Icheon University High City” near SK Hynix,"Opened public relations center for apartment ""Icheon Overdraft High City"" near SK Hynix"
2020-10-23 04:03:00,[빅데이터로 본 재테크] 빅히트 주춤하는 사이…시장의 눈은 SK하이닉스...,[Financial technology seen through big data] While Big Hit is slowing down... The market's eye is SK Hynix...,[Financial tech seen from big data] Big hits are sluggish ... The market is SK Hynix ...
2020-10-22 17:45:00,"[단독] 이석희 SK하이닉스대표 ""인텔 낸드 인수價 10조 비싸지 않다...","[Exclusive] Lee Seok-hee, CEO of SK Hynix, ""Acquiring Intel NAND is not expensive...","[Independent] Isokuhui SK Hynix representative ""Intel NAND type argument 價 10 articles not expensive ..."
2020-10-22 15:34:00,[마켓인]한신평 “SK하이닉스 인텔 낸드 인수…신용도 다소 부정적”,[Marketer] Han Shinpyeong “Acquired SK Hynix Intel NAND… The credit is somewhat negative”,"[Market] Hanshinpyeong ""SK Hynix, Intel NAND type argument ... Credit is a little negative"""
2020-10-22 06:01:00,"[마켓인사이트]SK하이닉스, 인텔 메모리 인수 후 '기업결합심사' 통과...",[Market Insight] SK Hynix passes'combination examination' after acquisition of Intel memory...,"[Market Insight] SK Hynix passes ""Business Combination Examination"" after acquiring Intel Memory ..."
