Date,Title,EngTitle,JapEngTitle
2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입...","[Features] AF Double, Samsung SDI enters 30 trillion Hyundai Motor battery business...","[Tukjinju] Aep Doubles, Samsung SDI 30 Jogummo Hyundai Battery Business Unit ..."
2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대...",Samsung SDI bids 30 trillion won for Hyundai Motor battery business Samsung-Hyundai Motors Millwall Era,Samsung SDI bids for 30-article modern battery business ... Samsung-Hyundai Motor Honeymoon Era ...
2020-10-28 08:57:00,[오늘의 목표주가]삼성SDI·현대제철·휴비츠 '실적 모멘텀'...눈높이...,"[Today's target price] Samsung SDI, Hyundai Steel, and Huvitz'performance momentum'... eye level...","[Today's target stock price] Samsung SDI, Hyundai Steel, Hubichu ""Achievement momentum"" ... Eye level ..."
2020-10-28 08:31:00,"""삼성SDI, 이익개선 빨라질 것""-한화투자증권","“Samsung SDI, profit improvement will accelerate”-Hanwha Investment & Securities","""Samsung SDI, profit improvement will be quicker"" --Hanwha Investment Securities"
2020-10-28 07:34:00,"삼성SDI, 3Q 매출 역대 최대…중대형 전지 성장성 부각-NH","Samsung SDI, 3Q sales record highest... Remarkable growth potential of medium and large batteries-NH","Samsung SDI, 3Q sales record high ... Medium and large battery growth emergence-NH"
2020-10-28 08:01:00,"삼성SDI, 4Q 중대형 배터리 큰 폭 성장 전망…조정시 `매수`-유안...","Samsung SDI, 4Q mid-to-large-sized batteries to grow significantly… 'Buy' at adjustment-Yuan...","Samsung SDI, 4Q medium and large battery growth prospects ... Adjusted `number` --Yuan ..."
2020-10-28 07:58:00,"삼성SDI, 4Q 자동차전지 흑자전환 기대-키움","Samsung SDI, 4Q auto battery expected to turn profitable",Samsung SDI expects 4Q car battery to return to profitability-grow
2020-10-28 07:31:00,"[클릭 e종목]""삼성SDI, 자동차전지 흑자전환 기대…주가 우상향 전...","[Click e-sector] ""Samsung SDI, expects to turn surplus in car battery... Shares turn right...","[Click e brand] ""Samsung SDI expects car battery to return to profitability ... before stock price Osan Hyang ..."
2020-10-27 17:24:00,"삼성SDI, 3분기 매출 3조872억 '역대 최대'",Samsung SDI's third quarter sales of 3.87 trillion won'the largest ever',"Samsung SDI's third-quarter sales of 3.87.2 trillion ""the largest ever"""
2020-10-27 15:12:00,"車 배터리 수익 개선..삼성SDI, 3분기 매출 3조돌파 '최대'","Battery profit improvement..Samsung SDI, 3 trillion in sales in the third quarter,'maximum'","Improved car battery profits. Samsung SDI's third quarter sales top 3 trillion ""maximum"""
2020-10-27 14:22:00,"삼성SDI, 배터리 호조 ‘깜짝실적’에 주가도 강세",Samsung SDI's stock price is also strong on'surprising performance' of strong battery,"Samsung SDI, battery strong ""surprise results"" stock price bullish"
2020-10-27 14:19:00,"삼성SDI, 3Q 영업익 2674억원…'전지사업 호조'(종합)","Samsung SDI, 3Q operating profit of 2674 billion won... 'Battery business good'","Samsung SDI, 3Q operating income 267.4 billion won ... ""Battery business is doing well"" (overall)"
2020-10-27 13:47:00,"삼성SDI, 분기 최대 매출 기록..""車배터리 BEP 달성""","Samsung SDI recorded the highest quarterly sales..""Achieved the old battery BEP""","Samsung SDI, quarterly sales record. ""Car battery BEP achieved"""
2020-10-27 15:04:00,"삼성SDI, 삼성생명공익재단에 6억 기부","Samsung SDI, donated 600 million won to Samsung Life Insurance Foundation",Samsung SDI donates 600 million to Samsung Life Insurance Foundation
2020-10-27 15:02:00,"삼성SDI, 3분기 영업익 2673억…전년동기比 61.1% 증가","Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% increase over the previous year","Samsung SDI, third quarter operating profit 267.3 billion ... 61.1% year-on-year increase"
2020-10-27 13:56:00,"삼성SDI, 3분기 영업익 2673억…전년비 61.1%↑","Samsung SDI, 3Q operating profit of 267.3 billion... 61.1% year-on-year↑","Samsung SDI, third quarter operating income 267.3 billion ... 61.1% year-on-year ↑"
2020-10-27 15:00:00,'애도' 속 조용히…사상 최대 매출 올린 삼성SDI,"Quietly in'mourning'... Samsung SDI, the highest sales ever","Quietly in ""condolences"" ... Samsung SDI with the highest sales ever"
2020-10-27 13:44:00,유럽 전기차 올라탄 삼성SDI…'조용한 호실적',Samsung SDI on a European electric car... 'Quiet room performance',"European Electric Car Riding Samsung SDI ... ""Quiet Good Achievement"""
2020-10-27 14:54:00,"""유럽 전기차 판매 덕""…삼성SDI, 3분기 매출 역대 최대(종합)","""Thanks to the sales of electric vehicles in Europe""... Samsung SDI's third quarter sales record highest (total)","""Thanks to European Electric Vehicle Sales"" ... Samsung SDI, Third Quarter Sales, Record High (Overall)"
2020-10-27 13:52:00,"'車배터리 호조' 삼성SDI, 3분기 영업익 61% 껑충",Samsung SDI's'good battery life' surged 61% in 3Q operating profit,"""Car battery is strong"" Samsung SDI, third quarter operating profit 61%"
2020-10-27 13:23:00,"삼성SDI, 3분기 호실적…""중대·소형 전지사업 판매 증가""(상보)","Samsung SDI's third quarter performance... ""Increase in sales of small and medium-sized battery business""","Samsung SDI performed well in the third quarter ... ""Increase in sales of large and small battery business"" (complementary)"
2020-10-27 14:24:00,"""마이크로모빌리티 연간 수요 30%이상 증가 전망""-삼성SDI컨콜","""The annual demand for micromobility is expected to increase by more than 30%""-Samsung SDI Concall","""Expected increase of more than 30% of annual demand for micromobility"" --Samsung SDI Concor"
2020-10-27 14:03:00,"삼성SDI, 3분기 영업익 2674억원…전년대비 61% 증가","Samsung SDI, 3Q operating profit of 2674 billion won... 61% increase over the previous year","Samsung SDI, third quarter operating profit 267.4 billion won ... 61% year-on-year increase"
2020-10-27 13:19:00,"[속보] 삼성SDI, 3분기 영업익 2674억원…전년比 61.1%↑","[Breaking News] Samsung SDI, 3Q operating profit of 267.4 billion won 61.1% year-on-year↑","[Breaking news] Samsung SDI, third quarter operating income 267.4 billion won ... 61.1% year-on-year ↑"
2020-10-27 13:07:00,"삼성SDI, 3분기 영업익 2674억원…전년比 61.1%↑(속보)","Samsung SDI, 3Q operating profit of 2674 billion won... 61.1% ↑ compared to the previous year (breaking news)","Samsung SDI, third quarter operating income 267.4 billion won ... 61.1% year-on-year ↑ (flash report)"
2020-10-27 13:59:00,"""EV용 전지 판매 내년에 크게 증가할 것""-삼성SDI컨콜","""EV battery sales will increase significantly next year""-Samsung SDI Concall","""Sales of EV batteries will increase significantly next year."" --Samsung SDI Concor"
2020-10-27 13:58:00,"""연간 편광필름 매출, 전년대비 두자릿수 성장 예상""-삼성SDI컨콜","""Annual polarizing film sales expected to grow by double digits compared to the previous year""-Samsung SDI Concall","""Annual polarizing film sales, double-digit year-on-year growth forecast"" --Samsung SDI Concor"
2020-10-27 13:53:00,"""내년 양상 젠5배터리 원가 20%이상 절감 전망""-삼성SDI컨콜","“Next year, the cost of Zen5 batteries is expected to be reduced by more than 20%”-Samsung SDI Concall","""Next year, Jen 5 battery cost is expected to be reduced by 20% or more."""
2020-10-27 13:52:00,"'車배터리 호조' 삼성SDI, 3분기 영업익 61% 껑충",Samsung SDI's'good battery life' surged 61% in 3Q operating profit,"""Car battery is strong"" Samsung SDI, third quarter operating profit 61%"
2020-10-27 13:43:00,"""내년 자동차 전지사업 연단위 흑자 달성 전망""-삼성SDI컨콜",“An annual surplus in the automotive battery business is expected next year”-Samsung SDI Concall,"""Expected to achieve annual surplus in automobile battery business next year"" --Samsung SDI Concor"
2020-10-27 13:38:00,"""4분기에도 중대형전지 큰 폭 판매 증가 예상""-삼성SDI컨콜",“Sales of medium and large batteries are expected to increase significantly in the fourth quarter”-Samsung SDI Concall,"""Sales of medium and large batteries are expected to increase significantly in the fourth quarter."" --Samsung SDI Concor"
2020-10-27 13:30:00,"삼성SDI, 3Q 영업이익 2,674억원···전년比 61.1%↑","Samsung SDI, 3Q operating profit of KRW 266.4 billion ... 61.1% ↑","Samsung SDI, 3Q operating income 267.4 billion won ... 61.1% year-on-year ↑"
2020-10-27 13:10:00,"삼성SDI, 3Q 영업이익 2674억원…전년比 61.6%↑","Samsung SDI, 3Q operating profit of 2674 billion won... 61.6% ↑ compared to the previous year","Samsung SDI, 3Q operating income 267.4 billion won ... 61.6% year-on-year ↑"
2020-10-27 13:07:00,"삼성SDI, 3분기 매출 3조872억원…전년比 20.2%↑(속보)","Samsung SDI, 3Q sales of 3.87 trillion won... 20.2% ↑ compared to the previous year (breaking news)",Samsung SDI sales in the third quarter were 3.87.2 trillion won ... 20.2% year-on-year ↑ (flash report)
2020-10-26 08:35:00,`美ITC 판결-삼성SDI·SK이노 실적 발표-LG화학 주총` 배터리 ...,`US ITC ruling-Samsung SDI·SK Ino's performance announcement-LG Chemicals shareholders` battery ...,"`Beauty ITC Judgment-Samsung SDI, SK Ino Results Announcement-LG Chem Shareholders' Meeting` Battery ..."
2020-10-22 11:17:00,삼성SDI 배터리 '지그재그' 式 도입,Samsung SDI's battery'Zigzag' introduced,"Introduction of Samsung SDI battery ""zigzag"" type"
2020-10-20 10:42:00,"삼성SDI, 인터배터리 2020 참가…""친환경 미래상 선보일 것""","Samsung SDI, Participated in InterBattery 2020... ""To showcase the eco-friendly future""","Samsung SDI participates in Inter Battery 2020 ... ""Environmentally friendly and future image"""
2020-10-20 10:20:00,"삼성SDI, 전고체 배터리 개발 로드맵 공개한다",Samsung SDI Unveils Roadmap for All Solid Battery Development,Samsung SDI releases all-solid-state battery development roadmap
2020-10-20 10:17:00,"삼성SDI, '인터배터리 2020' 참가…""배터리 미래 제시""","Samsung SDI, Participated in'Inter Battery 2020'... ""Presenting the future of batteries""","Samsung SDI participates in ""Inter Battery 2020"" ... ""Battery Future Jesse"""
2020-10-20 09:56:00,"삼성SDI, 인터배터리서 ""한계 초월하고 지속가능 미래 돕는 배터리""...","Samsung SDI, InterBattery, ""Batteries that transcend limits and help a sustainable future""...","Samsung SDI, Interbattery ""Batteries that transcend limits and help a sustainable future"" ..."
2020-10-18 16:53:00,삼성SDI의 '마음 방역'…임직원 비대면 백일장 열어,Samsung SDI's'Mind Prevention' Open one hundred days without an employee's face-to-face,"Samsung SDI's ""Psychological Prevention"" ... Employee Non-face-to-face Writing Tournament Held"
2020-10-18 12:51:00,"삼성SDI, 코로나 극복 임직원 백일장 개최",Samsung SDI held a hundred days for employees overcoming coronavirus,Samsung SDI Holds Corona Overcoming Staff Literary Arts
2020-10-18 10:00:00,임직원 '마음방역' 나선 삼성SDI...코로나 극복 비대면 백일장 개...,Samsung SDI's executives and employees''mind defense'...,"Employee ""Mental Quarantine"" Samsung SDI ... Corona Overcoming Non-face-to-face Writing Tournament ..."
2020-10-18 09:39:00,"""코로나 블루는 가라""…삼성SDI에 쏟아진 詩","""Corona blue go""詩 poured into Samsung SDI","""Go Corona Blue"" ... a poem poured into Samsung SDI"
2020-10-18 09:19:00,"삼성SDI, 사내 백일장 '화제'…자작시·삼행시 최우수작은","Samsung SDI, one hundred days in the company'talk'... Best small poems in self-written poems and three lines","Samsung SDI, in-house composition contest ""topic"" ... self-made poetry, three-line poetry Cheosjak"
2020-10-18 09:01:00,"""희망은 우리 안에 있어요"" 삼성SDI, 임직원 대상 자작시·삼행시 ...","""Hope is in us"" Samsung SDI, self-written poems and Samhaeng poems for employees ...","""Hope is in us"" Samsung SDI, self-made poems for executives and employees ..."
