Date,Title,EngTitle,JapEngTitle
2020-10-30 09:36:00,"""삼성물산 주식 사자""…이건희 별세한 날, 어느 부부의 대화 [여기는 ...","""Samsung C&T stock lion""... On the day of Lee Kun-hee's death, a couple’s conversation [Here...","""Samsung Bussan Lion"" ... A couple's conversation on the day Lee Gong-hee died [here ..."
2020-10-29 16:00:00,[마켓인사이트]삼성물산 3년만에 회사채 발행…2500억원 조달,[Market Insight] Samsung C&T issuing corporate bonds in 3 years… KRW 250 billion raised,[Market Insight] Samsung C & T issues corporate bonds for the first time in 3 years ... Procurement of 250 billion won
2020-10-29 11:01:00,"삼성물산 준지, 글로벌 스포츠 브랜드 리복과 협업",Samsung C&T Junji collaborates with global sports brand Reebok,Collaboration with global sports brand Reebok given by Samsung C & T
2020-10-29 08:07:00,"""삼성물산, 지배구조 재조명은 저평가 해소 기회""-IBK투자증권","""Samsung C&T's corporate governance structure is an opportunity to resolve undervaluation""-IBK Investment & Securities","""Samsung C & T, Governance Relighting is an Opportunity to Eliminate Low Ratings""-IBK Investment Securities"
2020-10-29 06:59:00,"[김대성의 종목분석] 삼성물산, 주가 급등후 계속 하락하는 이유?",[Kim Dae-sung's Stock Analysis] Why Samsung C&T continues to decline after a surge in stock prices?,"[Kim Dae-sung's stock analysis] Samsung C & T, why has it continued to fall after the stock price soared?"
2020-10-28 09:05:00,"삼성물산 건설, 1년만에 3조원대 분기 매출 수익성은 주춤","Samsung C&T Construction, quarterly sales profitability of 3 trillion won in one year stagnated","Samsung C & T Corporation, sales in the 3 trillion won range for the first time in a year, profitability stagnant"
2020-10-28 09:01:00,"[Hot-Line] ""삼성물산, 코로나19 진정시 이익 개선 전망""","[Hot-Line] ""Samsung C&T to improve profits when corona 19 calms down""","[Hot-Line] ""Samsung C & T, Corona 19 Really Improving Profit of Time"""
2020-10-28 08:51:00,"삼성물산, 지배구조 개편 역할 축소 전망-유안타",Samsung C&T to reduce the role of corporate governance reform-Yuanta,Samsung C & T expects to reduce its role in restructuring its control structure-a hit
2020-10-28 08:10:00,"삼성물산, 3Q 무난한 실적..지배구조 개편 역할은 축소 전망-유안타",Samsung C&T's 3Q results are expected to reduce the role of governance restructuring-Yuanta,"Samsung C & T, 3Q safe track record. The role of restructuring the control structure is expected to shrink-a hit"
2020-10-28 08:08:00,"삼성물산, ESG 경영선언…중장기 성장 기대-유진","Samsung C&T, ESG management declaration... Mid- to long-term growth expectations-Eugene",Samsung C & T declares ESG management ... Medium- to long-term growth expectations-Eugene
2020-10-28 07:49:00,"[클릭 e종목]“삼성물산, 3분기 무난한 실적”","[Click e-sector] “Samsung C&T, 3rd quarter good results”","[Click e brand] ""Samsung C & T, safe results in the third quarter"""
2020-10-27 17:59:00,"삼성물산, 삼성생명공익재단에 11억 기부",Samsung C&T donates 1.1 billion won to Samsung Life Insurance Foundation,Samsung C & T donates 1.1 billion to Samsung Life Insurance Foundation
2020-10-27 17:50:00,"삼성물산, 코로나19에도 선방...매출 7.8조",Samsung C&T also saves Corona 19...Sales 7.8 trillion,"Samsung C & T, Corona 19 also fine play ... sales 7.8 trillion"
2020-10-27 17:46:00,삼성물산 '탈석탄'…친환경 사업에 올인,Samsung C&T's'de-coal'... All-in to eco-friendly business,"Samsung C & T ""Coal De-coal"" ... Environmentally Friendly All-in to Business"
2020-10-27 16:48:00,"'탈석탄 선언' 삼성물산, 석탄 신사업 중단…친환경 경영 전환","Samsung C&T, halting new coal business... Eco-friendly management transformation","""Declaration of coal removal"" Samsung C & T suspends new coal business ... Environmentally friendly management switch"
2020-10-27 16:42:00,"삼성물산, 脫석탄 선언… ""관련 신규 투자·사업 전면 중단""","Samsung C&T declares former coal... ""All related new investment and business suspension""","Samsung C & T declares 脫 Coal ... ""New investment and business suspension related"""
2020-10-27 16:23:00,"탈석탄 선언 삼성물산, 신규사업 전면 중단…""ESG 경영 선도기업 된...","Declaration of coal-free coal Samsung C&T stops new business ""Became a leading company in ESG management...","Declaration of de-coal Samsung C & T completely suspends new business ... ""It was a major ESG management company ..."
2020-10-27 16:18:00,삼성물산 '脫석탄'···친환경 사업 늘린다,Samsung C&T's'Old Coal' ... to increase eco-friendly business,"Samsung C & T ""Coal"" ... Increase environmentally friendly businesses"
2020-10-27 17:24:00,"‘탈석탄’ 삼성물산, 친환경사업 확대",‘De-coal’ Samsung C&T expands eco-friendly business,"""Coal-free Samsung C & T expands eco-business"
2020-10-27 17:03:00,"삼성물산, 탈석탄 선언...친환경경영 강화",Samsung C&T declares coal-free ... to strengthen eco-friendly management,Samsung C & T declares coal removal ... Environmentally friendly management strengthening
2020-10-27 16:34:00,‘탈석탄’ 선언한 삼성물산…친환경 사업 체제로 전환,Samsung C&T declared “de-coal”... Transition to an eco-friendly business system,"Samsung C & T declared ""de-coal"" ... Transition to environmentally friendly business structure"
2020-10-27 16:10:00,"삼성물산, 국내 비금융사 최초로 '탈석탄' 선언","Samsung C&T, the first domestic non-financial company to declare'de-coal'","Samsung C & T declares ""coal removal"" for the first time in a domestic non-financial company"
2020-10-27 16:05:00,"삼성물산, '탈석탄' 선언...친환경 포트폴리오 확대",Samsung C&T declares'coal-free' ... expanding eco-friendly portfolio,"Samsung C & T declares ""de-coal"" ... Environmentally friendly portfolio expansion"
2020-10-27 17:03:00,"삼성물산, 탈석탄 선언...친환경경영 강화",Samsung C&T declares coal-free ... to strengthen eco-friendly management,Samsung C & T declares coal removal ... Environmentally friendly management strengthening
2020-10-27 16:42:00,"삼성물산, 脫석탄 선언… ""관련 신규 투자·사업 전면 중단""","Samsung C&T declares former coal... ""All related new investment and business suspension""","Samsung C & T declares 脫 Coal ... ""New investment and business suspension related"""
2020-10-27 16:30:00,"삼성물산, 3분기 영업이익 2160억원…전년 수준","Samsung C&T, 3Q operating profit of KRW 21.6 billion… Previous year level","Samsung C & T, operating profit of 216 billion won in the third quarter ... same as the previous year"
2020-10-27 17:01:00,"삼성물산, '코로나19'에도 상사부문 3분기 영업이익 증가",Samsung C&T's 3Q operating profit increased even in'Corona 19',"Samsung C & T, ""Corona 19"" also increased operating income in the trading company division in the third quarter"
2020-10-27 16:46:00,"삼성물산, 3분기 영업익 2155억…전년비 0.4%↓","Samsung C&T, 3Q operating profit of 21.5 billion... 0.4% from the previous year↓","Samsung C & T, third quarter operating income 215.5 billion ... 0.4% year-on-year ↓"
2020-10-27 16:33:00,"삼성물산, 3분기 영업익 2155억…전년동기比 0.4% 감소","Samsung C&T, 3Q operating profit of 21.5 billion... 0.4% decrease from the same period last year","Samsung C & T, third quarter operating profit 215.5 billion ... 0.4% year-on-year decrease"
