Date,Title,EngTitle,JapEngTitle
2020-10-31 11:00:00,"[제약 바이오 이모저모] 삼성바이오로직스, 해외 첫 진출","[Pharmaceutical Bio Essence] Samsung Biologics, first overseas expansion",[Restricted biotechnology] Samsung Biologics expands overseas for the first time
2020-10-30 11:10:00,"'9% 급등' 삼성바이오, 70만원 회복 눈앞","'9% soaring' Samsung Bio, before 700,000 won recovery","""9% soaring"" Samsung Bio, 700,000 won in front of recovery"
2020-10-29 17:33:00,"삼성바이오, 첫 美R&D센터 개소…2025년 위탁개발 세계 1위 될것",Samsung Bio opens its first US R&D center... World's No. 1 consignment development,"Samsung Bio opens first beauty R & D center ... 2025 contract development, world No. 1"
2020-10-29 10:33:00,"삼성바이오로직스, 美 진출…샌프란에 R&D센터 개소(종합)",Samsung Biologics enters the US... Opening of R&D Center in San Fran (general),Samsung Biologics Advances to Beauty ... Sun's R & D Center Opens (Comprehensive)
2020-10-29 09:54:00,"삼성바이오로직스, 美 진출…샌프란에 R&D센터 개소(상보)",Samsung Biologics enters the US... Opening of R&D Center in San Fran (complementary),Samsung Biologics Advances to Beauty ... Sun's R & D Center Opens (Complementary)
2020-10-29 17:29:00,"삼성바이오로직스, 삼성 브랜드 사용료 98억원","Samsung Biologics, Samsung brand usage fee of 9.8 billion won","Samsung Biologics, Samsung brand usage fee 9.8 billion won"
2020-10-29 17:11:00,김태한 삼성바이오로직스 대표 “2025년까지 CDO 글로벌 챔피언 될 ...,"Kim Tae-han, CEO of Samsung Biologics “Become a global CDO champion by 2025 ...","Kim Tae Handsome Samsung Biologics Representative ""Become a CDO Global Champion by 2025 ..."
2020-10-29 15:13:00,"삼성바이오로직스, CDO 사업 앞세워 바이오 본고장 美 진출",Samsung Biologics advances to the U.S. home of biotechnology with the CDO business ahead,"Samsung Biologics, CDO, put to the front of business and advance to bio authentic beauty"
2020-10-29 11:38:00,삼성바이오로직스 美 CDO센터 개소 “2500개 바이오텍 옆집”,Samsung Biologics opens US CDO Center “2500 biotech next door”,"Samsung Biologics Beauty CDO Center opened ""2500 next to Biotech"""
2020-10-29 11:06:00,"""2030년 글로벌 챔피언"" 삼성바이오로직스, 美에 전진기지 구축","""Global Champion of 2030"" Samsung Biologics to build a forward base in the US","""2030 Global Champion"" Samsung Biologics Builds Advance Base for Beauty"
2020-10-29 11:03:00,"삼성바이오로직스, 바이오 본시장 美 진출…""2025년 CDO 1등 목...","Samsung Biologics enters the main bio market in the US... ""No. 1 CDO in 2025...","Samsung Biologics enters the bio main market beauty ... ""2025 CDO 1st prize ..."
2020-10-29 10:37:00,"김태한 삼성바이오 사장 ""2030년엔 바이오 연구·개발·생산의 글로벌...","Kim Tae-han, President of Samsung Bio, ""2030 is a global bio research, development and production...","Kim Tae Handsome Samsung Bio President ""Global Biotechnology Research, Development and Production in 2030 ..."
2020-10-29 10:22:00,김태한 삼성바이오로직스 대표 “2025년까지 CDO 글로벌 챔피언 될...,"Kim Tae-han, CEO of Samsung Biologics, “I will become a global CDO champion by 2025...","Kim Tae Handsome Samsung Biologics Representative ""Become a CDO Global Champion by 2025 ..."
2020-10-29 10:19:00,"삼성바이오로직스, 글로벌 진출 본격화...거점 美에 R&D센터 개소","Samsung Biologics, full-fledged global expansion...Opens R&D center in the US",Samsung Biologics begins full-scale global expansion ... R & D center opened in base beauty
2020-10-29 16:26:00,화이자 백신 기대감에 삼성바이오로직스 급등…시총 4위로,Samsung Biologics surges in anticipation of Pfizer vaccine 4th in market cap,Samsung Biologics soars in anticipation of Pfizer vaccine ... 4th in market capitalization
2020-10-29 14:54:00,"삼성바이오로직스, 장중 9% 급등…LG화학 제치고 시총 4위","Samsung Biologics surges 9% during intraday… 4th place in market cap, beating LG Chem",Samsung Biologics soars 9% in majesty ... 4th in market capitalization without LG Chem
2020-10-29 14:39:00,"[이데일리N] 삼성바이오로직스, 美 R&D센터 개소…첫 해외 진출 外",[EDaily N] Samsung Biologics opens R&D center in the US... First overseas expansion,[EDAILY N] Samsung Biologics opens beauty R & D center ... First overseas expansion
