Date,Title,EngTitle,JapEngTitle
2020-10-31 08:01:00,[유안타證 주간추천주]‘신작 모멘텀 유효’…엔씨소프트·이마트·컴투스,"[Yuanta's weekly recommendation]'New Momentum Effective'... NCsoft, E-Mart, Com2uS","[Hit week Jeonju] ""New momentum effective"" ... NC Soft Mart Kamtus"
2020-10-30 14:06:00,엔씨소프트 신작 ‘트릭스터M’ 이틀만에 사전예약 100만 돌파,NCsoft's new “Trickster M” exceeds 1 million in advance reservation in two days,"NC software's new work ""Trickster M"" exceeded 1 million advance reservations on the second day"
2020-10-30 13:24:00,"엔씨소프트, 트릭스터M 사전 예약 100만 달성",NCsoft achieves 1 million advance reservations for Trickster M,"NC software, Trickster M advance reservation achieved 1 million"
2020-10-30 13:42:00,"엔씨소프트 ‘아이온’, 11월11일 ‘클래식 서버’ 연다",NCsoft'Aion' opens'Classic Server' on November 11th,"NC software ""AION"" opens ""Classic Server"" on November 11th"
2020-10-27 18:09:00,"김택진 엔씨소프트 대표 ""게임은 미래 문화산업 핵심 동력""","Kim Taek-jin, CEO of NCsoft, ""Game is a key driver of the future cultural industry""","Kim Taek-Jinn NC Software Representative ""Games are the core power of the future cultural industry"""
2020-10-26 14:55:00,"엔씨소프트, 28일 ‘귀여운 리니지’ 트릭스터M 사전예약","NCsoft,'Cute Lineage' Trickster M pre-booked on the 28th","NC software, 28th ""Cute Lineage"" Trickster M Advance reservation"
2020-10-26 11:21:00,"엔씨소프트, 트릭스터M 28일부터 사전 예약 실시","NCsoft, Trickster M to make advance reservations on the 28","NC software, Trickster M Advance reservation from 28th"
2020-10-25 13:47:00,[주간추천주]확실한 실적주에 러브콜…삼성전자·엔씨소프트·CJ제일제당,"[Weekly recommended stock] Love call with positive performance stock... Samsung Electronics, NCsoft, CJ CheilJedang","[Weekly Jeonju] Love call for a certain performance principle ... Samsung Electronics, NC Soft, CJ Daiichi Sugar Manufacturing"
2020-10-21 14:20:00,"엔씨소프트, 게임 이야기 담은 그림 언어 타입 플레이 공개",NCsoft unveils picture language type play containing game stories,"NC software, video language type play release that includes the story of the game"
2020-10-21 08:38:00,"엔씨소프트, 해외에서도 흥하는 MMORPG…목표가 112만원-유안타","NCsoft, MMORPG that is prospering overseas... Target price 1.12 million won-yuan hit","NC software, MMORPG that is talked about overseas ... Target 1.12 million won-Yes hit"
2020-10-21 08:00:00,"엔씨소프트, 3·4분기 컨센서스 상회 전망-유안타",NCsoft to outperform consensus in 3rd and 4th quarter-Yuanta,NC software outlooks to exceed consensus in 3rd and 4th quarter-hits
2020-10-21 07:50:00,"엔씨소프트, 3Q 실적 컨센서스 상회 전망-유안타",NCsoft to outperform 3Q earnings consensus-Yuanta,NC software outlooks to exceed 3Q performance consensus-hits
2020-10-20 17:33:00,"엔씨소프트, 깊은잠 깨고 다시 날아오를까",Will NCsoft wake up again after waking up?,"NC software, deep awakening will fly up again"
2020-10-20 16:17:00,"조정 마무리 단계 엔씨소프트…""신작 일정 확정시 반등할 것""","End of adjustment NCsoft… ""If the new work schedule is confirmed, it will rebound""","Adjustment finishing stage NC software ... ""It will repel when the new schedule is confirmed"""
2020-10-19 09:03:00,"엔씨소프트, 3분기 영업이익 예상치 하회 전망-신한",NCsoft's 3Q operating profit forecast to fall short-Shinhan,NC Soft expects third-quarter operating profit to fall below --Shinhan
2020-10-14 13:38:00,"엔씨소프트, ‘트릭스터M’ 브랜드 페이지 오픈",NCsoft opens'Trickster M'brand page,"NC software opens ""Trickster M"" brand page"
2020-10-14 12:42:00,엔씨소프트 신작 ‘트릭스터M’ 브랜드 페이지 개설,Opened NCsoft's new “Trickster M” brand page,"NC software's new ""Trickster M"" brand page opened"
2020-10-14 10:40:00,"좀처럼 힘 못쓰는 엔씨소프트…""장기적 투자포인트 변함없어""","NCsoft is hard to use… ""Long-term investment points remain unchanged""","NC software that can not be used easily ... ""The point of long-term investment does not change"""
2020-10-14 06:02:00,[2020년 상반기 법인세 분석]⑥게임·엔터테인먼트 팬데믹 언택트 영향...,[Corporate tax analysis for the first half of 2020] ⑥ Game/entertainment pandemic untouch effect...,[Analysis of corporate tax in the first half of 2020] ⑥ Impact of game and entertainment fan demicant tact ...
2020-10-13 13:24:00,"엔씨소프트, ‘할로윈 타투 플레이’ 이벤트 진행","NCsoft,'Halloween Tattoo Play' event","NC software, ""Halloween tattoo play"" event progress"
2020-10-11 15:34:00,"엔씨소프트, 신사업 드라이브…‘아이돌·AI·금융’ 잡는다",NCsoft drives new business... Catching “Idol·AI·Finance”,"NC software, drive new business ... ""Idol / AI / Finance"" catch"
2020-10-11 10:13:00,[마켓포인트]코스피 주간 외국인 순매도 1위 '엔씨소프트',"[Market Point]'NCSoft', No. 1 in foreign net selling during the week of KOSPI","[Market Point] KOSPI Week No. 1 in net sales of foreigners ""NC software"""
2020-10-10 14:57:00,[주간HOT종목]주가 조정 받는 엔씨소프트…개인들 관심은↑,[Weekly HOT Stock] NCsoft stock price adjustment... Individuals' interest ↑,[Weekly HOT stocks] Stock price adjusted NC software ... Personal interest is ↑
2020-10-08 15:14:00,"엔씨소프트 ‘리니지M’·‘리니지2M’, 한글날 이벤트 진행","NCsoft'Lineage M'and'Lineage 2M', Hangul Day event","NC software ""Lineage M"" / ""Lineage 2M"", Hangul Day event progress"
2020-10-08 08:28:00,"“엔씨소프트, 미뤄지는 신작 출시...목표가↓”","“NCSoft, release of new work that is delayed...Goal ↓”","""NC software, new release postponed ... Goal ↓"""
2020-10-07 17:27:00,증권업 뛰어든 엔씨소프트…KB증권 등과 손잡고 'AI 증권사' 설립 추...,NCsoft jumped into the securities industry Establishment of'AI Securities Company' in cooperation with KB Securities and others...,"NC software that jumped into the securities industry ... Added ""AI securities company"" by holding hands with KB securities ..."
2020-10-07 15:00:00,"디셈버앤컴퍼니, KB증권·엔씨소프트와 'AI 투자 증권사' 합작법인 ...","December & Company, KB Securities and NCsoft and'AI Investment & Securities Company' joint venture ...","Disemboen Company, KB, Securities / NC Software and ""AI Investment Securities Company"" Joint Venture ..."
2020-10-07 16:05:00,"KB證, 엔씨소프트 손잡고 ‘인공지능 PB 만들기’",KB證 and NCsoft join hands to create'artificial intelligence PB',"KB 證, NC software holding hands ""artificial intelligence PB creation"""
2020-10-07 14:07:00,"KB증권·디셈버앤컴퍼니·엔씨소프트, AI 간편투자 증권사 만든다","KB Securities, December & Company, and NCsoft to create AI simple investment securities company","KB Securities / Disemboen Company / NC Software, AI Easy Investment Securities Company"
2020-10-07 10:35:00,"KB증권, 디셈버앤컴퍼니·엔씨소프트와 합작법인 출범 계약체결",KB Securities signed a joint venture agreement with December & Company and NCsoft,KB Securities establishes joint venture agreement with Disemboen Company NC Soft
2020-10-07 09:55:00,"KB증권, 엔씨소프트·디셈버앤컴퍼니와 손잡고 AI 증권사 진출","KB Securities, NCsoft and December & Company to enter AI securities company",KB Securities joins NC Soft Disemboen Company to enter AI securities company
2020-10-07 09:33:00,"KB증권·디셈버앤컴퍼니·엔씨소프트, AI 간편투자 증권사 설립 추진",KB Securities·December&Company·NCSoft promotes establishment of AI simple investment securities company,"KB Securities / Disemboen Company / NC Software, Promotion of establishment of AI Easy Investment Securities Company"
2020-10-07 16:03:00,"엔씨소프트, 신작 ‘트릭스터M’ 신규 영상 공개","NCsoft unveils new video,'Trickster M'","NC software releases new video of new ""Trickster M"""
2020-10-07 15:12:00,"엔씨소프트, 모바일 신작 ‘트릭스터M’ 티저 영상 2종 공개",NCsoft unveils two new mobile teaser videos for'Trickster M',"NC software releases two teaser videos of new mobile phone ""Trickster M"""
2020-10-07 15:29:00,"엔씨소프트, 신입 공채 온라인 채용 설명회 개최",NCsoft holds online recruitment briefing session for new recruits,NC software holds online recruitment briefing session for new bonds
2020-10-07 14:23:00,"KB證-디셈버앤컴퍼니-엔씨소프트, AI간편투자 증권사 설립나서","KB證-December & Company-NCSoft, after the establishment of AI simple investment securities company","KB 證 --Disemboen Company --NC Soft, AI Easy Investment Securities Company Established"
2020-10-07 13:54:00,엔씨소프트도 움직였다…AI로 디지털 금융업 진출,NCsoft also moved... Entering the digital finance industry with AI,NC software also worked ... AI digital financial industry advancement
2020-10-07 11:17:00,"엔씨소프트, KB증권·디셈버앤컴퍼니와 손잡고 AI 증권사 만든다",NCsoft joins forces with KB Securities and December & Company to create an AI securities company,"Create an AI securities company by holding hands with NC Software, KB, Securities / Disemboen Company"
2020-10-07 08:56:00,"엔씨소프트, 내년 영업익 140%↑ 전망…목표가↓-삼성",NCsoft forecasts 140% ↑ in operating profit next year... Target Price↓-Samsung,"NC software, operating income 140% next year ↑ Forecast ... Target ↓ --Samsung"
2020-10-06 09:33:00,"[마켓인사이트]엔씨소프트 개발진 독립해 만든 앤유, 200억원 투자유치...","[Market Insight] NCsoft's development team independently created NU, attracting 20 billion won investment...","[Market Insight] NC software development team Independently created Enyu, attracting 20 billion won investment ..."
2020-10-06 08:43:00,"엔씨소프트, 신작 출시 지연 변수…목표주가↓-이베스트",NCsoft's new release delay variable Target price↓-Evest,"NC software, delay variable for new release ... Target stock price ↓ --This best"
2020-10-06 08:19:00,"엔씨소프트, 숨고르기형 조정…목표가↓-이베스트","NCsoft, breath-taking adjustment... Target price↓-Ebest","NC software, breather adjustment ... Goal ↓ --This best"
