Date,Title,EngTitle,JapEngTitle
2020-10-30 15:28:00,"쌍방울x카카오메이커스, 협업 브랜드 ‘SERIES S’ 출시",Ssangbangwool x Kakao Makers launches collaboration brand'SERIES S',"Ssangbangwool x Cacao Meikos launches joint brand ""SERIES S"""
2020-10-30 15:23:00,"쌍방울·카카오메이커스, 협업 브랜드 ‘시리즈 에스’ 출시",Ssangbangwool and Kakao Makers launch collaboration brand'Series S',"Ssangbangwool Cacao Meikos, joint brand ""Series S"" released"
2020-10-30 15:19:00,"쌍방울x카카오메이커스, 협업 브랜드 ‘SERIES S’ 출시",Ssangbangwool x Kakao Makers launches collaboration brand'SERIES S',"Ssangbangwool x Cacao Meikos launches joint brand ""SERIES S"""
2020-10-30 11:21:00,"위힐드, 카카오벤처스, 삼성벤처투자로부터 시리즈 A 투자유치","Attracted Series A investment from Wehild, Kakao Ventures, and Samsung Venture Investment","Attract Series A investment from the above Hildr, Cacao Ventures, Samsung Ventures investment"
2020-10-29 09:18:00,양성평등 우수 기업에 네이버·카카오·씨티은행 등 10곳,"10 companies with excellent gender equality including Naver, Kakao and Citibank","10 companies with excellent gender equality, including Naver Cacao City Bank"
2020-10-28 18:10:00,네이버·카카오 다시 반등 시동.. 언택트 관련株에 ‘관심’ 쏠리나,Naver and Kakao are starting to rebound again.,"Naver Cacao starts to rise again. ""Interest"" in antact-related stocks"
2020-10-28 14:38:00,[특징주] 실적 기대 높아지는 네이버 카카오 ‘강세’,[Featured Stock] Naver Kakao's'Strengthen' with higher earnings expectations,"[Tukjinju] Naver cacao with increasing expectations for achievements ""High"""
2020-10-28 11:23:00,네이버·카카오에도 금소법 적용,The law applies to Naver and Kakao,Naver Cacao also applies gold sobop
2020-10-28 10:40:00,"[특징주]카카오, 카뱅 투자유치 소식에 강세…이틀째 상승","[Features] Kakao, strong in news of Kabin investment attraction... Day 2 rise",[Tukjinju] Cacao rises on the second day of news to attract investment in cacao
2020-10-27 17:43:00,"구광모 ""첨단산업 일군 기업인""…김범수 ""삼성 키즈가 카카오 키웠다""","Gu Kwang-mo ""High-tech industry leader""... Beomsu Kim ""Samsung Kids Raised Kakao""","Gwangmo ""Advanced Industrial Activity Company"" ... Kim Bum Soo ""Samsung Kids Raise Cacao"""
