Date,Title,EngTitle,JapEngTitle
2020-10-31 08:01:00,[하나금투 주간추천주]'실적 급성장에 주목'…현대모비스·금호석유·에코프...,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...","[One Gumtsu Weekly Chucheonju] ""Achievements Pay attention to the rapid growth"" ... Hyundai Mobis, Kumho Oil, Ecopu ..."
2020-10-31 08:01:00,[하나금투 주간추천주]'실적 급성장에 주목'…현대모비스·금호석유·에코프...,"[Weekly Recommended Week for Hana Geumtu]'Attention to rapid growth in performance'… Hyundai Mobis, Kumho Petroleum, Eco...","[One Gumtsu Weekly Chucheonju] ""Achievements Pay attention to the rapid growth"" ... Hyundai Mobis, Kumho Oil, Ecopu ..."
2020-10-30 09:02:00,[오늘의 목표주가] 현대모비스 30만원으로 상향,"[Today's target price] Hyundai Mobis raised to 300,000 won","[Today's target price] Hyundai Mobis raised to 300,000 won"
2020-10-30 04:02:00,"현대모비스, 협력사에 연구실 문활짝…작년 이용 2천건","Hyundai Mobis opens lab doors to partners... 2,000 cases used last year","Hyundai Mobis, partner big lab door ... 2,000 used last year"
2020-10-29 17:36:00,현대모비스 매출 전년比 6%↑,Hyundai Mobis sales year-on-year 6%↑,Hyundai Mobis sales are 6% year-on-year ↑
2020-10-29 17:35:00,"현대모비스, 전동화사업 분기매출 첫 1조 돌파",Hyundai Mobis surpasses 1 trillion won in quarterly sales for the electrification business,Hyundai Mobis surpasses 1 trillion in quarterly sales for the first time
2020-10-29 14:29:00,"현대모비스, 3분기 매출 10조원 육박···전동화 부문은 1조원 돌파",Hyundai Mobis surpasses KRW 10 trillion in sales in the third quarter...,Hyundai Mobis closes sales of 10 trillion won in the third quarter ... Electricity division exceeds 1 trillion won
2020-10-29 14:21:00,"현대모비스, 3분기 매출 10조원 육박…전동화·SUV 실적 견인","Hyundai Mobis, sales approaching 10 trillion won in the third quarter... Driving the performance of electrification and SUV",Hyundai Mobis approaches sales of 10 trillion won in the third quarter ... Electrification and SUV performance driving
2020-10-29 14:12:00,"전동화 매출 첫 1조 돌파…현대모비스, 코로나 뚫고 수익 선방",First trillion in sales of electrification Hyundai Mobis breaks through corona and saves profits,Sales of electrification exceeded 1 trillion for the first time ... Hyundai Mobis saves income through Corona
2020-10-29 14:11:00,"현대모비스, 3Q 영업익 5983억원…전동화 사업 매출 '분기 1조원...","Hyundai Mobis, 3Q operating profit of 5983 billion won... Sales of electrification business'Quarterly KRW 1 trillion...","Hyundai Mobis, 3Q operating income 598.3 billion won ... 1 trillion won branch of ""sales of electrification business"" ..."
2020-10-29 14:09:00,"현대모비스, 3분기 영업익 5983억…전동화 매출 첫 1조 돌파","Hyundai Mobis, 3Q operating profit of 5983 billion... First trillion in sales of electrification","Hyundai Mobis, third quarter operating profit 598.3 billion ... first trillion in electrification sales"
2020-10-29 17:31:00,"현대모비스, 영업익 5983억…예상보다 20% 웃돌아","Hyundai Mobis, operating profit of 5983 billion... 20% higher than expected","Hyundai Mobis, operating profit 598.3 billion ... 20% better than expected"
2020-10-29 16:51:00,"현대모비스, 코로나19에도 영업익 6,000억 '선방'",Hyundai Mobis'saved 600 billion won' operating profit even in Corona 19,"Hyundai Mobis, Corona 19 also saves 600 billion operating income """
2020-10-29 15:13:00,"현대모비스, 3Q 기대 웃돈 실적에도 주가 약세",Hyundai Mobis shares weaker despite earnings exceeding expectations in 3Q,Hyundai Mobis's stock price fell as expected in 3Q
2020-10-29 15:03:00,"현대모비스, 3분기 예상 웃돈 '선전'…전동화 매출 1조 돌파","Hyundai Mobis,'Shenzhen' exceeding 3Q expected Electricization sales exceeded 1 trillion won","Hyundai Mobis ""Promotion"" Exceeds Third Quarter Expected ... Electrified Sales Exceed 1 Trillion"
2020-10-29 14:17:00,"현대모비스, 3Q 회복세 전환..전분기比 매출·영업익 모두 증가(상보...",Hyundai Mobis turned to recovery in 3Q... Both sales and operating profit increased compared to the previous quarter (complementary...,"Hyundai Mobis, 3Q recovery conversion. Both sales and operating income increased from the previous year (complementary ..."
2020-10-29 14:50:00,"현대모비스, 임단협 이행 위해 자기주식 172억원 처분",Hyundai Mobis disposes of 17.2 billion won of treasury shares,Hyundai Mobis disposes of 17.2 billion won of treasury stock to fulfill wage group talks
