Date,Title,EngTitle
2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수,"'Hydrogen Economy Leader' Hyundai Motor Group... President Wen also applauds the breakthrough of 10,000 Nexo units"
2020-10-31 15:10:00,"한신평 ""현대종합특수강 유증 재무구조에 긍정적, 신용도 부담은 여전""","Shinpyeong Han ""Hyundai Special Steel bequests are positive for the financial structure, credit burden still remains"""
2020-10-31 09:12:00,"수소시대 투자는 현대차만? 전문가들 ""이런 기업 주목해야""","Only Hyundai Motor Company is investing in the hydrogen era? Experts ""must pay attention to these companies"""
2020-10-31 08:43:00,"문재인 대통령, 정의선 현대차 회장에 ""우리 회장님""···왜?","President Moon Jae-in and Hyundai Motor Chairman Eui-seon Eui-seon said ""Our Chairman""... why?"
2020-10-30 17:33:00,[단독] CNN 캠페인 등장한 정의선…현대차 `모빌리티 혁신` 강조,[Exclusive] Eui-seon Eui-sun appeared in the CNN campaign... Emphasis on Hyundai Motor's'Mobility Innovation'
2020-10-30 17:32:00,"현대차 간 문재인 대통령 ""전기·수소차 133만대 보급""","President Moon Jae-in between Hyundai Motors ""supplied 1.33 million electric and hydrogen cars"""
2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업""","""Hyundai Motor, No. 1 Labor-Management Cooperation Company"""
2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장""","President Wen ""Hyundai Motor's Ulsan Plant is a site of innovation and win-win"""
2020-10-30 17:21:00,"이노션, 현대차 신차 광고 특수 기대","INNOCEAN, special expectations for Hyundai Motor's new car advertisement"
2020-10-30 15:50:00,文대통령의 수소전기차 넥쏘 사랑…취임 후 현대차 사업장만 4차례 찾아,"President Wen's love for the hydrogen electric car Nexo… After taking office, only visited Hyundai Motor Company four times"
2020-10-30 14:53:00,"현대차 사장 ""친환경차 개발·신산업 창출로 그린뉴딜 마중물 될 것""","President of Hyundai Motors ""will be the welcome to the Green New Deal by developing eco-friendly vehicles and creating new industries"
2020-10-30 13:10:00,승용차에서 트럭·버스까지..수소차의 역사 만든 현대차,From passenger cars to trucks and buses
