,date,sentiment
0,2020-10-27,0.89
1,2020-08-18,0.81
2,2020-07-24,0.988
3,2020-06-24,0.963
4,2020-03-18,-0.084
5,2020-02-29,0.936
6,2020-02-01,0.915
7,2019-12-05,0.988
8,2019-11-28,0.874
9,2019-09-26,0.938
10,2019-09-25,0.979
11,2019-08-29,0.994
12,2019-01-26,0.264
13,2018-12-13,0.996
14,2018-11-23,0.986
15,2018-09-15,0.929
16,2018-07-28,0.824
17,2018-07-27,0.974
18,2018-07-05,0.852
19,2018-03-21,0.456
20,2018-03-20,0.555
21,2018-03-04,0.782
22,2018-01-12,0.837
23,2018-01-11,0.909
24,2018-01-04,-0.589
25,2018-01-03,-0.271
26,2017-12-27,0.932
