,date,sentiment
0,2020-10-31,0.991
1,2020-10-30,0.918
2,2020-10-27,-0.475
3,2020-10-09,0.986
4,2020-09-08,0.926
5,2020-07-30,0.985
6,2020-07-29,0.927
7,2020-07-08,0.99
8,2020-05-22,0.732
9,2020-04-30,0.954
10,2020-04-08,0.42
11,2020-03-17,0.909
12,2020-02-22,0.69
13,2020-02-01,0.964
14,2020-01-31,0.961
15,2020-01-22,0.982
16,2020-01-21,0.976
17,2020-01-09,0.986
18,2019-12-19,0.969
19,2019-11-02,0.994
20,2019-11-01,0.879
21,2019-10-31,0.963
22,2019-08-01,0.964
23,2019-07-06,0.981
24,2019-05-02,0.997
25,2019-05-01,0.967
26,2019-04-23,0.805
27,2019-04-19,0.143
28,2019-03-21,0.945
