,Date,Title
0,2020-10-28 19:09:00,"KB금융지주 이사회, 노조 추천 사외이사 반대"
1,2020-10-28 18:44:00,"KB금융 이사회, 노조 추천 사외이사 선임 반대"
2,2020-10-28 17:14:00,"""노조 추천 사외이사 반대""…KB금융 이사회 공식 거부"
3,2020-10-28 16:33:00,"KB금융이사회 ""우리사주조합 추천 사외이사 반대"""
4,2020-10-28 16:15:00,"KB금융 이사회 ""우리사주조합의 사외이사 추천 반대"""
5,2020-10-28 15:35:00,KB금융 이사회 “노조 추천 사외이사 반대”
6,2020-10-28 15:30:00,"KB금융 이사회 ""우리사주조합 추천 사외이사 후보선임 반대"""
7,2020-10-28 15:18:00,"KB금융, ‘이사회 vs. 사주조합’ 주총서 표대결"
8,2020-10-28 09:40:00,"KB금융, 자산관리법 분석한 2020 한국富者보고서 발간"
9,2020-10-27 17:17:00,"KB금융, 한국기업지배구조원 ESG평가서 `ESG 최우수기업` 수상"
10,2020-10-27 16:37:00,"KB금융·DGB금융, 한국기업지배구조원 ESG평가서 수상"
11,2020-10-27 16:32:00,"KB금융지주, 한국기업지배구조원서 ESG 최우수기업 수상"
12,2020-10-27 16:01:00,"KB금융, ESG 최우수기업 수상…금융사 중 유일 전부문 'A+'"
13,2020-10-27 16:01:00,"KB금융, ESG 최우수기업 수상…금융사 중 유일 전부문 'A+'"
14,2020-10-27 16:00:00,"KB금융, ESG 최우수기업 선정...“금융사 1위”"
15,2020-10-27 16:26:00,"신한금융, 3분기 누적 순익 2조9500억…KB금융 제치고 '최대 실적..."
16,2020-10-26 06:02:00,왜 거기서 나와… 옵티머스·라임 구설에 긴장하는 KB금융
17,2020-10-23 13:08:00,KB금융 첫 1조클럽…윤종규가 해냈다
18,2020-10-23 10:17:00,"KB금융, 금융지주 첫 1조 클럽…윤종규가 해냈다"
19,2020-10-23 09:10:00,"[특징주]KB금융, 증권가 목표가 상향 조정에 강세"
20,2020-10-23 09:06:00,"KB금융, 3Q 깜짝 실적에 7거래일 연속 ↑"
21,2020-10-23 08:24:00,"KB금융, 3Q 분기 최대 실적 달성…목표가↑-BNK"
22,2020-10-23 08:09:00,"KB금융, 이익 안정성에 배당 매력도…목표가↑-키움"
23,2020-10-23 08:07:00,"KB금융, 3Q 사상 첫 1조대 순익…은행업종 톱픽-메리츠"
24,2020-10-23 08:02:00,"KB금융, 분기순익 1조…우수한 펀더멘털 입증..목표가↑-한국"
25,2020-10-23 07:58:00,"KB금융, 우수한 펀더멘털 입증-한투"
26,2020-10-23 07:37:00,"[클릭 e종목]""KB금융, 우수한 펀더멘털 입증...목표가 10% ↑..."
27,2020-10-23 08:01:00,"KB금융, 3년 연속 증익 전망..`주가 상승 신호탄`-대신"
28,2020-10-22 18:02:00,"‘어닝 서프라이즈’ KB금융, 분기 순익 1조클럽 달성"
29,2020-10-22 17:53:00,"KB금융 3Q 실적, 코로나 속 선방…배당은 보수적(종합)"
30,2020-10-22 16:29:00,"KB금융, 3분기 당기순익 1조1666억원…코로나19에도 사상 최대 ..."
31,2020-10-22 16:01:00,"KB금융, 올 3분기 당기순익 1조1666억원…전분기比 18.8%↑"
32,2020-10-22 15:59:00,"'코로나 속 선방' KB금융, 3분기 당순익 1조1666억...전년比..."
33,2020-10-22 15:51:00,"(종합)KB금융, 순익 18.8% 증가..코로나19에도 3분기 안정적..."
34,2020-10-22 17:52:00,"KB금융 ""올해 공격적 배당 확대 어려워..중간배당 시기상조"""
35,2020-10-22 17:13:00,"KB금융 ""배당 안 줄인다… 분기배당도 고려"""
36,2020-10-22 17:41:00,신용대출이 끌고 푸르덴셜이 도운 KB금융 '깜짝 실적'
37,2020-10-22 17:23:00,코로나에도...분기순익 1조시대 연 KB금융
38,2020-10-22 16:05:00,"KB금융, 3분기 순익 1조1666억…'깜짝' 최대 실적(종합)"
39,2020-10-22 15:48:00,"KB금융, 3Q 순익 1조1666억원…전분기 대비 18.8% ↑(상보..."
40,2020-10-22 15:46:00,"KB금융, 3분기 누적 순이익 2조8779억원… 전년대비 3.6% 증..."
41,2020-10-22 15:45:00,"[속보]KB금융, 3분기 순익 1.2조...금융지주 최초 분기 1조대"
42,2020-10-22 15:45:00,"[속보]KB금융, 3분기 순익 1.2조...금융지주 최초 분기 1조대"
43,2020-10-22 17:13:00,"KB금융 ""배당 안 줄인다… 분기배당도 고려"""
44,2020-10-22 16:29:00,"KB금융, 3분기 순익 1조1666억원…전년比 24%↑"
45,2020-10-22 15:46:00,"KB금융, 3분기 누적 순이익 2조8779억원… 전년대비 3.6% 증..."
46,2020-10-22 16:39:00,"KB금융그룹, 올 3분기 순익 1조1666억…전분기비 18.8%↑"
47,2020-10-22 16:00:00,"KB금융, 3분기 영업익 1조4165억…전년比 13.49% 증가"
48,2020-10-22 15:49:00,"KB금융, 3분기 영업익 1조4165억1700만원…전년비 13.49% ..."
49,2020-10-22 15:38:00,"KB금융 3분기 영업익 1조4,165억원, 전년 동기 대비 13.49%..."
50,2020-10-22 11:19:00,회장·은행장 3연임 성공 KB금융…통합 자산운용·관리 플랫폼 구축
51,2020-10-22 10:06:00,"KB금융, 그룹통합 자산운용·관리 플랫폼 구축"
52,2020-10-21 18:09:00,"KB금융-서울산업진흥원, 스타트업 육성 MOU"
53,2020-10-21 11:27:00,"KB금융-서울산업진흥원, 글로벌 스타트업 육성 맞손"
54,2020-10-21 10:23:00,"KB금융-서울산업진흥원, 글로벌 스타트업 육성MOU"
55,2020-10-21 09:29:00,"KB금융, 서울산업진흥원과 글로벌 스타트업 육성 본격화"
56,2020-10-21 15:45:00,KB금융 서울산업진흥원과 맞손
57,2020-10-21 11:12:00,"KB금융, 서울산업진흥원과 글로벌 스타트업 육성 상호협력"
58,2020-10-21 09:26:00,"KB금융-SBA, 글로벌 스타트업 육성을 위한 상호협력 본격화"
59,2020-10-20 17:52:00,"KB금융, 원화 ESG 신종자본증권 5000억 발행"
60,2020-10-20 15:42:00,"KB금융, 국내 지주사 최초 '원화 지속가능' 신종자본증권 발행"
61,2020-10-20 08:59:00,"KB금융, 국내 금융지주 최초 ESG 신종자본증권 발행"
62,2020-10-20 08:46:00,"KB금융, 국내 첫 `원화 지속가능(ESG)`신종자본증권 성공적 발행"
63,2020-10-20 17:20:00,"KB금융, 5천억 원화 ESG 채권 발행"
64,2020-10-20 14:24:00,"KB금융, 5000억 규모 지속가능채권 신종자본증권 발행"
65,2020-10-20 10:03:00,"KB금융, 5000억원 ESG채권 발행…국내 금융지주 처음"
66,2020-10-20 09:46:00,KB금융 ESG 신종자본증권 5000억 발행
67,2020-10-20 09:34:00,"KB금융지주, 원화 지속가능신종자본증권 성공적 발행"
68,2020-10-20 17:18:00,"SK증권, 5000억원 규모 KB금융지주 ESG채권 대표 주관"
