,Date,Title
0,2020-10-29 15:00:00,또 희비 엇갈린 아모레·LG생활건강... 中 수요 회복이 승부처
1,2020-10-29 04:02:00,"[핫아이템] LG생활건강 `후 환유 본초 세럼`, 동안피부를 위한…당신..."
2,2020-10-28 17:56:00,`후` 쓸어담은 中 따이궁…3분기 LG생건 웃고 아모레 울고
3,2020-10-26 08:15:00,"LG생건, '후' 덕에 바닥 찍고 반등 시작-IBK"
4,2020-10-26 07:38:00,"[클릭 e종목]""LG생활건강, 대표 채널·히어로브랜드 회복 시작"""
5,2020-10-23 08:53:00,"LG생활건강 메소드, 키티버니포니 콜라보 출시"
6,2020-10-23 08:45:00,"KB증권 ""LG생활건강, 내년 영업이익 13% 성장...안정적 성장 기..."
7,2020-10-23 08:26:00,"LG생활건강, 중국향 화장품 면세 실적 서프라이즈-DB"
8,2020-10-23 08:23:00,"LG생건, 비수기에도 호실적…목표가↑-대신"
9,2020-10-23 07:43:00,"[클릭 e종목] ""LG생활건강, 화장품·생활용품 부문 실적 개선 기대..."
10,2020-10-23 08:10:00,"LG생활건강, 화장품 실적 개선 빨라질 것-현대차증권"
11,2020-10-23 08:03:00,"LG생활건강, 3Q 실적 컨센서스 부합…""체력향상 지속""-NH"
12,2020-10-22 18:27:00,LG생건 또 ‘차석용 효과’… 코로나에도 신기록 경신 행진
13,2020-10-22 17:21:00,LG생건 3분기 매출 2조…신기록 다시 썼다
14,2020-10-22 17:20:00,코로나 뚫은 '차석용 매직'...LG생건 3분기도 최대실적
15,2020-10-22 17:17:00,"`후퇴` 모르는 LG생건, 코로나 뚫고 질주"
16,2020-10-22 14:29:00,"`후진` 모르는 차석용…LG생건, 62분기 연속 영업이익 증가"
17,2020-10-22 14:15:00,"[속보] LG생활건강, 또 실적 신기록…3분기 매출 사상 최대"
18,2020-10-22 13:56:00,"'럭셔리의 힘' LG생건, 코로나에도 최대 실적 행진 지속"
19,2020-10-22 14:31:00,"LG생건 '후', 中광군제 예약판매 11분 만에 871억원어치 팔아"
20,2020-10-22 10:21:00,"LG생건 '후', 광군제 뷰티품목 예약판매 '넘버원'"
21,2020-10-22 09:40:00,"LG생건 후, 中광군제 11분만에 매출 871억원 신기록"
22,2020-10-22 14:21:00,"LG생활건강, 62분기 연속 성장…역대 최대 기록"
23,2020-10-22 14:06:00,"LG생활건강, 3분기 영업익 3276억원… 62분기 연속 성장"
24,2020-10-22 13:42:00,"LG생활건강, 코로나 악재에도 62분기 연속 성장…""브랜드 파워 입증..."
25,2020-10-22 13:32:00,"LG생활건강, 코로나 악재 속 62분기 이익 성장세"
26,2020-10-22 13:58:00,"'62분기 연속 성장' LG생활건강, 주가는 3% 하락"
27,2020-10-22 13:23:00,"LG생활건강, 3분기 영업익 3276억원…전년비 5.1% 증가"
28,2020-10-22 13:21:00,"LG생활건강, 3분기 영업익 3276억원...전년비 5.1% 증가"
29,2020-10-22 13:16:00,"LG생활건강, 3분기 영업익 3276억원…5.1%↑"
30,2020-10-21 17:33:00,"LG생건, 中 광군제 마케팅…숨·오휘 등 화장품세트 판매"
31,2020-10-21 10:21:00,"LG생활건강, 中 광군제 마케팅 시동…올해도 특수 누릴까"
32,2020-10-21 15:25:00,LG생건 200주만 있어도 걸린다…증시 덮친 '세금포비아'
33,2020-10-21 10:05:00,"LG생활건강, 中 최대 쇼핑 시즌 '광군제' 겨냥 마케팅 본격화"
34,2020-10-21 09:57:00,"LG생활건강, 中 최대 쇼핑 시즌 ‘광군제’ 마케팅 본격 시동"
35,2020-10-21 09:52:00,"LG생활건강, 中 ‘광군제’ 겨냥 마케팅 본격화"
36,2020-10-20 17:56:00,LG생건 ‘닥터그루트’ 론칭 3년만에 1000만개 판매
37,2020-10-20 10:02:00,LG생활건강 닥터그루트 누적 판매량 1000만개 돌파
38,2020-10-20 08:53:00,"LG생건 닥터그루트, 론칭 3년만에 천만개 판매 돌파"
39,2020-10-20 11:21:00,"LG생활건강, 닥터그루트 브랜드 론칭 3년 1000만개 판매 돌파"
40,2020-10-20 09:58:00,"LG생활건강, 탈모 케어 '닥터그루트' 론칭 3년만에 1000만개 돌..."
41,2020-10-20 09:03:00,"LG생활건강 닥터그루트, 1000만개 판매 돌파"
42,2020-10-15 08:22:00,"LG생활건강, '브랜드 파워'로 안정적 성장…목표가↑ -KB"
43,2020-10-15 08:18:00,"""LG생활건강, 3분기 실적 컨센서스에 부합 전망""-KB證"
44,2020-10-15 07:54:00,"[클릭 e종목]""LG생활건강, 3분기 실적 컨센서스 부합 전망…목표가..."
45,2020-10-14 09:42:00,"LG생활건강, 직원 노래경연 '워킹싱어2' 개최"
46,2020-10-13 16:08:00,LG생건. 블록체인 노래방으로 언택트 사내 경연
47,2020-10-11 15:46:00,"LG생건, 中 넘어 美·유럽시장 본격 공략"
48,2020-10-10 08:01:00,[유안타證 주간추천주]‘안정적 이익체력’…LG생활건강·CJ제일제당·한샘
49,2020-10-07 17:27:00,"LG생건, 온라인 전용 메이크업 브랜드 ‘글린트 바이 비디보브’ 론칭"
50,2020-10-07 14:11:00,"LG생건, 온라인 전용 '글린트 바이 비디보브' 론칭"
51,2020-10-07 10:15:00,"LG생활건강, 온라인 전용 브랜드 '글린트 바이 비디보브' 론칭"
52,2020-10-07 10:08:00,"LG생건, 온라인 전용 브랜드 ‘글린트 바이 비디보브’ 출시"
53,2020-10-07 09:54:00,"LG생활건강, 온라인 전용 브랜드 ‘글린트 바이 비디보브’ 선봬"
54,2020-10-07 09:22:00,"LG생활건강, 온라인 전용 '글린트 바이 비디보브' 론칭"
55,2020-10-07 09:18:00,"LG생건, 온라인 전용 메이크업 브랜드 론칭"
56,2020-10-06 10:32:00,LG생건 ‘이자녹스 에이지 포커스 비타민 앰플’ 선봬
57,2020-10-06 09:10:00,"LG생활건강 이자녹스, 에이지 포커스 비타민 앰플 출시"
58,2020-10-06 08:48:00,"[마켓브리핑] LG생활건강, 법인세 예납금 300억원 조달"
59,2020-10-06 08:08:00,"LG생활건강, 3Q 실적 기대 이상일 듯…목표가↑-NH"
60,2020-10-06 08:01:00,"[클릭 e종목]""LG생활건강, 실적 전망 코로나에도 '맑음'...목표..."
61,2020-10-05 16:10:00,"[특징주] LG생활건강, 주가 3%대 상승률.. 시장 성장 상회"
62,2020-10-05 08:54:00,"""LG생활건강, 화장품 부문 선방·생활용품 부문 수익성 개선···목표가..."
63,2020-10-05 08:12:00,"LG생활건강, 3·4분기 시장 성장 상회 실적 예상-메리츠"
64,2020-10-05 08:03:00,"LG생활건강, 압도적 비교우위 목표가 12%↑-메리츠"
65,2020-10-05 08:00:00,"LG생활건강, 3Q 이익 안정성 강화에 주목…목표가↑-메리츠"
66,2020-10-05 07:58:00,"[클릭 e종목]""LG생활건강, 3분기에 시장 성장 상회할 것"""
67,2020-10-04 10:09:00,"LG생활건강, VDL ‘루미레이어 로지 퍼펙트 프라이머’ 출시"
68,2020-09-29 09:04:00,LG생건 닥터그루트 애딕트 2종 올리브영 입점
69,2020-09-29 09:00:00,"[업종공략] 화장품, 보험, LG생활건강"
70,2020-09-28 09:50:00,그늘 커지는 화장품株…LG생활건강·코스맥스만 웃을까
71,2020-09-28 09:36:00,"LG생활건강, '후 비첩 연향세트' 선봬"
72,2020-09-28 09:28:00,"LG생건, ‘꽃살문’ 담은 ‘후 비첩 연향세트’ 선봬"
73,2020-09-28 06:21:00,"[이번 주 추천주]""실적 기대""···삼성전자·LG생활건강·한샘·기아차 ..."
74,2020-09-26 08:01:00,[유안타證 주간추천주]‘회복세 뚜렷’…LG생활건강·한샘·컴투스
