,Date,Title
0,2020-10-31 09:52:00,LG전자 올 영업익 사상 첫 3조 돌파 전망
1,2020-10-30 17:50:00,"LG전자, 역대 3분기 최대 실적…""펜트업 효과로 가전·TV 쌍끌이""(..."
2,2020-10-30 17:38:00,LG전자 올 생활가전 영업익 첫 2조 돌파
3,2020-10-30 16:26:00,"新가전 끌고 TV 밀고…LG전자, 역대 3분기 최대 실적 (종합)"
4,2020-10-30 17:32:00,생활가전·TV 3분기 `불티`…LG전자 年3조 영업익 눈앞
5,2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T..."
6,2020-10-30 17:21:00,"가전·TV 쌍끌이…LG전자, 3분기 이익 1조 육박"
7,2020-10-30 16:19:00,LG전자 연이익 3조 첫 돌파 '초읽기'…3Q 영업익 9590억
8,2020-10-30 16:06:00,"LG전자 생활가전 영업익 2조 돌파…매출액, 영업이익 역대 3분기 기..."
9,2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T..."
10,2020-10-30 15:56:00,"LG전자, 3분기 영업이익 9590억원…역대 3분기 기준 최대(상보)"
11,2020-10-30 15:56:00,"LG전자, 3분기 영업이익 9590억원…역대 3분기 기준 최대(상보)"
12,2020-10-30 17:10:00,"[컨콜]LG전자 ""차량용 램프 경쟁력 위해 ZKW와 새 광원 개발 중"""
13,2020-10-30 17:02:00,"""ZKW와 새로운 광원 개발, OEM업체와 협력해 새 수주도 모색""-..."
14,2020-10-30 17:06:00,"[종합] 11년만에 3분기 최대 실적 쓴 LG전자, 코로나 위기 이겨냈..."
15,2020-10-30 16:28:00,"LG전자, 누적 영업익 2조원 돌파…3분기 역대 최대 실적(종합)"
16,2020-10-30 16:01:00,"[상보] LG전자 3분기 영업익·매출, 분기 기준 최대…가전 끌고·T..."
17,2020-10-30 15:45:00,"LG전자, 3분기 영업익 1조원 육박…역대 최대(2보)"
18,2020-10-30 17:01:00,"[컨콜] LG전자 ""LCD 패널 가격 변동 익숙해…상황에 맞게 대응할 ..."
19,2020-10-30 16:55:00,"""LCD패널 가격 올해까지 상승, 내년 하락 또는 유지""-LG전자 컨..."
20,2020-10-30 16:58:00,"[컨콜] LG전자 ""2021년 설비투자, 올해와 유사한 2조원 중반"""
21,2020-10-30 16:44:00,"""내년 설비투자 올해와 유사한 2조원 중반대""-LG전자 컨콜"
22,2020-10-30 16:46:00,"[속보]LG전자 ""내년 중·저가 5G폰 보급형 라인업 늘려 매출 신장"""
