,Date,Title
0,2020-10-31 16:16:00,"[무한동력] 숨통 틘 LG화학, 남은 과제는?"
1,2020-10-31 06:35:00,LG화학 배터리 분할 반대했던 개미들의 '나홀로 순매수'
2,2020-10-31 04:17:00,"LG화학, 논란 끝에 배터리 분사 확정…주가 6% 급락"
3,2020-10-31 10:01:00,[마켓인]LG화학 물적분할 가결…힘 못쓴 국민연금 반대표
4,2020-10-30 17:52:00,배터리 떨어져 나가자···LG화학 주가 6% 빠져
5,2020-10-30 17:39:00,국민연금 반대에도…LG화학 물적분할 압도적 통과
6,2020-10-30 14:48:00,"신학철 LG화학 대표 ""물적분할로 다양한 자금조달 가능"""
7,2020-10-30 14:34:00,"LG화학 ""분할 승인에 감사…기업·주주가치 제고 노력할 것"""
8,2020-10-30 14:28:00,"LG화학 ""전지사업 분할 승인 감사…경쟁력 키우겠다"""
9,2020-10-30 17:32:00,"LG화학 배터리사업 분할, 주총서 확정"
10,2020-10-30 10:21:00,"[속보] LG 화학, 주총서 배터리 사업 분할 `확정`"
11,2020-10-30 17:27:00,전쟁터는 옛말?! 싱겁게 끝난 LG화학 분할 주총
12,2020-10-30 10:09:00,"배터리 분할 묻는 LG화학 임시주총, 전자투표 덕에 `한산`"
13,2020-10-30 09:45:00,"LG화학, '물적분할' 결판의 날···차분한 분위기서 주총 개회"
14,2020-10-30 09:37:00,[속보] LG화학 '배터리 분사' 주총 시작…썰렁한 주총장
15,2020-10-30 09:01:00,"""사전 투표했는데도 주주들이 이렇게 많이..."" LG화학 주총 관심 ..."
16,2020-10-30 17:21:00,"LG화학 '배터리 초격차' 선언…""年 3조씩 투자, 독보적 1위 굳힌다..."
17,2020-10-30 12:12:00,"""페트병회사가 PER 100배?"" LG화학 배터리 분사 확정에 개미 ..."
18,2020-10-30 11:39:00,"LG화학 주주 82% ""배터리 분할 찬성""… 주가는 4%대 약세"
19,2020-10-30 10:46:00,"LG화학, 배터리 사업 떼낸다…'에너지솔루션' 12월 출범 [종합]"
20,2020-10-30 17:21:00,9월말 LG화학 배터리 24.6%…글로벌 점유율 '톱'
21,2020-10-30 14:55:00,LG화학 배터리 점유율 1위…K배터리 점유율 2배↑
22,2020-10-30 13:45:00,"LG화학, 1~9월 세계 배터리 시장 1위 수성…中 CATL과 격차 ..."
23,2020-10-30 10:05:00,中CATL과 격차 더 벌린 LG화학…글로벌 배터리 1위 ‘수성’
24,2020-10-30 16:59:00,"""그렇게 좋다는데 주가 왜 빠지나"" LG화학 대답은"
25,2020-10-30 16:17:00,"(종합)LG화학, 배터리 사업 분할 확정에 급락...시총 5위로 밀려"
26,2020-10-30 13:50:00,"LG화학, 배터리 사업 분할 확정에 낙폭 확대...4%대 ↓"
27,2020-10-30 11:04:00,"LG화학 임시주총 '이변은 없었다'…""배터리 신설 법인 IPO 일정 ..."
28,2020-10-30 10:51:00,LG화학 배터리사업 분할 확정…12월 신설법인 출범
29,2020-10-30 10:40:00,LG화학 배터리 독립법인 'LG에너지솔루션' 12월 출범
30,2020-10-30 10:18:00,LG화학 배터리 사업 물적 분할 확정…주총 승인
31,2020-10-30 10:13:00,"LG화학, 세계 1위 배터리 사업 분사한다(상보)"
32,2020-10-30 16:13:00,"코스피, 외인·기관 강매도에 2270선 붕괴…LG화학 6.14% 급락"
33,2020-10-30 15:52:00,"LG화학 ""오는 2024년 글로벌 TOP5 화학기업 도약할 것"""
34,2020-10-30 14:35:00,주주 말 끊은 신학철 LG화학 부회장…아쉬웠던 막판 '설득'[현장+]
35,2020-10-30 14:02:00,"국민연금 LG화학 표 대결 패배.. ""판단기준 달랐을 뿐"""
36,2020-10-30 14:01:00,LG화학 물적 분할 후… 100만원 간다는 증권사 vs 폭락 예상하는 ...
37,2020-10-30 11:25:00,[분석] LG화학 물적분할 통과…성난 개인주주 달래기 '관건'
38,2020-10-30 09:05:00,LG화학 운명의 날…'배터리 분사' 주총 결과 앞두고 1%↓
39,2020-10-30 06:59:00,[김대성의 종목분석] LG화학 임시 주주총회 D-Day…주총후 후유증...
40,2020-10-30 12:19:00,"[마켓인]박능후 ""국민연금, LG화학 분사 반대…수탁자위 결정 신뢰"""
41,2020-10-30 12:13:00,LG화학 '배터리사업 분할' 소액주주 불만에도 찬성 80% 상회…왜?
42,2020-10-30 11:43:00,"LG화학 배터리, 25년 만에 독립…신학철 부회장 ""초격차 지위 공고..."
43,2020-10-30 11:02:00,전자투표서 이미 결판…LG화학 결국 배터리 떼낸다
44,2020-10-30 10:38:00,"LG화학, 배터리사업 분할한다…찬성 82.3% 통과(종합)"
45,2020-10-30 10:12:00,"(종합)LG화학 배터리 분사 확정...""초격차 지위 확고히 하겠다"""
46,2020-10-30 10:12:00,"(종합)LG화학 배터리 분사 확정...""초격차 지위 확고히 하겠다"""
47,2020-10-30 12:11:00,"[fn마켓워치]박능후 ""LG화학 원안 승인에도 국민연금 수탁위 신뢰"""
48,2020-10-30 11:47:00,LG화학 배터리 분할 주총 통과
49,2020-10-30 10:38:00,"""주주 80% 찬성"" LG화학 배터리 사업 분할 확정"
50,2020-10-30 10:33:00,"배터리 분할 확정한 LG화학, 앞으로 주가 전망은"
51,2020-10-30 10:11:00,"LG화학, 배터리 분사 강행...12월 LG에너지솔루션 출범(종합)"
52,2020-10-30 11:27:00,"LG화학, 강력 반대 뚫고 분사 확정···허탈한 '동학개미'"
53,2020-10-30 11:07:00,"LG화학, 배터리 분사 확정에 하락 폭 커져(종합)"
54,2020-10-30 10:31:00,배터리 분사 소식에 투자심리 위축…LG화학 장중 4%↓
55,2020-10-30 11:14:00,재무부담 덜어낸 LG화학‥대규모 투자금 유치 나설듯
56,2020-10-30 11:02:00,표대결 국민연금의 잇단 패배…LG화학 분할도 못막았다
57,2020-10-30 10:49:00,"[SK이노 컨콜] ""LG화학과 합의가능성 열어두고 있다"""
58,2020-10-30 10:42:00,"LG화학, 배터리 분사 주총 통과에 장중 62만원까지 '털썩'"
59,2020-10-30 10:25:00,[특징주] '배터리 분사' 주총 승인에…LG화학 3%대 급락
60,2020-10-30 10:34:00,"[속보] LG화학, 결국 배터리 사업 떼어낸다…주총서 승인"
61,2020-10-30 10:32:00,[속보]LG화학 배터리 사업부문 분사 결정...찬성 82.3%
62,2020-10-30 10:31:00,배터리 분사 소식에 투자심리 위축…LG화학 장중 4%↓
63,2020-10-30 10:22:00,"[특징주]LG화학, 전지사업 물적분할안 통과에 '하락'"
64,2020-10-30 10:18:00,"[특징주]LG화학, 물적분할 통과 후 낙폭 확대"
65,2020-10-30 10:30:00,"[속보]LG화학, 참석주주 82.3% 찬성으로 물적분할 통과"
