,Date,Title
0,2020-10-29 16:16:00,"SKT, 5G MEC로 글로벌 어워드 수상"
1,2020-10-29 09:39:00,"SKT, 5G 기술로 글로벌 어워드 수상"
2,2020-10-29 10:07:00,"SKT, 말로 하는 AI 상담 서비스 ‘보이스봇’ 업계 첫 선"
3,2020-10-28 16:14:00,"SBI저축銀-KCB-SKT, 보이스피싱 예방 '안심이체서비스'"
4,2020-10-28 15:22:00,"SBI저축은행, KCB·SKT와 손잡고 '안심이체서비스' 실시"
5,2020-10-28 11:44:00,"SKT, ICT 활용해 전기차 온실가스 감축 효과 실증 나선다"
6,2020-10-28 10:18:00,"SKT, 전기차로 온실가스 감축 실증사업"
7,2020-10-28 09:23:00,"SK렌터카, SKT·소프트베리와 ‘전기차 온실가스 감축 실증’ 협력"
8,2020-10-27 18:09:00,"""미래 ICT 체험하세요""… SKT 'T팩토리' 홍대에 활짝"
9,2020-10-27 16:14:00,"SK텔레콤, 문화체험 및 혁신기술 체험장 'T팩토리' 개장"
10,2020-10-27 14:59:00,"SKT, ICT 멀티플렉스 T팩토리 오픈…미래 비전 제시"
11,2020-10-27 10:03:00,“365일 24시간 무인매장”…SKT 복합문화공간 ‘T팩토리’ 개장
12,2020-10-27 10:01:00,“가입부터 폰 개통까지 24시간 언택트로”… SKT의 새로운 시도
13,2020-10-27 17:33:00,이통사 이미지 벗고 첨단기술 입었다...확 젊어진 SKT
14,2020-10-27 14:29:00,"박정호 SKT 사장 ""SK텔레콤의 T가 아니라 테크놀로지, 투모로우의 ..."
15,2020-10-27 12:52:00,SKT의 새로운 간판… ‘T팩토리’ 보면 알 수 있다
16,2020-10-27 10:53:00,SKT 혁신 실험…ICT 테마파크 'T팩토리' 연다
17,2020-10-27 04:03:00,"핀크, SKT·産銀과 손잡고 `최대 5%` 적금 출시"
18,2020-10-26 17:45:00,"SKT, 협력사와 통신 장비 재활용 앞장"
19,2020-10-26 09:35:00,"SKT ""안테나 재활용...플라스틱 폐기물 年 30톤 감축"""
20,2020-10-26 17:12:00,"[단독] ""토스페이, SKT 휴대폰 본인확인 NO"" SKT-토스에 무슨..."
21,2020-10-26 16:13:00,"SK텔레콤, 고칫덩어리 레이돔 재활용 재활용 성공"
22,2020-10-26 09:00:00,"SK텔레콤, 안테나 플라스틱 줄여 PET 100만개 감소 효과"
23,2020-10-26 15:35:00,"텔코웨어, SK텔레콤과 37억원 규모 계약 체결"
24,2020-10-26 11:03:00,"폰으로 화재 알람 확인…SKT, '화재 대응 솔루션' 업무협약"
25,2020-10-26 10:36:00,"화재위험 데이터로 분석해 차단한다···SKT, 자동소화시스템 구축"
26,2020-10-26 08:59:00,"SKT, 소화기기 전문기업과 손잡고 `화재 대응 솔루션` 선보인다"
27,2020-10-26 06:49:00,[김대성의 종목분석] LG화학과 SK텔레콤의 물적분할에서 닮은점과 다른...
28,2020-10-25 17:39:00,SKT '스마트지킴이' 장애인 근로자 출퇴근 지원
29,2020-10-25 13:50:00,SKT ‘스마트지킴이’로 장애인 근로자 안전 출퇴근 돕는다
30,2020-10-25 13:44:00,"SKT ‘스마트지킴이’, 장애인 근로자 안전 출퇴근 돕는다"
31,2020-10-24 08:01:00,[하나금투 주간추천주]'5G·스마트폰에 주목'…삼성전자·SKT·와이솔
32,2020-10-23 11:11:00,'SK텔레콤' 사명 바꾼다··· 새 이름 후보군은?
33,2020-10-23 09:48:00,SKT·LGU+ 제치고 통신 전 부문 1위…KT '135년 종가' 자존...
34,2020-10-22 18:24:00,"""오픈소스 맛집 SKT, 클라우드 상생 이끕니다"" [인터뷰]"
35,2020-10-21 18:59:00,"KETI, SK텔레콤과 인공지능 라이다 시스템 상용화 위해 손잡다"
36,2020-10-21 16:18:00,"KETI·SKT, 5G 기반으로 '디지털 눈' 라이다 시스템 상용화 ..."
37,2020-10-21 09:21:00,"""귀찮았던 공공증명서 발급, SKT 이니셜 앱으로 간편하게"""
38,2020-10-21 08:34:00,"""주민등록등본 스마트폰으로 발급 받는다!""…SKT, 전자문서지갑 출시"
39,2020-10-21 09:06:00,"공공증명서 발급, 이젠 모바일로…SKT, 전자문서지갑 출시"
40,2020-10-21 08:39:00,"SK텔레콤, 모빌리티 분할 장기적인 관점으로 봐야-키움"
41,2020-10-20 17:43:00,"점프스튜디오 앞세운 SKT, 5G 콘텐츠 영토 확 넓힌다"
42,2020-10-20 15:07:00,"SKT, 점프스튜디오로 5G 콘텐츠 사업 확장"
43,2020-10-20 11:59:00,"""수십명의 리아킴이 3D로 댄스"" SKT 5G콘텐츠 글로벌 진출"
44,2020-10-20 13:32:00,박정호 SKT 사장 “유튜브 추천 확증편향적…더 나은 AI 나오길”
45,2020-10-20 11:10:00,"AR·VR에 공들이는 SKT, 글로벌 진출 박차"
46,2020-10-20 09:32:00,"SKT, 널 위한 응원가 캠페인 음원·영상 공개"
47,2020-10-20 08:07:00,SK텔레콤 실적개선에 자회사 성장성 강화추세 지속-삼성證
48,2020-10-20 05:00:00,"우버와 손잡은 SKT, 카카오와 '전략적 혈맹' 흔들릴까"
49,2020-10-19 18:29:00,SKT '누구 컨퍼런스' 비대면 개최
50,2020-10-19 10:13:00,SKT의 AI 미래상 공개된다···누구 컨퍼런스 개최
51,2020-10-19 09:06:00,"SK텔레콤, 누구 컨퍼런스 2020 언택트 개최"
