,Date,Title
0,2020-10-31 09:07:00,"[주간HOT종목]기아차, 3분기 흑자에 '집중'…기관들 순매수세"
1,2020-10-30 17:41:00,한국GM 노조 부분파업···기아차도 내달 찬반투표
2,2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속..."
3,2020-10-29 15:17:00,기아차 이어 한국GM도 파업 수순...韓 자동차 수출 암초 만나나
4,2020-10-29 10:20:00,"기아차 노사, 전국 복지단체에 '레이 9대' 무상 기증"
5,2020-10-29 09:37:00,"기아차 노사, 전국 사회복지단체에 레이 9대 기증"
6,2020-10-29 09:30:00,"기아차 노사, 사회 소외계층에 레이 9대 기증"
7,2020-10-29 09:14:00,"기아차 노사, 전국 사회복지단체에 레이 9대 기증"
8,2020-10-29 08:52:00,"기아차 국내사업본부 노사, 소외계층 위해 '레이' 9대 기증"
9,2020-10-28 15:30:00,"기아차, 차세대 군용차 개발 나선다…EV·전기차 기술활용도 검토"
10,2020-10-28 09:14:00,군수 사업 역량 키우는 기아차…차세대 군용차 표준 플랫폼 개발
11,2020-10-28 14:44:00,"기아차, 52주 신고가 경신…4일 연속 상승세"
12,2020-10-28 11:36:00,"“군수사업 강화”…기아차, 차세대 군용차 표준 플랫폼 개발"
13,2020-10-28 10:34:00,"자동변속·열선시트···기아차, 군용 트럭 확 바꾼다"
14,2020-10-28 09:21:00,"기아차, 차세대 군용차 표준 플랫폼 개발…“군수 사업 역량 강화”"
15,2020-10-28 09:36:00,"악재 뚫고 달리는 기아차, 주가도 급등"
16,2020-10-28 09:18:00,"[특징주]""쉬어가자"" 현대기아차, 3일 만에 반락"
17,2020-10-28 09:13:00,[특징주]현대·기아차 3거래일 만에 하락
18,2020-10-28 07:10:00,파업권 확보 나선 기아차 노조…다음주 쟁의행위 찬반 투표
19,2020-10-28 07:06:00,기아차 노조도 파업 수순…내달 쟁의행위 찬반 투표
20,2020-10-28 04:22:00,"기아차, 3분기 실적 발표 후 첫날 10.3% 급등"
21,2020-10-27 17:42:00,'1조 품질비용' 기아차 10% 급등...주가 58개월만에 최고
22,2020-10-27 17:23:00,"""충당금 1兆 쌓고도 흑자""…기아차 10% 급등"
23,2020-10-27 15:50:00,"충당금 쌓고도 이정도 실적이라고?…기아차, 10% 깜짝 급등"
24,2020-10-27 16:21:00,기아차 지속가능경영대상 보고서 부문 3년 연속 대상
25,2020-10-27 10:24:00,"기아차, 글로벌스탠더드경영대상 '지속가능경영대상 보고서' 부문 대상"
26,2020-10-27 10:07:00,"기아차, 글로벌스탠더드경영대상 3년 연속 수상"
27,2020-10-27 16:19:00,"기아차 노조 ""품질비용에 실적 급감…경영진 책임지고 물러나야"""
28,2020-10-27 08:27:00,"기아차노조 ""품질비용 빅배스 결정, 이사회 물러나라"""
29,2020-10-27 16:01:00,"기아차, 58개월만 최고가"
30,2020-10-27 15:55:00,현대·기아차 깜짝 호실적에 돌아온 외인·기관
31,2020-10-27 09:20:00,"[특징주]현대·기아차, 충당금 제외하면 '깜짝 실적'...주가 급등세"
32,2020-10-27 15:31:00,"[특징주]기아차, 실적 서프라이즈에 9% 이상 상승"
33,2020-10-27 15:18:00,"기아차, 7년만에 4분기 영업익 1조 노린다"
34,2020-10-27 15:10:00,"기아차, 지속가능경영대상 보고서 부문 대상 수상"
35,2020-10-27 04:02:00,"기아자동차, 미래 모빌리티 리더로서 투명한 ESG 정보 공개"
36,2020-10-27 11:42:00,"기아차 매섭게 담는 기관, 주가 10% 껑충…""8만5000원 간다"""
