,Date,Title
0,2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입..."
1,2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대..."
2,2020-10-28 08:57:00,[오늘의 목표주가]삼성SDI·현대제철·휴비츠 '실적 모멘텀'...눈높이...
3,2020-10-28 08:31:00,"""삼성SDI, 이익개선 빨라질 것""-한화투자증권"
4,2020-10-28 07:34:00,"삼성SDI, 3Q 매출 역대 최대…중대형 전지 성장성 부각-NH"
5,2020-10-28 08:01:00,"삼성SDI, 4Q 중대형 배터리 큰 폭 성장 전망…조정시 `매수`-유안..."
6,2020-10-28 07:58:00,"삼성SDI, 4Q 자동차전지 흑자전환 기대-키움"
7,2020-10-28 07:31:00,"[클릭 e종목]""삼성SDI, 자동차전지 흑자전환 기대…주가 우상향 전..."
8,2020-10-27 17:24:00,"삼성SDI, 3분기 매출 3조872억 '역대 최대'"
9,2020-10-27 15:12:00,"車 배터리 수익 개선..삼성SDI, 3분기 매출 3조돌파 '최대'"
10,2020-10-27 14:22:00,"삼성SDI, 배터리 호조 ‘깜짝실적’에 주가도 강세"
11,2020-10-27 14:19:00,"삼성SDI, 3Q 영업익 2674억원…'전지사업 호조'(종합)"
12,2020-10-27 13:47:00,"삼성SDI, 분기 최대 매출 기록..""車배터리 BEP 달성"""
13,2020-10-27 15:04:00,"삼성SDI, 삼성생명공익재단에 6억 기부"
14,2020-10-27 15:02:00,"삼성SDI, 3분기 영업익 2673억…전년동기比 61.1% 증가"
15,2020-10-27 13:56:00,"삼성SDI, 3분기 영업익 2673억…전년비 61.1%↑"
16,2020-10-27 15:00:00,'애도' 속 조용히…사상 최대 매출 올린 삼성SDI
17,2020-10-27 13:44:00,유럽 전기차 올라탄 삼성SDI…'조용한 호실적'
18,2020-10-27 14:54:00,"""유럽 전기차 판매 덕""…삼성SDI, 3분기 매출 역대 최대(종합)"
19,2020-10-27 13:52:00,"'車배터리 호조' 삼성SDI, 3분기 영업익 61% 껑충"
20,2020-10-27 13:23:00,"삼성SDI, 3분기 호실적…""중대·소형 전지사업 판매 증가""(상보)"
21,2020-10-27 14:24:00,"""마이크로모빌리티 연간 수요 30%이상 증가 전망""-삼성SDI컨콜"
22,2020-10-27 14:03:00,"삼성SDI, 3분기 영업익 2674억원…전년대비 61% 증가"
23,2020-10-27 13:19:00,"[속보] 삼성SDI, 3분기 영업익 2674억원…전년比 61.1%↑"
24,2020-10-27 13:07:00,"삼성SDI, 3분기 영업익 2674억원…전년比 61.1%↑(속보)"
25,2020-10-27 13:59:00,"""EV용 전지 판매 내년에 크게 증가할 것""-삼성SDI컨콜"
26,2020-10-27 13:58:00,"""연간 편광필름 매출, 전년대비 두자릿수 성장 예상""-삼성SDI컨콜"
27,2020-10-27 13:53:00,"""내년 양상 젠5배터리 원가 20%이상 절감 전망""-삼성SDI컨콜"
28,2020-10-27 13:52:00,"'車배터리 호조' 삼성SDI, 3분기 영업익 61% 껑충"
29,2020-10-27 13:43:00,"""내년 자동차 전지사업 연단위 흑자 달성 전망""-삼성SDI컨콜"
30,2020-10-27 13:38:00,"""4분기에도 중대형전지 큰 폭 판매 증가 예상""-삼성SDI컨콜"
31,2020-10-27 13:30:00,"삼성SDI, 3Q 영업이익 2,674억원···전년比 61.1%↑"
32,2020-10-27 13:10:00,"삼성SDI, 3Q 영업이익 2674억원…전년比 61.6%↑"
33,2020-10-27 13:07:00,"삼성SDI, 3분기 매출 3조872억원…전년比 20.2%↑(속보)"
34,2020-10-26 08:35:00,`美ITC 판결-삼성SDI·SK이노 실적 발표-LG화학 주총` 배터리 ...
35,2020-10-22 11:17:00,삼성SDI 배터리 '지그재그' 式 도입
36,2020-10-20 10:42:00,"삼성SDI, 인터배터리 2020 참가…""친환경 미래상 선보일 것"""
37,2020-10-20 10:20:00,"삼성SDI, 전고체 배터리 개발 로드맵 공개한다"
38,2020-10-20 10:17:00,"삼성SDI, '인터배터리 2020' 참가…""배터리 미래 제시"""
39,2020-10-20 09:56:00,"삼성SDI, 인터배터리서 ""한계 초월하고 지속가능 미래 돕는 배터리""..."
40,2020-10-18 16:53:00,삼성SDI의 '마음 방역'…임직원 비대면 백일장 열어
41,2020-10-18 12:51:00,"삼성SDI, 코로나 극복 임직원 백일장 개최"
42,2020-10-18 10:00:00,임직원 '마음방역' 나선 삼성SDI...코로나 극복 비대면 백일장 개...
43,2020-10-18 09:39:00,"""코로나 블루는 가라""…삼성SDI에 쏟아진 詩"
44,2020-10-18 09:19:00,"삼성SDI, 사내 백일장 '화제'…자작시·삼행시 최우수작은"
45,2020-10-18 09:01:00,"""희망은 우리 안에 있어요"" 삼성SDI, 임직원 대상 자작시·삼행시 ..."
46,2020-10-18 11:10:00,3Q 양호한 삼성SDI…갈수록 커지는 배터리 확장성
47,2020-10-16 05:40:00,150도 고온에도 '안전' 삼성SDI 초격차 배터리 분리막
48,2020-10-15 18:27:00,"삼성SDI, 헝가리 공장 증설…생산능력 두배 늘린다"
49,2020-10-15 17:20:00,삼성SDI 배터리 승부수…유럽 생산 2배로
50,2020-10-14 16:12:00,"""전기차 끌고 ESS 밀고""…삼성SDI, 중대형전지사업 탄력"
51,2020-10-12 16:41:00,"삼성SDI, 27일 기업설명회(IR) 개최"
52,2020-10-12 08:38:00,"삼성SDI, 테슬라 독주에 불붙은 전기차 경쟁-SK증권"
53,2020-10-12 08:06:00,"삼성SDI, 절박한 反테슬라 진영…“전기차 더 늦출 수 없다”-SK"
54,2020-10-06 08:04:00,"삼성SDI, 중대형 전지 이익 기여 본격화…목표가↑-키움"
55,2020-10-06 07:19:00,"[클릭 e종목] ""삼성SDI, 중대형 전지 수익성 개선 전망…목표가 ..."
56,2020-09-28 16:00:00,황금알 낳는 코리아 배터리?… LG 이어 삼성SDI도 3분기 흑자전환 ...
57,2020-09-21 17:46:00,테슬라 선택에 LG화학·삼성SDI·에코프로 울고 웃는다
58,2020-09-21 15:56:00,"배터리3사, 3분기도 성장 가속화...삼성SDI 흑자전환 전망"
59,2020-09-20 18:47:00,"삼성SDI, 나태주 시인 메시지로 임직원 코로나 '마음 방역'"
60,2020-09-20 18:29:00,"임직원 '마음 방역' 나선 삼성SDI, 나태주 시인의 위로 메시지 전..."
61,2020-09-20 15:05:00,"""반복된 일상의 소중함""…나태주 시인 시어로 격려 나눈 삼성SDI"
62,2020-09-20 11:36:00,"나태주 시인, 삼성SDI 임직원들에게 코로나 극복 메시지"
63,2020-09-20 09:02:00,"나태주 시인, 삼성SDI 임직원 ‘마음의 방역’ 위한 詩語 전해"
64,2020-09-20 15:41:00,삼성 SDI에 2차전지 공급하는 상신이디피…상승 여력 충분
65,2020-09-19 12:23:00,"""삼성SDI, 전기차 배터리 수익 가시화…목표주가 55만원"""
66,2020-09-18 12:51:00,"삼성SDI, 첫 임단협 교섭…울산공장 노사 상견례"
67,2020-09-18 10:53:00,"[시그널] 삼성SDI, 2차 전지 장비업체 필에너지 50억원 유증 참여"
68,2020-09-18 10:19:00,"필옵틱스, 자회사에 삼성SDI 최초 투자…2차전지 메인 장비사 전환 ..."
69,2020-09-18 08:49:00,"삼성SDI, 3Q 코로나19 영향에서 벗어날 것...목표가↑-유진투자증..."
70,2020-09-18 08:31:00,"[Hot-Line] ""삼성SDI, 4분기 전기차 배터리 흑자전환 전망"""
71,2020-09-17 18:34:00,"삼성SDI, 노사 상견례…""교섭 본격화"""
72,2020-09-17 08:15:00,"삼성SDI, 분기당 1000억 영업익 는다-DB금융투자"
73,2020-09-14 16:17:00,"""보복성 해고"" 삼성SDI 해고노동자, '노조 와해' 가담자 상대 손배..."
74,2020-09-14 08:12:00,"삼성SDI, 3분기 실적 전망 ‘맑음’…목표가↑-대신"
75,2020-09-14 07:45:00,"내년 41% ↑…삼성SDI, 전기차 배터리 성장구간-대신證"
76,2020-09-10 17:27:00,"삼성SDI ""국민MC 송해 배우자"""
77,2020-09-10 15:03:00,삼성SDI가 `국민MC 송해` 벤치마킹 나선 사연
78,2020-09-06 17:12:00,LG화학·삼성SDI 주도 '분리막 시장' 전기차 시장 확대로 10년내 ...
