,Date,Title
0,2020-10-16 17:10:00,배당 매력↑…보통주보다 강한 삼성전자 우선주
1,2020-09-20 10:27:00,[마켓포인트]코스피 주간 외국인 순매도 1위 ‘삼성전자우’
2,2020-07-10 10:31:00,"삼성전자우, 검색 상위 랭킹... 주가 -0.65%"
3,2020-07-08 12:30:00,"삼성전자우, 주가 4만 6750원.. 전일대비 -1.79%"
4,2020-07-07 12:31:00,"삼성전자우, 검색 상위 랭킹... 주가 -0.63%"
5,2020-07-06 13:33:00,"삼성전자우, 주가 4만 7800원.. 전일대비 1.92%"
6,2020-07-02 09:30:00,"삼성전자우, 검색 상위 랭킹... 주가 -0.22%"
7,2020-07-01 10:31:00,"삼성전자우, 검색 상위 랭킹... 주가 -0.22%"
8,2020-06-30 13:30:00,"삼성전자우, 주가 4만 6800원.. 전일대비 1.63%"
9,2020-06-29 14:31:00,"삼성전자우, 개인 투자자 관심 집중... 주가 -1.17%..."
10,2020-06-26 13:31:00,"삼성전자우, 검색 상위 랭킹... 주가 1.96%"
11,2020-06-25 12:31:00,"삼성전자우, 외국인 11만 708주 순매도… 주가 -1.6%"
12,2020-06-23 10:31:00,"삼성전자우, 개인 투자자 관심 집중... 주가 -0.65%..."
13,2020-06-22 13:32:00,"삼성전자우, 주가 4만 6450원.. 전일대비 -1.17%"
14,2020-06-18 12:32:00,"삼성전자우, 검색 상위 랭킹... 주가 0.0%"
15,2020-06-17 10:32:00,"삼성전자우, 외국인 13만 9685주 순매도… 주가 -0.43%"
16,2020-06-16 13:31:00,"삼성전자우, 외국인 16만 4454주 순매수… 주가 3.82%"
17,2020-06-15 14:30:00,"삼성전자우, 검색 상위 랭킹... 주가 -1.95%"
18,2020-06-12 12:32:00,"삼성전자우, 검색 상위 랭킹... 주가 -2.63%"
19,2020-06-08 18:37:00,"08일, 외국인 거래소에서 삼성전자(-1.08%), 삼성전자우(+0.1..."
20,2020-06-03 13:06:00,"삼성전자우, 투자자 검색 급증... 주가 4만 6400원(5.45%)"
21,2020-06-03 10:13:00,"'삼성전자우' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세"
22,2020-06-02 18:37:00,"02일, 기관 거래소에서 카카오(-1.7%), 삼성전자우(+0.11%)..."
23,2020-06-02 09:35:00,"삼성전자우, 검색 상위 랭킹... 주가 0.8%"
24,2020-06-01 18:37:00,"01일, 외국인 거래소에서 셀트리온(+6.56%), 삼성전자우(+2.5..."
25,2020-05-25 13:05:00,"삼성전자우, 외국인 5만 9568주 순매도… 주가 0.71%"
26,2020-05-21 10:35:00,"삼성전자우, 외국인 7만 9583주 순매수… 주가 0.58%"
27,2020-05-18 18:36:00,"18일, 외국인 거래소에서 삼성전자(+1.99%), 삼성전자우(+1.5..."
28,2020-05-15 09:35:00,"삼성전자우, 검색 상위 랭킹... 주가 0.74%"
29,2020-03-30 18:36:00,"30일, 외국인 거래소에서 삼성전자(-0.93%), 삼성전자우(-1.5..."
30,2020-03-17 18:37:00,"17일, 외국인 거래소에서 삼성전자(-3.27%), 삼성전자우(-3.2..."
31,2020-03-06 18:36:00,"06일, 외국인 거래소에서 삼성전자(-2.25%), 삼성전자우(-3.2..."
32,2020-02-17 11:33:00,‘고공행진’ 삼성전자 우선주 이유 있었네
33,2020-02-17 10:17:00,3월 다가오니…삼성전자 우선주 상승세 무섭네
34,2020-02-16 10:41:00,[마켓포인트]코스피 주간 개인 순매수 1위 '삼성전자우'
35,2020-02-16 10:41:00,[마켓포인트]코스피 주간 개인 순매수 1위 '삼성전자우'
36,2020-02-14 15:12:00,"SK하이닉스·삼성전자우, 업황 기대감에 '쑥'…장중 사상 최고가"
37,2020-02-14 11:38:00,"'삼성전자우' 52주 신고가 경신, 단기·중기 이평선 정배열로 상승세"
38,2020-02-06 18:37:00,"06일, 외국인 거래소에서 NAVER(0.00%), 삼성전자우(+1.1..."
39,2020-01-14 09:21:00,"[특징주] 삼성전자 우선주도 9일째 상승, 역대 최고가"
40,2020-01-14 09:06:00,"'삼성전자우' 52주 신고가 경신, 전일 외국인 대량 순매수"
41,2020-01-13 12:59:00,"'삼성전자우' 52주 신고가 경신, 기관 3일 연속 순매수(22.5만주..."
42,2020-01-10 09:07:00,"'삼성전자우' 52주 신고가 경신, 외국인 3일 연속 순매수(114.3..."
43,2020-01-08 18:37:00,"08일, 외국인 거래소에서 삼성전자(+1.79%), 삼성전자우(+0.8..."
44,2020-01-08 11:29:00,"'삼성전자우' 52주 신고가 경신, 단기·중기 이평선 정배열로 상승세"
45,2019-12-19 18:37:00,"19일, 외국인 거래소에서 KODEX 200(+0.1%), 삼성전자우(..."
46,2019-12-18 09:22:00,"'삼성전자우' 52주 신고가 경신, 단기·중기 이평선 정배열로 상승세"
47,2019-12-16 09:17:00,"'삼성전자우' 52주 신고가 경신, 단기·중기 이평선 정배열로 상승세"
