,Date,Title
0,2020-10-31 00:15:00,[주말n입사지원]롯데그룹·셀트리온·티몬 등 채용 소식
1,2020-10-28 19:05:00,릴리 임상중단…셀트리온 '경증환자 조기 항체치료' 주목
2,2020-10-28 11:15:00,"셀트리온 ""릴리 임상 중단, 코로나19 조기 항체치료 필요성 방증"""
3,2020-10-27 15:25:00,"[이데일리N] 셀트리온, 국제학회서 램시마SC 임상 3상 결과 발표 外"
4,2020-10-27 14:49:00,"셀트리온 램시마SC, 램시마와 효능 같아"
5,2020-10-27 11:22:00,"셀트리온, 램시마SC 임상 3상 결과…“제형별 면역원성 차이 無”"
6,2020-10-27 10:56:00,"셀트리온 ""램시마SC, 제형 따른 차이 없어"""
7,2020-10-27 10:03:00,"셀트리온, 국제학회서 ‘램시마SC’ 임상 3상 결과 발표"
8,2020-10-27 09:33:00,"셀트리온, 램시마SC 임상3상 결과…""편의성 높은 치료수단 결론"""
9,2020-10-27 09:09:00,"셀트리온, 램시마SC 3상 결과 발표···“제형 달라도 효능 동등”"
10,2020-10-27 11:18:00,[주식 초고수는 지금]셀트리온·한화솔루션 매수 집중
11,2020-10-27 10:48:00,"셀트리온, 국제학회서 램시마SC 임상3상 결과 발표"
12,2020-10-27 10:07:00,"셀트리온, 아시아태평양 류마티스학회서 램시마SC 임상 3상 결과 발표"
13,2020-10-27 09:21:00,"셀트리온, 아태 류마티스학회서 램시마SC 임상 3상 결과 발표"
14,2020-10-27 08:30:00,"[Hot-Line] ""셀트리온, 펀더멘털 감안하면 지금은 저가매수 기회..."
15,2020-10-27 08:10:00,"셀트리온, 3분기 실적 컨센서스 부합할 것…저가매수 기회-SK"
16,2020-10-26 19:40:00,"서정진 셀트리온 회장 ""이건희 회장, 삼성 세계적 기업 만든 제 2의 ..."
17,2020-10-26 17:47:00,셀트리온 코로나 진단키트 FDA 긴급사용승인 획득
18,2020-10-26 14:01:00,"셀트리온, 코로나19 신속진단항원키트 '샘피뉴트' 미 FDA 긴급사용..."
19,2020-10-26 10:59:00,"[특징주]셀트리온, 코로나19 진단키트 美 FDA 긴급사용승인에 강세"
20,2020-10-26 10:23:00,"[특징주]셀트리온, 코로나19 항원진단키트 美 긴급사용승인에 '강세'"
21,2020-10-26 10:10:00,"셀트리온, 코로나19 진단키트 FDA 긴급사용 승인 획득"
22,2020-10-26 10:30:00,"셀트리온, 美FDA서 코로나19 신속진단키트 `샘피뉴트`의 긴급사용승인..."
23,2020-10-26 10:23:00,"셀트리온, 코로나19 항원키트 '샘피뉴트' 美 긴급사용 승인"
24,2020-10-26 10:09:00,"셀트리온, 코로나 항원키트 '샘피뉴트' 美 FDA 긴급사용승인 획득"
25,2020-10-26 10:04:00,"셀트리온, 코로나19 신속진단 항원키트 '샘피뉴트' 美FDA 긴급사용..."
26,2020-10-23 11:01:00,큰손들 외면에 미끄럼 타는 셀트리온
27,2020-10-21 17:24:00,"개인 매도 물량 쏟아진 셀트리온, '3억 대주주 양도세' 덫에 걸렸나"
28,2020-10-21 09:12:00,"기우성 셀트리온 대표, 500대 기업 CEO 경영평가 '1위'"
29,2020-10-21 08:40:00,"셀트리온, 실적성장·신약개발 기대감…목표주가 유지-신영"
30,2020-10-21 08:29:00,"셀트리온, 2분기 이어 3분기도 좋아-신영"
