,Date,Title
0,2020-10-31 08:01:00,[유안타證 주간추천주]‘신작 모멘텀 유효’…엔씨소프트·이마트·컴투스
1,2020-10-30 14:06:00,엔씨소프트 신작 ‘트릭스터M’ 이틀만에 사전예약 100만 돌파
2,2020-10-30 13:24:00,"엔씨소프트, 트릭스터M 사전 예약 100만 달성"
3,2020-10-30 13:42:00,"엔씨소프트 ‘아이온’, 11월11일 ‘클래식 서버’ 연다"
4,2020-10-27 18:09:00,"김택진 엔씨소프트 대표 ""게임은 미래 문화산업 핵심 동력"""
5,2020-10-26 14:55:00,"엔씨소프트, 28일 ‘귀여운 리니지’ 트릭스터M 사전예약"
6,2020-10-26 11:21:00,"엔씨소프트, 트릭스터M 28일부터 사전 예약 실시"
7,2020-10-25 13:47:00,[주간추천주]확실한 실적주에 러브콜…삼성전자·엔씨소프트·CJ제일제당
8,2020-10-21 14:20:00,"엔씨소프트, 게임 이야기 담은 그림 언어 타입 플레이 공개"
9,2020-10-21 08:38:00,"엔씨소프트, 해외에서도 흥하는 MMORPG…목표가 112만원-유안타"
10,2020-10-21 08:00:00,"엔씨소프트, 3·4분기 컨센서스 상회 전망-유안타"
11,2020-10-21 07:50:00,"엔씨소프트, 3Q 실적 컨센서스 상회 전망-유안타"
12,2020-10-20 17:33:00,"엔씨소프트, 깊은잠 깨고 다시 날아오를까"
13,2020-10-20 16:17:00,"조정 마무리 단계 엔씨소프트…""신작 일정 확정시 반등할 것"""
14,2020-10-19 09:03:00,"엔씨소프트, 3분기 영업이익 예상치 하회 전망-신한"
15,2020-10-14 13:38:00,"엔씨소프트, ‘트릭스터M’ 브랜드 페이지 오픈"
16,2020-10-14 12:42:00,엔씨소프트 신작 ‘트릭스터M’ 브랜드 페이지 개설
17,2020-10-14 10:40:00,"좀처럼 힘 못쓰는 엔씨소프트…""장기적 투자포인트 변함없어"""
18,2020-10-14 06:02:00,[2020년 상반기 법인세 분석]⑥게임·엔터테인먼트 팬데믹 언택트 영향...
19,2020-10-13 13:24:00,"엔씨소프트, ‘할로윈 타투 플레이’ 이벤트 진행"
20,2020-10-11 15:34:00,"엔씨소프트, 신사업 드라이브…‘아이돌·AI·금융’ 잡는다"
21,2020-10-11 10:13:00,[마켓포인트]코스피 주간 외국인 순매도 1위 '엔씨소프트'
22,2020-10-10 14:57:00,[주간HOT종목]주가 조정 받는 엔씨소프트…개인들 관심은↑
23,2020-10-08 15:14:00,"엔씨소프트 ‘리니지M’·‘리니지2M’, 한글날 이벤트 진행"
24,2020-10-08 08:28:00,"“엔씨소프트, 미뤄지는 신작 출시...목표가↓”"
25,2020-10-07 17:27:00,증권업 뛰어든 엔씨소프트…KB증권 등과 손잡고 'AI 증권사' 설립 추...
26,2020-10-07 15:00:00,"디셈버앤컴퍼니, KB증권·엔씨소프트와 'AI 투자 증권사' 합작법인 ..."
27,2020-10-07 16:05:00,"KB證, 엔씨소프트 손잡고 ‘인공지능 PB 만들기’"
28,2020-10-07 14:07:00,"KB증권·디셈버앤컴퍼니·엔씨소프트, AI 간편투자 증권사 만든다"
29,2020-10-07 10:35:00,"KB증권, 디셈버앤컴퍼니·엔씨소프트와 합작법인 출범 계약체결"
30,2020-10-07 09:55:00,"KB증권, 엔씨소프트·디셈버앤컴퍼니와 손잡고 AI 증권사 진출"
31,2020-10-07 09:33:00,"KB증권·디셈버앤컴퍼니·엔씨소프트, AI 간편투자 증권사 설립 추진"
32,2020-10-07 16:03:00,"엔씨소프트, 신작 ‘트릭스터M’ 신규 영상 공개"
33,2020-10-07 15:12:00,"엔씨소프트, 모바일 신작 ‘트릭스터M’ 티저 영상 2종 공개"
34,2020-10-07 15:29:00,"엔씨소프트, 신입 공채 온라인 채용 설명회 개최"
35,2020-10-07 14:23:00,"KB證-디셈버앤컴퍼니-엔씨소프트, AI간편투자 증권사 설립나서"
36,2020-10-07 13:54:00,엔씨소프트도 움직였다…AI로 디지털 금융업 진출
37,2020-10-07 11:17:00,"엔씨소프트, KB증권·디셈버앤컴퍼니와 손잡고 AI 증권사 만든다"
38,2020-10-07 08:56:00,"엔씨소프트, 내년 영업익 140%↑ 전망…목표가↓-삼성"
39,2020-10-06 09:33:00,"[마켓인사이트]엔씨소프트 개발진 독립해 만든 앤유, 200억원 투자유치..."
40,2020-10-06 08:43:00,"엔씨소프트, 신작 출시 지연 변수…목표주가↓-이베스트"
41,2020-10-06 08:19:00,"엔씨소프트, 숨고르기형 조정…목표가↓-이베스트"
42,2020-10-06 07:58:00,"엔씨소프트, 3Q 실적발표 변곡점 될 것…목표가↓-이베스트"
43,2020-10-06 07:56:00,"[클릭 e종목]""엔씨소프트, 건전한 숨고르기형 조정으로 판단"""
44,2020-09-28 17:25:00,"엔씨소프트, 인재영입 나서…신입 공채"
45,2020-09-28 13:31:00,"엔씨소프트, 신입사원 공채 돌입…내달 14일까지 접수"
46,2020-09-28 12:14:00,"엔씨소프트, 2020년 신입사원 공개채용 실시"
47,2020-09-28 08:31:00,"엔씨소프트, 실적 성장세 내년 초부터 부각…목표가↓-KTB"
48,2020-09-28 08:25:00,"[클릭 e종목] 주춤하는 엔씨소프트, 내년부터 달린다"
49,2020-09-28 08:22:00,"엔씨소프트, 리니지2M 국내 매출 하향…목표가↓-KTB"
50,2020-09-25 08:57:00,"[업종공략] 게임, 그린뉴딜, 엔씨소프트"
51,2020-09-23 17:32:00,"엔씨소프트, 음성합성 기술 ‘VocGAN’ 국제학회 논문 발표"
52,2020-09-23 15:05:00,"엔씨소프트, ‘음성합성 기술’ 국제학회 논문 발표"
53,2020-09-21 16:46:00,"300일 맞은 엔씨소프트의 ‘리니지2M’, 1주년 향해 달린다"
54,2020-09-13 17:56:00,"""엔씨소프트, 경쟁사 대비 저평가"""
55,2020-09-11 09:54:00,"엔씨소프트, 콘솔 음악게임 ‘퓨저’ 신규 영상 공개"
56,2020-09-11 08:51:00,"엔씨소프트, 카카오게임즈 상장 계기로 저평가 매력 부각"
57,2020-09-11 08:35:00,"엔씨소프트, 카카오게임즈·넷마블대비 상당히 저평가"
58,2020-09-10 13:58:00,[itM-특징주] 엔씨소프트 4%대 급등
59,2020-09-10 08:43:00,"""엔씨소프트, 10월 이후 신작 모멘텀 본격화"" -미래에셋대우"
60,2020-09-09 14:39:00,"엔씨소프트 ‘리니지2M’, 첫번째 ‘월드 공성전’ 13일 개시"
61,2020-09-07 09:30:00,"엔씨소프트, 실적 개선 모멘텀 ‘풍부’…“게임업종 톱픽”"
62,2020-09-07 08:49:00,"엔씨소프트, 간판 게임 '리니지' 해외영토 넓어진다-IBK"
63,2020-09-05 14:02:00,"""엔씨소프트, 이어지는 신작에 해외 모멘텀 강화"""
64,2020-09-03 09:05:00,"[Hot-Line] ""엔씨소프트, 4분기 실적 반등 전망"""
65,2020-09-01 17:15:00,"코로나19 전사 재택에 엔씨소프트, ‘프로젝트 TL’ 사내 테스트 연기"
66,2020-08-31 13:35:00,"엔씨소프트, 블로그 통해 소통 영역 확대"
67,2020-08-28 18:05:00,"엔씨소프트, ‘리니지2M’ 더 단단해진다…기란 공성전 30일 개막"
68,2020-08-28 11:16:00,‘게임주 부흥기 온다’…또 한번의 점프업 꿈꾸는 엔씨소프트
69,2020-08-28 09:50:00,"엔씨소프트, ‘주가 高高’ 기대감"
70,2020-08-27 09:49:00,[itM-특징주] 엔씨소프트 장중 5%대 급등…7월 이후 최대 상승폭
71,2020-08-24 17:26:00,엔씨소프트 '3중고'에 발목 잡히나…BBIG 중 나홀로 주가 '역주행'
72,2020-08-24 16:01:00,"""나도 BBIG인데 왜 안오르지..."" '3중 고민'에 빠진 엔씨소프..."
73,2020-08-23 08:20:00,"[주간HOT종목]엔씨소프트, 조정 들어갔나…""4분기 반등 가능성↑"""
74,2020-08-22 08:01:00,[SK증권 주간추천주]하반기 실적 개선주 주목…엔씨소프트·아이티엠반도체...
75,2020-08-21 12:25:00," 엔씨소프트, ‘피버뮤직 2020 쿨 썸머 프로젝트’ 앨범 발매"
76,2020-08-21 11:33:00,"4분기 ‘리니지2M 파워’ 믿으며…개미군단, 엔씨소프트 쓸어담다"
77,2020-08-21 09:36:00,"개미들의 선택, ""삼성전자 다음엔 엔씨소프트"""
78,2020-08-21 07:58:00,"엔씨소프트, 신작출시·리니지2M 매출 반등 기대-대신"
79,2020-08-21 07:31:00,"[클릭 e종목]""엔씨소프트, 3분기 기간조정 후 4분기 반등 기대"""
80,2020-08-20 16:26:00,"엔씨소프트, 엔터테인먼트 사업 진출한다…‘클렙’ 설립"
81,2020-08-20 00:31:00,'리니지M' 7개월 만에 1위 탈환…엔씨소프트 반등하나
82,2020-08-19 09:24:00,"[특징주]엔씨소프트, 엔터테인먼트 '클렙' 설립 소식에 '상승'"
83,2020-08-17 17:06:00,"몰랐다, 엔씨소프트가 AI 강자였다니…게임사 첫 금융 진출"
84,2020-08-15 16:54:00,"엔씨소프트, 2분기는 숨고르기…시장 관심은 4분기로"
85,2020-08-14 21:26:00,조석래 효성 명예회장 266억…김택진 엔씨소프트 사장 133억
86,2020-08-14 11:54:00,"엔씨소프트, ‘BGM팩토리’ 통해 음악 콘텐츠 서비스"
87,2020-08-14 08:55:00,"엔씨소프트, 신작 기대감 유효...목표가↑-신한금융투자"
88,2020-08-14 08:54:00,엔씨소프트. 신작 지연 우려 해소…목표가↑-신한
89,2020-08-14 08:32:00,"[Hot-Line] ""엔씨소프트, 하반기 신작 출시로 실적 반전"""
90,2020-08-14 08:21:00,"엔씨소프트, 2분기 부진에도 하반기 신작 등 성장 기대감-메리츠"
91,2020-08-14 08:21:00,"엔씨소프트, 2분기 부진에도 하반기 신작 등 성장 기대감-메리츠"
92,2020-08-14 08:10:00,"엔씨소프트, 2분기 부진했지만 하반기 개선 기대... 목표가↑"
93,2020-08-13 18:30:00,"[컨콜 종합] 엔씨소프트, 숨돌린 2분기…하반기 질주 ‘예고’"
94,2020-08-13 15:59:00,'리니지형제의 힘' 엔씨소프트 2분기 실적도 훈풍‥올해 '2조클럽' ...
95,2020-08-13 10:13:00,"[엔씨소프트 컨콜] “리니지2M, 4분기 반등 모색…공성전·1주년 업..."
