,Date,Title
0,2020-10-31 08:01:00,[하나금투 주간추천주]'실적 급성장에 주목'…현대모비스·금호석유·에코프...
1,2020-10-31 08:01:00,[하나금투 주간추천주]'실적 급성장에 주목'…현대모비스·금호석유·에코프...
2,2020-10-30 09:02:00,[오늘의 목표주가] 현대모비스 30만원으로 상향
3,2020-10-30 04:02:00,"현대모비스, 협력사에 연구실 문활짝…작년 이용 2천건"
4,2020-10-29 17:36:00,현대모비스 매출 전년比 6%↑
5,2020-10-29 17:35:00,"현대모비스, 전동화사업 분기매출 첫 1조 돌파"
6,2020-10-29 14:29:00,"현대모비스, 3분기 매출 10조원 육박···전동화 부문은 1조원 돌파"
7,2020-10-29 14:21:00,"현대모비스, 3분기 매출 10조원 육박…전동화·SUV 실적 견인"
8,2020-10-29 14:12:00,"전동화 매출 첫 1조 돌파…현대모비스, 코로나 뚫고 수익 선방"
9,2020-10-29 14:11:00,"현대모비스, 3Q 영업익 5983억원…전동화 사업 매출 '분기 1조원..."
10,2020-10-29 14:09:00,"현대모비스, 3분기 영업익 5983억…전동화 매출 첫 1조 돌파"
11,2020-10-29 17:31:00,"현대모비스, 영업익 5983억…예상보다 20% 웃돌아"
12,2020-10-29 16:51:00,"현대모비스, 코로나19에도 영업익 6,000억 '선방'"
13,2020-10-29 15:13:00,"현대모비스, 3Q 기대 웃돈 실적에도 주가 약세"
14,2020-10-29 15:03:00,"현대모비스, 3분기 예상 웃돈 '선전'…전동화 매출 1조 돌파"
15,2020-10-29 14:17:00,"현대모비스, 3Q 회복세 전환..전분기比 매출·영업익 모두 증가(상보..."
16,2020-10-29 14:50:00,"현대모비스, 임단협 이행 위해 자기주식 172억원 처분"
17,2020-10-29 14:50:00,"현대모비스, 임단협 이행 위해 자기주식 172억원 처분"
18,2020-10-29 14:31:00,"현대모비스, 3분기 영업이익 5983억원…전년동기대비 0.9%↓"
19,2020-10-29 14:09:00,"현대모비스, 3Q 영업익 5983억..전년比 0.9% 감소"
20,2020-10-29 13:47:00,"[공시] 현대모비스, 자사주 6만8005주 처분 결정"
21,2020-10-29 12:20:00,"현대모비스, 현대차그룹 브랜드 사용료 50억원 계약"
22,2020-10-28 15:29:00,"현대모비스, 900억원 규모 MMT 매수"
23,2020-10-22 11:24:00,"친환경 특허 1000건 쌓은 현대모비스, 장관상 수상"
24,2020-10-22 11:19:00,"현대모비스, '국제 환경규제 대응 우수 기업' 선정···산자부 장관상..."
