,Date,Title
0,2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수
1,2020-10-31 15:10:00,"한신평 ""현대종합특수강 유증 재무구조에 긍정적, 신용도 부담은 여전"""
2,2020-10-31 09:12:00,"수소시대 투자는 현대차만? 전문가들 ""이런 기업 주목해야"""
3,2020-10-31 08:43:00,"문재인 대통령, 정의선 현대차 회장에 ""우리 회장님""···왜?"
4,2020-10-30 17:33:00,[단독] CNN 캠페인 등장한 정의선…현대차 `모빌리티 혁신` 강조
5,2020-10-30 17:32:00,"현대차 간 문재인 대통령 ""전기·수소차 133만대 보급"""
6,2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업"""
7,2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장"""
8,2020-10-30 17:21:00,"이노션, 현대차 신차 광고 특수 기대"
9,2020-10-30 15:50:00,文대통령의 수소전기차 넥쏘 사랑…취임 후 현대차 사업장만 4차례 찾아
10,2020-10-30 14:53:00,"현대차 사장 ""친환경차 개발·신산업 창출로 그린뉴딜 마중물 될 것"""
11,2020-10-30 13:10:00,승용차에서 트럭·버스까지..수소차의 역사 만든 현대차
12,2020-10-30 15:47:00,알버트 비어만 현대차 사장 보유주식 432주 전량 매도
13,2020-10-30 14:55:00,"알버트 비어만 사장, 현대차 지분 전략 매각"
14,2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파"
15,2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파"
16,2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?"
17,2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시..."
18,2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만..."
19,2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요"""
20,2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입..."
21,2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시"
22,2020-10-30 09:17:00,현대차 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원부터
23,2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴"
24,2020-10-30 07:01:00,"[공시+] 우수AMS, 현대BS&E 대상 75억원 유상증자"
25,2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대..."
26,2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속..."
27,2020-10-29 16:13:00,공정거래법 개정안 통과땐 삼전·현대차 기업 기밀 유출 `현실화`
28,2020-10-29 06:00:00,"""감사위원 분리선출시 삼성·현대차 지배구조에도 영향가능"""
29,2020-10-29 12:20:00,"현대모비스, 현대차그룹 브랜드 사용료 50억원 계약"
30,2020-10-29 11:31:00,‘3%룰’ 외국기관투자자 연합군에 무방비…삼성전자·현대차 지배구조 개편...
31,2020-10-29 10:36:00,3%룰 삼성전자·현대차 헤지펀드 공격 무방비 노출…승계 지배구조 개편...
32,2020-10-29 09:19:00,[특징주]셧다운 우려···삼성전자·현대차 등 수출주 약세
33,2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수
34,2020-10-31 15:56:00,'수소경제 첨병' 현대차그룹…넥쏘 1만대 돌파에 文대통령도 박수
35,2020-10-31 15:10:00,"한신평 ""현대종합특수강 유증 재무구조에 긍정적, 신용도 부담은 여전"""
36,2020-10-31 09:12:00,"수소시대 투자는 현대차만? 전문가들 ""이런 기업 주목해야"""
37,2020-10-31 08:43:00,"문재인 대통령, 정의선 현대차 회장에 ""우리 회장님""···왜?"
38,2020-10-30 17:33:00,[단독] CNN 캠페인 등장한 정의선…현대차 `모빌리티 혁신` 강조
39,2020-10-30 17:32:00,"현대차 간 문재인 대통령 ""전기·수소차 133만대 보급"""
40,2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업"""
41,2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장"""
42,2020-10-30 17:24:00,"울산공장 찾은 文대통령 ""현대차, 노사협력 1등 기업"""
43,2020-10-30 14:34:00,"文대통령 ""현대차 울산공장은 혁신과 상생의 현장"""
44,2020-10-30 17:21:00,"이노션, 현대차 신차 광고 특수 기대"
45,2020-10-30 15:50:00,文대통령의 수소전기차 넥쏘 사랑…취임 후 현대차 사업장만 4차례 찾아
46,2020-10-30 14:53:00,"현대차 사장 ""친환경차 개발·신산업 창출로 그린뉴딜 마중물 될 것"""
47,2020-10-30 13:10:00,승용차에서 트럭·버스까지..수소차의 역사 만든 현대차
48,2020-10-30 15:47:00,알버트 비어만 현대차 사장 보유주식 432주 전량 매도
49,2020-10-30 14:55:00,"알버트 비어만 사장, 현대차 지분 전략 매각"
50,2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파"
51,2020-10-30 12:01:00,"현대차 수소전기차 넥쏘, 국내 누적 판매 1만대 돌파"
52,2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?"
53,2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시..."
54,2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만..."
55,2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요"""
56,2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입..."
57,2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시"
58,2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만..."
59,2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴"
60,2020-10-30 11:09:00,"현대차, '더 뉴 싼타페' 가솔린 사전계약…가격 얼마?"
61,2020-10-30 09:58:00,"현대차, 내달 2일 ‘더 뉴 싼타페’ 가솔린 사전계약…2975만원 시..."
62,2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만..."
63,2020-10-30 10:21:00,"""이제 수소시대, 현대차와 밸류체인에 투자하세요"""
64,2020-10-30 10:13:00,"[특징주] 에이에프더블류, 삼성SDI 30조규모 현대차 배터리 사업 입..."
65,2020-10-30 09:24:00,"현대차, 내달 2일부터 '더 뉴 싼타페' 가솔린 모델 사전계약 실시"
66,2020-10-30 09:17:00,"현대차 '더 뉴 싼타페' 가솔린, 내달 2일 사전계약…가격 2975만..."
67,2020-10-30 09:01:00,"현대차, ‘더 뉴 싼타페’ 가솔린 사전계약…디젤보다 147만원 저렴"
68,2020-10-30 07:01:00,"[공시+] 우수AMS, 현대BS&E 대상 75억원 유상증자"
69,2020-10-30 06:03:00,"삼성SDI, 30조 규모 현대차 배터리 사업 입찰…삼성-현대차 밀월시대..."
70,2020-10-30 04:02:00,"현대기아차, 거래기간 평균 32년…협력사 동반 기술개발·인력양성 `가속..."
71,2020-10-29 16:13:00,공정거래법 개정안 통과땐 삼전·현대차 기업 기밀 유출 `현실화`
72,2020-10-29 06:00:00,"""감사위원 분리선출시 삼성·현대차 지배구조에도 영향가능"""
