,date,title
0,2020.02.27.,"삼성전자 300억, 현대차 50억 등 재계 ‘코로나 성금’"
1,2020.02.27.,"현대차, 美 짝퉁부품소송서 이겨"
2,2020.02.27.,"현대차, 신형 G80·아반떼 출시 연기되나"
3,2020.02.27.,"“코로나 함께 극복” 삼성 300억, 현대차-SK-LG 50억씩 기부"
4,2020.02.27.,"삼성 300억, 현대차·SK·LG도 50억씩… 기업 성금 줄잇는다"
5,2020.02.27.,현대차 노하우 실은 자전거
6,2020.02.27.,코로나 극복 지원 팔걷은 재계… 삼성 300억 현대차·SK 50억
7,2020.02.27.,"현대차, 고성능 ‘N’ 품은 1000만원대 자전거 공개"
8,2020.02.27.,"현대차, 3월부터 다시 달린다…GV80 생산 '총력전'"
9,2020.02.27.,‘MMCA 현대차 시리즈 2020’에 양혜규 작가 선정
10,2020.02.26.,‘국립현대미술관 현대차 2020’ 세계적 설치작가 양혜규 선정
11,2020.02.26.,이번엔 국산 부품 못받아서… 현대차 공장 또 셧다운
12,2020.02.26.,'두바퀴'도 만드는 현대차…자전거 브랜드 '위아위스'와 협업
13,2020.02.26.,"정의선 수석부회장 통 큰 결단…현대차, 코로나19 성금 '50억' 기탁"
14,2020.02.26.,"'고성능 DNA 담은 자전거'... 현대차, N스페셜 에디션 공개"
15,2020.02.26.,"“코로나 방역지원에 써달라” 현대차, 50억 성금"
16,2020.02.26.,"현대차, 위아위스와 컬래버 ‘N 스페셜 에디션 자전거’ 첫 선 [포토뉴스]"
17,2020.02.26.,삼성 300억·LG 60억·현대차 50억·SK 50억…코로나 피해 돕기 '쾌척'
18,2020.02.26.,"자전거에 녹여낸 고성능 N… 현대차, 스페셜에디션 공개"
19,2020.02.26.,"양혜규, '현대차 시리즈' 작가…국립현대미술관서 8월 전시"
20,2020.02.26.,"대기업 “코로나 이겨냅시다”… 삼성 300억원, 현대차ㆍSKㆍLG 50억원 기부"
21,2020.02.26.,"현대차, 대구·경북 겨냥 50억 기탁 [‘코로나19’ 극복에 앞장서는 기업들]"
22,2020.02.26.,현대미술관 현대차 작가에 양혜규
23,2020.02.26.,[포토] 현대차 ‘N 스페셜 에디션 자전거’ 공개
24,2020.02.26.,"삼성 300억, 현대차·SK·LG 50억씩…코로나 극복 힘보태"
25,2020.02.26.,[포토] 현대차 N 브랜드 자전거 출시
26,2020.02.26.,`MMCA 현대차 시리즈 2020` 작가에 설치미술가 양혜규
27,2020.02.26.,"삼성·현대차 등 5대 그룹 470억 지원…기업도 ""대구·경북 힘내라"""
28,2020.02.25.,'임금협상 기간도 단축'..현대차 노사 코로나19 극복에 총력
29,2020.02.25.,<‘코로나19’ 초비상>현대차 울산공장 1개 라인 또 중단
30,2020.02.25.,코로나19發 공급체인 차질…현대차 울산공장 포터라인 ‘셧다운’
31,2020.02.25.,삼성ㆍ현대차ㆍSKㆍLG 등 줄줄이 재택근무 돌입
32,2020.02.25.,"""코로나 대응"" 현대차 노사 손맞잡았다"
33,2020.02.25.,현대차 '110만대 전기차 배터리' 공급업체 찾는다
34,2020.02.24.,"SKTㆍLG유플 재택근무 권고, 현대차 신규채용 연기… 혼돈의 산업계"
35,2020.02.24.,현대차 협력공장·LG전자 연구동 폐쇄…기업 셧다운 공포에 `플랜B` 마련 비상
36,2020.02.24.,中에 공 들였는데…현대차 `코로나 유탄` 우려
37,2020.02.24.,"현대차, BTS와 美서 수소 캠페인"
38,2020.02.24.,현대차 ‘BTS 수소 캠페인’ 타임스스퀘어에서 첫 공개
39,2020.02.24.,현대차-BTS ‘지구 환경 보호’ 한마음
40,2020.02.24.,"BTS, 현대차 글로벌 수소캠페인 나섰다"
41,2020.02.23.,"현대차-BTS, 뉴욕 타임스퀘어에서 친환경 수소 캠페인"
42,2020.02.23.,150만 뉴요커 발 멈췄다…BTS·현대차 다시 수소 컬래버
43,2020.02.23.,美 타임스퀘어 밝힌 '현대차 X BTS 수소캠페인' 영상
44,2020.02.23.,"현대차-BTS, 美 뉴욕서 글로벌 수소 캠페인 최초 공개"
45,2020.02.23.,"BTS가 감동한 자연…현대차, 美 타임스스퀘어에 수소캠페인 영상"
46,2020.02.23.,"현대차, 뉴욕서 BTS 출연 '수소 캠페인' 공개"
47,2020.02.23.,삼성·현대차·교보證…사내·사외이사 윤곽
48,2020.02.20.,"정몽구, 현대차 대표이사 연임 안한다"
49,2020.02.20.,정몽구 21년 만에 현대차 등기임원 사퇴
50,2020.02.20.,"도로상황 따라 알아서 변속… 현대차, 세계 첫 개발"
51,2020.02.20.,21년만에 현대차 의장직 내려놓는 정몽구
52,2020.02.20.,"정몽구 회장, 현대차 이사회 의장직서 물러난다"
53,2020.02.20.,"정몽구, 21년 만에 이사회 물러나… 현대차 ‘정의선 영향력’ 확대"
54,2020.02.20.,"현대차 이사회 이끄는 정의선, 모빌리티 '게임체인저' 된다"
55,2020.02.20.,힘 실린 ‘정의선 체제’…현대차 지배구조 개편 ‘탄력’
56,2020.02.20.,"[단독]현대차, 서울에 세계 최대 '초급속 전기차 충전소' 연다"
57,2020.02.20.,"현대차, 서울에 세계 최대 전기차 충전소 짓는다"
58,2020.02.19.,현대차 구매실장에서 이사회 의장 유력시..정의선 부회장이 거쳐간 자리는?
59,2020.02.19.,"현대차, 수소 굴착기·지게차도 만든다"
