,date,title
0,2020.07.02.,"K진단키트, 삼성전자 지원으로 생산량 `껑충`"
1,2020.07.02.,"삼성전자, 150가지 디자인 맞춤형 ‘프리미엄 냉장고…’‘육식·채식’ 식성..."
2,2020.07.02.,마스크 이어 진단키트… 삼성전자 '스마트 K방역' 지원 확대
3,2020.07.02.,"삼성전자, 초프리미엄 기능에 디자인까지 잡았다...'뉴 셰프컬렉션' 냉장고 출..."
4,2020.07.02.,"“최고 자산은 인재”… 삼성전자, 박사급 500명 채용"
5,2020.07.02.,"삼성전자, 게임·동시작업에 최적화 SSD출시"
6,2020.07.02.,"석·박사 1000명, 삼성전자 올해 역대 최대 채용"
7,2020.07.02.,"삼성전자, 연내 반도체·AI 분야 석·박사 500명 채용"
8,2020.07.02.,"삼성전자, 올해 석박사 1000여명 뽑는다"
9,2020.07.02.,삼성전자의 힘… 석박사 1000명 채용 ‘역대 최대’
10,2020.07.01.,"삼성전자, 석박사 인재 500명 더 뽑는다"
11,2020.07.01.,삼성전자 가상자산 이용자 피해 구제받는다
12,2020.07.01.,"""위기일수록 인재 확보"" 삼성전자, 올해 석박사 1000명 채용한다"
13,2020.07.01.,삼성전자 상반기 박사급 인력 500여명 채용…이재용 부회장 '인재 중시' 철학
14,2020.07.01.,‘미래 준비’ 나선 삼성전자는 ‘역대급’ 채용
15,2020.07.01.,"삼성전자 경영진, 임직원들에게 하반기 메시지 “준법정신을 기본 가치로”"
16,2020.07.01.,삼성전자 경영진 “법·윤리 준수는 기본 덕목”
17,2020.07.01.,"삼성전자, 업계 최대 용량 ‘4비트 SSD’ 글로벌 출시"
18,2020.07.01.,"삼성전자 경영진 ""법과 윤리 준수 기본 덕목"""
19,2020.07.01.,"삼성전자, 8TB SSD 첫선"
20,2020.07.01.,코로나 반사이익 본 삼성전자·SK… 반도체 깜짝 실적
21,2020.07.01.,마이크론 실적 서프라이즈… 삼성전자도 예상보다 좋을 듯
22,2020.06.30.,"삼성전자, 유럽최대 가전전시회 IFA 참가 안하기로"
23,2020.06.30.,홍콩수출 87%가 中으로 재수출…삼성전자 등 '中 직수출' 늘릴 듯
24,2020.06.30.,"마이크론 ""하반기 수요 낙관"" 전망에…삼성전자·하이닉스 '방긋'"
25,2020.06.30.,[단독]日 삼성전자에 줄소송…노림수는 '갤럭시·OLED'
26,2020.06.30.,"삼성전자-LG전자, 'C쇼크 탈출' 청신호"
27,2020.06.30.,"[단독]삼성전자, 코로나19 여파에 ‘IFA 2020’ 불참 결정"
28,2020.06.30.,삼성전자 'QLED 보상판매 특별전'···최대 100만원 혜택
29,2020.06.30.,"삼성전자, 마스크·진단키트…中企 2500곳에 스마트공장 이식"
30,2020.06.30.,[사랑방] 삼성전자 ‘정진기언론문화상’ 대상
31,2020.06.29.,정진기언론문화상 대상에 삼성전자
32,2020.06.29.,"삼성전자, 노키아 턱밑 추격...화웨이, 美제재에도 점유율 상승"
33,2020.06.28.,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시 [포토뉴스]"
34,2020.06.28.,"삼성전자 ""스마트TV 콘텐츠로 한판 붙자"" LG전자"
35,2020.06.28.,"삼성전자, 블록체인 게임 지원 ‘위믹스 폰’ 출시"
36,2020.06.28.,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시"
37,2020.06.28.,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시…으뜸효율 환급 대상"
38,2020.06.28.,"삼성전자, 에너지효율 1등급 QLED TV 첫선"
39,2020.06.26.,삼성전자 해외 수주說에…5G 장비주 '껑충'
40,2020.06.26.,여름보너스 타볼까…‘중간배당’ 삼성전자·맥쿼리 시선집중
41,2020.06.26.,"삼성전자, AI·반도체 등 전방위 기술 혁신"
42,2020.06.26.,"삼성전자, 중소 협력사 손잡고 ‘K칩 시대’ 연다"
43,2020.06.26.,"삼성전자, 글로벌 TV시장 점유율 14년 연속 1위 外"
44,2020.06.25.,"삼성전자, 반도체 생태계 강화 박차… ""동반성장 통해 K칩시대 열것"""
45,2020.06.25.,"삼성전자-삼성전자 도움 받은 손세정제·마스크·고글 생산업체, 지역사회 기..."
46,2020.06.25.,"삼성전자, 소비자 사용 습관에 맞춰 세탁·건조 척척"
47,2020.06.25.,"삼성전자, 삼각축으로 `K칩 시대` 연다"
48,2020.06.25.,"삼성전자, 협력사·대학·이웃과 'K칩 시대' 연다"
49,2020.06.25.,삼성전자 '반도체 팀코리아' 내실 다지기
50,2020.06.25.,'K칩 시대' 선봉장 된 삼성전자
51,2020.06.25.,삼성전자 미래 핵심 AI사업 육성 가속도
52,2020.06.25.,"삼성전자·UNIST, 반도체 미세공정 한계 돌파 가능한 신소재 개발"
53,2020.06.24.,"“따라올 생각 하지 마”… 삼성전자, AI 초격차 전략 가속도"
54,2020.06.24.,"삼성전자, 강력한 냉방에 청정기능… 기준을 높였다"
55,2020.06.24.,"삼성전자, 압도적 화질·사운드 `현존 최고 TV`"
56,2020.06.24.,"삼성전자, 초강력 흡입으로 `미세먼지` 99.999% 차단"
57,2020.06.24.,[2020 상반기 인기상품]품질우수-삼성전자/세탁기·건조기/그랑데 AI
58,2020.06.24.,[2020 상반기 인기상품]품질우수-삼성전자/무선청소기/'삼성제트'
59,2020.06.24.,"삼성전자, AI 총책임자로 외부 전문가 영입"
60,2020.06.24.,"[단독]삼성전자, 국내 최초 17㎏ 건조기 출시…구입비 환급 '기대감'"
61,2020.06.24.,증권가에서 들려온 반가운 소식…5만원 갇힌 삼성전자 오를까
62,2020.06.24.,삼성전자 R&D 컨트롤타워에 ‘AI 석학’ 세바스찬 승 교수
