날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,47250,2550,3407691,884544,854532,30012,1762715,522588,1240127,-1270139
2020-11-10,44700,1750,2913985,1396830,796542,600288,844863,578974,265889,-866177
2020-11-09,42950,300,1350713,629356,326852,302504,342785,446503,-103718,-198786
2020-11-06,42650,-250,1403645,462238,485593,-23355,487379,458247,29132,-5777
2020-11-05,42900,1350,2077254,730164,696842,33322,811022,526355,284667,-317989
2020-11-04,41550,-1100,2640754,831033,1423294,-592261,616188,564361,51827,540434
2020-11-03,42650,650,1535972,561080,313972,247108,591781,539127,52654,-299762
2020-11-02,42000,1900,1789683,866684,497246,369438,574651,559173,15478,-384916
2020-10-30,40100,-900,1936145,458729,543965,-85236,558237,842995,-284758,369994
2020-10-29,41000,-1050,1903504,368936,675072,-306136,556345,791516,-235171,541307
2020-10-28,42050,300,1186091,376885,506374,-129489,351796,276088,75708,53781
2020-10-27,41750,-650,2088168,567027,747669,-180642,910923,761456,149467,31175
2020-10-26,42400,150,2149785,894045,683473,210572,635927,690134,-54207,-156365
2020-10-23,42250,350,2912806,1161290,792735,368555,819297,647770,171527,-540082
2020-10-22,41900,450,2432512,931314,710683,220631,778912,517339,261573,-482204
2020-10-21,41450,700,2378411,1188187,490004,698183,610759,841352,-230593,-467590
2020-10-20,40750,50,1531385,561009,510248,50761,229510,506632,-277122,226361
2020-10-19,40700,1300,2737109,1225562,559519,666043,736966,403916,333050,-999093
2020-10-16,39400,350,1459454,441637,400370,41267,527545,403398,124147,-165414
2020-10-15,39050,300,1506358,448331,400359,47972,512032,736699,-224667,176695
2020-10-14,38750,-1450,2599729,562347,812844,-250497,543081,1224800,-681719,932216
2020-10-13,40200,-550,1829831,780327,699391,80936,509128,580313,-71185,-9751
2020-10-12,40750,900,2172164,1095048,604682,490366,686256,616436,69820,-560186
2020-10-08,39850,-50,1601362,468032,686826,-218794,643101,399324,243777,-24983
2020-10-07,39900,900,1673843,843608,400291,443317,480736,487322,-6586,-436731
2020-10-06,39000,-50,1696809,583113,539609,43504,378523,440333,-61810,18306
2020-10-05,39050,1500,2800737,1076419,435049,641370,1197017,563879,633138,-1274508
2020-09-29,37550,-650,1950270,473026,361782,111244,569395,1176213,-606818,495574
2020-09-28,38200,0,988581,341778,221293,120485,334194,355103,-20909,-99576
2020-09-25,38200,1000,1918648,557147,524981,32166,1001054,328634,672420,-704586
2020-09-24,37200,-350,1637655,503178,490423,12755,614361,686446,-72085,59330
2020-09-23,37550,100,1596892,545052,500634,44418,595408,519069,76339,-120757
2020-09-22,37450,-200,1538136,335779,594893,-259114,771819,371771,400048,-140934
2020-09-21,37650,-100,1185153,371382,396454,-25072,386677,436098,-49421,74493
2020-09-18,37750,-200,1158360,372444,323077,49367,417217,601473,-184256,134889
2020-09-17,37950,50,1128497,338966,497737,-158771,299255,293358,5897,152874
2020-09-16,37900,-450,1243553,256985,496734,-239749,300340,430480,-130140,369889
2020-09-15,38350,50,1494998,383488,579628,-196140,428464,315204,113260,82880
2020-09-14,38300,1150,1794696,443529,379664,63865,916755,253050,663705,-727570
2020-09-11,37150,-400,1453185,310274,376035,-65761,266457,746059,-479602,545363
2020-09-10,37550,50,1649298,623511,801952,-178441,529369,481487,47882,130559
2020-09-09,37500,-300,1325683,350502,553291,-202789,360339,332215,28124,174665
2020-09-08,37800,-450,1861721,482096,768346,-286250,257366,323411,-66045,352295
2020-09-07,38250,1300,2246561,631904,596131,35773,741257,364410,376847,-412620
2020-09-04,36950,-450,1622570,367056,963310,-596254,277728,205315,72413,523841
2020-09-03,37400,-300,1493906,425088,600237,-175149,370514,407005,-36491,211640
2020-09-02,37700,300,1363294,475636,460768,14868,478399,423220,55179,-70047
2020-09-01,37400,550,1747651,559502,622765,-63263,740696,530155,210541,-147278
2020-08-31,36850,-1150,3473865,808139,965458,-157319,1055119,1880789,-825670,982989
2020-08-28,38000,1050,3094558,1047289,662963,384326,1054727,602037,452690,-837016
2020-08-27,36950,-150,1518005,259737,631948,-372211,475567,212885,262682,109529
2020-08-26,37100,-850,2118673,385859,961942,-576083,387614,716083,-328469,904552
2020-08-25,37950,1000,1577837,599470,697899,-98429,210291,146421,63870,34559
2020-08-24,36950,200,1254718,397359,580454,-183095,368494,228616,139878,43217
2020-08-21,36750,300,1682480,503093,927495,-424402,182315,168128,14187,410215
2020-08-20,36450,-1550,2376891,578589,1077270,-498681,368072,266066,102006,396675
2020-08-19,38000,-150,1283988,456569,478609,-22040,120492,231110,-110618,132658
2020-08-18,38150,-1650,2848865,813687,814926,-1239,942887,543420,399467,-398228
2020-08-14,39800,-1700,2859261,692770,673386,19384,666047,962998,-296951,277567
