날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,1571000,42000,41690,9976,13287,-3311,26602,7090,19512,-16201
2020-11-10,1529000,2000,31661,6740,14054,-7314,18432,12515,5917,1397
2020-11-09,1527000,1000,21957,9394,7630,1764,7534,8994,-1460,-304
2020-11-06,1526000,-4000,19413,6972,9889,-2917,7378,4004,3374,-457
2020-11-05,1530000,25000,34779,9383,13584,-4201,17705,15374,2331,1870
2020-11-04,1505000,-12000,29280,9428,13194,-3766,9911,12421,-2510,6276
2020-11-03,1517000,-14000,22826,7695,9857,-2162,8815,10814,-1999,4161
2020-11-02,1531000,31000,19283,7625,5037,2588,9390,4674,4716,-7304
2020-10-30,1500000,-7000,26906,2956,8644,-5688,16497,16212,285,5403
2020-10-29,1507000,-17000,23582,4516,12108,-7592,9873,8432,1441,6151
2020-10-28,1524000,-19000,18950,3670,8713,-5043,10284,8062,2222,2821
2020-10-27,1543000,28000,43164,5213,10121,-4908,35145,27104,8041,-3133
2020-10-26,1515000,-24000,18435,5589,8699,-3110,7096,7873,-777,3887
2020-10-23,1539000,0,26952,8808,12602,-3794,13780,10854,2926,868
2020-10-22,1539000,-12000,34458,11004,17079,-6075,13333,13042,291,5784
2020-10-21,1551000,4000,20458,11075,10550,525,6457,8136,-1679,1154
2020-10-20,1547000,-15000,18165,6876,6403,473,8933,8699,234,-707
2020-10-19,1562000,-9000,29547,15929,13672,2257,11047,13340,-2293,36
2020-10-16,1571000,2000,26034,12412,9545,2867,11883,11214,669,-3536
2020-10-15,1569000,23000,26730,6323,7673,-1350,18162,14713,3449,-2099
2020-10-14,1546000,-2000,23585,6144,6531,-387,14779,14768,11,376
2020-10-13,1548000,-37000,25353,8087,10177,-2090,11089,11468,-379,2469
2020-10-12,1585000,45000,31235,17480,8749,8731,9583,6590,2993,-11724
2020-10-08,1540000,27000,32935,13284,14335,-1051,18302,8817,9485,-8434
2020-10-07,1513000,13000,19124,10789,5331,5458,6969,8376,-1407,-4051
2020-10-06,1500000,1000,18373,6165,8533,-2368,9837,6908,2929,-561
2020-10-05,1499000,51000,37143,18353,8662,9691,15985,12770,3215,-12906
2020-09-29,1448000,-21000,29073,9615,6941,2674,14574,19167,-4593,1919
2020-09-28,1469000,50000,22430,8082,5395,2687,12091,10940,1151,-3838
2020-09-25,1419000,1000,15061,7696,6678,1018,3957,6201,-2244,1226
2020-09-24,1418000,-37000,25119,7670,7837,-167,8169,13256,-5087,5254
2020-09-23,1455000,-18000,23970,8721,10526,-1805,7514,10589,-3075,4880
2020-09-22,1473000,-24000,22655,5642,11099,-5457,8892,7972,920,4537
2020-09-21,1497000,-19000,16592,9198,5174,4024,3611,9018,-5407,1383
2020-09-18,1516000,8000,29963,7902,8527,-625,20069,15496,4573,-3948
2020-09-17,1508000,2000,18622,6609,10190,-3581,5606,5500,106,3475
2020-09-16,1506000,-27000,16229,5114,6745,-1631,3549,7369,-3820,5451
2020-09-15,1533000,14000,20656,5293,7220,-1927,11202,7977,3225,-1298
2020-09-14,1519000,1000,18782,6879,9320,-2441,9004,7035,1969,472
2020-09-11,1518000,-9000,26302,6957,9215,-2258,16465,13261,3204,-946
2020-09-10,1527000,17000,34347,10698,17392,-6694,20451,5057,15394,-8700
2020-09-09,1510000,17000,36196,12579,11036,1543,20981,15504,5477,-7020
2020-09-08,1493000,18000,22557,7574,10120,-2546,12080,5325,6755,-4209
2020-09-07,1475000,22000,22370,4008,6300,-2292,13460,9800,3660,-1368
2020-09-04,1453000,-30000,32181,4219,11928,-7709,13636,15986,-2350,10059
2020-09-03,1483000,-16000,20737,6096,10088,-3992,6134,7655,-1521,5513
2020-09-02,1499000,-14000,25102,7718,6352,1366,8363,15996,-7633,6267
2020-09-01,1513000,40000,29672,11021,10061,960,15112,11387,3725,-4685
2020-08-31,1473000,-36000,36969,16500,14986,1514,10472,18021,-7549,6035
2020-08-28,1509000,10000,26011,9663,9977,-314,12988,11334,1654,-1340
2020-08-27,1499000,-18000,21958,6721,12478,-5757,4633,4188,445,5312
2020-08-26,1517000,-22000,42308,6335,16794,-10459,20637,21037,-400,10859
2020-08-25,1539000,-4000,19954,7912,12531,-4619,6401,5204,1197,3422
2020-08-24,1543000,-20000,25732,7608,10711,-3103,9414,11595,-2181,5284
2020-08-21,1563000,63000,36757,13996,11071,2925,16710,9684,7026,-9951
2020-08-20,1500000,-19000,36587,17786,26127,-8341,14297,5677,8620,-279
2020-08-19,1519000,19000,33302,13088,14695,-1607,16254,10092,6162,-4555
2020-08-18,1500000,-65000,50554,16926,13679,3247,21404,30020,-8616,5369
