날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,86800,900,960361,227702,230372,-2670,326591,353667,-27076,29746
2020-11-10,85900,-1400,898189,98093,520892,-422799,167241,117701,49540,373259
2020-11-09,87300,200,586050,134698,230406,-95708,107707,101321,6386,89322
2020-11-06,87100,600,707090,137305,222207,-84902,223806,90793,133013,-48111
2020-11-05,86500,400,754241,121867,423509,-301642,94960,106327,-11367,313009
2020-11-04,86100,-200,602908,172933,290730,-117797,126020,125867,153,117644
2020-11-03,86300,800,409909,156615,132446,24169,63791,52395,11396,-35565
2020-11-02,85500,1500,510392,155044,171043,-15999,126171,34417,91754,-75755
2020-10-30,84000,-3200,981485,97529,297793,-200264,197937,194765,3172,197092
2020-10-29,87200,-2800,786668,88682,266910,-178228,67833,276150,-208317,386545
2020-10-28,90000,600,375683,84419,136598,-52179,189494,85681,103813,-51634
2020-10-27,89400,300,523862,120429,213295,-92866,239962,106470,133492,-40626
2020-10-26,89100,-500,397433,58782,176104,-117322,192994,54283,138711,-21389
2020-10-23,89600,1200,453141,81570,104443,-22873,243517,80136,163381,-140508
2020-10-22,88400,-2000,598631,61032,163954,-102922,90287,162995,-72708,175630
2020-10-21,90400,-300,502901,95328,234823,-139495,208219,109819,98400,41095
2020-10-20,90700,1600,498432,155571,109207,46364,132363,56622,75741,-122105
2020-10-19,89100,-800,487840,131845,176204,-44359,102685,106597,-3912,48271
2020-10-16,89900,-1500,749853,105345,204723,-99378,126294,94888,31406,67972
2020-10-15,91400,0,678538,138792,221875,-83083,237421,98953,138468,-55385
2020-10-14,91400,-300,847948,145916,286077,-140161,233661,209185,24476,115685
2020-10-13,91700,-200,1015570,183145,332429,-149284,222436,108736,113700,35584
2020-10-12,91900,-1400,1139080,91128,370907,-279779,183841,257672,-73831,353610
2020-10-08,93300,-2800,2181852,362224,793552,-431328,355135,347626,7509,423819
2020-10-07,96100,1700,1263545,315330,264567,50763,464674,302556,162118,-212881
2020-10-06,94400,2300,2733167,517620,599783,-82163,703876,269804,434072,-351909
2020-10-05,92100,400,1007727,186363,302059,-115696,452195,307831,144364,-28668
2020-09-29,91700,0,808542,158547,136412,22135,292357,253973,38384,-60519
2020-09-28,91700,-1200,905918,195510,285272,-89762,188274,191387,-3113,92875
2020-09-25,92900,3400,1625943,554999,280100,274899,376890,189412,187478,-462377
2020-09-24,89500,-1700,1150871,461461,310539,150922,225442,341006,-115564,-35358
2020-09-23,91200,2300,1121711,380964,325952,55012,377624,209150,168474,-223486
2020-09-22,88900,-2000,1054942,156623,366137,-209514,337702,311847,25855,183659
2020-09-21,90900,1000,1050515,279686,389868,-110182,221416,110478,110938,-756
2020-09-18,89900,-700,931059,204413,329501,-125088,276960,289058,-12098,137186
2020-09-17,90600,0,870174,279886,239928,39958,107211,147625,-40414,456
2020-09-16,90600,-1200,815205,164829,236297,-71468,147109,143277,3832,67636
2020-09-15,91800,-300,952767,190231,296051,-105820,336880,172930,163950,-58130
2020-09-14,92100,-300,1226790,280507,371640,-91133,178587,236545,-57958,149091
2020-09-11,92400,-800,1507008,462990,320410,142580,99524,425104,-325580,183000
2020-09-10,93200,3000,2880767,916985,564324,352661,403330,362947,40383,-393044
2020-09-09,90200,4400,3555936,1166580,578593,587987,748053,258353,489700,-1077687
2020-09-08,85800,2000,1367597,474367,246490,227877,147388,209678,-62290,-165587
2020-09-07,83800,-200,629528,106680,225949,-119269,102542,61742,40800,78469
2020-09-04,84000,-1700,974597,91798,418464,-326666,207288,92366,114922,211744
2020-09-03,85700,-800,764553,135125,273276,-138151,117053,106569,10484,127667
2020-09-02,86500,-1200,1170481,205079,355396,-150317,89209,312496,-223287,373604
2020-09-01,87700,3500,1133236,455949,222247,233702,129058,201957,-72899,-160803
2020-08-31,84200,-1700,1388783,379875,262841,117034,349285,671244,-321959,204925
2020-08-28,85900,-300,954228,233627,344481,-110854,142115,127004,15111,95743
2020-08-27,86200,-1700,1330067,207589,553814,-346225,356998,71547,285451,60774
2020-08-26,87900,-2400,1571474,248481,669513,-421032,261943,265326,-3383,424415
2020-08-25,90300,-300,1161120,411053,399800,11253,147100,143489,3611,-14864
2020-08-24,90600,300,1265081,596727,370404,226323,111555,208042,-96487,-129836
2020-08-21,90300,5400,2978055,1033499,565093,468406,472936,149379,323557,-791963
2020-08-20,84900,-100,1424255,656533,515443,141090,161773,88594,73179,-214269
2020-08-19,85000,1000,1316003,388994,384861,4133,333362,123011,210351,-214484
2020-08-18,84000,-4700,1462971,419995,423322,-3327,252832,188799,64033,-60706
2020-08-14,88700,1700,1669303,584232,504675,79557,178582,94914,83668,-163225
2020-08-13,87000,-300,1950559,617840,606589,11251,234650,178761,55889,-67140
2020-08-12,87300,4300,2704977,750319,557570,192749,558954,266103,292851,-485600
2020-08-11,83000,-2700,1684857,411404,515471,-104067,169138,281422,-112284,216351
2020-08-10,85700,8500,3706582,1317890,716245,601645,540136,202952,337184,-938829
2020-08-07,77200,0,759800,214036,321842,-107806,184903,90916,93987,13819
2020-08-06,77200,-1100,899941,336229,237715,98514,95407,111530,-16123,-82391
2020-08-05,78300,400,1197933,310822,303564,7258,361384,142881,218503,-225761
2020-08-04,77900,3900,1738014,580155,326724,253431,430969,125311,305658,-559089
2020-08-03,74000,3300,1183563,299974,237338,62636,426263,177106,249157,-311793
2020-07-31,70700,-1400,851076,152525,362507,-209982,158604,180359,-21755,231737
2020-07-30,72100,100,735701,155457,218384,-62927,132004,221353,-89349,152276
2020-07-29,72000,-500,804210,146302,281040,-134738,224524,134004,90520,44218
2020-07-28,72500,-1100,975596,149805,372746,-222941,243555,157637,85918,137023
2020-07-27,73600,-500,568984,131813,113423,18390,129167,138617,-9450,-8940
2020-07-24,74100,0,698830,194875,254300,-59425,251459,94318,157141,-97716
2020-07-23,74100,-900,759138,106726,205993,-99267,266199,101217,164982,-65715
2020-07-22,75000,100,801570,110716,257631,-146915,374287,120434,253853,-106938
2020-07-21,74900,-1100,912127,145842,268554,-122712,357043,194168,162875,-40163
2020-07-20,76000,300,901831,190190,274213,-84023,329267,105845,223422,-139399
2020-07-17,75700,1200,1266762,374644,244004,130640,288612,210248,78364,-209004
2020-07-16,74500,-400,1184023,296244,258167,38077,276786,153160,123626,-161703
2020-07-15,74900,4100,2504840,582992,366488,216504,900741,172572,728169,-944673
2020-07-14,70800,2300,1780194,482750,322490,160260,452429,144105,308324,-468584
2020-07-13,68500,300,569857,168407,132770,35637,140478,58327,82151,-117788
2020-07-10,68200,500,781290,290381,249536,40845,264155,109768,154387,-195232
2020-07-09,67700,1300,984866,286320,277139,9181,421459,225153,196306,-205487
2020-07-08,66400,900,1111546,436000,363358,72642,212256,161686,50570,-123212
2020-07-07,65500,-2600,1720050,567138,586353,-19215,331799,253810,77989,-58774
2020-07-06,68100,3100,1461414,611340,238308,373032,237800,95543,142257,-515289
2020-07-03,65000,400,494161,142245,144100,-1855,44337,169598,-125261,127116
2020-07-02,64600,200,451291,111986,163201,-51215,179013,165843,13170,38045
2020-07-01,64400,1200,564319,272725,134885,137840,56349,125836,-69487,-68353
2020-06-30,63200,-300,648411,151363,198861,-47498,214875,266412,-51537,99035
2020-06-29,63500,-1200,756841,210571,190431,20140,195287,159299,35988,-56128
2020-06-26,64700,0,528872,102782,162347,-59565,129046,104277,24769,34796
2020-06-25,64700,-2300,798688,175257,301425,-126168,87281,129010,-41729,167897
2020-06-24,67000,400,622511,177964,123704,54260,122042,168565,-46523,-7737
2020-06-23,66600,-900,849668,304053,277214,26839,107329,141477,-34148,7309
2020-06-22,67500,-1300,632910,152446,173618,-21172,139311,146864,-7553,28725
2020-06-19,68800,1000,861053,284388,205411,78977,230590,181594,48996,-127973
2020-06-18,67800,-400,946224,274810,187485,87325,189667,198525,-8858,-78467
2020-06-17,68200,3000,1576915,777523,318976,458547,232277,200865,31412,-489959
2020-06-16,65200,2300,1220699,242507,260828,-18321,184036,291765,-107729,126050
2020-06-15,62900,-4900,1545344,452323,239054,213269,218413,324492,-106079,-107190
2020-06-12,67800,-1200,1689624,386297,229318,156979,189086,238651,-49565,-107414
2020-06-11,69000,-1100,1942350,520292,433958,86334,258801,535839,-277038,190704
2020-06-10,70100,3500,2744224,871272,468775,402497,500458,361524,138934,-541431
2020-06-09,66600,2600,1897513,567783,310078,257705,304159,230371,73788,-331493
2020-06-08,64000,1000,975466,411833,232788,179045,126471,118218,8253,-187298
2020-06-05,63000,800,860924,326686,253410,73276,186187,109559,76628,-149904
2020-06-04,62200,100,934862,335568,234483,101085,110480,94470,16010,-117095
2020-06-03,62100,2100,1433963,559624,244346,315278,270304,121932,148372,-463650
2020-06-02,60000,800,846026,249232,161971,87261,195073,111292,83781,-171042
2020-06-01,59200,-100,550906,126106,185661,-59555,33684,86934,-53250,112805
2020-05-29,59300,800,900113,250533,268911,-18378,423094,277736,145358,-126980
2020-05-28,58500,-1000,1094166,305470,329818,-24348,95710,229929,-134219,158567
2020-05-27,59500,2400,1707086,415606,298201,117405,487636,85018,402618,-520023
2020-05-26,57100,1000,674912,224312,105862,118450,132963,103073,29890,-148340
2020-05-25,56100,-200,478311,132837,129332,3505,10284,83306,-73022,69517
2020-05-22,56300,-900,518452,126720,119162,7558,121303,92720,28583,-36141
2020-05-21,57200,-800,709139,115273,201200,-85927,73273,194121,-120848,206775
2020-05-20,58000,-200,552137,110719,156740,-46021,124692,129471,-4779,50800
2020-05-19,58200,1800,1138915,301291,138651,162640,255196,161941,93255,-255895
2020-05-18,56400,2000,1005066,275529,169438,106091,323622,107557,216065,-322156
2020-05-15,54400,200,504474,160310,164834,-4524,128568,119499,9069,-4545
2020-05-14,54200,-800,593689,175079,220703,-45624,156154,180238,-24084,69708
2020-05-13,55000,500,577061,212760,186766,25994,171039,159245,11794,-37788
2020-05-12,54500,0,707739,147070,168771,-21701,294969,190038,104931,-83230
2020-05-11,54500,-700,536547,80544,164182,-83638,123794,103013,20781,62857
2020-05-08,55200,500,632501,129354,185402,-56048,218950,147800,71150,-15102
2020-05-07,54700,-800,754248,141984,106194,35790,135902,310306,-174404,138614
2020-05-06,55500,300,805783,145409,83982,61427,287831,400777,-112946,51519
2020-05-04,55200,300,1119161,114292,295456,-181164,535968,224007,311961,-130797
2020-04-29,54900,1300,1017067,162346,142560,19786,270687,128343,142344,-162130
2020-04-28,53600,200,712240,125673,192122,-66449,142412,125759,16653,49796
2020-04-27,53400,800,561740,179935,111225,68710,146562,111570,34992,-103702
2020-04-24,52600,-700,529035,153272,216876,-63604,89475,105354,-15879,79483
