날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,692000,-10000,528736,148378,162920,-14542,181923,172537,9386,5156
2020-11-10,702000,-32000,563688,136629,191701,-55072,108232,156277,-48045,103117
2020-11-09,734000,14000,601476,202293,159584,42709,138896,135442,3454,-46163
2020-11-06,720000,43000,1268197,321295,224882,96413,609680,90228,519452,-615865
2020-11-05,677000,27000,446583,165063,103703,61360,169737,24753,144984,-206344
2020-11-04,650000,-6000,472730,151251,163877,-12626,126449,108444,18005,-5379
2020-11-03,656000,33000,638480,202196,162437,39759,295527,40032,255495,-295254
2020-11-02,623000,12000,505856,127849,178817,-50968,162117,50512,111605,-60637
2020-10-30,611000,-40000,820454,178619,244331,-65712,215036,239175,-24139,89851
2020-10-29,651000,9000,386081,114444,106926,7518,166170,66682,99488,-107006
2020-10-28,642000,10000,368105,67140,147413,-80273,116267,47214,69053,11220
2020-10-27,632000,-14000,261388,79605,111873,-32268,91972,64380,27592,4676
2020-10-26,646000,-4000,264208,70121,96175,-26054,118585,59067,59518,-33464
2020-10-23,650000,11000,405718,75575,111552,-35977,235942,97555,138387,-102410
2020-10-22,639000,22000,512433,138062,151005,-12943,235893,85939,149954,-137011
2020-10-21,617000,-4000,241633,77692,96043,-18351,69057,62129,6928,11423
2020-10-20,621000,6000,483397,134985,111947,23038,157477,200186,-42709,19671
2020-10-19,615000,-25000,473127,133432,214821,-81389,83377,81642,1735,79654
2020-10-16,640000,3000,310579,120916,131585,-10669,88304,37098,51206,-40537
2020-10-15,637000,9000,531454,122247,153518,-31271,228829,87157,141672,-110401
2020-10-14,628000,-16000,725349,121300,239154,-117854,223257,204570,18687,99167
2020-10-13,644000,-28000,678451,97242,272663,-175421,72841,86769,-13928,189349
2020-10-12,672000,-20000,551057,121110,173640,-52530,110527,100553,9974,42556
2020-10-08,692000,12000,564700,147943,205330,-57387,208328,46842,161486,-104099
2020-10-07,680000,6000,294545,88454,67497,20957,106472,52657,53815,-74772
2020-10-06,674000,15000,451956,118834,90130,28704,189229,50548,138681,-167385
2020-10-05,659000,5000,443499,102090,86707,15383,207919,136862,71057,-86440
2020-09-29,654000,28000,677451,138300,156793,-18493,285222,111707,173515,-155022
2020-09-28,626000,-1000,367111,74058,66273,7785,105959,98250,7709,-15494
2020-09-25,627000,16000,493489,119405,101472,17933,171182,94592,76590,-94523
2020-09-24,611000,-19000,872924,192739,199289,-6550,311505,192445,119060,-112510
2020-09-23,630000,-9000,1271568,265729,343801,-78072,232207,236873,-4666,82738
2020-09-22,639000,12000,1209481,242816,217989,24827,309595,160219,149376,-174203
2020-09-21,627000,-39000,1239438,212299,192269,20030,241380,186032,55348,-75378
2020-09-18,666000,21000,1775061,324412,357011,-32599,436756,230785,205971,-173372
2020-09-17,645000,-42000,3408145,495678,440274,55404,442057,280300,161757,-217161
2020-09-16,687000,-39000,958233,120106,179267,-59161,115534,71987,43547,15614
2020-09-15,726000,14000,435166,84088,78153,5935,90947,80226,10721,-16656
2020-09-14,712000,7000,327850,72987,84281,-11294,34648,32483,2165,9129
2020-09-11,705000,-8000,361882,46775,100875,-54100,52708,91682,-38974,93074
2020-09-10,713000,14000,541097,121607,180479,-58872,119674,137712,-18038,76910
2020-09-09,699000,-10000,575376,82783,130256,-47473,141384,169847,-28463,75936
2020-09-08,709000,-11000,811834,182172,182446,-274,113947,173515,-59568,59842
2020-09-07,720000,-23000,635302,71913,142695,-70782,48175,172131,-123956,194738
2020-09-04,743000,-25000,773517,70076,217577,-147501,86359,207135,-120776,268277
2020-09-03,768000,26000,690256,138893,169065,-30172,169325,75023,94302,-64130
