날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-11-11,280000,-3000,1183499,244647,466277,-221630,207275,345437,-138162,359792,,
2020-11-10,283000,-15000,1728995,196530,738403,-541873,266074,591863,-325789,867662,,
2020-11-09,298000,-3000,678531,225460,295277,-69817,117886,176735,-58849,128666,,
2020-11-06,301000,2000,968971,305436,295470,9966,343337,218171,125166,-135132,,
2020-11-05,299000,500,1082388,292990,366862,-73872,342543,246017,96526,-22654,,
2020-11-04,298500,15500,1623712,621163,418937,202226,507735,234027,273708,-475934,,
2020-11-03,283000,-2500,1066923,182294,450618,-268324,210641,359214,-148573,416897,,
2020-11-02,285500,-4500,503831,109467,246798,-137331,151213,160351,-9138,146469,,
2020-10-30,290000,-8500,939833,195885,318070,-122185,514276,437606,76670,45515,,
2020-10-29,298500,0,785050,255309,283192,-27883,239839,149426,90413,-62530,,
2020-10-28,298500,15000,698195,301549,229723,71826,222756,99616,123140,-194966,,
2020-10-27,283500,2000,2071432,164275,199631,-35356,175701,145074,30627,4729,,
2020-10-26,281500,-5000,349163,68044,135398,-67354,138305,78034,60271,7083,,
2020-10-23,286500,-6500,451654,134472,187787,-53315,99495,141847,-42352,95667,,
2020-10-22,293000,-4500,416425,168701,146030,22671,130678,177478,-46800,24129,,
2020-10-21,297500,7500,640501,231182,249268,-18086,241175,144791,96384,-78298,,
2020-10-20,290000,4000,535870,173995,187663,-13668,212851,90776,122075,-108407,,
2020-10-19,286000,-7500,434420,174731,187966,-13235,76656,107245,-30589,43824,,
2020-10-16,293500,1000,446832,157821,138747,19074,209799,174608,35191,-54265,,
2020-10-15,292500,-6000,624097,151681,230906,-79225,241197,264372,-23175,102400,,
2020-10-14,298500,3500,759464,221702,247809,-26107,419787,257361,162426,-136319,,
2020-10-13,295000,3000,636487,209550,260256,-50706,283120,201195,81925,-31219,,
2020-10-12,292000,-9000,914860,208676,381291,-172615,323628,348954,-25326,197941,,
2020-10-08,301000,-4000,756735,291294,435847,-144553,261801,187960,73841,70712,,
2020-10-07,305000,0,534644,209363,226166,-16803,212275,134890,77385,-60582,,
