날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,238500,1500,394571,227139,111880,115259,107648,163668,-56020,-59239
2020-11-10,237000,3000,465479,195634,149026,46608,180384,112899,67485,-114093
2020-11-09,234000,6000,346313,162017,137702,24315,110782,49086,61696,-86011
2020-11-06,228000,1000,292212,133812,114342,19470,97092,83437,13655,-33125
2020-11-05,227000,8000,492058,196742,162481,34261,203502,117928,85574,-119835
2020-11-04,219000,-1500,317582,168511,149228,19283,78307,77217,1090,-20373
2020-11-03,220500,4500,317709,160203,67084,93119,114884,87019,27865,-120984
2020-11-02,216000,8000,442086,220150,153415,66735,160468,140618,19850,-86585
2020-10-30,208000,-4000,369989,136121,122416,13705,150225,162935,-12710,-995
2020-10-29,212000,-4000,450580,119218,127973,-8755,202421,171727,30694,-21939
2020-10-28,216000,-4000,298845,117391,92678,24713,77766,142334,-64568,39855
2020-10-27,220000,2000,511872,132221,139788,-7567,309849,276042,33807,-26240
2020-10-26,218000,-2000,600037,255318,230084,25234,126552,212003,-85451,60217
2020-10-23,220000,10000,903396,534850,290407,244443,147669,141915,5754,-250197
2020-10-22,210000,3000,463459,177434,88887,88547,221941,231187,-9246,-79301
2020-10-21,207000,500,249347,129874,96424,33450,54688,109652,-54964,21514
2020-10-20,206500,-2000,350583,173734,87259,86475,66696,185119,-118423,31948
2020-10-19,208500,6500,424316,314458,119946,194512,54841,100861,-46020,-148492
2020-10-16,202000,-3000,269441,127199,82693,44506,59970,122503,-62533,18027
2020-10-15,205000,4500,309713,162520,76567,85953,87927,82234,5693,-91646
2020-10-14,200500,-4500,300335,108160,91917,16243,94652,143804,-49152,32909
2020-10-13,205000,-2000,190587,96168,89063,7105,39775,54465,-14690,7585
2020-10-12,207000,-1000,269502,107167,92296,14871,43446,125090,-81644,66773
2020-10-08,208000,3000,554481,231012,191163,39849,188621,102132,86489,-126338
2020-10-07,205000,3000,294582,163965,92323,71642,59297,83368,-24071,-47571
2020-10-06,202000,-3000,277292,128713,71303,57410,68749,118412,-49663,-7747
2020-10-05,205000,9000,723156,306726,137718,169008,316501,146203,170298,-339306
2020-09-29,196000,2000,351353,156918,59115,97803,132358,178156,-45798,-52005
2020-09-28,194000,0,243804,141706,79732,61974,51918,73027,-21109,-40865
2020-09-25,194000,6000,348033,173804,87919,85885,111413,135846,-24433,-61452
2020-09-24,188000,-7000,369215,133096,138528,-5432,50300,140729,-90429,95861
2020-09-23,195000,500,450482,250183,166359,83824,60123,159471,-99348,15524
2020-09-22,194500,3500,953120,560929,236146,324783,191354,319066,-127712,-197071
2020-09-21,191000,-1000,358087,180838,93713,87125,79868,137800,-57932,-29193
2020-09-18,192000,2000,522946,214227,123910,90317,172457,195403,-22946,-67371
2020-09-17,190000,1000,299058,101598,95783,5815,120893,114219,6674,-12489
2020-09-16,189000,-500,200188,90520,83080,7440,38111,63442,-25331,17891
2020-09-15,189500,-500,276837,101023,100121,902,77895,94868,-16973,16071
2020-09-14,190000,4500,258053,108808,76850,31958,85258,72352,12906,-44864
2020-09-11,185500,0,202517,76386,73297,3089,47833,86753,-38920,35831
2020-09-10,185500,500,412264,212633,182367,30266,103997,159370,-55373,25107
2020-09-09,185000,-2000,326016,81670,116233,-34563,83629,152863,-69234,103797
2020-09-08,187000,-1000,268589,101311,96939,4372,45702,115188,-69486,65114
