날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,230500,3500,353850,126903,87741,39162,120928,96434,24494,-63656
2020-11-10,227000,1500,485633,73459,91640,-18181,274424,294782,-20358,38539
2020-11-09,225500,-1500,334885,102508,112636,-10128,67153,156161,-89008,99136
2020-11-06,227000,4000,356362,108490,115981,-7491,149575,69797,79778,-72287
2020-11-05,223000,4500,409377,104209,154336,-50127,170141,147324,22817,27310
2020-11-04,218500,-500,301637,102251,82446,19805,51038,162899,-111861,92056
2020-11-03,219000,4000,396439,127159,107656,19503,150988,216080,-65092,45589
2020-11-02,215000,1000,291912,86111,75269,10842,74177,160409,-86232,75390
2020-10-30,214000,-8500,507996,76999,96276,-19277,93217,298776,-205559,224836
2020-10-29,222500,-7000,389701,68829,110243,-41414,27784,197651,-169867,211281
2020-10-28,229500,-3000,366158,124285,92376,31909,33895,232089,-198194,166285
2020-10-27,232500,-1500,198183,92687,74085,18602,15235,77966,-62731,44129
2020-10-26,234000,-4500,150976,82226,40666,41560,12490,50233,-37743,-3817
2020-10-23,238500,0,147788,100042,41991,58051,17290,34846,-17556,-40495
2020-10-22,238500,500,186902,106193,68412,37781,35878,69787,-33909,-3872
2020-10-21,238000,5000,207784,97913,66078,31835,72898,38635,34263,-66098
2020-10-20,233000,500,193210,104140,60899,43241,34104,71432,-37328,-5913
2020-10-19,232500,-2000,238800,142368,97668,44700,24225,69336,-45111,411
2020-10-16,234500,0,313341,197295,100920,96375,63069,114637,-51568,-44807
2020-10-15,234500,4000,654059,278628,117878,160750,225879,324530,-98651,-62099
2020-10-14,230500,-12000,860420,239492,176327,63165,110294,337504,-227210,164045
2020-10-13,242500,3000,184800,86484,77359,9125,41584,24456,17128,-26253
2020-10-12,239500,-500,189246,94088,86727,7361,42151,51309,-9158,1797
2020-10-08,240000,-1000,233062,95588,131509,-35921,68825,45945,22880,13041
2020-10-07,241000,0,179764,115551,71955,43596,15677,57720,-42043,-1553
2020-10-06,241000,500,181255,87672,88998,-1326,53064,23152,29912,-28586
2020-10-05,240500,2500,247547,128777,85492,43285,65832,83416,-17584,-25701
2020-09-29,238000,5000,225845,102722,63666,39056,85915,65992,19923,-58979
