날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수
2020-11-11,87000,500,2638617,967653,808978,158675,1060492,718705,341787,-500462
2020-11-10,86500,500,2849783,741434,1324288,-582854,1532873,635836,897037,-314183
2020-11-09,86000,-300,2444330,897306,1104587,-207281,692363,473793,218570,-11289
2020-11-06,86300,200,2863808,1002988,784804,218184,1022018,356074,665944,-884128
2020-11-05,86100,2900,4082325,1648680,797836,850844,1720394,825942,894452,-1745296
2020-11-04,83200,1800,3782296,1775754,1079128,696626,835365,602790,232575,-929201
2020-11-03,81400,1800,2057723,754274,330793,423481,527335,934520,-407185,-16296
2020-11-02,79600,-300,2000394,775729,709152,66577,392042,866336,-474294,407717
2020-10-30,79900,-1800,2710477,441951,787943,-345992,1026134,1290066,-263932,609924
2020-10-29,81700,-1200,2637314,564905,1094118,-529213,645393,851689,-206296,735509
2020-10-28,82900,300,1773556,588973,810988,-222015,616263,471015,145248,76767
2020-10-27,82600,-600,2265817,537942,1101244,-563302,981536,731928,249608,313694
2020-10-26,83200,-700,1662847,615584,595041,20543,405744,538490,-132746,112203
2020-10-23,83900,600,2609595,970519,691321,279198,855503,835014,20489,-299687
2020-10-22,83300,-500,2593975,565375,777731,-212356,908991,1040632,-131641,343997
2020-10-21,83800,-1400,4925877,1264016,966516,297500,1408656,2503452,-1094796,797296
2020-10-20,85200,-1500,6622637,1445052,1545073,-100021,1055246,2213851,-1158605,1258626
2020-10-19,86700,1400,3150011,1353805,1126436,227369,1198006,650588,547418,-774787
2020-10-16,85300,-1800,2435541,739184,833175,-93991,697975,788359,-90384,184375
2020-10-15,87100,600,2802900,877296,776051,101245,1295481,1018201,277280,-378525
2020-10-14,86500,-1700,3223767,929159,863541,65618,980800,1159949,-179149,113531
2020-10-13,88200,2700,6375448,2616518,1005483,1611035,2017161,1418053,599108,-2210143
2020-10-12,85500,2600,4464264,1452804,594946,857858,2185110,768795,1416315,-2274173
2020-10-08,82900,-500,3330824,1223567,1333302,-109735,1277205,1367320,-90115,199850
2020-10-07,83400,400,2254356,987519,629293,358226,816299,1011909,-195610,-162616
2020-10-06,83000,-200,2750145,632429,1171729,-539300,1108392,919508,188884,350416
2020-10-05,83200,-800,3396894,789321,1393154,-603833,1487586,1179856,307730,296103
2020-09-29,84000,1500,4707898,1688754,1250468,438286,2396006,1336508,1059498,-1497784
2020-09-28,82500,-400,3154068,943346,1309488,-366142,944780,875223,69557,296585
2020-09-25,82900,-1400,3205596,1271142,1144025,127117,605476,731150,-125674,-1443
2020-09-24,84300,700,6401560,2892057,1401362,1490695,1966165,1044117,922048,-2412743
2020-09-23,83600,2300,4439085,1883651,1423522,460129,1246427,684816,561611,-1021740
2020-09-22,81300,-3200,4139983,1143437,1467614,-324177,1142568,1129281,13287,310890
2020-09-21,84500,800,4102947,1475177,1004854,470323,1784734,508095,1276639,-1746962
2020-09-18,83700,1500,5199334,1571886,873691,698195,2865150,882201,1982949,-2681144
2020-09-17,82200,700,4055050,1033519,1247154,-213635,2187501,529948,1657553,-1443918
2020-09-16,81500,-400,3119110,968458,797490,170968,997458,698841,298617,-469585
2020-09-15,81900,1900,5899410,1809560,1024674,784886,2416319,748338,1667981,-2452867
2020-09-14,80000,1600,4099644,1249606,740826,508780,1644004,648575,995429,-1504209
2020-09-11,78400,1800,2831262,682444,684445,-2001,1557025,540123,1016902,-1014901
2020-09-10,76600,-700,3541520,759141,1745801,-986660,773784,906275,-132491,1119151
2020-09-09,77300,-2100,3918435,678129,1439305,-761176,1518502,1051431,467071,294105
2020-09-08,79400,1000,3380355,1112603,845831,266772,925298,571655,353643,-620415
2020-09-07,78400,-300,2786930,788320,912007,-123687,713364,913904,-200540,324227
2020-09-04,78700,0,4582566,1682493,1288384,394109,1275675,1318253,-42578,-351531
2020-09-03,78700,3200,7002529,2886190,1400946,1485244,1865384,1886912,-21528,-1463716
2020-09-02,75500,300,2369360,620642,712435,-91793,462350,947297,-484947,576740
2020-09-01,75200,100,2538676,633807,1061456,-427649,728655,812720,-84065,511714
2020-08-31,75100,-2700,5113128,1392527,1709456,-316929,991357,2337379,-1346022,1662951
2020-08-28,77800,-1300,2511956,795643,876101,-80458,467439,636820,-169381,249839
2020-08-27,79100,300,4223450,1416227,1027199,389028,1486378,707375,779003,-1168031
2020-08-26,78800,1800,4741965,2004807,986044,1018763,1283610,552272,731338,-1750101
2020-08-25,77000,1500,3473488,926333,962212,-35879,935655,697395,238260,-202381
2020-08-24,75500,1000,4298619,1179087,1106095,72992,775309,834778,-59469,-13523
2020-08-21,74500,2700,7700029,1585450,1516250,69200,2184974,1178752,1006222,-1075422
2020-08-20,71800,-3200,7260223,1316369,1747643,-431274,962932,1749031,-786099,1217373
2020-08-19,75000,-3100,8028305,724314,2103079,-1378765,933385,3568643,-2635258,4014023
2020-08-18,78100,-2100,4946279,927626,1191305,-263679,883231,1679333,-796102,1059781
2020-08-14,80200,-500,2589552,738473,910574,-172101,176227,600851,-424624,596725
2020-08-13,80700,-300,4049387,1245103,1428022,-182919,560337,1066619,-506282,689201
2020-08-12,81000,-300,3595828,875310,1314148,-438838,303556,1087173,-783617,1222455
2020-08-11,81300,-100,3234013,781417,1046208,-264791,414190,475897,-61707,326498
2020-08-10,81400,800,3277238,985393,904389,81004,461155,326089,135066,-216070
2020-08-07,80600,-500,4946631,362014,1496417,-1134403,1083258,1942274,-859016,1993419
2020-08-06,81100,400,3391939,818957,1103932,-284975,771336,802024,-30688,315663
2020-08-05,80700,-900,4537005,433976,1234881,-800905,798401,2050931,-1252530,2053435
